user_name,user_profile_url,rating,local_guide,comment_num,comment_text
 Kevin Lai ,https://www.google.com/maps/contrib/101086890597557110161/reviews?hl=zh-TW,3,True,270,"今天下午陪老婆大人到遠百信義a13拿包包，一看差不多吃飯時間到了，就先去三樓美食街看看，整個像懷舊的商店，但是賣現代的食物，上面掛了燈籠，逛了一圈，看到朱記餡餅，想說很久沒吃，就進去了。現在疫情較嚴峻，實聯制和量體溫都有確實在作。坐下來後服務人員說用座上QRcode點餐，我們點了小米粥、花素餡餅、牛肉餡餅和牛肉捲餅，都是排行前幾名的。還拿了一盤小菜。

小米粥先上，自己去拿糖加，不錯吃。牛肉捲拿來了，裡面很多牛肉，但有一個很嚴重的問題，捲餅是小溫到涼的，這樣會好吃嗎？是作好了放很久嗎？好像是外帶，到家裡吃變涼了！牛肉餡餅倒是很吃，肉細汁多。吃完了結帳，心裡想：下次再吃可能要很久以後！"
 00愛食記 ,https://www.google.com/maps/contrib/101069712395746259579/reviews?hl=zh-TW,4,True,75,"是哪一家炒飯動搖鼎泰豐炒飯在我心目中的地位？🥺
鼎泰豐的炒飯比較清爽蛋香味重
朱記的炒飯更重口味一些我更愛
排骨炸的又香又脆讓人念念不忘
但朱記除了排骨炒飯打敗鼎泰豐
其他的像是小籠包、酸辣湯、炒手
我覺得還是鼎泰豐勝出很多！
朱記的餡餅也很好吃
雖然一個不算太大不便宜
但是咬下去爆汁吃的到滿滿肉汁
也很推薦大家可以點餡餅
-
☀️排骨炒飯$185
☀️雞盅麵$160
☁️酸辣湯$60
☀️牛肉餡餅$50
☁️鮮蝦餛飩炒手$130
☁️小籠包$150
-
instagram🔍00.loveeat"
 Areyou Chen ,https://www.google.com/maps/contrib/111263977228551417630/reviews?hl=zh-TW,4,True,"1,430","☆一家在各百貨公司常常看到的小吃店！
一直以來我是比較喜歡吃飯的，所以就很少來這樣的店，今天路過看到目錄上都排骨照片，有被吸引到，再加上有炒飯可搭，就進來嚐鮮了。
排骨炒飯，排骨香酥肉質脆嫩，炒飯蛋香四溢，是我愛的那種，再配上自製辣醬，真是不錯吃！
用餐環境，整潔明亮，冷氣也很舒適，而且防疫也有確實執行。
服務態度親切客氣，蠻好的。
可以行動支付刷卡，結帳方便。"
 Anny Liu ,https://www.google.com/maps/contrib/105126339810787188830/reviews?hl=zh-TW,4,True,98,"2022/10/9

內用：牛肉餡餅$50x2、炸醬麵$95、鮮肉餛飩麵$115、小米粥$25、小魚乾$60，共$395

朱記仁愛路及寶慶遠百都去過，覺得朱記一直有保持水準，比較喜歡的是牛肉餡餅、炸醬麵、小米粥、小魚乾，店內的辣椒醬也不錯！

覺得普通的是鮮肉餛飩麵，口味較清淡、餛飩也一般。"
 chen iris ,https://www.google.com/maps/contrib/115915705510587571360/reviews?hl=zh-TW,5,True,230,算是A13蠻常去吃的店家，很喜歡他們的排骨炒飯還有捲餅，小米粥也是必點的，直接手機點餐很方便，出餐也蠻快的
 Griffon Lee ,https://www.google.com/maps/contrib/105738688534054791828/reviews?hl=zh-TW,3,True,286,"中規中矩，是正常表現的朱記餡餅，但說真的餡餅還是不夠美味(所以就忘記拍照了)…

不要太苛求他做到鼎泰豐的水平"
 ChiaChen Chao ,https://www.google.com/maps/contrib/108291148791363059692/reviews?hl=zh-TW,4,True,301,店裡座位舒適，手機掃QRCODE就可以直接點餐。小米粥裡還有少許麥片增加口感，很好喝，喜歡甜食的人推薦一定要加砂糖進去。牛肉餡餅稍油，不過牛肉很好吃。炸排骨又香又酥，十分推薦。店裡小菜區跟茶水區太擁擠，不好拿取是唯一的缺點。
 LESLIE LI ,https://www.google.com/maps/contrib/104510327367782208864/reviews?hl=zh-TW,4,True,306,"點餐必須用自己的手機掃QR碼，有點難點！一開始無法確認自己點的數量，不小心按太多次，差點點20碗小米粥。

炒飯160元好吃是好吃但是感覺價格偏高，好像沒好吃到會想點第二次。
小菜豬頭皮不錯，但是不知道一份多少，忘了！餛飩湯普通，看完電影可以順便來吃一次，但是特別來吃應該是不會。

店員的服務還不錯，遇到老人家不會點餐，也會耐心的協助完成。"
 Hou Ranee ,https://www.google.com/maps/contrib/101272156142723867261/reviews?hl=zh-TW,5,True,261,吃起來不錯，用手機點餐很方便，上菜快速，食物都滿美味的，推薦十大經典美食裡的菜單。
 Ape Matsa ,https://www.google.com/maps/contrib/103972916966281807486/reviews?hl=zh-TW,5,True,287,"要自己掃QRcode點餐很酷！
同桌友人點餐會出現
「遊客點了XXX」
刀削麵口感很好！
小辣拌麵很好吃😋"
 吳政鋐 ,https://www.google.com/maps/contrib/102421328125781011369/reviews?hl=zh-TW,5,False,8,朱記是身處在信義區的高CP值餐館，不論是排骨炒飯、菜肉餛飩麵、蔥油餅、餡餅或牛肉麵都是份量充足、物超所值，絕對能滿足大多數人的胃口。
 郭哲豪（Haoyo） ,https://www.google.com/maps/contrib/117021616741208925149/reviews?hl=zh-TW,4,True,276,蠻好吃的，不用排鼎泰豐可以來吃這間，炒飯清爽不油粒粒分明，小籠包Q好吃，但還是輸鼎泰豐，價格有贏，捲餅包黃瓜肉片加醬汁很搭配，整體真的不錯，而且這邊裝潢很特別，很像回到8-90年代的台灣街景
 Liz Chou ,https://www.google.com/maps/contrib/114606375155271465390/reviews?hl=zh-TW,4,True,395,"牛肉捲餅：餅皮薄酥、醬料量剛好，吃起來不錯，不會太濕
鮮肉餛飩抄手：鮮肉餛飩大概一顆小湯圓的大小，微辣，辣味會蓋過肉味，吃起來還可以。
酸辣湯：料蠻多，有酸和胡椒味，不錯吃"
 邱子瑋 ,https://www.google.com/maps/contrib/101357540505511640255/reviews?hl=zh-TW,5,False,20,"乾麵滑Q；捲餅醬料甜鹹適中；炒手味道也很滿意

鮮蝦餛飩湯的蝦口感不太好"
 Wendy W (Wooglelocalguide) ,https://www.google.com/maps/contrib/101817097303403201691/reviews?hl=zh-TW,4,True,221,低配版的鼎泰豐，賣的東西很像但價格低不少，口味還不錯可以吃
 冰淇淋 ,https://www.google.com/maps/contrib/117840721831823791594/reviews?hl=zh-TW,3,True,"1,035","整體而言大概3.5分

食物基本上都不難吃
貴在地段跟環境
內用有提供茶

使用平板點餐

跟其他專櫃比這家的價位算便宜

以這家店的食物來說：

鮮肉蒸餃：味道不錯，皮很Q肉多汁。但不到驚艷等級

牛肉餡餅：不太喜歡肉餡的味道

排骨炒飯：以炒飯來說沒有太多的香氣味道本身普通沒有特別的地方但是料滿少的排骨本身偏重鹹味道還行份量滿多的

沒吃完的可打包帶回家

只能說這家店目前大概是一次店
畢竟台北便宜好吃的小吃店應該大有人在"
 翁紹凱 ,https://www.google.com/maps/contrib/100398511352548684486/reviews?hl=zh-TW,3,False,76,"上餐速度也很快，而且很好吃~~

***
用每個桌專屬的QRCODE來線上點餐很方便，但是各桌網頁連結是不會變的，等於任何人都可以偷偷幫在用餐的人點餐或加點，這很危險，要多加注意！！
***"
 江阿正 ,https://www.google.com/maps/contrib/106882349491326835848/reviews?hl=zh-TW,5,True,133,"炒飯好吃，粒粒分明
小籠包口味一般
蔥油餅還行
酸辣湯料很多，口味一般
整體來說還行"
 信宏Peter ,https://www.google.com/maps/contrib/109303737469650336651/reviews?hl=zh-TW,5,True,20,好吃，麵有嚼勁，吃了菜肉餛飩麵加小菜，價格在遠百算平價親民，挺推。
 Ben Tang ,https://www.google.com/maps/contrib/103807186596505098715/reviews?hl=zh-TW,3,True,332,"「來訪日期」：2021/4/14晚上時段
「來訪人數」：2人
「來訪分享」：位於遠百A13四樓美食街
，整層都是復古懷舊的裝潢，讓人回到以前那熱鬧卻純樸的時代。

以下是這次點的餐點：
1.鮮蝦餛飩抄手～辣度還算適中，口感還可以
2.紅燒牛肉麵～份量相當足夠，味道也錯
3.高麗菜～普通

［環境評比」：店內光線挺明亮，清潔度也不錯
「服務品質」：以百貨公司來說，還有進步空間
「續訪意願」：中
「其它事項」：點餐方式是以手機APP進行點餐下單
「CP值」：中"
 Daniel ,https://www.google.com/maps/contrib/101508387374778680577/reviews?hl=zh-TW,4,True,123,"吃了牛肉捲餅
燙青菜
排骨炒飯
鮮肉混沌刀削麵
好吃口味偏淡"
 劉杰妮 ,https://www.google.com/maps/contrib/102338842754234722893/reviews?hl=zh-TW,3,True,149,"點了紅油炒手、牛肉捲餅、蝦仁蛋炒飯。
本來覺得菜單跟鼎泰豐/小樂有點像，但實際上還是有點落差。
最一開始上來的紅油抄手，讓人失望到不行，只是餛飩淋上辣醬而已，炒手本身沒有口感，麵皮也爛爛的，吃到最後一顆的時候，發現中間的麵皮還有麵粉沒透。
牛肉捲餅外皮酥脆，餅皮吃起來軟Q，中間包蔥跟小黃瓜，加上甜麵醬，整體而言還不錯。
蝦仁炒飯算是炒的粒粒分明，鹽巴調味適中，蔥香味也很調和，炒飯算是三樣中最好吃的。"
 Dana 。 ,https://www.google.com/maps/contrib/104266364574233559377/reviews?hl=zh-TW,4,True,52,"餡餅好吃！
炒手與其他。。口味中規中矩正常發揮
上菜滿快的"
 Y T ,https://www.google.com/maps/contrib/106811148998696585602/reviews?hl=zh-TW,5,True,87,"小菜選擇多樣，鍋貼很大顆，
份量都很足夠，雞盅湯很好喝，
牛肉乾拌麵也很好吃。"
 Sandy Lin ,https://www.google.com/maps/contrib/110243255513940401397/reviews?hl=zh-TW,4,True,15,"酸辣麵酸的恰到好處，加醋調味，味道更有層次！排骨炒飯，炒飯粒粒分明油油亮亮，排骨香酥又很大塊！推酸辣麵和排骨炒飯。
牛肉餡餅味道普通，肉是挺新鮮的。吃一口大噴汁，濺到衣服上..."
 王凱琳 ,https://www.google.com/maps/contrib/111476689742627127641/reviews?hl=zh-TW,3,True,428,"整體口味普通，覺得偏油
菜色表現中規中矩
黃金鍋貼比較有特色一些"
