user_name,user_profile_url,rating,local_guide,comment_num,comment_text
 jump3lien ,https://www.google.com/maps/contrib/117727868477352657757/reviews?hl=zh-TW,5,True,453,份量大！口味也不錯！老闆娘一直關心有沒有吃飽，餛飩乾撈麵也很棒！
 C E ,https://www.google.com/maps/contrib/104368153071731702938/reviews?hl=zh-TW,5,True,62,"住在附近快7年經過都沒吃過，無意滑的谷歌慕名而來的~真的好好吃！推~推~推~
湯非常輕甜！不會有味精的不適感，老闆是一碗碗單獨煮的，是我最喜歡的那種熱騰騰蔬菜湯，點的是番茄海鮮麵，內容是：滿滿甜甜的高麗菜+甜的番茄丁+2隻蝦+1蟳味棒+蛋~簡單的原食，而不是放一些便宜充數的火鍋料。想加豬肝、其他還有很多菜色可以選。

老闆娘很友善，晚上還特別進來跟我說滿滿吃不趕時間，尾深再確認我是否有吃飽。然後很貼心的告訴我裡面原本就有蛋，所以不收蛋錢。之後大概會三步五時都要來報到了。"
 Chu Skying ,https://www.google.com/maps/contrib/109800995304501984666/reviews?hl=zh-TW,4,True,466,"一人小吃店，老闆娘出餐井然有序，忙碌之餘依舊問候客人“有吃飽嗎？”、“讓你久候，幫你加菜...”、“抱歉...”

想吃飽又喜愛麵食的，在光復市場旁的好選擇。"
 Julie Liu ,https://www.google.com/maps/contrib/103757206406358424165/reviews?hl=zh-TW,5,True,118,快靠近傍晚用餐，老闆娘正在消毒清潔環境，相當勤快也很熱情招呼顧客。點了海鮮蕃茄&麻辣麵疙瘩，麻辣看似很像泡菜，湯頭符合預期，既麻又辣。
 Pop Bun ,https://www.google.com/maps/contrib/105009134714139884822/reviews?hl=zh-TW,4,True,143,"世貿附近小吃店
信義區來說價錢還可以
炸醬麵疙瘩似乎有加入麻醬
吃起來香的
餛飩湯用的是大顆餛飩
份量蠻能夠吃飽的"
 Dalun Puli ,https://www.google.com/maps/contrib/102913296668727626242/reviews?hl=zh-TW,5,True,114,"麵疙瘩湯頭鮮甜，一試成主顧，如果你不曾湯頭清淡卻難忘，請來試一碗。

而且菜新鮮又豐富，很難理解這時間跟成本要如何賺錢..老闆娘應該花了很多時間熬製。

我點的是瘦肉麵疙瘩加蛋，湯多料多，差點吃不完。

來世貿看展必吃，真的大推！"
 吳政翰 ,https://www.google.com/maps/contrib/113071431079999795074/reviews?hl=zh-TW,5,True,63,老闆娘很熱情，麵條很扎實，鮮蝦餛飩很大顆也很好吃，鮮蝦餛飩乾撈麵價格$90，在信義區CP值高。
 帥璽 ,https://www.google.com/maps/contrib/115938800612030125715/reviews?hl=zh-TW,5,False,45,"點了泡菜燴飯加蛋，110元，看似略貴，但分量相當多，來自福州的老闆娘非常好客，看到客人能吃完很開心。
店裡只有老闆娘一人，所以會很忙，點的菜要稍微等一下。"
 Nonono Nono (喜歡吃炒飯) ,https://www.google.com/maps/contrib/115099840088919469228/reviews?hl=zh-TW,5,False,16,80元瘦肉麵疙撘，阿嬤的味道，湯頭簡單甘甜，蔬菜多多，外食想吃點蔬菜，很可以。
 Carol Lin ,https://www.google.com/maps/contrib/116320529327090237698/reviews?hl=zh-TW,5,True,20,香港撈麵$80（鮮蝦$90），好吃、衛生、老闆娘親切。推！
