user_name,user_profile_url,rating,local_guide,comment_num,comment_text
 Hsin Liu ,https://www.google.com/maps/contrib/108319408213597543967/reviews?hl=zh-TW,5,True,70,"很好吃～可以吃到蔬菜蛋白質和米飯❤️
店員推薦菜色一次就中😊份量很足夠，菜色豐富，在附近上班經常來光顧～推薦👍👍"
 Sw Ling ,https://www.google.com/maps/contrib/109686189808106837194/reviews?hl=zh-TW,5,False,11,"服務很親切東西也很好吃一整個很入味欸
重點是店員跟老闆顏值都好高下次會再來🥺🥺"
 OnE ,https://www.google.com/maps/contrib/117686800953096443074/reviews?hl=zh-TW,5,False,2,A8重新改裝後，大推美食首選～最近常常來，想吃遍每一道餐點。好吃又平價，有刺青的服務人員，服務態度非常好，待人又很客氣，整個超級反差萌！買完當下心情很好，吃完後可以開心一整天～❤️❤️❤️
 Pammie MJ ,https://www.google.com/maps/contrib/101068442316740454666/reviews?hl=zh-TW,5,True,31,"大推！！！
每天必吃愛店，老闆好帥
用料實在、味道又好，100分耶"
 洪郁絜 ,https://www.google.com/maps/contrib/111224196311088211285/reviews?hl=zh-TW,5,False,6,"東西都很大份食材也都超新鮮👍
已經回訪不知道幾百次了🤤🤤🤤
推爆❤️‍🔥"
 Fun Kuo ,https://www.google.com/maps/contrib/105333673231380178913/reviews?hl=zh-TW,5,False,4,"炸中卷&酥炸雞柳好吃😋
醡醬飯鹹香夠味好下飯
下次中午還要再下訂"
 徐逸庭 ,https://www.google.com/maps/contrib/116769164425420292116/reviews?hl=zh-TW,5,True,17,份量剛好，擺盤非常漂亮，口味也很棒。
 Hui Yu Lee ,https://www.google.com/maps/contrib/109726651367274717025/reviews?hl=zh-TW,1,False,13,"一般口味配菜且量很少
溏心蛋還不錯
雞柳是炸雞塊量少

自助餐口味餐廳價位
CP值低"
 為0 ,https://www.google.com/maps/contrib/105489173330865897074/reviews?hl=zh-TW,5,False,4,"大滷麵麵條很Q食材新鮮料很足
口水雞不算辣辣椒很香檸檬味很夠雞肉很嫩不柴開胃好吃"
 J me ,https://www.google.com/maps/contrib/104251081237334031483/reviews?hl=zh-TW,5,True,334,"🌶👍🏻吃香喝辣📍青丘苑(新光三越信義A8店）

在新光三越的信義A8館，地下2樓的美食街有很多餐廳的選擇，琳瑯滿目、各式各樣好吃的店，真的是有選擇性障礙😆😂🤣，因為肚子餓的時候每一家看起來都好好吃喔！😋

所以選了一家之前都沒看過的新品牌｜青丘苑
✅很多中式的餐點，很愛這種道地小吃類的餐廳
看了菜單點了「海鮮湯麵」➕小菜「椒麻皮蛋豆腐」➕「燙青菜」

海鮮湯麵🍜
蛤蠣很多，還有吃到花枝，上面鋪了蔬菜，還有魚肉，湯頭非常的鮮甜，食材算蠻新鮮的，第一次吃到美食街那麼好吃的海鮮湯麵，加辣更好吃！

🌶椒麻皮蛋豆腐
想吃點麻辣的，皮蛋是給一整顆喔！😋

燙青菜🥬
青菜的份量給也算蠻多的，愛吃青菜的我覺得滿足！

辣椒油很辣很香很過癮！沾海鮮的醬料也蠻好吃的呢！店家很乾淨，服務人員也很有禮貌，手腳蠻勤快的，製作餐點也很快又好吃，很推薦！"
 DKS CH ,https://www.google.com/maps/contrib/109612848280841576419/reviews?hl=zh-TW,3,True,785,"份量比較少，味道是不錯👍
不過評價總總是過譽了。"
 CH霖 ,https://www.google.com/maps/contrib/102049263024335232513/reviews?hl=zh-TW,5,True,21,酥炸魚片好吃很嫩，分量適中，女生不怕吃不完。
 Gemy Lin ,https://www.google.com/maps/contrib/110897950490169524541/reviews?hl=zh-TW,5,False,12,超級好吃的🥹是A8美食廣場裡我的最愛💞番茄拌麵的口味很讚，牛肉片的口感也很好！還喜歡口水雞，青檸醬調味很讚，肉質也很讚，飯的話配菜也很營養均衡，認真推薦！6/23開幕後到現在上班日都有來吃🤣🤣🤣（附上集點卡證明🤣）
 Marco Ma ,https://www.google.com/maps/contrib/116985750554530045120/reviews?hl=zh-TW,5,False,6,口水雞飯超好吃，我跟老婆都超愛。
 Ming-Zheng Zhong ,https://www.google.com/maps/contrib/109862424216152757000/reviews?hl=zh-TW,3,False,10,雖然菜色很豐富，但當時點餐時明確有詢問店員圖片上(含番茄炒蛋)的餐是如何點，當時也收到回覆是點餐所附的菜色，但店員完全沒有告知彩色變成溏心蛋⋯⋯
 薛揮達 ,https://www.google.com/maps/contrib/101245585000303527612/reviews?hl=zh-TW,1,False,4,今日想嚐鮮選了貴店，點了滷牛腱飯，搭配了套餐B有小菜跟燙青菜，配菜部分口感算清爽不會太鹹，小菜部分選了百頁也夠味，就唯獨滷牛腱沒味道也沒有像下面評論所述入口即化🤨剛上菜時看起來有點乾巴巴的像清燙過而已，每塊皆有少許的筋倒還好，但至少要咬得多斷，小菜選擇多也滿好吃難怪櫃檯前擺滿讓顧客選擇的小菜，可能炸類的主食比較好吃，但滷牛腱真的需要加強🥲
 金寶寶 ,https://www.google.com/maps/contrib/117288404417139178380/reviews?hl=zh-TW,5,False,10,"番茄豬肉拌麵真的超好吃😋
只能說真材實料、吃得到番茄鮮甜味和一塊塊豬肉，在和麵搭配起來的口感真的是絕配👍🏻
很少在美食街可以看到這麼用心挑選碗盤的店家！！每個碗盤都超有質感的～～～能在挑選碗盤細節看出老闆的用心、相信在食材挑選上一定更加有信心、而我們吃的就安心❤️❤️❤️
真心推薦～～我已經選好我下次要吃什麼了哈哈哈🤣🤣🤣
(眾人所推薦的：酥炸魚片飯)"
 JJ C ,https://www.google.com/maps/contrib/109531575115740557049/reviews?hl=zh-TW,5,False,16,大推👍👍CP值高！吃過好幾樣都很好吃！男生也可以吃得很飽！每天會換小菜，老闆很親切很用心，在百貨裡面很難得的好店
 yoyo yeh ,https://www.google.com/maps/contrib/100666262895975988117/reviews?hl=zh-TW,5,True,33,"外送平台訂了三次
每次都是前一天訂
但當天都遲到
最後一次遲到25分鐘
造成我很大的困擾
後續行程因此遲到
東西不錯
希望改進"
 Pota to ,https://www.google.com/maps/contrib/113322506427088682354/reviews?hl=zh-TW,5,False,6,第一次光顧點了番茄豬肉麵就立刻愛上！毛豆、蛋花湯不會太鹹，好吃好吃😋
 吳淯婷 ,https://www.google.com/maps/contrib/101529737225225281345/reviews?hl=zh-TW,5,False,9,"份量很多女生真的會吃不完～
吃起來不會太油膩店家也很客製化加椒麻（因為我說有吃辣！！
大滷湯很好喝🤤有點雜燴湯的感覺
重點是店家服務很好🫶🏻顏值都偏高哈哈哈哈"
 林維祥 ,https://www.google.com/maps/contrib/105225855199217122733/reviews?hl=zh-TW,5,False,2,"實在是太喜歡新品麻辣鴨血了！
喜歡吃辣的可以點，椒麻口水雞也是很夠味～"
 小妘 ,https://www.google.com/maps/contrib/114163365484693527328/reviews?hl=zh-TW,5,False,7,現在有出鴨血嫩豆腐麵套餐，東西便宜又好吃，自己本身很愛吃番茄牛肉拌麵😋
 남미 ,https://www.google.com/maps/contrib/107910446641366653430/reviews?hl=zh-TW,5,False,5,超好吃的我每天都吃吃不膩老闆人又親切長得又帥棒棒的👍🏻👍🏻👍🏻👍🏻
 慕熙 ,https://www.google.com/maps/contrib/117616107350173537269/reviews?hl=zh-TW,5,False,8,潮好吃的愛他的雞柳條推推
 蔡明寰 ,https://www.google.com/maps/contrib/114627709824676886457/reviews?hl=zh-TW,5,False,4,"餐點美味，用料實在用心！
老闆服務親切，非常推薦！"
 林筱芳 ,https://www.google.com/maps/contrib/117084245999438131075/reviews?hl=zh-TW,5,False,1,料好實在，口味很棒，尤其是特調的醬料跟小菜，絕對會讓人回味，還會ㄧ直想去品嚐，讚👍
 Tai Tai ,https://www.google.com/maps/contrib/114903512465934277950/reviews?hl=zh-TW,5,True,23,服務很好，很貼心，會觀察客人需要什麼！東西好吃，上菜快！環境舒適乾淨！這次吃口水雞，下次還要再試別的
 小猴 ,https://www.google.com/maps/contrib/112882478763443511563/reviews?hl=zh-TW,5,False,5,"新鮮的番茄入菜，拌上Q彈的麵條
在起鍋後立刻淋上醬汁
一入口
鹹中帶著甜
甜中藏著酸
緊接著而來是爽脆的時蔬，夾雜在麵條當中，躍動著口感
有幸再來上一口
卡滋響的酥炸魷魚圈
必然豐富你社畜後的小確幸時刻~"
 Nelson Shu ,https://www.google.com/maps/contrib/115061262278586236285/reviews?hl=zh-TW,5,False,2,好吃😋大推口水雞👍嫩二不柴餐點份量也很豐富🌟🌟還有超大碗湯超讚der～
 Rock kid Brothers ,https://www.google.com/maps/contrib/114781551093565985307/reviews?hl=zh-TW,5,True,352,"抱歉真的寫錯家….
不過我也吃過你們的番茄豬肉麵，味道不錯，價格尚可接受（百貨公司）"
 ㄇㄐ ,https://www.google.com/maps/contrib/103152478333573317200/reviews?hl=zh-TW,5,False,12,"便宜好吃ㄟ老闆跟穿橘色衣服的廚師每次都幫我加料(⁎⁍̴̛ᴗ⁍̴̛⁎)❤️❤️😍
哨子麵很讚"
 Cora Juan ,https://www.google.com/maps/contrib/107888825756850659822/reviews?hl=zh-TW,5,False,6,"真的很好吃！感覺老闆非常用心！
有機會去一定會再捧場👍👍"
 温欣頤 ,https://www.google.com/maps/contrib/110051881735477053674/reviews?hl=zh-TW,5,False,15,真心推薦吃得飽CP值高，有吃過的青檸醬，讓雞肉的味道清爽又開胃，另外朋友有點炸魷魚，感覺得出來產品很新鮮，小菜的調味吃完吃後會讓你很懷念，下次經過想要再去吃一次。BTW有一個店員長得很像ØZi
 張庭瑜 ,https://www.google.com/maps/contrib/108074578712987004970/reviews?hl=zh-TW,5,False,8,服務與價格親切，以女生來說吃得很飽，配菜豐盛，天天吃也不會膩
 Doria Wu ,https://www.google.com/maps/contrib/105198897177472308570/reviews?hl=zh-TW,5,False,3,"大推酥炸中卷跟蛤蜊冬瓜麵超美味
在附近上班，百吃不膩
A8裡的最佳選擇👍🏻"
 Y S (SSS) ,https://www.google.com/maps/contrib/104454645702550927657/reviews?hl=zh-TW,4,True,"1,327",番茄豬肉拌麵還不錯。
 Kristine ,https://www.google.com/maps/contrib/116377971686836990033/reviews?hl=zh-TW,5,True,15,真的太好吃愛香菇雞湯！！然後炸魚片跟青檸醬也超讚ㄉ⋯⋯
 許家淇 ,https://www.google.com/maps/contrib/117502517555478615450/reviews?hl=zh-TW,5,True,158,每一樣都很好吃
 Ianthe Chang ,https://www.google.com/maps/contrib/110573140457174486708/reviews?hl=zh-TW,5,False,13,"滷牛腱麵的牛腱超～好～吃～(⁎⁍̴̛ᴗ⁍̴̛⁎)‼
很軟嫩入口即化
CP值很高的讚店！"
 Wu Renton ,https://www.google.com/maps/contrib/116466705380925541653/reviews?hl=zh-TW,5,False,7,"路過吃吃看，意想不到其實不錯！
推口水雞跟中卷，搭配青檸醬"
 周周 ,https://www.google.com/maps/contrib/107634107474752857044/reviews?hl=zh-TW,5,False,10,"大推口水雞，超級美味，CP值高。
覺得比旁邊的蘭芳好吃，以後來A8都會來吃青丘苑。"
 孫夢憶 ,https://www.google.com/maps/contrib/117939431409302989148/reviews?hl=zh-TW,5,False,10,已經回訪多次～cp質高味道也不錯～是午餐的口袋名單！
 陳敏菁 ,https://www.google.com/maps/contrib/107033270356543151466/reviews?hl=zh-TW,5,False,8,番茄湯麵好吃～麵Q~冬瓜蛤蜊麵也好喝👍味道天然新鮮無過度調味~
 badan wang ,https://www.google.com/maps/contrib/117412614713267265301/reviews?hl=zh-TW,5,False,7,新開張來吃吃看，麵不錯吃但量很少，男生應該一碗吃不飽
 黃詠賢 ,https://www.google.com/maps/contrib/111360984811120805123/reviews?hl=zh-TW,5,False,1,味道真的不錯，朋友都喜歡吃。今天很幸運，去了沒有排隊。
 簡鈺儒 ,https://www.google.com/maps/contrib/111769110163680515149/reviews?hl=zh-TW,5,False,2,超級好吃的餐點👍👍👍下次會再來吃🥰服務非常得好讚👍👍👍👍
 高瑋曼 ,https://www.google.com/maps/contrib/109816274823544134242/reviews?hl=zh-TW,5,False,6,"真材實料，東西好吃經濟實惠，Cp值超高
推推👍🏻👍🏻👍🏻"
 李岱恩 ,https://www.google.com/maps/contrib/111093832627975547489/reviews?hl=zh-TW,5,True,10,"碗盤很有質感，海鮮新鮮，炸物很酥脆
湯頭很順口，值得回顧😃"
 Narriah S ,https://www.google.com/maps/contrib/108356564115308277465/reviews?hl=zh-TW,5,False,1,超愛這家的哨子麵味道絕佳每次來A8必吃👍
 王凱琳 ,https://www.google.com/maps/contrib/111476689742627127641/reviews?hl=zh-TW,4,True,428,"大滷麵還不錯👌
C餐酥炸雞柳很乾硬不推"
 Connie Chu ,https://www.google.com/maps/contrib/112123318005759750781/reviews?hl=zh-TW,5,False,5,店內餐點都好吃～特別是炸物和小菜，每每吃都吃不膩！
 劉樺 ,https://www.google.com/maps/contrib/103895053384392841496/reviews?hl=zh-TW,5,False,3,大推👍好吃😋會再回訪🥰帶家人朋友去吃，都說好吃🙌
 莊子萱 ,https://www.google.com/maps/contrib/101709876383155742877/reviews?hl=zh-TW,5,False,2,"新出的麻辣鴨血有夠好吃！！
夠辣夠香🤩🤩"
 蔡佩岑 ,https://www.google.com/maps/contrib/109119701228007730262/reviews?hl=zh-TW,5,False,5,"每來必點番茄湯麵
超級好吃！！！
大推👍👍👍"
 吳永傑 ,https://www.google.com/maps/contrib/102432037122118228418/reviews?hl=zh-TW,5,False,2,超推椒鹽中卷和魚片飯，份量很夠、口感很好、又飽又滿足
 吳允文 ,https://www.google.com/maps/contrib/112632973798290806750/reviews?hl=zh-TW,5,False,12,食物看起來很美味❤店面裝潢簡單，很清爽
 曹哲瑋 ,https://www.google.com/maps/contrib/105179539277656968483/reviews?hl=zh-TW,5,False,11,店員帥食物好吃，椒麻拌麵超夠味必吃
 廖雅怡 ,https://www.google.com/maps/contrib/117887297697301842127/reviews?hl=zh-TW,5,False,4,好好吃，每天在這邊上班必備
 黃萱 ,https://www.google.com/maps/contrib/111838901508638812396/reviews?hl=zh-TW,5,False,9,店員親切用料實在便宜又好吃會再回訪👍🏻
 范麗梅 ,https://www.google.com/maps/contrib/101813720023434800469/reviews?hl=zh-TW,5,False,1,跟家人點了一整桌太好吃了吃到忘我忘記拍照🤣
 Sora Liu ,https://www.google.com/maps/contrib/118360729819205669650/reviews?hl=zh-TW,5,False,3,好吃～天天外食很需要不油膩又好吃的店家
 tayler chang ,https://www.google.com/maps/contrib/101028659968128482887/reviews?hl=zh-TW,5,False,1,蕃茄豬肉拌麵很好吃，加辣更讚！👍
 nn sean ,https://www.google.com/maps/contrib/112231770340470672449/reviews?hl=zh-TW,5,False,5,餐點選項豐富又好吃給個讚
 Hsi-sheng Yu ,https://www.google.com/maps/contrib/108097121583547861862/reviews?hl=zh-TW,5,False,5,餐點好吃，大滷麵不錯，會在回訪
 Cathy ,https://www.google.com/maps/contrib/112736766971472614126/reviews?hl=zh-TW,5,False,2,東西好吃又實惠，店員好帥又親切☺️☺️
 Ana Kao ,https://www.google.com/maps/contrib/115345105894638409524/reviews?hl=zh-TW,5,False,4,店員很帥，每個品項都很好吃😋
 黃耀鋕 ,https://www.google.com/maps/contrib/113934739088902378445/reviews?hl=zh-TW,5,False,7,推一個👍🏻Cp值高，好吃吃不膩👍🏻👍🏻👍🏻
 Cindy Chuang ,https://www.google.com/maps/contrib/115127699950355495507/reviews?hl=zh-TW,5,False,7,服務好番茄豬肉湯麵好吃～
 林威廷 ,https://www.google.com/maps/contrib/116041449008578676195/reviews?hl=zh-TW,5,False,4,餐點好吃，服務態度佳！
 debby Lee ,https://www.google.com/maps/contrib/101359271061232190258/reviews?hl=zh-TW,5,False,7,好吃便宜！來這裡附近必吃
 朱小姐 ,https://www.google.com/maps/contrib/108251373810087301227/reviews?hl=zh-TW,5,False,1,青檸醬好吃💯蕃茄湯特別好喝
 陳昭文 ,https://www.google.com/maps/contrib/105593795457734422650/reviews?hl=zh-TW,5,False,4,"再➕五顆星⋯⋯
好吃到爆炸～每樣都力推⋯⋯⋯⋯⋯
推推推⋯⋯⋯"
 陳香凝 ,https://www.google.com/maps/contrib/116713718690912602143/reviews?hl=zh-TW,5,False,2,餐點好吃美味～服務親切~😄😄😄
 Josh Huang ,https://www.google.com/maps/contrib/107789099830539665212/reviews?hl=zh-TW,5,False,1,東西好吃，刺青帥哥服務又好🤩🤩🥸
 Ariel Chen ,https://www.google.com/maps/contrib/103478355000567077341/reviews?hl=zh-TW,5,False,5,營養均衡又兼具美味的一餐!
 Suyuan Lin ,https://www.google.com/maps/contrib/102687044775610018583/reviews?hl=zh-TW,5,False,6,點口水雞，價位合理，配菜豐盛。
 Jacky Wu ,https://www.google.com/maps/contrib/101754281966031758445/reviews?hl=zh-TW,5,False,2,"老闆人親切
餐點經濟實惠～"
 BLACKTEA778 ,https://www.google.com/maps/contrib/104226235022873437615/reviews?hl=zh-TW,5,False,19,送茶讚，平價，看起來不錯
 鄭志宏 ,https://www.google.com/maps/contrib/102130070709385712243/reviews?hl=zh-TW,5,False,2,便宜好吃，請大家多多介紹
 林孟翰 ,https://www.google.com/maps/contrib/107904826671022648477/reviews?hl=zh-TW,5,False,9,上菜速度快，服務品質佳！
 陳傑 ,https://www.google.com/maps/contrib/115066194049719137878/reviews?hl=zh-TW,5,False,11,好好吃口水雞飯超推
 陳信祖 ,https://www.google.com/maps/contrib/112348043996790461416/reviews?hl=zh-TW,5,False,1,泰式醬爽口，極推所有泰式菜品!
 Evonne Lin ,https://www.google.com/maps/contrib/111251104748958111425/reviews?hl=zh-TW,5,True,51,餐點不錯
 芊芊 ,https://www.google.com/maps/contrib/111156376897331333757/reviews?hl=zh-TW,5,False,11,青木瓜好好吃我每天都買
 Bella ,https://www.google.com/maps/contrib/116969711772597511435/reviews?hl=zh-TW,5,False,4,好吃推推蛤蠣冬瓜湯
 林昕穎 ,https://www.google.com/maps/contrib/107699861685485363497/reviews?hl=zh-TW,5,False,1,非常好吃推薦👍
 陳彥彰 ,https://www.google.com/maps/contrib/102055003111958191365/reviews?hl=zh-TW,5,False,1,老闆很帥東西很好吃
 paul yang ,https://www.google.com/maps/contrib/117829812567180623301/reviews?hl=zh-TW,3,False,3,"口水雞好好吃
很清爽"
 Sharon Chen ,https://www.google.com/maps/contrib/110315486085142525455/reviews?hl=zh-TW,5,False,2,番茄哨子麵好吃！
 朱筱娟 ,https://www.google.com/maps/contrib/113843959473200822796/reviews?hl=zh-TW,5,False,1,麵好吃海鮮新鮮很棒
 徐徐 ,https://www.google.com/maps/contrib/113479271060981443231/reviews?hl=zh-TW,5,False,6,好吃😋服務態度很好
 陳恪東 ,https://www.google.com/maps/contrib/112736396675505655845/reviews?hl=zh-TW,5,False,11,來信義吃好吃的好選擇：）
 Daisy Chen ,https://www.google.com/maps/contrib/108652272201406951738/reviews?hl=zh-TW,5,True,198,番茄豬肉拌麵好吃！
 札克潮流萬事屋 ,https://www.google.com/maps/contrib/104658692096955461495/reviews?hl=zh-TW,5,True,9,好吃老闆又帥👍
 方奕珺 ,https://www.google.com/maps/contrib/103430990692010455759/reviews?hl=zh-TW,5,False,11,食物好吃服務親切👍🏻👍🏻
 DenNiz Chu ,https://www.google.com/maps/contrib/110521225125797303089/reviews?hl=zh-TW,5,False,7,好吃～極推！！
 Ian Yeh ,https://www.google.com/maps/contrib/100820657448931700079/reviews?hl=zh-TW,5,True,12,價格實惠，好吃
 頻 ,https://www.google.com/maps/contrib/111593762813682431260/reviews?hl=zh-TW,5,True,27,大滷麵推推，店員親切
 Yu ,https://www.google.com/maps/contrib/112595574182523210608/reviews?hl=zh-TW,5,False,6,"好便宜啊😂
餐點好好吃😋"
 游鎮晏 ,https://www.google.com/maps/contrib/109983600449716427836/reviews?hl=zh-TW,5,False,4,好吃推一個👍
 左孟民 ,https://www.google.com/maps/contrib/112407696409099909112/reviews?hl=zh-TW,5,True,43,海鮮湯麵100分！
 張敬皓 ,https://www.google.com/maps/contrib/115448547943637008731/reviews?hl=zh-TW,5,False,7,平價好吃的餐點
 sara wang ,https://www.google.com/maps/contrib/106696288490546897806/reviews?hl=zh-TW,5,False,7,價格合理，服務態度佳👍
 鈴木香 ,https://www.google.com/maps/contrib/102855218695790238811/reviews?hl=zh-TW,5,False,6,新鮮體驗，好吃
 劉亮呈 ,https://www.google.com/maps/contrib/117540381376617694088/reviews?hl=zh-TW,5,False,2,口水雞很好吃
 橘子 ,https://www.google.com/maps/contrib/105970589444341930753/reviews?hl=zh-TW,5,False,3,東西便宜好吃😋
 Elva Lu ,https://www.google.com/maps/contrib/107236848963446733195/reviews?hl=zh-TW,5,False,14,服務親切食物美味
 阿弟 ,https://www.google.com/maps/contrib/117147215827450592543/reviews?hl=zh-TW,5,False,7,蕃茄拌麵好吃
 簡少軍 ,https://www.google.com/maps/contrib/102730376548552596544/reviews?hl=zh-TW,5,False,7,口水雞好吃！
 SH Y ,https://www.google.com/maps/contrib/100469783121966998391/reviews?hl=zh-TW,5,False,3,十分推薦！
 阮傳堯 ,https://www.google.com/maps/contrib/115085166508797798854/reviews?hl=zh-TW,5,False,13,讚讚
 Yu Ju Liu ,https://www.google.com/maps/contrib/109545315279546561278/reviews?hl=zh-TW,5,False,9,泰式醬好吃
 Daisy Tsai ,https://www.google.com/maps/contrib/106805948069304202006/reviews?hl=zh-TW,5,False,1,食材新鮮值得回味
 Pei Yu Chueh ,https://www.google.com/maps/contrib/105074624143327949778/reviews?hl=zh-TW,5,False,5,店員親切耐心～
 林廷勳 ,https://www.google.com/maps/contrib/102648770420159518260/reviews?hl=zh-TW,5,False,6,衛生乾淨推薦
 盧姵伶 ,https://www.google.com/maps/contrib/117104665343339190250/reviews?hl=zh-TW,5,False,17,美味服務好
 Jian Feng Chen ,https://www.google.com/maps/contrib/113692187557075381385/reviews?hl=zh-TW,5,False,12,看起來不錯
 jasonliu1975 ,https://www.google.com/maps/contrib/105924744988790575504/reviews?hl=zh-TW,5,False,2,拌麵好吃
 Amary Lin ,https://www.google.com/maps/contrib/105855270124431358851/reviews?hl=zh-TW,5,False,13,打卡送飲料
