user_name,user_profile_url,rating,local_guide,comment_num,comment_text
 Winnie Yang ,https://www.google.com/maps/contrib/106411705666365715768/reviews?hl=zh-TW,5,True,237,"用餐環境寬敞、明亮
當天八人用餐安排入座圓桌
可以用手機掃描QRcode看菜單
點選菜名可以看到餐點示意圖片
正式點餐還是需要請店員幫忙
（希望之後也可以用手機點餐！）

講幾道印象比較深刻的餐點
1.黃咖哩軟殼蟹
整體味道很濃厚
旁邊附的麵包沾醬（蟹黃？）很好吃！
2.厚煎海鮮烘蛋
整體真的非常厚！
吃得到滿滿的料～
3.青木瓜排骨湯
這道很出乎意料之外的好喝
同桌友人一開始還為了湯品的選擇意見分歧
後來選了一個票數最少的😂
沒想到因為前幾道菜都偏重口味
最後來了一道清湯反而中和了口腔的味道
感覺很清爽又好喝👍

吃月亮蝦餅的時候朋友不小心發現一根毛髮
跟服務人員反應後
馬上撤掉剩下的蝦餅再重新出一份全新的給我們
處理態度加分～

用餐時間到了也是提醒可以先桌邊買單
但是沒有立刻趕我們走
最後還是超過了一點點才離開餐廳
感謝餐廳的服務人員給我們很棒的用餐體驗～"
 川頁貿 ,https://www.google.com/maps/contrib/100920792586545150361/reviews?hl=zh-TW,4,True,481,"環境優美，服務人員態度良好，用餐中後都會來詢問是否需要改善或協助的地方，燈光明亮，且在捷運站附近，交通方便

東西好吃，餐點用心，但價位真的不低，因為量不多，與價錢相比，會有些失望~~

軟殼蟹有一隻蟹+上濃郁的咖哩、滑蛋，配上麵包或白飯都能吃好幾碗，特別下飯，餐點很符合泰式，酸酸甜甜，微辣，易配飯，不知不覺就能吃下好幾碗。冠軍蝦餅，非常厚，但很好吃真材實料，就是價位~~建議不要配梅醬，吃起來只有甜味，單吃就好，搭醬會遮擋其風味。

甜點非常有特色，很香很好吃，泰式磚（馬卡龍+泰奶醬+鬆軟好吃麵包）與磨磨渣渣富含很多小時候的糖果點心，口感豐富，甜度適中（以甜點的角度來看），非常滿意

最不推薦，瀑布牛了，非常普通，下面是高麗菜絲和泰式湯汁，與上層牛肉完全沒有融合在一起，只要擺盤好看，甚是雷

以上個人經驗分享，供大家參考（以上餐點合起來約2200"
 Ming Hsuan ,https://www.google.com/maps/contrib/107259270833919158207/reviews?hl=zh-TW,4,True,73,"三個女生點了雙人套餐加生蝦跟沙爹串吃得很飽～～一個人大概750左右
這家的菜餚感覺有稍微配合台灣人口味改良，是老少咸宜的辣度跟酸度，如果有要調整辣度也可以跟服務生說

雙人套餐裡面的菜色也都是經典款：蝦醬青菜、月亮蝦餅、打拋豬或牛、椰漿咖喱、還有兩杯飲料跟甜點；
生蝦新鮮好吃搭配充滿蒜味的醬很讚可以點，沙爹串就還好，醬蠻特別但肉有點硬，普通普通
月亮蝦餅超厚，厚度感覺有超過一公分，表皮也很脆，好吃推推
泰式奶茶也蠻好喝～茶味很濃厚

最後服務生人非常的好，我們請他幫忙拍照他不只連拍好幾張，拍完直的再拍橫的、拍完橫的又拍直的，還會幫我們注意後面的路人有沒有經過，最重要的是拍了這麼多張一張ㄆㄧㄚˇ眼的照片都沒有！！！
感謝饗泰多😍"
 TW Lllin (M) ,https://www.google.com/maps/contrib/103562208186867013232/reviews?hl=zh-TW,4,True,224,"上菜速度快
飯可以續，只是飯盅感覺被摔的變形感覺🤣
沒有什麼保溫效果，添第二次時會覺得天冷了會有吃冷飯的感覺

份量偏小一點點感覺，四人點6道差不多
甜點摩摩渣渣另外加的布丁蠻好吃的
口味都蠻好的
蝦餅很厚，螃蟹的麵包也很酥！沾咖喱很好吃
當月壽星送了一塊泰奶蛋糕捲🍰🥰"
 梨柆 Lilla ,https://www.google.com/maps/contrib/107103949544432426729/reviews?hl=zh-TW,5,False,24,感覺是有根據台灣人口味調整的泰式料理，味道不會過重，這次點的，我個人喜歡軟殼蟹跟椒麻雞還有鳳梨炒飯，其他下次可能不一定會點，烤肉串份量比想像中少，環境氣氛都很棒，跟同行的人都吃得很愉快，還會回訪～
 Feng Chris ,https://www.google.com/maps/contrib/104652097495241766736/reviews?hl=zh-TW,5,True,116,整體不錯有4.5顆星水準，打拋豬偏甜，喜歡偏甜口味的必點，瀑布牛很不錯👍🏻，黃咖哩軟殼蟹個人覺得比較普通，奶茶香醇好喝，會再二刷來嘗試不同菜色。
 李晉銘 ,https://www.google.com/maps/contrib/114138912170078710025/reviews?hl=zh-TW,5,True,113,"這家不太好訂位，吃飯時間也是人滿為患，門口總是站滿了候位的人，由此可知他們餐點肯定是厲害的👍🏼

這次因為一起用餐的人不夠多🍴，只點了一些基本菜，像是帕能咖喱燉松阪、綠咖哩嫩炸豆腐、月亮蝦餅、爆爽辣炒牛、酸辣海鮮涼拌等，中間好像有一些比較少見的，像是帕能咖喱，他的特點好像是薑黃、椰奶、檸檬葉來做成咖喱，風味濃郁帶清爽，很不錯喔！😁
這家泰式料理有相對少見的牛肉，口味上，鮮嫩多汁的牛肉跟泰式也很好的結合，真的很不錯！👍🏼
他們有一道很特別的牛肉料理，叫做「東北淚之虎」，這是泰國東北的一道料理，將牛肉先烤再煎再配上特調醬汁，咬下去是肉汁四溢、醬香濃郁，老虎會因為吃不到而痛哭流涕，所以叫東北淚之虎😂這次用餐沒有點這道，上次吃過印象很深，下次人多一點的話再點來吃！😋

饗泰多有幾道比較特別的料理，讓人更深入的吃到泰國地方料理，喜歡泰式美食的朋友千萬別錯過嘍！😎"
 Connie Chou ,https://www.google.com/maps/contrib/105775963084827027787/reviews?hl=zh-TW,5,True,58,"用餐環境舒適,整體表現不錯,月亮蝦餅是吃過的店家最厚實的,大推,厚煎海鮮烘蛋的醬汁很開胃,瑪莎曼燉牛肉的牛肉好軟嫰,
菜色辣度可調整,飲料的表現也很優秀,很適合多人或家庭聚會,還會回訪,目前是心中(台灣)的第一名泰式餐廳"
 大毛 ,https://www.google.com/maps/contrib/112950655411303098426/reviews?hl=zh-TW,4,True,268,"精緻的泰式料理☺️
整體來說餐點美味，有些餐點甚至超乎預期的好吃，沾醬也十分特別，例如月亮蝦餅搭配紫蘇梅醬，烘蛋的檸檬辣醬口味特別，服務人員也超讚的，加水加的很勤（朋友怕辣喝了7杯水🤣）
辣度看品項有些可以調整，個人覺得冬蔭海鮮湯無法調整辣度有點可惜，還是喜歡偏甜的口味，有機會還是會再訪的🥳"
 Lilian Lu ,https://www.google.com/maps/contrib/113492672276135758523/reviews?hl=zh-TW,2,False,7,"-餐點普通，冰淇淋和泰奶還不錯，月亮蝦餅很厚但吃起也是普通，只有牛肉比較硬一點，其餘都不錯
-服務沒有親切感，感覺只是制式的詢問
尤其結帳的時候感覺像被趕一樣，不是很喜歡
-服務上的感受純屬個人感覺，但加上餐點也沒有特別厲害，所以不會二訪也不會推薦親朋好友去用餐"
