user_name,user_profile_url,rating,local_guide,comment_num,comment_text
 Aurora Lin ,https://www.google.com/maps/contrib/110044120179425567653/reviews?hl=zh-TW,5,True,57,"一進門就覺得環境很乾淨舒適
迎上來的是老闆娘親切又可愛的笑容
詳細的介紹著產品，仔細的清潔消毒環境。
唯一小遺憾是椅背太短了，不好久坐😆

今天點了
🥐鮭魚蘋果可頌
可頌很酥脆，自製鮪魚醬感覺不油膩，很好吃！旁邊有自製的松露薯泥。老闆娘還貼心提供手套❤️

🍰海鹽焦糖核桃乳酪蛋糕
乳酪口感不是紮實的那種，每一口都吃得到滿滿的核桃～旁邊附的一坨鮮奶油好香，也好吃

還有好多想嘗試的菜單，馬上儲值下去，
要再來二訪😊"
 Anson Chen ,https://www.google.com/maps/contrib/102447270965212351611/reviews?hl=zh-TW,5,False,5,偶然發現的小店，乾淨舒適，服務很親切，餐點也有詳細介紹，這次點了法式白醬菇菇雞腿/薯泥嫩蛋可頌/蘋果咖哩雞腿/花生醬手打牛肉排，都好吃耶，可頌好酥，下次再來品嘗甜點跟咖啡。
 YoYo ,https://www.google.com/maps/contrib/113347048463987165064/reviews?hl=zh-TW,5,True,72,"店面不大，散發出一種清新陽光☀️的氣氛
Logo也看起來超可愛很溫暖
＿＿＿＿＿＿＿＿＿＿＿＿
店員熱心的介紹，連蛋糕🍰的擺飾都十分注重
鮮奶油是自製的，點綴的葉子🍃也是自己栽種
搭配蛋糕一起食用，提升餐點的層次感
非常有趣🥰

-Oreo優格起司$110
意外的不甜膩，普通的好吃
優格的酸味蠻突出的，搭上Oreo意外的不錯
口感像是輕乳酪蛋糕跟奶酪的結合
綿密輕盈的感覺，很適合悠閒的下午

-法芙娜巧克力慕斯$110
店員有提醒這一款的巧克力🍫比例重，
口感比較紮實，
個人覺得名字叫作慕斯好像不太合適
接近生巧克力的感覺，濃郁厚實
法芙娜的香氣很濃！苦甜👍🏻

✨餐點口味雖然不到非常特別，
但用料感覺都很不錯，也很用心
整間店的氛圍讓人感到放鬆，適合離家近的人在這裡悠閒轉換心情

————————————
📍IG:dilu_fluf.food"
 Changz Annie ,https://www.google.com/maps/contrib/115825818320975833602/reviews?hl=zh-TW,5,True,56,"很棒的早午餐餐廳
搬來永春之後幾乎每天都會想來
發現這間店之後快把全品項吃一次了
以前不吃加工肉品，但試過一次這裡牛肉排之後就欲罷不能，真好吃…真讚…
漢堡皮很脆、花生醬很香、吐司口感很讚
咖哩跟白醬雞腿飯也好好吃😽
下次再來試試其他口味，還有每次都一直說要試的優格碗…但最後還是都會被牛肉排吸引
今天第一次試蛋糕，蠻香的不會太甜，上桌都是剛剛好的軟硬度
服務真的很好！很舒服的地方，還好住附近，隨時眼睛張開走過來只要2分鐘！"
 Chiang Hsiao Chien ,https://www.google.com/maps/contrib/110405546428882886005/reviews?hl=zh-TW,5,False,8,原本約了小情人出來下午茶，散步到咖啡店途中偶然經過這家看起來很溫馨漂亮的小店，臨時改變心意試試新口味，推門進來就看見一個漂亮又溫柔的老闆娘很親切的招呼我們，我們點了水果優格碗、手作牛肉漢堡、檸檬氣泡飲、日月潭紅玉鮮奶，每一個餐點嚐起來都能感受到老闆和老闆娘用心細心的準備，所以每一道都是精緻美味的好味道，溫柔細心的人連點的熱紅玉鮮奶都是考慮周到剛剛好的溫度，不會太熱，甜度也是不甜不膩的微甜，喜歡這家店，下次再帶老滷肉也來嚐嚐。
 Ai Liang (愛將) ,https://www.google.com/maps/contrib/112529786486757656508/reviews?hl=zh-TW,5,True,35,"第一次到訪🚗🚗
點了雙層手打牛肉起司漢堡
份量超足
肉排是吃得到牛肉口感的
而且沒有過多調味
單純的牛肉香
搭配黑麥麵包
咀嚼後麥香與牛肉香融合在一起
真的非常好吃☺️

飲料的海鹽焦糖拿鐵本來怕會太甜
但品嚐後是微甜焦糖香
帶點淡淡的海鹽鹹味
調味很mix很柔和

老闆娘親切有禮貌
（而且聲音很好聽🤣）
整體服務感受舒適
非常推薦👍👍👍👍"
 莊靜雯 ,https://www.google.com/maps/contrib/118079746840993661093/reviews?hl=zh-TW,5,True,22,"第一次跟男友來吃原本看店裡沒客人有點害怕一進去店員超級親切❤️
東西也好吃鮪魚的味道很夠可以選要大可頌夾一起鮪魚抹醬塗在裏面超搭😍
牛肉排是很健康的那種切開會碎沾花生醬真的幸福
可頌非常酥薯泥有加松露瓦斯味很濃甜點伯爵乳酪好吃👍🏻"
 劉百純 ,https://www.google.com/maps/contrib/100431995547372288135/reviews?hl=zh-TW,5,False,6,"首次來店用餐
服務人員笑容親切溫暖，一進門就有種舒服的氛圍
提供的菜單上即便已有清楚的圖片跟食材說明
仍會主動細心的了解客人需求，送上餐點也會逐一介紹，能夠感受店家對料理的認真與熱忱
（極推松露馬鈴薯泥）
整體用餐體驗很輕鬆舒適❤
餐點更是健康又好吃，離開時忍不住又帶上了3樣店家自製的甜點，連草莓都是自己栽種，所以連點綴的葉子也都可以食用！
會再回訪"
 林佳穎 ,https://www.google.com/maps/contrib/107992912123662733271/reviews?hl=zh-TW,5,False,25,"老闆老闆娘的服務熱情
餐點好吃蕃茄肉丸好吃瞬間掃盤
伯爵蛋糕香氣很足也很滑順感覺外帶回家冰冷凍當冰淇淋蛋糕也很合適😍😍😍
環境乾淨又衛生都會即時消毒讚讚"
 Peter Rabbit ,https://www.google.com/maps/contrib/111707592139679382657/reviews?hl=zh-TW,5,True,27,"男友點了法式白醬咕咕雞；
我的是鮪魚蘋果可頌、熱拿鐵。
信義區附近這樣的價格很可以！
咕咕雞的白醬不膩，很下飯～
我的鮪魚醬感覺有仔細料理，
跟外面鮪魚醬不一樣，好吃！
配沙拉的醋，很像法國菜前菜麵包沾取的橄欖油紅酒醋，質感很好
再來是我到每間咖啡廳必點的熱.拿.鐵.
帶有巧克力香氣很特別！牛奶溫度有抓好，不僅奶泡細與濃縮咖啡的混合也很細緻～
喝到好喝的拿鐵就滿足了"
