user_name,user_profile_url,rating,local_guide,comment_num,comment_text
 Eric Being ,https://www.google.com/maps/contrib/108060966692605524010/reviews?hl=zh-TW,5,True,40,"臺北吃過前二名的鹽酥雞！在信義區的價格不算貴，食材都能炸得香酥不油膩，店家提供的蒜片加上特製的胡椒鹽，讓整體的口感跟香味提升不少！
以往都要在現場排隊等很久，現在可以透過Line點餐再到現場付款取餐，方便許多！（另外要讚許的是店家預估取餐的時間都好精準！）"
 chen ken ,https://www.google.com/maps/contrib/113591652101920207469/reviews?hl=zh-TW,5,True,17,"好吃到飛起來的鹹酥雞yumyum
環境很乾淨
食物都是新鮮
價格很公道
是一間我最常點的鹹酥雞店
等待時間一般不會太久可以現場點或是加line線上點到時間再去拿就不用等方便啦！可惜只能現金支付。

必點：
魷魚
無骨鹹酥雞
甘梅地瓜

必能回味的地方！"
 oscar peng ,https://www.google.com/maps/contrib/106546807554697551902/reviews?hl=zh-TW,5,True,42,很好吃😋的鹹酥雞！還可以線上訂，再到現場拿，很方便！
 clio Kuo ,https://www.google.com/maps/contrib/103027707179955649786/reviews?hl=zh-TW,5,False,2,"兄弟愛吃鹽酥雞，
純正雞肉炸下去；
夜市民眾有口福，
吃完就會講義氣！

#背完沒有免費鹽酥雞喔！
🤣🤣🤣"
 葉人瑋 ,https://www.google.com/maps/contrib/110414673726344302569/reviews?hl=zh-TW,1,False,5,"這中卷真的很不ok,口感偏硬，中卷不新鮮"
 Neil Chen ,https://www.google.com/maps/contrib/104105232768938106876/reviews?hl=zh-TW,3,True,195,"2022.08.26更新
1.
付款方式為現金、街口支付。
可線上點餐。
旁邊有古早味飲料店可以買飲料。

2.
配料有洋蔥、九層塔跟蒜。
鹹酥雞跟魷魚放久沒有油耗位，但比較硬。"
 譚維中 ,https://www.google.com/maps/contrib/104361447902391194268/reviews?hl=zh-TW,3,True,76,雞排大塊，好吃，雞蛋豆腐偏油，覺得點雞排最划算！
 LIAO建晨 ,https://www.google.com/maps/contrib/100289772755471426779/reviews?hl=zh-TW,2,True,36,"雞排真的不優！
東西有少，裝袋的感覺是新人喔！剛看到有人拿錯喔！
我也有少東西"
 Yee ,https://www.google.com/maps/contrib/117669532791029061429/reviews?hl=zh-TW,2,True,127,"看到評價說是台北前三名的鹽酥雞
就乖乖等了半小時
結果吃的時候覺得滿普通的
不算是會讓人印象深刻的鹽酥雞耶
沒什麼調味
肉質也很一般

如果是特地來吃
還要等半小時到一小時
真的可以再三考慮一下～
絕對會有更好的選擇"
 詹勝凱 ,https://www.google.com/maps/contrib/112805211255331492245/reviews?hl=zh-TW,5,True,14,"酥，脆，香，口味相當優秀~!
可排在台北前三名的鹹酥雞!!

現在還可線上點餐再到場取餐~!!
非常方便~!!"
 Ygort Tsai ,https://www.google.com/maps/contrib/103387905076593522873/reviews?hl=zh-TW,5,True,810,黑輪很特別，台北很少有。炸功很不錯，食材處理的軟硬適中，蒜頭很嗆辣，喜歡重口味的可以嘗試一下。推薦：黑輪、糯米椒、豆皮。
 Cn Yu ,https://www.google.com/maps/contrib/100780830482012457546/reviews?hl=zh-TW,2,True,596,味道還可以，有給蒜片，但是東西份量少，無骨鹽酥雞味道不錯，可是肉蠻薄的一份又很少塊，CP值不高。還要等超久⋯排過一次就不會想要再排了。
