user_name,user_profile_url,rating,local_guide,comment_num,comment_text
 Allison Tsao ,https://www.google.com/maps/contrib/103105882702378596601/reviews?hl=zh-TW,4,True,74,"第一次到這種日式食堂用餐，感覺蠻特別的！菜色很多，大部分都是自助式的，有些則需要現點現做。因為第一次來，不清楚點餐方式，詢問服務人員，都很有耐心的跟我們介紹！

我們點了
📍鹽烤鮭魚
鮭魚配上旁邊附的白蘿蔔絲（很像蘿蔔泥），吃起來非常清爽，完全不油膩！
📍豬肉味噌湯
料很多，豬肉片很嫩，不過湯不夠熱！
📍白飯（中）
白飯好吃，女生點中的，份量應該就夠了！
📍涼拌菠菜
菠菜配上醬油和柴魚，很香，很爽口！
📍馬鈴薯沙拉
很大一坨馬鈴薯泥，味道很好！
📍和風茄子
茄子很大塊，味道很清爽，非常好吃！
📍炸漢堡排
太乾，裡面的肉較薄，有點可惜！
📍麻油雞飯
很香，料也多，很好吃！
📍味噌湯
📍涼拌秋葵

整體吃起來都覺得好吃，用餐環境也很舒服自在，不過價錢有點高，偶爾吃一次是可以的！吃完在到附近的大安森林公園走走消化！"
 Nicole Lai ,https://www.google.com/maps/contrib/102384322192336547584/reviews?hl=zh-TW,4,True,977,"自助式日料大眾食堂
現做玉子燒才70-80（有口味分別）
煎魚跟雞腿等也都是現煎
連蔬食都現炒
最重要是選用台東米非常專注食材
也大方提供無糖抹茶及冰塊冰水
不過某些客人素質很低
把環境弄髒或是餐盤丟著就走了
以至於師傅在離開職務休息之餘還要花時間清潔
真的覺得大家將心比心一點"
 張舜傑 ,https://www.google.com/maps/contrib/116695709447454890581/reviews?hl=zh-TW,5,True,464,連鎖日式食堂，價格中等，菜色選擇多元，炒物，炸物，冷盤，咖哩飯，烏龍麵，定食，白飯都有，也可做成定食，外帶另有便當，另外根據時令提供不同季節限定特色菜餚。內用提供冰水與抹茶可取用，不另收服務費，待需自行收拾桌面與用完餐將餐具放回返卻口。結帳可使用現金，信用卡或linepay。用餐可集點換餐或會員卡（期限一年）。
 胡惠珠 ,https://www.google.com/maps/contrib/101236507104113023033/reviews?hl=zh-TW,5,True,444,日式風格的快速、簡單、半自取的方式，符合現代都會快速的生活步調，米飯香Q好吃，餐點衛生、美味，小碟涼菜是炎炎夏日的開胃小品，馬鈴薯燉肉、煮鯖魚很下飯，炸物酥脆也是年輕人的喜愛，一餐一兩百元，實而不貴，可以吃得很舒適。
 WangHaHa王哈哈 ,https://www.google.com/maps/contrib/105114515837891334485/reviews?hl=zh-TW,3,True,183,"【連鎖的日式的價錢與體驗】

與家人來逛大安森林公園的時候看到覺得有趣便想來嘗試，不過整體來說不會是特別想回來吃的一間。

整體的體驗是相當良好（儘管店員感覺都有點不耐煩），在取餐方面都需要多問一下，因為招牌上有些東西跟現場的不太一樣。

蛋白質類的價錢非常貴，份量也相當精緻。

豆皮烏龍麵的豆皮甜得太搶戲，與以前在奈良吃過的差距甚遠。

炸物很多，而且幾乎都有副馬鈴薯，所以最後要吃飽不是難事，只是總覺得心裡不太滿足而已。"
 無段道楓 ,https://www.google.com/maps/contrib/108089191503389213461/reviews?hl=zh-TW,3,True,715,"多年前剛開張的初訪至今。
終於有機會再來體驗

店家店面給人很大的視覺感。但內用空間其實較像日式風格的狹小。
自助的取餐方式及路線，如同剛開幕那時的問題，初訪的客人總會先被路線搞糊塗。
另外，現在多了許多套餐的組合跟選擇。因此價位上讓人更加彈性。

口味上。還ok
米飯的口味不錯"
 無極 ,https://www.google.com/maps/contrib/113771532033258752068/reviews?hl=zh-TW,5,True,518,"是一間有賣烏龍麵的餐廳，菜色是日式風味自取方式。還有玉子燒現點現做。
優點方便迅速但性價比不優"
 Annie Chen ,https://www.google.com/maps/contrib/114524155501593648339/reviews?hl=zh-TW,4,True,289,"用餐體驗很不錯！
蠻多都是原型食物可以自己選蠻健康的
會再訪！"
 David Yeh ,https://www.google.com/maps/contrib/105618884576187625477/reviews?hl=zh-TW,3,True,103,"因個人比較喜歡這種自助式食堂的經營方式(想吃什麼就拿什麼),而且特別懷念大安森林食堂的白米飯(穀堡米)很Q好吃且粒粒分明,還有店內的豬肉味噌湯也不錯喝哦！今天(9/18)一時性起便搭公車過去解饞一下😁😁！
店內用餐環境與擺設跟之前一樣,沒有改變！因店內食材/桌椅擺設太多佔空間,所以取餐動線卻變窄了不方便!
今天為了犒賞自已,多點了幾道主食-有照燒雞腿排,鹽烤鯖魚,青葱玉子燒,關東煮(竹輪/花枝丸/黃金豆腐),冷豆腐(大),醋味裙帶菜/和風滷白菜/豬肉味增湯及白米飯(中)
✅照燒雞腿排-雞腿很軟嫩還有照燒醬汁淋在上面,若雞腿皮可以再酥脆點,應該會更好吃👍
✅鹽烤鯖魚-第一次送鯖魚上桌有點腥且沒香味,退回去重烤並告訴師父加一點醬油,結果香味就出來了-不錯吃！
✅青葱玉子燒-口味比較一般,沒有什麼特別,但也不難吃！
✅關東煮(竹輪/花枝丸/黃金豆腐),這三樣都很新鮮好吃-特別是花枝丸👍,惟一的缺點是關東煮的湯是溫溫的,沒有燙的好喝！
✅冷豆腐(大)及醋味裙帶菜-是開胃菜,調味料用得少比較清淡！
✅和風滷白菜-也是溫的,口味一般般,比不上現炒高麗菜好吃
✅豬肉味增湯-懷念的味噌味加點洋葱絲/馬玲薯丁及紅蘿蔔一起熬煮再加點肉片-湯濃香郁-好喝👌
最后,用完餐后要自已回收餐盤,再次給出評比:價格算實惠,食材也新鮮但是有些先煮好的熱食放在櫃台前給客人自取的菜是冷的,是惟一遺憾的地方😂😂！"
 New Chen ,https://www.google.com/maps/contrib/114258198259892572351/reviews?hl=zh-TW,3,True,438,"2020吃了烏龍麵覺得普通
這家店的優勢在於有時候肚子不是很餓時可以點不同的小菜來分

可以用LinePay
現在滿一百還可以折30
有附抹茶

烏龍麵份量還oK"
