user_name,user_profile_url,rating,local_guide,comment_num,comment_text
 Charles ,https://www.google.com/maps/contrib/113250246979892731747/reviews?hl=zh-TW,4,True,398,"四星可以魷魚羹

這次逛完建國花市就餓了，找了小辣椒魷魚羹，印象中和平東路那家吃過覺得都蠻不錯的，尤其辣椒很讚，這家也是有一定水平，但就是羹比較勾芡的濃稠，蠻看個人喜好的，得喜歡濃稠羹湯的會更喜歡吃這家。乾板條真不錯，醬汁很搭。小菜切了嘴邊肉跟粉腸都沒有什麼好挑剔的。

但回憶中好像和平東路店辣椒辣一點，羹再好吃一點的感覺，總之這家還是可以的😋"
 Jung Tsan Chang ,https://www.google.com/maps/contrib/115965115797981639351/reviews?hl=zh-TW,4,True,292,逛建國花市餓了可以過來吃，地點的關係價位偏高，口味偏向清淡，烏醋有個很怪的味道不喜歡。
 Wen ,https://www.google.com/maps/contrib/112358278511244591629/reviews?hl=zh-TW,3,True,821,位在建國花市斜對面的一間平價美食麵店，今天點了湯板條&陽春麵&嘴邊肉都很好吃，老闆態度親切，另外那位不知道是老闆娘還是工作伙伴，態度就……扣分了。
 Shen Hu ,https://www.google.com/maps/contrib/117859165550420834358/reviews?hl=zh-TW,1,False,4,貴一點就算了，綜合羹板條加大，天殺的給我變成綜合羹加飯，這老闆真是人才...。我吃了這家不止一次，受了這次罪以後拒吃..
 Aaron ,https://www.google.com/maps/contrib/115289360363911772544/reviews?hl=zh-TW,4,True,158,我點乾粄條和皮蛋，還不錯吃，有電視可以配
 Polly Lin (均錡) ,https://www.google.com/maps/contrib/114453784698292921666/reviews?hl=zh-TW,2,False,11,整碗羹麵內只有四塊又小又薄的魷魚，一碗還75元….有點傻眼😖
 Hendry Chen ,https://www.google.com/maps/contrib/104559021266928323836/reviews?hl=zh-TW,4,True,457,難得的板條魷魚羹，可佐辣椒醬、古早味烏醋增加風味。
 Judy Foster ,https://www.google.com/maps/contrib/112537822147572513564/reviews?hl=zh-TW,3,True,71,"*住址是建國南路二段3號，約位於建國南路及信義路口，鄰臺北市立圖書館，捷運大安森林站。
*店內設計擺設古樸，注重衛生。
*餐點獨具風味好吃，服務親切，會想要再度光顧。
*乾粄條$50。肉燥紅蔥頭很香，醬料鹹甜鹹甜拌粄條油鹹香恰到好處，粄條略軟爛，肉片對牙口不好略感吃力。
*綜合“火庚”湯加魚酥$70，含生魷魚兩片、粒魷魚3顆、魚酥好幾片，乾魚酥與泡湯變軟兩種各具風味。
*滷蛋+海帶$35，滷蛋Q彈、海帶普。醬料略鹹。"
 I-Wen Lin ,https://www.google.com/maps/contrib/116082086202961255222/reviews?hl=zh-TW,2,False,18,"夏天外帶米粉、冬粉羹
麵都沒有另外裝
全部直接放羹湯裡
到家後整晚爛掉…..
羹湯專賣店連最基本的sense都沒有"
 Danny Tsai ,https://www.google.com/maps/contrib/117797691936927265055/reviews?hl=zh-TW,4,True,163,"平價好吃
麵上面會給豬肉片不是只有淋滷肉
還不錯"
 ʀᴜɴɴiɴɢ éмɪʟʏ ,https://www.google.com/maps/contrib/114444968519223161425/reviews?hl=zh-TW,4,True,681,"綜合羮板條~板條很多但配料少了點
可能地段租金問題吧..
最愛的是辣椒..."
 咖啡 ,https://www.google.com/maps/contrib/114211814348613881936/reviews?hl=zh-TW,5,True,263,有很多種麵可選擇，好吃的平價小吃
 Mel ,https://www.google.com/maps/contrib/107525300162896724310/reviews?hl=zh-TW,1,True,239,上菜時手指插入碗內湯水的那種。
 PAPAC ,https://www.google.com/maps/contrib/116630506414103373601/reviews?hl=zh-TW,3,True,631,餐點很好吃，份量不多價位偏高，但以周邊物價來看算是不錯的一餐選擇
 簡光廷 ,https://www.google.com/maps/contrib/113712176811937026822/reviews?hl=zh-TW,1,False,14,可以不給星嗎？4塊小塊魷魚，笑了😄
 阿修羅 ,https://www.google.com/maps/contrib/105029202900819807010/reviews?hl=zh-TW,3,True,155,辣椒夠辣夠香，魷魚泡發程度也可以，味道還在，只是魷魚都是小碎塊。
 BoD Jau ,https://www.google.com/maps/contrib/103242461376543553159/reviews?hl=zh-TW,3,True,347,65元生魷魚羹飯，4片小長條魷魚，CP值很低
 陶澤明 ,https://www.google.com/maps/contrib/113276798193010784282/reviews?hl=zh-TW,3,False,5,今天吃的綜合羹飯，感覺不像綜合羹飯，不知道是不是某種羮已賣完了，感覺怪怪的!
 charles wu ,https://www.google.com/maps/contrib/110334687420874895567/reviews?hl=zh-TW,4,True,473,單點生魷魚湯還不錯偏甜係
 金陶 ,https://www.google.com/maps/contrib/117021514055689989717/reviews?hl=zh-TW,3,True,171,附近少數的小吃店，生魷魚米粉羹給過
 惡魔貓男 ,https://www.google.com/maps/contrib/111465858257575804878/reviews?hl=zh-TW,1,True,46,"騎樓營業問題我就不多講了

放在騎樓上的桌子（外桌）沒有醬料沒有紙巾
請你一個一個進裡面拿
進去拿就算了動線還超有問題全部撞在中間走道

餐點的部分除了魷魚羹很棒

滷肉飯...我跟你說肉燥就肉燥煮得像瓜子肉的味道是不行的你不要騙我讀書少
豬耳朵也不是滷過的就像水滾很久軟化上點油膏沒了
這個價位吃了很不開心"
 LINDA GU ,https://www.google.com/maps/contrib/115263930877280961715/reviews?hl=zh-TW,1,False,1,雖然沒有低消，但只買小菜+滷肉飯共$65外帶，店員會很驚訝的再三確認：啊！只有$65！？
 Yu Ho ,https://www.google.com/maps/contrib/100163046824556606386/reviews?hl=zh-TW,3,True,966,口味還行價位普通
 purinpurin moon ,https://www.google.com/maps/contrib/112436565880324840633/reviews?hl=zh-TW,4,True,653,"1、地址在大安區建國南路二段3號，捷運大安站走路五分鐘；本店在科技大樓附近。
2、我習慣點兩樣：乾板條、粒魷魚羹；口味偏重但好吃。
3、菜單上零零總總二三十樣東西可以選，不知為什麼我就只吃兩樣；偶而想吃重口味，這家算是交通方便還不錯。"
 bc a ,https://www.google.com/maps/contrib/104260679173616793675/reviews?hl=zh-TW,1,False,7,點了一顆蛋，蛋黃的缺席究竟是有超自然的力量在作祟，抑或是冥冥之中自有安排，且讓我們繼續看下去。
 honda HSU ,https://www.google.com/maps/contrib/101663210251767521142/reviews?hl=zh-TW,2,True,34,湯偏甜，而且量不是很多，還有溫度不太夠，吃起來溫溫的，第一次吃一碗魷魚羹飯，可以在3～5分多鐘吃完
 Nafi Gnoh ,https://www.google.com/maps/contrib/101198898085801859061/reviews?hl=zh-TW,1,False,4,"大碗生魷魚羹裡面只有4片魷魚
一份滷蛋的意思是半顆滷蛋"
 秀米 ,https://www.google.com/maps/contrib/107737648847800566304/reviews?hl=zh-TW,4,False,17,這家店有特別的辣椒醬和辣椒醬油很好吃，還不錯的一家店，重點是它的湯頭沒加味精。通常有加味精我吃完會口乾舌燥，這種店去一次就不會再去。
 Rosalind Lee ,https://www.google.com/maps/contrib/110046156252367351651/reviews?hl=zh-TW,1,True,693,料真的是很少，60元的純羹湯竟然只是一個小碗裝，根本坑人。而且湯頭死鹹根本沒辦法直接喝湯，絕對不會想去第二次，爛透了。
 吳若薇 ,https://www.google.com/maps/contrib/110437316140844398377/reviews?hl=zh-TW,1,False,4,魷魚給的有夠小氣，一碗魷魚羹湯給四塊小小的生魷魚這樣60元，生意雖然難做，但我看你們應該是不想做了，以後不會再買了
 Calvin “李家君” Li ,https://www.google.com/maps/contrib/107358041152571894720/reviews?hl=zh-TW,1,False,25,帶nima耳機，講了多少次不要油蔥還是放，態度差到爆，絕對不會再來
 Vince Huang ,https://www.google.com/maps/contrib/108628302583131614250/reviews?hl=zh-TW,1,False,13,料很少三分鐘可以吃完加料也很小氣臉很臭一個沒帶一個沒帶好口罩
 Mic Chan ,https://www.google.com/maps/contrib/110448938059157495850/reviews?hl=zh-TW,1,True,47,明明點的是生魷魚羹冬粉，結果還是發泡魷魚乾，而且只有小小三條要賣60元，未免太天價了吧。
 浩君陳 ,https://www.google.com/maps/contrib/110265024607635826559/reviews?hl=zh-TW,3,True,46,年輕女煮麵的工作人員臉臭到歪掉我屢次去都一樣。
 Matthew Sah ,https://www.google.com/maps/contrib/103715023550215636696/reviews?hl=zh-TW,1,True,128,"湯沒味道料很少份量很小不划算
最有味道是自己加的醋跟幾片九層塔"
 卓明泓 ,https://www.google.com/maps/contrib/114818230186228639444/reviews?hl=zh-TW,1,False,3,買大碗麵做錯成小碗的，重換一碗不用十秒就好了，看起來只加些豆牙菜麵量一樣，真是騙太大了
 陳裕仁 ,https://www.google.com/maps/contrib/113423242074452285274/reviews?hl=zh-TW,1,False,2,生魷魚羹麵料少的可憐，燙青菜燙的好像沒燙一樣，魯肉飯也有問題
 林胖 ,https://www.google.com/maps/contrib/105560646999728311065/reviews?hl=zh-TW,1,False,5,小吃店價位偏高，東西又少，我們又不是吃精緻料理
 Steven ,https://www.google.com/maps/contrib/105567161382782877845/reviews?hl=zh-TW,1,False,21,魷魚羹，外帶，裡面只有一片魷魚
 汪劭昌 ,https://www.google.com/maps/contrib/100844393091101474821/reviews?hl=zh-TW,1,False,4,態度超差魷魚羹60給五片小塊的有夠沒誠意
 Lina Lina ,https://www.google.com/maps/contrib/108199683309063851115/reviews?hl=zh-TW,4,True,295,"小辣椒魷魚羹和乾冬粉
很有古早味的味道
乾冬粉拌醬濃郁
小菜好吃"
 Paul Klebert ,https://www.google.com/maps/contrib/106870239450469945798/reviews?hl=zh-TW,5,False,27,"食物不貴也很好吃，再加老闆很客氣
也有素的"
 張贊明 ,https://www.google.com/maps/contrib/117502163477064458506/reviews?hl=zh-TW,5,False,7,上班族的傳統料理、信義區這樣的店不容易。
 Johnny Wu ,https://www.google.com/maps/contrib/108161214101178402611/reviews?hl=zh-TW,3,False,4,服務粗心，有時拿回家會發現少給料或給錯東西，要多次叮嚀
 張永隆 ,https://www.google.com/maps/contrib/117968999630464678470/reviews?hl=zh-TW,4,False,11,常常去吃是一個不錯的小吃店價格公道
 余昌明 ,https://www.google.com/maps/contrib/105430141431572097337/reviews?hl=zh-TW,3,True,4,東西好吃..不過訂價高份量少。
