user_name,user_profile_url,rating,local_guide,comment_num,comment_text
 Carrie Tsai ,https://www.google.com/maps/contrib/109757677121009257455/reviews?hl=zh-TW,3,True,118,因為不吃牛，這次都點豬肉，豬肉品質很好，沒有腥味、蛤蜊也很肥美。但菜盤很弱…昆布湯頭也很普通。就性價比而言偏低，這樣吃完加一成近$1500
 T JH ,https://www.google.com/maps/contrib/105885571629201316979/reviews?hl=zh-TW,3,True,52,"價格反應內容物來說有點超過，肉跟湯都很美味，但是想吃飽的話這個價格會期待更多一點，最便宜的中規中矩的一鍋豬肉吃下來五百左右，餐後有招待一碗甜點，店內環境也不錯，服務滿積極主動，可能比較適合大家庭聚餐

但不知道是不是因為突然變天或天氣太冷，整個魚缸的滿滿的草蝦全都翻肚在垂死邊緣有點嚇人呀😅"
 艾莉卡 ,https://www.google.com/maps/contrib/102062416914965751105/reviews?hl=zh-TW,5,True,145,"心目中前三名的火鍋👍🏻🏆
百吃不膩哈哈😋❤️
肉質、新鮮蔬菜(玉米是重點)、醬料、甜品全部到位👍🏻大推羊肉👍🏻
海鮮也很新鮮～蛤蜊真的厲害了～
覺得這間分店的氣氛比較好比較氣派哈哈❤️
私心推薦信義店👍🏻

想看更多美食歡迎追蹤ig🔍艾莉卡🎩"
 布丁Bridget ,https://www.google.com/maps/contrib/116173861008843414324/reviews?hl=zh-TW,2,True,462,"下午時段去用餐，燈光昏暗，菜盤量少，魚肉品質也一般而且還沒切好。
沒什麼服務還要收服務費，麥茶是冷的。
覺得被貴到。"
 Jei Lin ,https://www.google.com/maps/contrib/107598322371975849312/reviews?hl=zh-TW,5,True,314,"全家最愛的涮涮鍋，沒有之一。上選牛怎麼可以這麼的美味。
今天換個口味，點了綜合海鮮，每一樣都新鮮。"
 蓋瑞大叔（Gary） ,https://www.google.com/maps/contrib/117861742143386485204/reviews?hl=zh-TW,4,True,268,"牛肉是強項好吃也是餐廳主打
海鮮也好吃有些比較高級的食材
廁所ok
服務人員親切

符合大安區的水準

但是菜盤普普還可以再加強"
 許嫚容 ,https://www.google.com/maps/contrib/118023371454575369001/reviews?hl=zh-TW,4,True,96,"餐點都很好吃特調醬料也不錯
最後還有甜湯
但以價位來說份量偏少
很有可能會吃不飽"
 Bo ,https://www.google.com/maps/contrib/104852414793678490884/reviews?hl=zh-TW,5,False,16,"服務態度親切，茶杯補的很勤
上菜速度也很快，食材新鮮好吃
都有一定的水準
有時間會再回訪"
 Han ,https://www.google.com/maps/contrib/110803489977641879430/reviews?hl=zh-TW,4,True,141,"到訪多次，中規中矩
火鍋較清爽、肉類好吃"
 李澄 ,https://www.google.com/maps/contrib/111657419886455670363/reviews?hl=zh-TW,2,False,7,價位太高、肉質不錯但份量小、菜盤寒酸、湯底就是普通昆布。這種品質我直接吃錢都，這個價位有很多吃到飽可以選擇，偶然路過進去吃但再也不會光顧ㄌ
 謝小胖 ,https://www.google.com/maps/contrib/102106113764912200291/reviews?hl=zh-TW,1,False,13,"我只能說要不是女店員服務還不算差，很正常不然連一顆星都不想留
不知道禁帶外食，女店員輕聲告知，我跟我老婆想說好那放在旁邊不喝等下收下去

結果男店員一上來再講一次就算了那口氣，我差點以為你保安大隊叫我們旁邊蹲好，傻爆眼
最後一樓每桌都問一遍需要加湯嗎？就我們略過是？
怎麼一樣都吃火鍋我是多要一塊肉還是怎樣奧到你了？

高高瘦瘦比較年輕的那個男生，你到底是有什麼問題？我是曾經開車撞過你還是外食得罪你？"
