user_name,user_profile_url,rating,local_guide,comment_num,comment_text
 Wu ,https://www.google.com/maps/contrib/101430087066856387448/reviews?hl=zh-TW,2,True,99,"價位不低，餐點有點可惜
炒飯/沒什麼味道又帶有點乾
牛肉卷餅/味道很不錯配上蔥的味道一鼓作氣的衝到鼻子上
紅油抄手/份量算多，但確實沒什麼特色

不過值得一提有為服務人員年紀比較大一點，充滿熱情及親切。
如果有五顆星服務品質，值得得到五顆星"
 Paulmalex ,https://www.google.com/maps/contrib/113862494650880426110/reviews?hl=zh-TW,4,True,153,"信義路上過了捷安特的朱記信義店，裝潢比傳統的朱記現代，沒看到名字絕對不會想到是「朱記」。有一、二兩層，用餐區寬敞，天花板很高，座位擺放的距離也很充裕，是Omicron流行以來，第一個讓我願意走進去用餐的室內餐廳。雖然有2、3位大嬸服務員，但是桌上的掃碼點餐更方便。小菜茶水在最後面，客人自己取用。小菜都是冰的。青菜烤麩味道都不錯。
看起來餐點應該多數都是冷凍再現場加工而已的,因為點個木須肉超刀削麵，問他們可不可以不要放肉絲，服務員告知肉絲是已經放在裡面一起的，沒辦法。
強烈不推薦這道餐點，因為吃起來完全沒方鹽的感覺。刀削麵並不是真的刀削那樣的中間厚兩端薄的麵，而是整條很厚很寬的麵條。完全沒有味道，吃的時候我不得不把另外點的燙高麗菜加進去增加味道。雖然木需炒刀削麵已經是高麗菜炒的了。
半筋半肉紅燒牛肉麵用的牛肉肉質還可以，但是肉是切片的，感覺不像一般吃牛肉麵裡的一塊塊的牛肉那麼有感。
燙青菜的高麗菜不錯，看起來很乾淨，吃起來有味道。"
 Chen Jo ,https://www.google.com/maps/contrib/101960801232407074556/reviews?hl=zh-TW,4,True,723,"簡單基本的菜色，居然能迎🈴️那麼多的人客口味非常令人訝異！
吃、口味，都很主觀，但穿流不息就應有其特色，只是口感不是特別細緻的我，感受不出差異！"
 Wan-Jin Luo ,https://www.google.com/maps/contrib/108882402182956519692/reviews?hl=zh-TW,4,True,124,"鮮蝦餛飩裡頭是小蝦仁，皮薄滑嫩
蔥油餅煎得酥脆，如果有多一點胡椒更好
環境乾淨，座位寬敞，週末下午時間客人也絡繹不絕"
 Wes Kuo ,https://www.google.com/maps/contrib/116242722925363228025/reviews?hl=zh-TW,4,True,204,用餐環境好，餐點不錯這個地點/這樣的裝潢/這樣的價位。我覺得很不錯，算是CP值好的。但是酸辣湯的豬肉絲有點腥味，如果能注意到那就更好了
 Liao Carlson ,https://www.google.com/maps/contrib/116406448187732692152/reviews?hl=zh-TW,2,True,19,"小籠包是中央廚房品質，冷凍回蒸給客人。內餡豬肉有明顯的臭味。
完全沒有以前仁愛路的品質。送餐一共送錯三次，放我們桌上，然後再拿去給其他客人。"
 君君 ,https://www.google.com/maps/contrib/107921140562640631958/reviews?hl=zh-TW,5,True,217,餐點好吃，價格不貴，這家“朱記”的用餐坐位比較寬敞舒適，還會再來。
 MT ,https://www.google.com/maps/contrib/116043119821120513767/reviews?hl=zh-TW,3,True,153,"第一次吃
店內環境乾淨舒適
服務人員態度不錯

食物真的普普
酸辣湯偏鹹且不酸不辣
花素餡餅第一口咬下去有點油耗味
不過料很多
小菜雲耳也不是很好吃
味道弄的有些怪
蔥油餅中規中矩

鍋貼外皮不酥脆
以這個價錢偏貴"
 Wen Chao ,https://www.google.com/maps/contrib/111504077557623669261/reviews?hl=zh-TW,1,False,1,"·酸辣湯送來，內有一大塊未化開的太白粉。
·點了蒸餃，送來時問服務人員是否有鎮江醋？第一次回應：待會。結果送來薑絲，再請服務人員送鎮江醋或白醋時，服務人員才說：我們只有桌上的烏醋，没有其他的醋。口氣不太耐煩。覺得服務品質有待改善，口味也不如以前在仁愛路了，很可惜。"
 宋LI黎CHANG昌 ,https://www.google.com/maps/contrib/109455920663765321012/reviews?hl=zh-TW,3,True,485,"還是懷念以前仁愛路上的美味，小菜種類變少了，餐點品項似乎沒以前多。裝潢在天花板的直接燈源照射在身上，身體感受不是很舒服。
小米粥餡餅小籠包還不錯"
 Bernice Lin ,https://www.google.com/maps/contrib/117214782914934522415/reviews?hl=zh-TW,2,True,225,"今天點了一碗排骨湯麵，炸排骨很好吃，麵的部分很可惜，刀削麵不是真的刀削，有點失望…很懷念以前在老店吃到的真刀削🥲
---------------------------
相隔半年，又來了一次，今天換點紅燒牛肉麵，這次刀削麵有進步了，比上次的機器麵條好一點，但仍舊不是真刀削，沒辦法給更好的評價是因為牛肉麵的肉實在是硬的難以接受，一碗單價210，不覺得有點對不起消費者嗎🥲"
 Anna Chien ,https://www.google.com/maps/contrib/117606731677487169719/reviews?hl=zh-TW,5,True,913,"品質維持得不錯。

▲餡餅：吃起來新鮮，肉汁很多。
▲酸辣湯：口味不錯，不會很辣，料多，缺點是肉有點柴。

支援感應支付。
可用載具。"
 Joyce Chen ,https://www.google.com/maps/contrib/106162610716106861058/reviews?hl=zh-TW,2,True,178,"曾在仁愛路上古色古香的舊址，吃到美味食物起，朱記在心中存在著美好。
數年後看到它搬來師大附中的信義路，很現代感的裝潢。
剛好有機會吃，卻充滿失望，曾經喜愛的木須炒麵變得難吃，食物無整體性、豬腥味重、炒蛋整團、木耳&高麗菜無炒鍋香氣，純粹炒熟；唯一欣慰的是刀削麵口感不錯。

這餐最好的：
1.辣油：有辣香、提美食味
2.牛肉餡餅：不變的美味

花素蒸餃，表現中規中矩"
