user_name,user_profile_url,rating,local_guide,comment_num,comment_text
 高愛莉絲（QQ） ,https://www.google.com/maps/contrib/116603368196647819524/reviews?hl=zh-TW,3,True,62,"用餐人數總共5人，因此點大鍋（7000元）、一人附一份麵線、同時單點一罐干貝醬（500元）
害怕中藥湯味道的人可能沒辦法接受的味道。首先服務人員建議先喝三碗湯之後，再開始進食。我自己很愛喝湯也不排除中藥味，所以順利的喝完。
湯喝完後就已經七分飽，接著吃一人一份青菜（100元），有高麗菜、苦瓜跟青江菜、基本上都是清燙爽脆口感、沾蒜頭醬油跟干貝醬比較容易入口。
最後吃麵線時幾乎吃不下了很可惜。
食物都是屬於吃食材的原味、沒有網路傳說又哭又笑還外加吐光光，一切正常。
可能每天喝酒的酒鬼對酒精的耐受力還是很高的。
最後結帳一人1780元，稱不上好吃也絕不是難吃，以這個價位來說我可能想選擇其他餐廳，養生湯就在家請媽媽煮就好了😂"
 林姵君Lucy ,https://www.google.com/maps/contrib/117620999205702024600/reviews?hl=zh-TW,4,True,582,來喝傳說中會說話的湯，算是特別的體驗啦！但食物稱不上好喝或好吃，價錢也蠻高的（7000元/鍋）。
 Tinny ,https://www.google.com/maps/contrib/116729060407567214284/reviews?hl=zh-TW,5,True,138,湯會隨季節微調中藥配方，即使夏天喝也不燥熱，反而更好入口。堅持先喝三碗湯再吃肉、蔬菜與麵線，蔬菜冰鎮過，冰冰甜甜又脆又好吃～
 痴吃人 ,https://www.google.com/maps/contrib/108212707973880742567/reviews?hl=zh-TW,3,True,632,"真的好貴的湯
一碟XO醬也要$100🤢
有體驗過就好"
 W Maggie ,https://www.google.com/maps/contrib/103380312668344822374/reviews?hl=zh-TW,4,True,259,每喝必醉的湯，但喝完真的很舒服～青菜跟麵線也好吃
 Alonzo Chen ,https://www.google.com/maps/contrib/114295754887298307816/reviews?hl=zh-TW,4,True,109,"喝湯很飽，酒味濃郁
品嚐完沒有哭笑問題"
 Locusss ,https://www.google.com/maps/contrib/100478478658234318131/reviews?hl=zh-TW,1,False,8,"難吃到我要留評論
價錢很貴！湯我真的覺得很一般
菜真的難吃到不行！
明明可以2個人吃一碟菜
但我們8個人幫我們上8碟菜？！
服務生硬要我們買兩罐XO醬？？
然後來的時候，已經分好，只看到空罐？
什麼操作？不明白？
真的把我的心底話說出來！
湯可能有功效，但服務態度要改一下"
 May Hsieh ,https://www.google.com/maps/contrib/116466488172449932261/reviews?hl=zh-TW,4,False,57,運鈍根湯在新店車子路起家至今.也有在台北安和、信義、陽明山等分店.20多年來一直在新店本店用餐.今是首次到信義店、食材一樣、其服務品質+裝璜等也很不錯喔!
 Marcie Hsieh ,https://www.google.com/maps/contrib/111672013440903072965/reviews?hl=zh-TW,5,False,22,喝了十年了，全方位服務都很好，過年還會特地跑去陽明山喝，因為初二只有他們有開
 好日子 ,https://www.google.com/maps/contrib/111293440922928249489/reviews?hl=zh-TW,4,True,91,多年以來品質依然維持高檔，想滋養自己、照料親友身心的首選。
 小米 ,https://www.google.com/maps/contrib/111965268327019173688/reviews?hl=zh-TW,5,True,34,補湯很好喝，酒味香醇
 Lena Huang ,https://www.google.com/maps/contrib/103130820156729501771/reviews?hl=zh-TW,5,True,79,冷冷的天喝這個湯剛剛好，喝完隔天身體變好輕盈，干貝醬真的好好吃～
 D. S. ,https://www.google.com/maps/contrib/101873334919209303309/reviews?hl=zh-TW,4,True,166,"不用期待只吃一次就能改善身體，補身絕對不是一次就有很大的成效
米酒熬煮，湯頭味道好
冰鎮蔬菜，也很鮮甜

吃完，絕對要搭車離開
勿自駕！！"
 nicole chiao ,https://www.google.com/maps/contrib/110060662842141730392/reviews?hl=zh-TW,5,False,10,"初訪信義店
裝潢很舒適
網路有點差🤣所以可以專心吃飯
空腹喝兩碗湯
已經輕飄飄
麵線煮的恰到好
口感很不錯
青菜超微太冰了一點
吃完不到一週已經想再回去用餐
會不會太補流鼻血😅"
 ying chieh ,https://www.google.com/maps/contrib/107678949336458063526/reviews?hl=zh-TW,5,True,113,"真的是會講話的湯，有層次，要慢慢喝，喝完會微醺，麵線還蠻好吃的，大推他們的干貝辣醬，直接買了一罐～
環境方面有一樓跟B1，全部坐位都是半開放式有隔間，很舒適乾淨，裝潢很典雅。"
