user_name,user_profile_url,rating,local_guide,comment_num,comment_text
 Seven Chen ,https://www.google.com/maps/contrib/115218723948318052480/reviews?hl=zh-TW,5,True,208,空間寬敞服務熱情，食材新鮮，下午也有營業，非常適合飲食時間不一樣的食客
 Hsueh Wei Wang ,https://www.google.com/maps/contrib/101659473335066129202/reviews?hl=zh-TW,5,False,12,"來這家分店買了2次都很滿意
1.店員親切專業
2.肉給多.菜給多"
 Rachel Green ,https://www.google.com/maps/contrib/104232322846451415365/reviews?hl=zh-TW,5,True,194,店員都超級熱心可愛~生菜超級多超滿足!!!
 MAGGIE HUANG ,https://www.google.com/maps/contrib/106199635238512227302/reviews?hl=zh-TW,1,False,5,"晚班的時間，標示和實際關店時間一直不符。員工態度和群體反應也不是很恰當，讓客戶感覺非常不舒服，尤其對內用的客人來講，為何要配合員工想提早打祥的行為，一直製造要關門了要收工了的氛圍，多次前往，現場的客人都感受的到，是非常差的經營管理門市

此舉跟庇護工場ㄧ事並無關聯⋯請別混淆視聽⋯⋯拿庇護員工當擋箭牌⋯⋯是非常羞恥的行為！更何況此行為模式並非受庇護員工特質⋯⋯傻眼"
 chloe Tsai ,https://www.google.com/maps/contrib/102153936378744527894/reviews?hl=zh-TW,5,False,11,很好吃😋很推薦！有路過可以來吃喔！
 楊子平 ,https://www.google.com/maps/contrib/109740906960336973223/reviews?hl=zh-TW,5,False,2,"今天晚班老鳥男店員，厚切嫩牛沒放滿一湯匙，用料真的很省，如果有人想去吃建議給其他員工做。
對菜鳥同事態度沒有很好，感覺像是老闆，不然就是個好員工。"
 Faith Faustus ,https://www.google.com/maps/contrib/105663136362066739805/reviews?hl=zh-TW,1,False,2,"平日大概10:30的時候來Subway點餐的。
裡面有三位員工以及加我三位正在點餐的客人。
但是看似只有一位員工有幫人點餐的實力，因為另一位坐在餐桌上拆了5分鐘的subway紙巾，另外一位不知道在廚房跟前台的交界在幹嘛。
光是三位客人點餐就花了至少10分鐘。（讓我打完這一篇回顧）
總而言之是很糟糕的用餐體驗，但是你們是這附近唯一一間Subway，請你們加強你們的員工訓練，謝謝"
 方敬綸 ,https://www.google.com/maps/contrib/104239141559370694269/reviews?hl=zh-TW,5,True,35,"吃過很多加Subway,這是第一來評分。仁愛延吉店和庇護工場合作，店內員工對待合作的同仁都很有耐心又親切，夥伴也很認真努力工作。這樣的店家希望左鄰右舍都要努力支持，大家在排隊的時候也記得要多一點耐心給他們多一點時間"
 黎-萬鑫 ,https://www.google.com/maps/contrib/117670999045942422024/reviews?hl=zh-TW,4,True,91,好吃，用餐區乾淨，可惜門口鈴聲很吵有人在排隊時門鈴就響不停，客製化的自由度比它店低，份量比其他店少一點。
 Yakult Tea ,https://www.google.com/maps/contrib/102614155621940561390/reviews?hl=zh-TW,4,True,13,環境整潔、服務優良、薯餅很小🙂🙂
 張瑋庭 ,https://www.google.com/maps/contrib/108545833186313587148/reviews?hl=zh-TW,5,True,30,"Ubereats點不到的好吃三明治

連餅乾都比其他家好吃到底是怎麼回事🙀

特別說明好吃的點是麵包會烤到有點酥脆蔬菜也比較新鮮醬有時候會手滑加太多而已"
 Gabriel Woody ,https://www.google.com/maps/contrib/101491024232587232394/reviews?hl=zh-TW,5,False,2,常常來這家吃，聽說又要漲價了，現在有買堡送套餐的限時限量活動，真是太佛心了，棒棒噠～
 廖 Liao以諾 Enoch ,https://www.google.com/maps/contrib/110289406367791494165/reviews?hl=zh-TW,1,True,1,"忘了戴口罩就不給點餐….
你們是政府機關嗎？
內用就不用戴口罩？
病毒還真會轉彎啊！比人類還有智慧！"
 play lai ,https://www.google.com/maps/contrib/102395196855828891698/reviews?hl=zh-TW,1,False,6,7:30就關門是怎樣之前8點現在7點半的下次你直接改6點，每次去都沒開，白跑
 Ting Yang ,https://www.google.com/maps/contrib/106264324269630664920/reviews?hl=zh-TW,5,True,131,這家subway也是台北市庇護工場的合作店家，請大家多支持
 晉瑞鴻 ,https://www.google.com/maps/contrib/105456425291313035162/reviews?hl=zh-TW,5,True,169,覺得店家很用心，與社福團體合作翻轉障礙，看店員們充滿熱情的招呼聲和一字不漏的重複詢問餐點內容，充滿溫暖的店面，舒服乾淨又整齊光亮，是目前去過最棒的subway，希望大家也能光顧時給他們鼓勵和耐心
 小琳 ,https://www.google.com/maps/contrib/107828846370292370134/reviews?hl=zh-TW,5,True,100,"很棒的店家！
支持身心障礙者就業！
店員也非常親切，
五倍券可以200元抵300元喔！
非常划算～"
 Sarra Yu-Wei Li ,https://www.google.com/maps/contrib/103273629746824978170/reviews?hl=zh-TW,1,False,1,"有位年紀較長的女店員每次料都放得很少
不滿一湯匙
跟她說了還是一樣其他的店員都沒這個問題"
 Tseng Tien ,https://www.google.com/maps/contrib/105127719336862897343/reviews?hl=zh-TW,5,True,18,服務人員親切又很細心，東西好吃。
 J radeel ,https://www.google.com/maps/contrib/110605842427449312078/reviews?hl=zh-TW,5,True,537,吃過約8家賽百味覺得這家真的是第一名店員服務、環境、包裝、給的量都是棒沒啥好挑剔的
