user_name,user_profile_url,rating,local_guide,comment_num,comment_text
 tony M ,https://www.google.com/maps/contrib/107408121168901389236/reviews?hl=zh-TW,4,True,386,吐司用半個紙盒裝，好看好拿乾淨也不錯吃，炸薯條也行，咖啡不怎麼樣！但類似早餐相比價位偏高。另內外場區隔的不明顯，外場很乾淨，內場就凌亂擺設，一進門剛好內外場對比，感覺就差了些！
 Yaya H ,https://www.google.com/maps/contrib/101976972190465284581/reviews?hl=zh-TW,5,True,30,"店員態度親切店面雖小環境乾淨舒適
點了墨西哥肉醬和手打牛肉漢堡排吐司
其中一份升級套餐套餐的紅茶不會太甜很清爽
吐司法式鬆軟熱壓酥脆偏愛法式的口感～
墨西哥肉醬微辣夠味用料實在"
 陳惠琳 ,https://www.google.com/maps/contrib/111229863859680863904/reviews?hl=zh-TW,5,True,58,"照燒舒肥雞腿板烤吐司NT.120
單價位稍高，但是吐司品質好
吃起來甜甜的感覺是牛奶吐司
芥末美乃滋是店家自調的好吃

飲料甜度可以做調整
有「無糖」的選擇
點一杯喝了才發現忘記問🥲"
 Vera Nip ,https://www.google.com/maps/contrib/114033681260947895836/reviews?hl=zh-TW,5,True,202,"溫馨的小店看的出來老闆的用心☺️
牛肉和黑胡椒鮪魚吐司很美味好吃❤️
但因為懷孕初期反胃嚴重吐司沒吃完是因為害喜的關係吃不太下😭不是不好吃喔！希望老闆不要誤會🥲
薯條炸的酥脆美味😋
熱奶茶也好喝但我喝兩口包包拿著奶茶又忘了帶走🥹
有在附近會二訪的祝老闆生意興隆💗"
 Fang Momo ,https://www.google.com/maps/contrib/112942973463499388614/reviews?hl=zh-TW,5,True,77,"雖然外觀看似平凡
但餐點意外的好吃😋
不提供吸管
飲料需撕開封膜直接喝
很有趣的店
其實我想的是可以直接不需封膜
總而言之很可愛又好吃"
 Joline Peng ,https://www.google.com/maps/contrib/101937501403996286864/reviews?hl=zh-TW,5,True,27,"感謝貴店賜我美食和好心情
早午餐遇到
👉🏻好吃的食物
👉🏻很棒的服務
👉🏻舒適的環境
心情很好內～😍"
 Zhang ,https://www.google.com/maps/contrib/110457739084587389268/reviews?hl=zh-TW,5,True,34,"來世貿一館搜尋到這家評分很高就來吃看看
內用用qrcode點餐但沒看清楚點成套餐了😂沒關係薯條很好吃只是這樣就太飽了😌（照片是薯條還沒送上來時拍的）
雞胸肉厚度很加分我沒加美乃滋不過融化的起司跟法式吐司本身的濕軟讓整體吃起來不會因為沒加醬而太乾也不會像在別家吃到的很油Yoyo的法式吐司吃起來不膩好入口稍稍美中不足的是似乎沒有奶香味（可能個人對法式吐司比較要求🤣"
 WEIYING CHEN ,https://www.google.com/maps/contrib/112126208911803421455/reviews?hl=zh-TW,4,True,21,對早餐來說價格偏高，但環境乾淨，老闆親切。餐點手拿方便食用不弄髒手也不錯吃。飲料就普通了。
 陳惠娟CHEN HUI JYUAN ,https://www.google.com/maps/contrib/101611284245937256491/reviews?hl=zh-TW,5,True,266,"服務態度佳，雖然有點小貴，但吐司真的很好吃~~~
開到晚上，選擇多樣👍"
 Hsieh Yao ,https://www.google.com/maps/contrib/110878154385628013370/reviews?hl=zh-TW,5,True,83,"已經N訪到數不清次
最常點舒肥雞胸肉飯盒或手打牛漢堡排吐司👍🏻
飯盒真的超級營養！
肉量大方加上一顆蛋有滿滿的蛋白質
還有新鮮的青菜、玉米筍和菇類
適合午餐不想吃太油膩的人～
重點是價格也很親民，在大安區有這樣的價格真的很佛！

手打牛漢堡排吐司也很推，
配上店家特製莎莎醬真的很好吃！"
 Yuching Hsu ,https://www.google.com/maps/contrib/104153368498520478067/reviews?hl=zh-TW,5,False,40,中午經過在門口看，老闆蠻親切招呼拿菜單，進去店裡位子少但蠻乾淨的，點了飯盒，有種吃鐵板燒的感覺，還蠻好吃的，下次可以試試看吐司～謝謝
 Jornny Huang ,https://www.google.com/maps/contrib/105683142675482913860/reviews?hl=zh-TW,5,False,16,"照燒雞腿實在太可口美味啦😋搭配芥末醬跟洋蔥爽口不膩
鮮奶茶的古早味好暖心❤️"
 C N ,https://www.google.com/maps/contrib/106030772949718999143/reviews?hl=zh-TW,5,False,14,食物好吃，大推芋泥起司，甜度適中，甜鹹有層次；謝謝親切的帥哥老闆，遞紙筆和貼紙幫忙安撫早上硬要喝冰飲料的番孩子，謝謝您～
 Winnie Yang ,https://www.google.com/maps/contrib/106411705666365715768/reviews?hl=zh-TW,5,True,237,"沒吃過吐司
但聽身邊吃過的朋友說很好吃
最近推出健康餐盒
吃過雞腿、漢堡肉、梅花豬口味
都很好吃
配菜也很豐富
曾經吃過水蓮、半熟蛋、泡菜、地瓜（南瓜）、杏包菇、玉米筍
一個便當100元以健康餐盒的價位來說也可以接受
會繼續回購～"
 曾愉婷 ,https://www.google.com/maps/contrib/116209985734850306116/reviews?hl=zh-TW,5,True,9,"家附近新開的三明治店～
當天點了手打牛肉，墨西哥肉醬和松露菇菇。回家和家人分著吃，切開三明治後驚為天人，每個都是真材實料，好吃又大份！雖然價位比起一般早餐店貴(一個90元)，但是很值得！會再回購的"
