user_name,user_profile_url,rating,local_guide,comment_num,comment_text
 David Yeh ,https://www.google.com/maps/contrib/105618884576187625477/reviews?hl=zh-TW,4,True,103,"強記港式小館位於大安路一段是一家道地的港式茶餐廳,正港-港味飲品飯/粥/麵食及滷味拼盤,餐食樣式很多,內用餐飲空間不大(約7張桌),內用環境有點壓迫感,但生意非常好外帶餐點也蠻多的！
因之前看過youtube介紹過這家港式小館,今天週末晚餐5點前特別來等侯,品嚐不一樣的港式美食🤤！
今天點了雲吞撈麵130元(附清湯)+蠔油芥蘭菜65元+燒肉油雞飯100元合計295元,價格還算公道,但出菜的速度真的很慢,因中間有外面外帶的餐點訂單,結果忘了內用客人的餐點,最后才補上,所以內用者等久了還是要催問一下服務員☹️！
以下是今天餐點的評比,純屬個人感覺
✅雲吞撈麵-竹笙麵很Q,沒有很重的鹼味,雖然很單純地淋上蠔油,但味道我喜歡+雲吞-餡料有肉有蝦,比例調得好+燙芥蘭菜搭配,整體感覺CP值還ok,但味道很好👍👍
✅燒肉油雞飯-有2道素菜及辣蘿蔔搭配脆皮燒肉+油雞,脆皮燒肉-皮脆不會太鹹,好吃,油雞味道很軟一般口味,還可接受👌！
✅燙芥蘭菜-份量不少,沒太多調味品,只淋上蠔油很素,味道一般可接受！
整體而言,今天用餐最值得一提的是那一盤(乾)雲吞撈麵,雖然價格不算便宜,但味道新鮮口感很好,特別是附上的那碗清湯很鮮(有大地魚的香味),值得推薦給想品嚐港式小吃的人(ps:個人感覺內用會比外帶好吃)"
 Ink ,https://www.google.com/maps/contrib/100736544647745372295/reviews?hl=zh-TW,5,True,"1,524","🔸臘味飯
臘腸、肝腸跟臘肉味道十足，尤其是臘肉鹹香油甜，相當好吃，配菜中的辣蘿蔔表現也不差，整體而言非常推薦，必點！

🔸雲吞撈麵
初上桌時有點害怕，因為麵條看起來是鹼味頗重的類型，但沒想到實際入口完全吃不出讓人討厭的鹼味，硬中帶點脆感的細麵搭配鹹甜微鮮的淋醬，好吃！雲吞外皮軟而不爛，內餡使用的是非發泡蝦，還不錯。

🔸凍檸茶
好喝。"
 Tina Wang ,https://www.google.com/maps/contrib/109855554628141303218/reviews?hl=zh-TW,4,True,"1,779",雲吞湯真的太讚了，有點訝異。雞鴨便當不錯，那個沙茶牛肉河粉，我不愛吃沙茶結果回來打開便當是白河粉和燙的青菜還有牛肉，這…..讓我傻眼了，這就是不要沙茶的意思嗎？完全沒味道。有點小失望的其中一餐。鴨粥真的好吃，讚👍。其他整體表現不錯，生意倒是人潮絡繹不絕。現金支付，有發票
 Jack Op ,https://www.google.com/maps/contrib/112193805364238135863/reviews?hl=zh-TW,3,True,357,"總體生意非常好6:40內用
7點在左右很多品項都賣完了

整體來說沒很喜歡雞肉吃起來累死白斬雞
燒肉還行，配菜看人，辣蘿蔔跟冬瓜茶，冷氣算加分項
3.5星"
 Louis Chao ,https://www.google.com/maps/contrib/106582159443659644837/reviews?hl=zh-TW,5,False,46,"港人會吃的港式小館
店裡好多人在講廣東話

燒臘很ok，雖說加配菜配合台灣風格，但芥蘭菜不老爽口，南瓜軟嫩之餘還有口感，不是隨便弄弄的，白飯淋了好吃的燒鴨汁，燒臘就該如此。

雲呑麵是大地魚湯底，雲呑大顆，cp值很高。

最驚訝是凍檸茶，就是港式口味，茶要夠濃夠澀，用黃色檸檬🍋，配套餐有折扣。

反正就是香港人也會去的低調的店，到店裡聽聽有多少在講廣東話就知道了～"
 yiying li ,https://www.google.com/maps/contrib/112237210763660958049/reviews?hl=zh-TW,3,True,161,點的是C餐，食物是好吃的，但是調味過重，因為近來飲食偏清淡，所以個人會覺得過鹹，三丸湯比主餐更鹹，無法入口。平日中午外帶，服務良好。外帶後湯汁溢出，發現是紙碗無法耐熱，所以三星評價。
 charles wu ,https://www.google.com/maps/contrib/110334687420874895567/reviews?hl=zh-TW,5,True,473,口味非常道地，可以吃到粥品、撈麵還有燒臘飯，雲吞很紮實蝦仁很大顆。
 Urania Lin ,https://www.google.com/maps/contrib/113253672793106128953/reviews?hl=zh-TW,4,True,17,"雲吞乾撈麵（130）
每一顆雲吞裡面都有一支大～蝦子，蝦肉的口感彈脆，肉餡本身超香，胡椒跟調料的比例都很棒，但因為沾上外頭的醬油膏有點過鹹。撈麵麵體稍乾，所以很難拌開（都黏成一坨）但是硬度很棒，有咬勁又緊實，但喜歡或習慣吃軟的人應該會不喜歡。
極推薦加桌上的辣椒油，提升香氣！"
 D ,https://www.google.com/maps/contrib/106277141340844522219/reviews?hl=zh-TW,3,True,362,正靚平。少見響臺北夠正宗嘅茶餐廳，雲吞撈麵，麵身彈牙，雲吞有大地魚味，蝦仔湯就淡味D，蝦又新鮮，不過叉燒就肥膩D，蘿蔔糕夠晒味。下次再試試粥。好抵食👍
 Daisy Wang ,https://www.google.com/maps/contrib/108627297118638627189/reviews?hl=zh-TW,5,True,51,午後時間到訪人較少，老闆很親切還問會不會不鹹。牛肉河粉的牛肉很嫩，沒有不敢吃牛的人怕的牛味。配上沙茶很夠味。雲吞撈麵不愧是招牌，雲吞的豬肉也只有鹹香味沒有豬臭味，跟蝦子搭起來真的很好吃。麵很Q彈。
 ZHEN HUANG ,https://www.google.com/maps/contrib/112032285274582326215/reviews?hl=zh-TW,3,True,65,"小小的店面很可愛，餐點中規中矩~
烤雞腿邊緣偏乾中間部位正常，油雞腿整體還可以，豬腳不錯"
 Rachel Wang ,https://www.google.com/maps/contrib/105389243764001395623/reviews?hl=zh-TW,4,True,833,"座位不多，需等待一些時間。

雲吞湯麵（110元）湯頭清爽，不會太鹹。

雲吞撈麵（130元）味道ok，有附清湯，吃完會些微口渴。"
 Lucy ,https://www.google.com/maps/contrib/106441669449763423622/reviews?hl=zh-TW,4,True,155,"第一次外帶便當！結果有禮物（鐵絲）==
打電話給老闆換了一碗牛片粥！"
 Brook Li ,https://www.google.com/maps/contrib/102858033790446409074/reviews?hl=zh-TW,4,True,"1,994","便當價格在100元上下，主菜跟飯量都很足，
叉燒等港式燒臘主菜都好吃，配菜雖然只有兩樣但都蠻用心、不隨便（另外還附醃辣蘿蔔乾）。
不過整體偏油、口味重。"
 地獄貓 ,https://www.google.com/maps/contrib/108270410785560756702/reviews?hl=zh-TW,3,True,778,"鴨腿脆皮多汁,好吃,魚片湯湯頭特別,味道也不錯,油雞軟嫩可口,叉燒都是瘦肉，有點硬柴,不過味道還不錯!!"
 簡君揚 ,https://www.google.com/maps/contrib/114258731219892655524/reviews?hl=zh-TW,5,True,48,今天吃牛腩撈面、窩蛋牛肉粥、凍檸茶、絲襪奶茶、龜苓膏，雖說是隨意挑選的店家用餐，原本沒什麼太多的期待，但入口每一道餐點後有讓我大大的改觀，上來谷歌地圖看才驚覺原來已有900多人評論並且拿下4.1分，我願意給強記5分，整體讓我很驚艷，口味蠻地道的，有身處香港的感覺。
 Gilly Millie ,https://www.google.com/maps/contrib/112990138040094622759/reviews?hl=zh-TW,5,True,66,這濃滑才是粥，這彈性才是港式油條，沙田滑雞粥95/100，差少少在於要留心碎骨頭，但畢竟帶骨肉才燒得香，肉醃足七七四十九小時，吃得到酒香，粥底不死鹹，還有冬菇提味，110元加上自助式普洱茶，超級抵食，正！
 lee lora ,https://www.google.com/maps/contrib/114313858267011519355/reviews?hl=zh-TW,5,True,877,港式燒臘和粥麵，強記永遠是我心中前三名，時間不夠無法內用，今天點了c餐雙拼撈麵加上三丸湯，多年未吃，港味未變。
 Lynn S ,https://www.google.com/maps/contrib/103193536983257533418/reviews?hl=zh-TW,4,True,316,"雲吞撈麵柱侯牛腩麵必吃
加上XO辣椒更上一層樓"
 呂宗祐 ,https://www.google.com/maps/contrib/101823259891347451676/reviews?hl=zh-TW,4,True,"1,141","2021/10
還蠻到地的港式燒臘
包括用餐環境都可以感受到港式風格
餐廳小而美、沒有一般燒臘店的油膩感
整體環境保持的很乾淨
飯/麵/粥/飲料都有
用餐時段外頭排滿買飯盒的隊伍
內用區翻桌也快速
二次來訪都沒有需要到等候
辣醬不是常見多醬油辣椒
倒是有點沙茶口味的辣醬
微辣微甜的口感、配飯倒是蠻好吃的
熱茶冷飲自由取用
食量大點的、可請老闆加飯
油雞/燒鴨/叉燒都不錯
鴨腿要碰運氣連續二次都賣完
可以來試試"
 བཀྲ་ཤིས་བདེ་ལེགས། ,https://www.google.com/maps/contrib/110365289734484500288/reviews?hl=zh-TW,3,True,482,"2021.10.25皮蛋瘦肉粥台幣90元比附近其他賣的粥好吃，但個人覺得不能跟老友記的粥比。
2021.10.04沒想到竟然是第一次對強記發評論。"
 Jun Chiou ,https://www.google.com/maps/contrib/103837364220623467084/reviews?hl=zh-TW,5,True,305,外帶皮蛋瘦肉粥，牛腩撈麵玫瑰油雞腿，不錯吃…不負盛名
 Tze Ling Tang ,https://www.google.com/maps/contrib/108530866663270836708/reviews?hl=zh-TW,5,False,151,"雲吞撈粗做倒80分香港味道
雲吞幾好食
湯再多啲韮黃就好
120唔平，但食倒家鄉質素實在不易
有機會會試下燒味"
 Often ,https://www.google.com/maps/contrib/114925020971860659272/reviews?hl=zh-TW,5,True,698,"以前每週幾乎都來吃，燒臘好吃之外喜歡吃點小辣的可以拿店家的辣醬過來搭配，非常好吃；此外，他的餛飩/雲吞(忘記是哪個)非常大粒，味道也好吃，推薦給大家！

另外，這家飯量特多，小鳥胃的可以店家說飯少~"
 YUOTO LIU ,https://www.google.com/maps/contrib/104974882629323074401/reviews?hl=zh-TW,4,True,791,好吃，雞鴨飯的肉比較少。
 李紹宇 ,https://www.google.com/maps/contrib/110452136820780573884/reviews?hl=zh-TW,5,True,67,在大安路上算是好吃實惠，老字號香港店，推薦可以來吃看看。
