user_name,user_profile_url,rating,local_guide,comment_num,comment_text
 蔡弘儀 ,https://www.google.com/maps/contrib/107315788700133010329/reviews?hl=zh-TW,4,True,308,"仁愛店
菜色口味很道地
比天母店好吃很多
糖醋里肌👍👍👍👍👍
東坡肉超好吃😋！好吃😋
美味超推
入口即化
鐵板中卷
還ok"
 JOY TSO ,https://www.google.com/maps/contrib/102290564450192714579/reviews?hl=zh-TW,3,True,208,推薦賽螃蟹！其他菜色普通！成家小炒個人沒有很喜歡～
 海倫Helen HR ,https://www.google.com/maps/contrib/102597078613860173302/reviews?hl=zh-TW,3,True,596,東西都太鹹了，尤其是麻婆豆腐⋯
 Lo Steve ,https://www.google.com/maps/contrib/114706474952910049668/reviews?hl=zh-TW,4,True,318,十年沒來過成家小館，今天在電視上看到闆娘介紹賽螃蟹，特別跑來吃，有點失落。炭火變成了電磁爐，湯底淡了些，少了螃蟹，價格高貴不少
 clara shen ,https://www.google.com/maps/contrib/115852665408813381582/reviews?hl=zh-TW,1,False,15,問豆腐怎麼做，就回一個辣的一個不辣的！不懂怎麼做是什麼意思？誰看不出來辣不辣，菜名不是寫了？豆腐有魯有炸有清蒸，是講不出來嗎？煩死，還賣超貴，對的起自己招牌好嗎
 Yang Simon ,https://www.google.com/maps/contrib/113564085996650782570/reviews?hl=zh-TW,5,True,35,天然發酵的酸菜白肉鍋，熱熱一碗真的越喝越舒服！建議四人左右點小鍋即可，加幾道拿手炒菜就好！打包時候因為湯還是很熱，所以店家貼心的提供自己的鍋子給我並且很放心的跟我說，有空再拿來還就好，
 李玉貞 ,https://www.google.com/maps/contrib/107104985660922844358/reviews?hl=zh-TW,5,True,310,酸菜白肉鍋的湯頭自然又鮮美，幾道店中的招牌菜，也很有特色，辣炒小魚豆乾的小菜，讓愛吃的我們，一口接一口……
 小原兒 ,https://www.google.com/maps/contrib/108870193349640115234/reviews?hl=zh-TW,2,True,387,"東西新鮮，但食材廉價
很像品質好的快炒店但價錢太貴
這鍋並不正統料少價錢高昂
食物我給3顆星

但清爽我一般還是會來但態度讓我直接列黑名單

可是店員完全不鳥人
加上老闆娘造型很酷連態度都酷不想鳥人不想服務就在家吧讓這家更差"
 小美 ,https://www.google.com/maps/contrib/111793912831413635842/reviews?hl=zh-TW,4,True,356,重口味大火候炒，這次沒吃到鍋物，但每一道都很好下飯，雖油，但爽口度高。
 JAMES LIU ,https://www.google.com/maps/contrib/118253310508295762101/reviews?hl=zh-TW,4,True,"1,165","好吃
值得來嚐嚐
我自己也來很多次
而且店家搬了新店面，位置寬敞，舒服，乾淨"
