user_name,user_profile_url,rating,local_guide,comment_num,comment_text
 Lala ,https://www.google.com/maps/contrib/114734612168166273449/reviews?hl=zh-TW,3,True,960,"忠孝敦化運與大安中間，仁愛圓環附近，吃飽散散步剛剛好的距離。店家氣氛很棒，不過桌子的大小有點尷尬，3-4人座來說離對面有點太遠，聊天也有困難。

服務人員還是很看人，除了一位很像店長的親切女生外，其他態度不差但沒有靈魂也不覺得親切，而且幾乎沒有在注意所需，舉手舉半天都沒看到，水到最後也是等到受不了起身我們自己拿。

另外一個房間似乎是簾子擋住的包廂，裡面的小孩其極努力的間斷性亂叫，在這樣氣氛的餐廳，家長沒有阻止，店家也沒有稍微提醒可能影響到其他用餐客人🥲

食物很特別，有西餐、有中式丼飯、有火鍋，不曉得是不是今天沒有點牛的關係，整體下來沒有讓人驚艷的地方…

價格偏高，連水都要收費而且沒有事先知會，雖然自己也覺得應該不是免費的但告知一下一應該不為過吧，畢竟一瓶水和滷肉飯一樣180啊…

👍綜合火腿盤：網友推薦人氣商品，多種火腿饗宴，搭配兩種起司和一些小配料如餅乾、水果等，很特別也非常好吃😋

🥩法式低溫慢煮爐烤紐西蘭小羊排：低溫爐烤讓肉質很嫩，保有原本羊排香氣卻一點沒有羊騷味，不過旁邊的大蒜已經軟到無法輕易取出了，以為正常這樣配菜蒜球比較會是酥脆的，但還是很好吃啦！

🥓RÒU招牌滿滿黑胡椒粒培根排：外皮真的是酥酥脆脆，店家先拿來讓我們看一下拍拍照才去切開，切好再此上餐時覺得很美，讓人食指大動！但培根還是很看人，咬下去油膩感散不開，所以旁邊也放了生菜搭配。

🍟經典香酥松露薯條：炸得酥酥脆脆非常非常好吃👍

🐷口口噴汁辣味珍珠香腸：很特別，沒有嘗試過的味道！香腸真的是Q彈耶！辣味的辣不會非常辣，微微的辣香和很有彈性的香腸搭配，讓人一口接一口😋

🍚紫蘇梅燉松阪豬滷肉飯：店家推薦招牌，但個人覺得非常之普通😅沒什麼特色，味道也和外面滷肉飯差不多，但一碗要價$180，果然松阪豬的食材就是不一樣，那建議調味上也許有做出差異會更好。"
 Alvin ,https://www.google.com/maps/contrib/116514693172674416263/reviews?hl=zh-TW,5,True,472,"到訪過無數次的一間店。每次來餐點的品質都維持得很不錯。

很喜歡這裡料理食物的方法，沒有過多的調味，可以吃出食物的原味。

火腿拼盤：我覺得設計的非常適合台灣人的口味，每種火腿吃起來不會太鹹，搭配不同的起司、餅乾還有水果一起吃，真的有加強火腿的提味。

胡椒烤豬肉培根排：這是我每次來必點的菜色，培根豬肉排搭配上烤胡椒，吃了不會太油膩且配上油醋沙拉杯更解油膩。

烤蔬菜：也是我必點的餐點之一。新鮮的蔬菜放在烤箱烤，蔬菜風味非常的好吃。尤其是蕃茄整顆烤到乾扁吃了之後非常的清爽入味且沒有酸味。

培根凱撒沙拉：沙拉搭配烤培根吃起來鹹鹹又清爽，算是非常好吃的一道沙拉。

另外還點了到烤羊排以及培根起司薯條。但是忘了拍照。這兩道也非常的好吃，尤其羊排搭配上蒜頭一起烤，吃起來不會太油膩且肉質非常的軟。

薯條的部分也非常的棒搭配碎碎的培根，薯條吃起來真的會一口接一口。

服務人員服務態度也都非常得好，介紹菜色也非常的仔細，且會一直不斷地來幫你加水。

未來有機會還是會持續的來這家餐廳消費。"
 Yvonne Hsueh ,https://www.google.com/maps/contrib/112779799872639801523/reviews?hl=zh-TW,5,True,93,"綜合肉拼盤很值得點，喜歡台畜制的帶皮火腿，小丁狀的荷蘭梵谷起司很香

招待了一盤松露薯條，薯條炸得酥香，松露味不會太重，我害怕松露味的也吃了很多

主廚濃湯是南瓜濃湯，南瓜濃湯很濃，但是偏甜比較不習慣

小羊排很嫩很好吃

滷肉飯小失望，吃不出膠質滿滿的感覺，味道也偏淡，倒是它的配料肉鬆、醃蘿蔔等較好吃

整體環境不錯，服務也很好，店員也會提醒點餐份量，讓兩個人不會點太多"
 海倫Helen HR ,https://www.google.com/maps/contrib/102597078613860173302/reviews?hl=zh-TW,4,True,596,"雖然很貴，但是很好吃！（不過吃不太出來和牛的高貴啦哈哈哈）
蒜片和牛丼飯和豬五花丼飯都很好吃！（缺點是飯都是一塊一塊的呢🥲）配菜醃蘿蔔也令人驚艷，配著丼飯一起吃反而有點奶香味好好吃👍
肉燥娃娃菜感覺醬汁與菜的味道分離（當然，因為醬汁也是另外附）可是這樣就沒有很配的感覺
小香腸也真的很好吃！超級沒有很辣（對一個怕辣的人來說）而且生蒜和蒜苗給很多👍"
 Vivian Wang ,https://www.google.com/maps/contrib/113496852984286066906/reviews?hl=zh-TW,3,True,127,"該餐廳主打肉品，但火腿吃起來，有個令人害怕的肉味！

吞不下去！
配貢丸湯也超級奇妙！

怕怕😱"
 Mark Chen ,https://www.google.com/maps/contrib/109443472225137386478/reviews?hl=zh-TW,5,True,83,"除了單價高一點其餘挑不出什麼毛病！
滷肉飯普通，但牛排真的新鮮又煎的恰到好處！
台北少有的精緻肉品餐廳！喜歡，必再訪！"
 ELLE W ,https://www.google.com/maps/contrib/114060051641503278015/reviews?hl=zh-TW,4,True,387,一樓是肉品專賣店，隱身在二樓的餐酒館，有單獨包廂，但和隔壁的間只是分隔只是用簾子隔音，所以還是會聽到隔壁的笑聲說話聲。餐點有中式和西式都有，可單點也可點套餐，特殊菜色要先預訂。今晚點了一口小香腸配大蒜、也有熟成牛排、上蓋肉，非常好吃！沙拉和西班牙火腿起司拼盤也很棒！可以自己帶酒來但現場也要開瓶就免開瓶費！
 踩雷DanDan ,https://www.google.com/maps/contrib/114088739302643226360/reviews?hl=zh-TW,5,True,95,"大安區敦南很有質感的精品肉鋪ROUbyT-HAM
週末派對下酒菜必備ROU嚴選綜合拼盤，第一次嚐鮮推薦綜合拼盤種類及份量適中
-法國18個月拜恩生火腿🇫🇷
-西班牙24個月伊比利生火腿🇪🇸
-西班牙伊比利風乾臘腸🇪🇸
（Chorizo、Salchichon、里肌）
-台畜職人手造火腿🇹🇼
（胡桃木煙燻前腿、胡桃木煙燻梅花、帶皮火腿）
-綜合cheese🧀️
-八寶堅果🌰"
 Michael HSU ,https://www.google.com/maps/contrib/113208907952748044835/reviews?hl=zh-TW,5,True,41,"朋友邀請的聚會場合，包廂適合多人聚會品酒，服務人員大致上算還行。
食材上以肉品為主，整體肉質確實不錯，尤其牛肉的部分，真的處理的蠻好的😎👍"
 Ken ,https://www.google.com/maps/contrib/111704383731094407094/reviews?hl=zh-TW,5,False,17,"牛排達水準，烤雞意外的好吃！
惜味噌鍋偏甜。"
