user_name,user_profile_url,rating,local_guide,comment_num,comment_text
 yawen ,https://www.google.com/maps/contrib/116310770963977497302/reviews?hl=zh-TW,5,True,140,"因為早餐吃太飽所以我們只點了一份套餐+單點主餐

📍餐前麵包
一人兩塊掌心大的麵包，吃完還問要不要續，奶油給的超級大方，完全用不完🤣奶油本身沒什麼味道，但因為麵包有核桃，搭配起來還是很香

📍開胃菜：蟹肉北海道干貝
蟹肉很紮實！好好吃～干貝搭配魚子醬，所以干貝本身的鮮甜好像比較不明顯

📍湯：絲瓜濃湯
應該有加一些松露，但個人覺得絲瓜甜更明顯，很好喝，從沒喝過絲瓜濃湯覺得很特別，是沒有料的純濃湯

📍主餐：香草奶油肋眼
（我們點的主餐都是有經過調味的牛排，因為常吃其他牛排館都是給鹽巴、蒜頭等吃肉品的原味，所以覺得寶艾西的調味滿特別的）這道香草奶油肋眼香草味很重，反而奶油味吃不太出來，我們點了三分熟，但感覺好像有五六分，嚴格說起來吃完沒什麼記憶點，評價普通

📍主餐：煙燻日本和牛
很好拍照！會用一個罩子罩住和牛，端上後才將罩子拿起來冒出燻煙～這道比前一道好吃，煙燻味一開始有點嗆，但反而減少了和牛的油膩感，搭配旁邊處理到完全無嗆味的蒜頭，非常好吃

📍甜點：巧克力塔
超級好吃！是很多層次的巧克力蛋糕，有巧克力鮮奶油、巧克力碎塊、底層的巧克力餅乾，全部都是巧克力但因爲口感豐富一點都不膩！推推～

📍生日蛋糕
壽星附一個約五吋的扁型蛋糕，口味是莓果核桃，以免費附贈的來說超級大方又不敷衍，心意很足！

因為男友不吃鵝肝，否則最想試的其實是威靈頓牛排，整體而言會再回訪，而且求婚桌白天天氣好超美，只是太陽12點過後西曬會越來越熱😅"
 Deborah Chang ,https://www.google.com/maps/contrib/117344936089647583347/reviews?hl=zh-TW,5,True,128,"長期以來就一直很喜歡這間老派的歐式餐廳，服務一流的，菜色也非常的精緻美味，而且重點是人不會太多，整個用餐的環境非常的舒適隱密，讓人很放鬆，不論是商務用車或者是與好朋友聚餐，我都覺得非常的適合！

當天的現在我選的是韃靼生牛肉，生牛肉處理得非常好，非常的新鮮，融合一些配菜切成細丁在裡面，吃起來的口感非常的爽口美味😋

主菜我點的是威靈頓牛排，這是我看過最可愛的威靈頓牛排，一開始服務人員先用一個很可愛的金色小籠子將它提過來，上面還放了一頂金色的小皇冠，先讓客人看完全貌之後再帶回去切開，五分熟的肉質實在是太軟嫩多汁，加上烤得恰到好處的酥皮，一起搭配吃起來真的是令人銷魂的感覺啊！即便份量在大，也捨不得將這麼美好的滋味白白浪費，只好想盡辦法把它分給朋友整個吃完，才不枉費這美好的滋味啊！

現場服務人員的應對進退也是恰到好處，當天我們是商務用餐，現場的服務人員很會掌握時機找適當的時候介紹菜色與進行點餐，這點我覺得掌握得非常好，值得讚許。"
 Vx QwQ ,https://www.google.com/maps/contrib/115249290141150167064/reviews?hl=zh-TW,5,False,50,"環境優雅，寧靜舒適，古典氣息濃

開胃菜—優秀，口感富有層次
麵包—四種口味，丹麥伯爵茶乳酪桂圓，外酥內軟
和牛紐約客牛排—很香很好吃，太喜歡
威靈頓牛排—餅皮香，松露醬味道濃，肉軟嫩
每日例湯—絲瓜濃湯但像跟南瓜濃湯，濃郁有層次
副餐甜點—非常普通，死甜，師傅要加油了
生日蛋糕—大塊精緻，覆盆莓乳酪味道不錯

整體而言還是給五顆星，除了甜點都很讚
服務人員敬業有素質，其他桌也滿多在慶生的
價位較高，但環境與食物值得來一趟享受美食之旅"
 ruby530 Tsai ,https://www.google.com/maps/contrib/109801262389783829750/reviews?hl=zh-TW,4,True,44,"今天與好友相聚在君悅大飯店2樓的寶艾西餐廳，桌與桌之間距離大，用餐不會覺得有壓迫感，每桌桌上都有新鮮的花朵擺飾，我們坐的是圓桌，桌上的花是紅玫瑰，唯美噴水池就在餐廳中間，營造出浪漫的用餐環境。
首先上桌的是熱騰騰外酥內軟的麵包，可以免費續加，起司麵包散發淡淡的奶香，要不是怕餐點吃不下，真想再續一個！套餐內容包含：麵包＋湯＋牛排＋甜點＋飲料，中規中矩的搭配。
#洋蔥濃湯裡面有兩個小小的應該是義大利餃，好喝，我想學！
#超愛北海道干貝配蟹肉餅佐魚子醬
#外表香酥、內在軟嫩、戴著皇冠的威靈頓牛排也太可愛😘
#羅西尼就是經典的菲力、鴨肝、松露底下墊一片麵包+松露紅酒醬，上層薄薄的一片松露真希望可以再多一點，五分熟菲力有點老，威靈頓牛排也不夠嫩，希望有機會再品嚐時會更好味。"
 Sky Lee ,https://www.google.com/maps/contrib/118233149969510993968/reviews?hl=zh-TW,5,True,108,"君悅飯店《BelAir寶艾西餐廳》
浪漫的約會場所
2018-2021年獲選米其林餐盤
燈光美、氣氛美、服務好，很舒服的一家餐廳，據說裡面大理石噴泉是100%求婚成功的絕佳地點。
招牌餐之一戴上皇冠的「威靈頓牛排」
塗抹一層蘑菇泥拌上松露，覆蓋酥皮，是一大特色，五分熟的熟度剛好，沾點芥末醬很好吃
🌟威靈頓公爵式菲力牛排要先打電話預約
🌟有重大節日預訂時可以備註告知
🌟餐前麵包/有兩款可以續點
開胃菜-油封鴨腿卷（包鴨腿肉的炸春捲）
開胃菜-美國菲力生牛肉，還不錯吃，配上白花椰菜蠻爽口的
日本頂級炭香和牛紐約客牛排-五分熟熟度剛好，開蓋的時候會冒煙，有點特別，好吃
今日例湯是濃湯還不錯，加價的雞湯反而喝不慣
甜點普普
紅酒開瓶費500，帶支喜歡的紅酒來佐餐還蠻划算的
服務還不錯，整體用餐體驗是愉悅的。"
 Heng ,https://www.google.com/maps/contrib/106270082478937325078/reviews?hl=zh-TW,5,True,310,"BelAir寶艾西餐廳位於台北市信義區松壽路2號台北君悅酒店2樓，一進門印入眼簾的是古典的裝潢配上明亮的採光，再加上走道上滿滿的米其林推薦獎牌，可以感受到老牌餐廳所帶來的氣場。
寶艾西餐廳的一大亮點便是室內的大理石噴水池，在採光明亮的印襯之下，波光粼粼。如果提早訂位的話可以坐在噴水池旁的座位，靜靜的觀賞著。
這次藉著五倍卷的優惠點了英國威靈頓牛排和日本炭香和牛紐約客牛排兩個套餐。
寶艾西餐廳的威靈頓牛排十分有名，店家會先把完整的威靈頓牛排端上桌，給顧客拍照完再端回去對半切，十分貼心。口感上則是結合了奶油酥皮、松露和軟嫩的牛排，一口咬下去融合得恰到好處。很推薦沒嚐過這道佳餚的人試試看～
日本炭香和牛紐約客牛排雖然份量較為精緻，但是口感上完全不馬虎。富含油脂且口感軟嫩的紐約客搭上主廚炭香煙燻過，整個香氣十足，十分美味！"
 Nugget ,https://www.google.com/maps/contrib/109398714539120436931/reviews?hl=zh-TW,4,True,100,"位於繁華的信義區，吃飽可以去周邊各大百貨公司走走逛逛。
餐點大部分還不錯，前菜、麵包、湯都很不錯，但威靈頓牛排沒有到非常好吃，有點失望。
服務尚可，建議先訂位，威靈頓牛排每日限量因此也也建議先預訂！

炙煎北海道干貝配馬里蘭蟹肉餅、雷穆勒醬汁
蟹肉餅很特別，和干貝及醬汁配在一起很搭，是一道很不錯的前菜！

英國威靈頓公爵式美國菲力牛排
與想像中的有點落差，牛排和外皮沒有融合在一起的感覺，可能是因為烹調方式不同？但牛肉非常軟嫩，只是就有種在單吃皮和牛肉的感覺。
基本上一個人沒有辦法吃完一份，很容易膩。

日本炭香頂級和牛紐約客牛排
非常推薦👍🏼雖然日本和牛油脂會比較豐富，但多了炭香真的非常好吃！很軟嫩很美味！

台灣香煎海鱸菲力
魚本身有種土味，不曉得是鱸魚都是這樣嗎？總之魚本身有點令人失望。但醬汁和旁邊的配菜都很不錯，海膽也挺新鮮的！

起司蛋糕
比較偏重乳酪的口味，中規中矩的乳酪蛋糕。"
 Fong Zeng ,https://www.google.com/maps/contrib/107060142818263299740/reviews?hl=zh-TW,5,True,222,"為了「威靈頓牛排」而來

松露麵包非常得我心❤️
優雅松露香氣與柔軟嚼感做第一道菜很棒
蟹肉餅沙拉中規中矩
蟹肉也軟嫩但沒什麼驚艷處
南瓜濃湯鹹香味濃🎃🎃
燉牛頰肉ㄧ戳就散入口即化讓人很喜歡
（對於現在只能吃副食品狀態的我超級適合）
再來就是威靈頓牛排🥩
酥皮與五分熟菲力間還有一層蘑菇醬
以為會很難咬！但完全不會！"
 林奕廷 ,https://www.google.com/maps/contrib/104458218531470674054/reviews?hl=zh-TW,2,True,128,"原4/26要用餐，但是因為餐廳有足跡，當天打給我們通知需要改時間，於是4/30晚上到餐廳用餐。

入座後才被告知無法提供套餐，僅能選擇母親節套餐，其餘只能選擇單點，母親節套餐4800元/人，母親節套餐是沒有包含威靈頓牛排，僅有威靈頓魚排，但是因為我們有預定，所以可以讓我們更換成威靈頓牛排。

餐點，服務，一切都沒話說，這兩顆星補上！但是這種羊肉虎口任人宰割的感覺真的不是很好！

致電訂位的時候，打來確認的時候完全沒有跟我們提醒菜單的規則有此大幅度調整！
而且！不是每個人的母親都依然健在，這種套餐無疑地是對我嘲諷，而且我還不能選擇！蛋糕送上來寫著母親節快樂！我不覺得快樂在哪！

我吃了兩口蛋糕，眼淚跟著往肚子裡吞。
如果我知道這時期貴餐廳在慶祝母親節。我一定會跳過這時間段！"
 范光翔 ,https://www.google.com/maps/contrib/105630428004000945438/reviews?hl=zh-TW,2,True,22,"這次用餐點了三分威靈頓牛排跟五分羅西尼牛排
兩種肉都算軟嫩，不過不知為何都覺得有點乾，然後嚴重的是鴨肝居然有點腥味，從前菜的鴨肝就有出現，然後主廚招待的干貝也不太行一樣內部偏乾，整餐下來似乎沒有太驚豔的餐點，中間噴水池是一大賣點，但是坐久了覺得有點吵雜，只能當視覺享受與累積味道經驗了。"
