user_name,user_profile_url,rating,local_guide,comment_num,comment_text
 影清 ,https://www.google.com/maps/contrib/102849704832911184626/reviews?hl=zh-TW,1,True,107,這是我來台灣拜訪客戶時在客戶家裡做客的第四年，某位小李（林）先生在客戶來電客訴要求時，句句頂撞，絲毫沒有尊重客戶的心態，做得餐點較差勁，過了11分鐘後店長來電表示說下次訂單補償一份大比薩，客戶很不滿回覆不會再光顧，希望台灣其他比薩店不會有這樣態度。。。給一顆星算客氣。。。
 Yi Chun Lin ,https://www.google.com/maps/contrib/111019379084041991041/reviews?hl=zh-TW,5,True,293,"最❤️必勝客”海陸大亨”🥳
覺得是最好吃的口味~
玉米濃湯一定要加很多黑胡椒，超級好喝👍"
 汪文俊 ,https://www.google.com/maps/contrib/109350526611714132830/reviews?hl=zh-TW,5,True,269,"1.外帶披薩🍕買大送大加飲料，有時優惠又有薯星星，物超所值。
2.2022蔬食初上分饗餐399元，金鑽時蔬、彩蔬鮮菇披薩一次滿足。
3.個人小披薩也好吃😋"
 邱采廷 ,https://www.google.com/maps/contrib/115794197369190897703/reviews?hl=zh-TW,2,False,6,外送時間選擇18:30，但17:30就接到外送員電話，說已經抵達了，我說我是選擇18:30外送，外送員表示店家自己決定提早做了，因為我人還沒到家，便請外送員將餐點帶回保溫，18:30再送來時差不多都冷掉了，非常傻眼，希望以後準時送，不要擅自幫客人改時間。
 claire ,https://www.google.com/maps/contrib/108276144822456004239/reviews?hl=zh-TW,5,False,3,服務員人超好，也主動提醒最優惠的點法，五星好評～
 Chia Ju Lin ,https://www.google.com/maps/contrib/117437200476722912540/reviews?hl=zh-TW,5,True,24,"App外帶個人餐取餐兩次了~~
時間都很準時、pizza也都是熱的
讚讚"
 Logan Hsu ,https://www.google.com/maps/contrib/100362834958683058822/reviews?hl=zh-TW,1,False,21,"進店門站了五分鐘沒人出來
看到也不出來
後面來的其他客人照等
爛死了

我以前做過必勝客也不會這樣
看來不是一次兩次"
 Charles ,https://www.google.com/maps/contrib/101983966527853025799/reviews?hl=zh-TW,1,False,21,"買鬆厚的餅皮卻像薄的
料也比別家少太多了
再也不會來這家買了爛透了
能給負分絕對給負分"
 Vera ,https://www.google.com/maps/contrib/101634260225721075281/reviews?hl=zh-TW,4,True,"1,027",公司訂的午餐，好吃~餅皮又香又Q彈，還很有嚼勁，泡菜豬很讚，海鮮也不錯，薯星星也美味，可惜有點冷掉了
 sakuya Queen ,https://www.google.com/maps/contrib/115519052165364943267/reviews?hl=zh-TW,1,True,25,跟其他外送店的比，就這家的最差。外送員差，連門市主管也一個不知怎麼處理事情的狀況外模樣
 皮卡林 ,https://www.google.com/maps/contrib/106799434488215891236/reviews?hl=zh-TW,4,True,187,"夏威夷披薩蠻好吃（薄脆
服務人員很好打電話時會跟你說網路訂餐比較優惠
但不喜歡烤雞類的醬太甜"
 黃安霆 ,https://www.google.com/maps/contrib/107869784459100865532/reviews?hl=zh-TW,1,False,2,服務態度超級差錢直接用丟的給客人
 Jim ,https://www.google.com/maps/contrib/109286637957132328631/reviews?hl=zh-TW,4,True,40,服務很周到點餐很有禮貌站外面打抽煙時還會提醒你跟餐點拿到外面給你
 Ying-Hsuan Lin ,https://www.google.com/maps/contrib/103564767860381145479/reviews?hl=zh-TW,1,True,23,"第一次在必勝客遇到這麼誇張的的狀況，預約6:20拿，而且收到取貨通知了，結果快7:00才拿到，一群客人就站在門口等，櫃臺一度都沒人，後面廚房聽到吼人聲。有算錯帳的，有沒綁好摔壞批薩的，摔壞居然是要對方再等40分鐘，而且沒有任何補償，我在旁邊都替你們捏把冷汗耶。
而且今天兩份批薩，都驚人地難吃。這家分店很需要重新訓練啊⋯⋯"
 Hoo Ricardo ,https://www.google.com/maps/contrib/111104206553659988058/reviews?hl=zh-TW,4,True,384,取貨流程似乎有點混亂，外送員和電話自取者會相互干擾
 葉自強 ,https://www.google.com/maps/contrib/117997226137689396175/reviews?hl=zh-TW,5,False,8,"環境乾淨服務佳
男的帥氣女的美"
 Jocelyn Yao ,https://www.google.com/maps/contrib/108247071942021821274/reviews?hl=zh-TW,3,True,166,壽喜燒跟白醬海鮮口味比較重，吃第二片有點膩。
 Lisa Chen ,https://www.google.com/maps/contrib/116029438585710681197/reviews?hl=zh-TW,2,True,34,"Pizza不算好吃，副餐炸魚條..有腥臭味…
吃完肚子不舒服…😰"
 Zachariah Lin ,https://www.google.com/maps/contrib/104987199151656949686/reviews?hl=zh-TW,1,False,1,"12/11.跟本就沒處理啊，真噁心！！！！

他們公司的後門就在76巷1弄，有空來看一下，滿地都是煙蒂和煙盒，環境衛生被工作人員弄成這樣，這樣的披薩，誰還敢吃啊"
 闕雪 ,https://www.google.com/maps/contrib/114387716775815011271/reviews?hl=zh-TW,4,False,18,善用預定快取的話很方便，但曾經遇過店員一直在裡面大概五分鐘後才出來招待
 YiPing Huang ,https://www.google.com/maps/contrib/112734956773621775366/reviews?hl=zh-TW,5,False,3,店員服務佳！棒棒
 wing Wing ,https://www.google.com/maps/contrib/104053855961089380850/reviews?hl=zh-TW,1,False,2,明明網路訂餐、到店拿餐，不看排隊客人，隨便一個人插隊就讓對方先點餐！指定時間到了超過20分鐘，然後你問餐才請內場做、讓客人多等20分鐘、前後取餐花了快1小時、服務人員對自取客人服務爛透、是不是乾脆做uber跟熊貓生意就好、反正他們最先做！
 周芳伃 ,https://www.google.com/maps/contrib/101839451190896010614/reviews?hl=zh-TW,1,True,93,服務態度有待加強點餐也不認真聽買個人批薩也沒菜單可以看還要自己上網看菜單還點錯餐只能硬吃怕浪費食物非常失望
 錢錢浣熊 ,https://www.google.com/maps/contrib/107451122859206076040/reviews?hl=zh-TW,1,False,10,和風章魚燒味道變淡美乃滋變超少，料也變少吃起來整個皮感很重，雞翅跟小雞腿，味道跟以前不一樣少了一個味道
 Jason Yi ,https://www.google.com/maps/contrib/109339206070460119514/reviews?hl=zh-TW,1,True,109,在店裡等了20分鐘，快到家才發現少了一個大披薩，又走了一趟回店家，一開始以為店員會先發現主動告知（因為有留電話），結果我走回店裡告訴女店員她才後知後覺，但她一點也沒抱歉的樣子，明明確認餐點是店員的職責
 罗建忠 ,https://www.google.com/maps/contrib/111006443167937280188/reviews?hl=zh-TW,1,False,8,在這家店點了義大利麵，跟我說20分鐘就好，結果過了40分鐘竟然還沒好，跟我說還要3分鐘，這也太離譜了。
 Evelyn Cheng ,https://www.google.com/maps/contrib/113481418288106460398/reviews?hl=zh-TW,5,True,41,店員服務態度很親切，詢問口味也很耐心回答!推推
 KEVIN CHEN ,https://www.google.com/maps/contrib/118143813806142118524/reviews?hl=zh-TW,1,False,26,訂了他們家的外送結果沒給衛生紙和辣椒打電話過去詢問竟然說不能直接補送我花了好幾千買了你家的比薩結果你連補送個東西都不願意省成本也不用這麼明顯吧該給的沒給就是你們的責任難道還要消費者提醒你們東西才願意給嗎員工教育有待加強!!!
 Mitch Leung ,https://www.google.com/maps/contrib/108171881741751853954/reviews?hl=zh-TW,3,True,55,"這一家不收信用卡,讓我到取的時候差點無法結帳,只能用悠遊卡結,我信用卡2%的回饋就這樣飛了"
 Linhan Tung ,https://www.google.com/maps/contrib/110620104760656818481/reviews?hl=zh-TW,4,True,56,我都是親自去拿外賣，買大送大。很方便！也不會等太久，只要先打電話去。
 Wang Randy ,https://www.google.com/maps/contrib/114839772811326765357/reviews?hl=zh-TW,2,True,273,8/8中午值班的女店員不知道怎麼了，我電話預訂後時間到了過去拿，說還沒好先結帳，接著看他們忙進忙出，我等了25分鐘後按耐不住再問她，她又回問我電話，然後才從旁邊拿出已經做好的餐點給我，莫名在店裡站著等了很久時間。
 SJ Chiu ,https://www.google.com/maps/contrib/112539411121847614803/reviews?hl=zh-TW,5,True,76,每次訂外帶都能順利取貨，非常準時的店家
 黃綠紅 ,https://www.google.com/maps/contrib/115345761212459505453/reviews?hl=zh-TW,5,False,4,好吃服務好
 邱介甫 ,https://www.google.com/maps/contrib/105595963597361778940/reviews?hl=zh-TW,5,True,589,服務專業，點餐環境乾淨
 子樂 ,https://www.google.com/maps/contrib/100390761041057641612/reviews?hl=zh-TW,1,False,6,熊貓訂餐等了一小時還沒好還要我再多等至少半小時
 Rita ,https://www.google.com/maps/contrib/100648134013456379606/reviews?hl=zh-TW,3,True,195,"網路訂餐非常方便，用料實在
但披薩，烤雞腿還是德國香腸，都太油了
多吃一點就會覺得很膩
希望有改善的空間。"
 錢錢 ,https://www.google.com/maps/contrib/100455250486233474342/reviews?hl=zh-TW,1,False,4,說20分鐘可自取，結果在現場又等快半小時……好幾次少東少西，希望這則評價能得到重視進而改善，若願意提升服務品質會刪掉負評
 Rui wei ,https://www.google.com/maps/contrib/114073063794379331327/reviews?hl=zh-TW,5,False,19,快速。服務態度很好。
 北極宅熊 ,https://www.google.com/maps/contrib/113850008573685622763/reviews?hl=zh-TW,1,True,33,本來想買的比薩這家缺貨，轉而詢問哪一家還能做以免白跑一趟，想不到得到的回應竟然是他們自己也不知道，既然是連鎖店，各店的互通與情感有差到這種地步？非得要顧客用最原始的方式打電話一家家問？雖然說這次不一定在你這家消費，但我認知的消費品牌還是pizzahut這就是你們的服務方式嗎？
 S11030249黃宇傑 ,https://www.google.com/maps/contrib/113985031032043694038/reviews?hl=zh-TW,5,False,10,好吃，店員親切
 羅濟淵 ,https://www.google.com/maps/contrib/108523092854385580791/reviews?hl=zh-TW,5,True,231,訂餐取貨快速，櫃檯服務生很親切，值得再次訂餐
 Yi-Chuan Hsueh ,https://www.google.com/maps/contrib/112980266817304388372/reviews?hl=zh-TW,3,False,64,請增加店員，網路訂購取貨，前一位取完後，現場服務員無表示關心，直到外送同事回來，由外送同事服務客人。
 Jun-Yi Shen ,https://www.google.com/maps/contrib/108158649002309240955/reviews?hl=zh-TW,1,True,255,"3/23
6:54線上訂餐預定7:15
結果7:15去門市跟我說正在烤稍等一下
等到7:30店員看我還在等跟我確認
才發現根本還沒做
最後等到7:50才取到
後來也沒什麼誠意道歉
差評。"
