user_name,user_profile_url,rating,local_guide,comment_num,comment_text
 方外人 ,https://www.google.com/maps/contrib/106266295114666586814/reviews?hl=zh-TW,5,True,85,"「上善蔬食」位於信義區松仁路58號，即遠東百貨A13地下3F的美食街，捷運可到板南線的市政府站，淡水信義線的象山站，兩站都離A13約500公尺左右。
「上善蔬食」在B3的美食街，熙來攘往的人潮，人多話雜就會覺得吵，其實都是方便來逛街購物的人，也沒什麼好要求的，幸好還有隔板分內外，用餐環境還蠻優雅，座位也很舒適，還可以接受，不會影響食慾及心情。「蘿蔔糕」煎的不油不膩，嚐起來微Q內軟，還不錯吃。「香煎芋頭餅」覺得微酥帶脆，芋頭香氣十足，美味可口好吃。「紅油抄手」內餡料多實在，味道很鮮美所以吃起來很滿足。「蒸餃」餃皮Q軟好吃，內餡紮實飽滿，香氣迎人好滋味，最喜歡這款蒸餃。「私房擔擔麵」擔擔麵口感佳，伴有青菜、豆苗、豆芽菜，主要少許素魯料、花生粉粒和湯汁提味，使令色香味俱全。「梅干素肉燥飯」飯量不多，素肉燥是主軸，不會死鹹，伴著飯一起吃，更是香醇好吃，味美又順口。來A13能夠吃到如此精緻的素食料理，有著滿滿的幸福感。"
 Parie Lin ,https://www.google.com/maps/contrib/114227546417464047652/reviews?hl=zh-TW,2,True,598,"餐點⭐️：
🥢松露纖若煎餃(10顆)$180
煎餃的外皮厚且硬、內餡扎實，內餡的味道實在是吃不懂，個人不是很喜歡。
🥢酸辣湯-免費附贈
味道跟八方的酸辣湯挺像的，蠻好喝的～
🥢菜若雲吞湯麵$150
湯很淡，雲吞的味道也不是很喜歡⋯
🥢嫩煎蘿蔔糕(三入)$88
吃得到蘿蔔的香甜，但就是口感太軟了點。
-
服務/環境⭐️⭐️⭐️⭐️⭐️：
餐廳乾淨舒適，服務生人也很親切👍🏻
-
再訪意願⭐️：
個人吃不習慣這家素食的味道，應該不會想再來吃了～"
 林欣霈 ,https://www.google.com/maps/contrib/103277114652201642112/reviews?hl=zh-TW,5,False,9,"農曆初一、十五吃素。
第一來吃在川味麻辣湯麵跟蕃茄蛋滑麵做選擇。後來選蕃茄蛋滑麵（奶蛋素）都200元
超～好～吃
他的麵條真的是我最愛那種拉麵式有嚼勁的！
店小，但空間舒服
現在沒有收5%服務費了
麻辣醬也自助自行去加
服務人員正常服務我覺得很好，不用太客氣那樣太有壓力😂
目前看完評論，本人覺得改善了很多之前大家評論的缺點！
要不是離我太遠！我應該會天天吃素了😂😂😂"
 Wendy Chang ,https://www.google.com/maps/contrib/111706243649427535586/reviews?hl=zh-TW,5,True,18,"無意間發現了在百貨公司的美食街有傳統麵食類的蔬食餐廳。
點了招牌脆皮煎餃(松露口味)、般若紅油抄手麵、煎蘿蔔糕。
餃皮有淡淡的松露味，不會搶了餃餡味，再沾著醋會更提鮮，不覺得是素餃。
般若紅油抄手麵有著川味麻香，如果覺得味道淡可以自行到調味區加些辣油及醋。
蘿蔔糕煎的很好外酥內嫩。
很值得回訪及推薦非素食者嚐嚐~"
 臺北醫學大學 食品安全學系楊惠婷 副教授 ,https://www.google.com/maps/contrib/117001429491458463994/reviews?hl=zh-TW,5,True,99,今日點了酥炸臭豆腐（90元）、野菜纖若餃（160元）、紅油炒手麵（170元）、小菜兩道（梅子苦瓜跟花椰菜，每樣55元），每樣餐點都十分可口，香氣逼人，野菜纖若餃內餡美味新鮮，一點不油膩、炒手吃起來完全不像是吃素食的感覺，風味十足，兩道小菜味道也很好，苦瓜微苦但有梅子的甘甜、花椰菜燙的剛剛好，十分爽脆，個人最推薦的是店裡的辣椒醬，總共兩種，川味麻辣醬非常香，不會因為辣而搶了主體風味，手作辣椒醬則稍稍甜一些，兩種醬料都又鮮又香，佐任何餐點都非常適合！整體而言，是個很棒的素食餐廳！大大推薦！不管有沒有喜歡吃素的都可以一試！
 大口吸喵超級爽 ,https://www.google.com/maps/contrib/115983460871907246361/reviews?hl=zh-TW,4,True,310,"店面不大，環境乾淨，位置數概估大概2-30個。
這次點了川味麻辣湯麵和招牌綜合滷味，兩樣餐點都滿好吃的，比較可惜的是身為一家蔬食餐廳但湯麵裡的蔬菜量卻不是很多，不過如果愛吃辣的話一定要試試他們調料區裡的手作辣椒醬和川味麻辣醬，兩種辣醬的香氣各有特色，辣度個人覺得適中，可惜只有川味麻辣醬有在販售，等家裡的辣椒醬吃完會想回來購買該品牌推出的辣醬。"
 漫步煙嵐 ,https://www.google.com/maps/contrib/118385773249323846677/reviews?hl=zh-TW,5,True,338,價格不錯^ _ ^在信義區百貨地段裡是很不錯的。煎餃類我個人比較喜好蔬菜的。松露口味的因為是用新豬肉，對我而言風味不習慣。不過對於葷食的朋友是接受度頗高的。有附贈酸辣湯。芋頭糕偏精緻，口味上可以再軟一點會更好入口^ _ ^環境乾淨整齊，服務人員素質佳。在信義百貨區這裡，是給素食者多一個選擇喔^ _ ^
 邱奕喆 ,https://www.google.com/maps/contrib/105382345285714755021/reviews?hl=zh-TW,4,True,57,麵類表現出色，不論是乾拌麵或湯麵都有一定水準，拌上特製醬汁頗有特色，在美食街的表現可謂出眾，值得肯定🌸
 Amos Yang (餓獨萍論佳) ,https://www.google.com/maps/contrib/115014820112747222419/reviews?hl=zh-TW,4,True,206,蕃茄滑蛋炸南瓜炸金針菇拉麵最好吃，其次是野菜煎餃，炸蘿蔔糕還可以，外酥內軟，麻辣乾麵還可以，獅子頭酸辣麵也可以。媽媽說煎餃及番茄滑蛋麵好吃。爸爸說都還可以。
 一葉知秋 ,https://www.google.com/maps/contrib/116984217699492584876/reviews?hl=zh-TW,4,True,178,"整體口感：中間

1.販售品項不多（沒有麻醬或炸醬）
2.擔擔麵比抄手麵好吃
3.松露蒟蒻水餃（誠意十足但松露味偏重）
4.服務態度中間"
