user_name,user_profile_url,rating,local_guide,comment_num,comment_text
 yasuike Q ,https://www.google.com/maps/contrib/106783384668658551517/reviews?hl=zh-TW,4,True,"1,020",👉牛肉炒飯：微微的米酒香，加辣的炒飯，微辣的口感，辣椒片如同炸彈一般，只要不小心咬下，隨時引爆。炒飯炒得好吃，口感好，香氣佳。
 Ice ,https://www.google.com/maps/contrib/107008104063396869954/reviews?hl=zh-TW,4,True,608,"飯粒口感飽滿且調味、油、鹹感分佈的非常平均是喜歡的地方
蛋香較少且用料較保守是較可惜的部分"
 TzuI Yang ,https://www.google.com/maps/contrib/108497562173801673194/reviews?hl=zh-TW,5,True,114,這個口味滿滿懷念跟感動，我封炒飯段位十段，哈哈哈
 Yu-Hao Chan ,https://www.google.com/maps/contrib/107519507230342730412/reviews?hl=zh-TW,5,False,20,"搬到南港花園社區快一年，第一次吃到這家炒飯，點了外帶肉絲炒飯、羊肉炒飯⋯（本來要點什錦炒麵，老闆說今天沒賣炒麵⋯），炒飯一入口醬油鹹香適中，像是小時候吃到媽媽的炒飯但又多了一股鑊氣，順口油滑且炒飯粒粒分明不濕黏，絕對是捷運昆陽站到永春站這區域內的炒飯首選！
一定要打電話訂餐，因為我預訂也是等了50分鐘。"
 Often ,https://www.google.com/maps/contrib/114925020971860659272/reviews?hl=zh-TW,3,True,698,"炒飯個人覺得口味不會過鹹，但味道普普通通，不用抱著過高期待來嘗試
環境部分，店內座位不多，大約6~8個
另外，比較需要改善的是，晚餐用餐時段備餐需要20分鐘左右😅"
 John K.H. Lee ,https://www.google.com/maps/contrib/109518982727224404313/reviews?hl=zh-TW,5,True,189,"3張桌子的小店，炒飯非常好吃。粒粒清楚又不過硬，火候到位。加醬油但不過鹹。
蝦仁不是泡過藥水的蒼白色，鮮
比很多大飯店好吃多了。
價格實惠可以接受"
 KEVIN KUO ,https://www.google.com/maps/contrib/104597089490049297491/reviews?hl=zh-TW,4,True,"2,606",店內空間不大，只有三張桌子，店家有在設備上下功夫，油煙味不會很重，大多顧客都是外帶居多，用餐時間常常需要等待，建議先打電話預訂，吃了炒飯、炒麵、炒青菜及蚵仔湯，除了炒麵以外都很滿意，整體來說是很推薦的炒飯店。
 waiting Ho ,https://www.google.com/maps/contrib/106351101047996657972/reviews?hl=zh-TW,5,True,48,"櫻花蝦炒飯用料實在每口都吃的到櫻花蝦
飯粒粒粒分明也不會太油，剛上桌鑊氣撲鼻而來可以聞出來師傅火侯控制非常到位
蛤蠣湯清甜蛤蠣顆顆飽滿回甘"
 John Wu ,https://www.google.com/maps/contrib/104039189769406725993/reviews?hl=zh-TW,4,True,34,"喜歡吃這間的炒飯，香氣夠，蔥花香，經常去報到。
老闆態度很客氣，人手不足也真的辛苦了

Ps
1.店內座位只有三桌
2.只有老闆一人在炒，量多時需要耐心等待
3.炒飯常常很早賣完"
 hana Wong ,https://www.google.com/maps/contrib/102838115308910279068/reviews?hl=zh-TW,5,True,652,炒飯超香超好吃的（加辣更好吃），臭豆腐超熱門晚點去就賣完了，炒蛤蜊炒青菜也很讚，湯也很好喝很新鮮；店家生意很好，店內座位不多，用餐時間可能要稍等一下，很值得來吃😋
 Dino Chen ,https://www.google.com/maps/contrib/110102323401411297467/reviews?hl=zh-TW,5,True,334,炒飯，炒麵，蛤蠣湯都很好，唯一的缺點就是老闆一鍋一鍋炒，要稍微等一下。
 Wei Chun Chang ,https://www.google.com/maps/contrib/104942555554312459150/reviews?hl=zh-TW,3,True,376,"炒飯好吃！價格親民！

但服務似乎太急躁了，讓想好好靜下心吃飯的人感到壓力"
