user_name,user_profile_url,rating,local_guide,comment_num,comment_text
 Wendy W (Wooglelocalguide) ,https://www.google.com/maps/contrib/101817097303403201691/reviews?hl=zh-TW,3,True,221,"服務還不錯，但餐點需要等一段時間，有點久
蒸蘿蔔糕：本次覺得最好吃的，蘿蔔味很重，口感細緻搭配醬很棒

燒賣雙拼：普通沒有特別好吃，珍珠燒賣外面的米有點爛爛的，燒賣的外皮也爛爛的

米血豆干拼盤：聞起來很香，但吃起來沒什麼味道，醬是有點沙茶、辣醬，看起來很油

川味銷魂皮蛋：
炸皮蛋，上面有很多蔥、花生和生洋蔥以及香菜，但辣度不夠且醬有點少

功夫麵加滷蛋加辣醬：要了兩盤辣醬但還是覺得辣的香味沒出來，麵體還不錯吃，跟滷味的醬蠻類似，沙茶麻醬的味道，滷蛋就是一般的滷蛋

覺得整體用餐起來很普通，在這裡會寧願去吃別間"
 Ben Tang ,https://www.google.com/maps/contrib/103807186596505098715/reviews?hl=zh-TW,4,True,332,"「來訪日期」：2022/2/27下午
「來訪人數」：1大1小內用
「來訪分享」：來信義遠百很多次了，想說吃點不同口味，繞了一圈就選擇有下午茶氣息的春水堂，這也是第一次來春水堂，希望有不同的品嚐體驗😄

以下是這次的餐點：

1.招牌蘿蔔糕-口感有小小的驚艷，不同一般的外皮酥炸的口感，軟嫩入口綿密即化。
連女鵝👸都說不錯吃👍

2.鮮肉紅油炒手-份量稍微小了點，辣度足夠，很好下肚👌

3.酥炸杏鮑菇-剛上桌熱騰騰，咬一口稍微有燙到，口感上平平，可以稍做變化

4.珍珠紅茶-紅茶配上珍珠是我跟女鵝的最愛，喜愛的就不言贅了。🤣🤣🤣

整體來說還算不錯👌

［環境評比」：百貨美食區環境品質有符合應有的水準，用餐座位蠻多的，光線也很明亮
「服務品質」：服務人員態度都蠻親切
「續訪意願」：中，有遇到會考慮再次品嚐
「其它事項」：餐點現做要稍微等待一下下
「CP值」：中"
 Joy ,https://www.google.com/maps/contrib/112692833134218995920/reviews?hl=zh-TW,5,True,562,"服務很親切，這間的空間相當寬敞。最裡面座位區冷氣很強。推薦金針菇豆皮、珍珠奶茶、功夫麵、雞湯(三隻小棒腿肉老但湯鮮)

第一次點豆漿椒麻麵，以為是清爽有湯的，實際上扮開後是非常濃郁像熱的涼麵，沒有很合我的口味，供參考"
 Neo Kung ,https://www.google.com/maps/contrib/101038651735695220081/reviews?hl=zh-TW,4,True,953,"餐點口味其實都不錯，點的是牛肉麵
味道蠻夠的，牛肉也好吃，用的是細麵
一碗200塊
還點了些小菜像是滷味拼盤、高麗菜、
燒賣、紅油抄手
大推燒賣跟紅油抄手，真的很好吃！

位子很多，其實平日中午來不會滿
不用太擔心，蠻適合公司同事們聚餐的
上菜速度也很快

用餐體驗還不錯，就是不便宜"
 Taji Wu ,https://www.google.com/maps/contrib/104586642262223791917/reviews?hl=zh-TW,4,True,21,餐廳位在A13四樓，可能是週一晚又下大雨所以現場立即有位子，今天點了優惠套餐有兩杯珍奶，兩碗功夫麵及小菜等等，價位800多，餐點口味還行，環境整潔，是個適合與朋友相聚聊天的好場所
 lingli shen ,https://www.google.com/maps/contrib/108061556038692047264/reviews?hl=zh-TW,5,True,170,"今天的小姐服務好好幫我加水壺，門口酒精沒了也幫噴酒精，多要吸管也不囉唆，超讚態度

推麻辣皮蛋
功夫麵
炸雞"
 mayuri Hsieh ,https://www.google.com/maps/contrib/115876790108203216661/reviews?hl=zh-TW,4,True,345,燉豆腐很好吃，湯頭好喝！珍珠奶茶等比較久，感覺沒以前好喝，下次應該會換其他飲料試試💕
 施禹伶 ,https://www.google.com/maps/contrib/111971820113738271293/reviews?hl=zh-TW,4,True,40,"服務很好👍🏻
第一次吃蒸的蘿蔔糕
原本是衝著煎的蘿蔔糕來結果這邊沒有
不過蒸的也還行
環境很ok"
 Nell Liao ,https://www.google.com/maps/contrib/116056760987263018973/reviews?hl=zh-TW,4,True,251,春水堂保有一定的餐飲水準，餐食好吃飲料也很好喝，某些座位還可看到101，要說缺點，當然就是價格越來越貴
 黃英傑 ,https://www.google.com/maps/contrib/111422802578846056573/reviews?hl=zh-TW,1,True,180,真的就還好，不吃也罷。其中最難吃的是「招牌豆乾」完全沒入味，超難吃。
