user_name,user_profile_url,rating,local_guide,comment_num,comment_text
 Lulu Yun ,https://www.google.com/maps/contrib/101417732393091516765/reviews?hl=zh-TW,5,True,27,"在信義區第3次吃梁社漢，第1次吃這間，分享一下來這吃晚餐時幾個令人印象深刻的點
1.店員態度很好
2.炸排骨飯酥脆、椒麻炸豆腐的醬汁真的好吃
3.看到我懷孕行動不方便，店員很貼心的幫忙送上餐點
4.廚房工作人員感覺很歡樂

整體來說，這次體驗令人印象很深才會特別留言，米飯很香，只是這次配菜剛好有不敢吃的蓮藕😅下次路過會再來！"
 Yi Chun Lin ,https://www.google.com/maps/contrib/111019379084041991041/reviews?hl=zh-TW,5,True,293,"不會讓我失望的梁社漢炸雞腿飯💯
我唯一會吃掉的炸雞皮就是梁社漢
菜色豐富又好吃、飯也很美味🍚
總是能讓我一口接一口的把便當吃光光❤️"
 Roy Chou ,https://www.google.com/maps/contrib/104577492562888793508/reviews?hl=zh-TW,1,True,98,連續兩天叫了外送，發現這排骨已經不行了，以前吃的時候排骨厚又多汁，這兩天吃到的比60元便當店的還薄，而且乾扁扁的，完全跟剛開始的不一樣，更何況連價格都調漲了。不知道是豬隻營養不良還是開始偷斤減兩了。這可能只有老闆才知道吧！
 Kevin Wang ,https://www.google.com/maps/contrib/106363559067362905803/reviews?hl=zh-TW,2,True,110,"2021/8/18

一開幕時，炸排骨飯很棒，頗有雞排的架式，香味十足又酥脆。
現在就是普通排骨了，偏軟（我還以為是滷排骨）也變小了。

配菜也退步，越來越像超商便當。

內用時發現，不論在哪個座位，都看得到洗手間的馬桶。
蒼蠅滿場飛，
內用環境有待改善。

從開幕吃到現在，明顯的退步。覺得可惜！"
 劉大維 ,https://www.google.com/maps/contrib/114283287027150799347/reviews?hl=zh-TW,4,True,332,"最簡單的雞腿飯好吃！

點套餐多小菜和湯，台北下班算是還可以接受的便當類店家。"
 徐sofia ,https://www.google.com/maps/contrib/103749618762921976757/reviews?hl=zh-TW,5,True,96,炸排骨美味，配菜多樣有變化，飯量還是一樣的少，還是很不錯的
 herb chung ,https://www.google.com/maps/contrib/108687195744505670189/reviews?hl=zh-TW,4,True,204,"空間寬敞。味噌湯好喝，餐點還OK,水準之上。炸排骨好吃，肉大塊又紮實，味道比滷排骨好吃些。"
 Alice Huang ,https://www.google.com/maps/contrib/104545388063350192719/reviews?hl=zh-TW,3,True,167,"之前經過，看照片食物拍的很好吃，又說是五星飯店主廚手藝，所以今天就來吃看看。開始點餐電子化很不錯，載具發票付款都方便！
但吃了結果好失望，滷排骨吃起來有點粉粉的，還有咬不斷是怎麼了嗎？
跟其他品牌排骨飯比起來，誠品南西美食街名廚排骨比較優，但第一名還是老品牌君悅排骨好吃！！
雖然這間連鎖店的環境不錯，但有隻蒼蠅🪰飛來飛去的，離峰時間回收區架上有碗盤也不收，有食物殘渣晾在哪是等生蚊蠅嗎？防疫期間衛生需要多加強。
味噌湯非常鹹。燙青菜還可以。"
 黃甯甯 ,https://www.google.com/maps/contrib/114867024018709812469/reviews?hl=zh-TW,5,True,179,飲料香檸茶好喝下次再試其他餐點
 BaBy JULIA ,https://www.google.com/maps/contrib/116625912668410413356/reviews?hl=zh-TW,5,True,551,來旁邊大樓受訓，中午吃這家當午餐，炸排骨肥瘦很剛好，不會太瘦太柴也不會太肥，有醃過調味排骨酥炸後很香～一份炸排骨飯110元可惜沒付湯須另外加購。有自動點餐機是特色。
 劉俊宏 ,https://www.google.com/maps/contrib/110711122732693924997/reviews?hl=zh-TW,3,False,4,場地乾淨、炸排骨好吃、雞腿偏鹹、飯量足夠、配菜偏少、沒有一般便當店提供的免費熱湯，cp值不是太高。
 Maureen Tseng ,https://www.google.com/maps/contrib/109659065335657784994/reviews?hl=zh-TW,3,True,307,份量太少，味道雖然不錯但是感覺也沒到那個價錢，性價比不高。
 Stephen China ,https://www.google.com/maps/contrib/100076508495302422164/reviews?hl=zh-TW,1,False,13,排骨品質不穩定以前好好吃但服物爛極了今天的炸過黑金黃泡菜30元幾片而已很失望以後不吃了黑名單
 程aliason ,https://www.google.com/maps/contrib/117477460943267082607/reviews?hl=zh-TW,4,True,278,"炸排骨飯$110，沒有附湯（另外點蘿蔔排骨湯@25），排骨炸得酥軟好吃，但配菜不多，是女性的份量，男性可能吃不飽。有自助點餐機但用機器點餐就無法使用現金支付；可能因為點餐後才現做餐點，等了15分鐘餐點才到。
排骨飯好吃，另外點的皮蛋豆腐、燙青菜則太鹹，燙青菜份量少得可憐，蘿蔔排骨湯不錯喝但份量很像贈送的湯。"
 Cindy Huang ,https://www.google.com/maps/contrib/106431179867230517682/reviews?hl=zh-TW,5,True,21,"很湊巧，在爬完象山步道之後，
第一次吃梁社漢排骨飯，
沒料到碰上永春店開幕的第一天，
厚實不柴的排骨肉，炸得外酥內軟，
簡單的炸豆腐也是好吃的小點，
乾淨整潔的用餐環境，
服務人員態度親切，
整體來說令人感到滿意，
是會排進口袋名單的店。
最開心吃到好吃的餐點，推！
注意：這店採自助點餐系統，
用完餐記得要把餐盤放回回收架。"
 Venci ,https://www.google.com/maps/contrib/102969820757043545127/reviews?hl=zh-TW,4,True,285,"第一次吃梁社漢，
是因為看到自助點餐機，
覺得賣便當也用這方式點餐很有趣。

店內環境滿像咖啡廳，
不過內場的音樂兩度比外場音樂大聲⋯⋯
整間店變得很吵不然真的有身置咖啡廳之感。

建議內場的門裝個門簾，
19:30內場清洗時用的消毒水和清潔劑的味道，
讓人在吃飯時聞到，覺得有點反胃。

最後是雞塊麵$80，
我覺得這價位不貴可接受，
但口味普通不是我的菜～
不過店內電視一直播放的炸排骨廣告，
讓我很有興趣，會為排骨再來一次。"
 只說事實 ,https://www.google.com/maps/contrib/118228145744962664011/reviews?hl=zh-TW,3,False,10,這個紅燒肉真的是不敢恭維上來看評論才發現原來我不是例外這個油是沒在換還是炸了都不看？
 Shian ,https://www.google.com/maps/contrib/103378526547706121481/reviews?hl=zh-TW,2,False,11,"半碗不到cp值是否太低
便當就不錯但單買燙青菜這菜量真的不行！"
 Dear John ,https://www.google.com/maps/contrib/101984288879877920135/reviews?hl=zh-TW,4,True,752,餐點多樣、配菜飯、麵(湯），還不錯吃。
 Ruby Cheng ,https://www.google.com/maps/contrib/107769620916965676662/reviews?hl=zh-TW,1,False,11,"現場買了兩個炸雞腿便當外帶
品管沒做好一隻雞腿壞掉另一隻也是回炸很多次又乾又難咬

很差的體驗
吃梁社漢吃這麼多次第一次遇到這麼雷的。"
 吳畇䅿 ,https://www.google.com/maps/contrib/100675584472923128936/reviews?hl=zh-TW,1,False,30,店員戴著油膩膩的紫色手套交付金錢與餐點、並且完全不聽客戶說話「秋葵清燙不加醬、飯減半、不要湯」每一個都沒做到，超級不推。
 陳自立 ,https://www.google.com/maps/contrib/108580142204203098559/reviews?hl=zh-TW,1,False,6,"我第一次等兩個便當等了20分鐘，看到別人的便當一直拿，最後跑去問你們我的便當做好了嗎？後台說沒看到單子，以為已經拿去前台，我又跑去前台問、前台也說沒收到便當？浪費我的午睡20分鐘、也只說了一句不好意思？
有誠意點說就算了！一臉臭臉的說是？？

我下次絕對不會再去了！這個評價也別想要我刪掉！奉勸路過的人寧可去吃飯附近的池上便當也不要再進去消費了！"
 吳致宣 ,https://www.google.com/maps/contrib/109522727893313279434/reviews?hl=zh-TW,2,False,74,椒麻雞外帶沒有放醬料，請問是賣什麼料理
 李小姐 ,https://www.google.com/maps/contrib/107284184779770619287/reviews?hl=zh-TW,5,True,8,"服務態度超讚啦！
取錯餐，還專程送餐到家！"
 William ,https://www.google.com/maps/contrib/109416152368230901751/reviews?hl=zh-TW,4,False,36,店員態度活潑，食物不錯吃，但價格偏高一點~
 Wei Chun Chang ,https://www.google.com/maps/contrib/104942555554312459150/reviews?hl=zh-TW,3,True,376,簡單味道可以的便當店，環境很乾淨
 林曉逸 ,https://www.google.com/maps/contrib/113210825442769891481/reviews?hl=zh-TW,1,True,122,"萬物皆漲漲價就算了不要偷工減料
第一次買椒麻雞飯今天買第三次也差太多
雞腿剩四塊生菜份量也是少的可憐
最扯的是便當的飯量薄薄一片真的好誇張
不知道是廚房員工問題還是原物料漲價
拜託你要漲價可以料縮的太扯了
近期不會再買了"
 高帝 ,https://www.google.com/maps/contrib/102742344886403264771/reviews?hl=zh-TW,2,False,19,今天去買便當，結帳發現漲價了，唉！萬物齊漲，一位小姐比我晚來，但因為開車併排停車催服務人員先給她，我看到想說晚上路窄車多，先疏解交通問題，並無提抗議，買回家用發現一個不一樣，有一個便當少一樣菜，雖然是連鎖店，漲價是可以品質也要顧好才是
 Brian Liu ,https://www.google.com/maps/contrib/113104305752338388711/reviews?hl=zh-TW,5,True,89,配菜的量可以再多一點。
 n9813213 ,https://www.google.com/maps/contrib/115625314364722775189/reviews?hl=zh-TW,1,True,50,今天外帶椒鹽雞塊便當2個.黃金炸豆腐1份.白飯1份，雞塊半點椒鹽都沒有，豆腐白的根本沒酥炸皮.豆腐本身沒鹹還沒加醬！糟糕的消費體驗，虧廣告還拍的那麼好看
 Huang Liang-Wei ,https://www.google.com/maps/contrib/103258383952412107944/reviews?hl=zh-TW,1,False,15,買外帶，排骨夾起來有小蟑螂在爬。
 Leeflower Chan ,https://www.google.com/maps/contrib/112388158690382278721/reviews?hl=zh-TW,3,False,113,它的分店很多，吃過北宜路和信義區兩家分店，都是點外帶今天不曉得是否年節關係，感覺配菜需要加強，有點失望！
 TIGER LING ,https://www.google.com/maps/contrib/116337539960051413107/reviews?hl=zh-TW,5,True,59,餐點口味、品質OK，環境乾淨衛生
 bing ,https://www.google.com/maps/contrib/101329392689589814699/reviews?hl=zh-TW,4,True,"1,135",還OK，排骨肉滿厚的
 ACE Peng ,https://www.google.com/maps/contrib/117198846492694589606/reviews?hl=zh-TW,1,False,7,"點了炸雞腿餐
結果少放炸雞腿
來了只有菜飯！？

打電話過去說會幫我送過來
結果等了快一個小時都沒有等到

飯都涼了
心也涼了
一家連鎖餐廳竟然做成這樣

重點是我家跟店家
騎車只要3分鐘
真幽默"
 Alvin ,https://www.google.com/maps/contrib/114281025922531118755/reviews?hl=zh-TW,2,False,24,"1.内用時，天花板桌上的強光照頂，讓人很不舒服，眼睛也好痛，另外桌上也都油油的，明明店沒什麼人，想好好舒服用餐的位子好難選。
2.食物部分，排骨炸得不夠酥，而且很油膩，應該是油溫不夠，還有排骨變小了，筋沒處理過，咬不斷呀，還我大塊酥脆的排骨飯呀。"
 Cody Chung ,https://www.google.com/maps/contrib/116042307292159645939/reviews?hl=zh-TW,1,False,37,出餐順序毫無標準，內場備餐不知道在幹嘛，用自助點餐機點完，比後續跟櫃台點餐的客人都還晚才完成餐點，不論外帶還是內用，變相懲罰用自助點餐機的客人，在門口罰站超過20分鐘，等到剩我1個人店員也沒有警覺，反映後竟然回答可以打電話跟總公司反映，這種公司的服務很可以，想體會的人一定要用門口那台機器點餐。
 Che Yuan Chang ,https://www.google.com/maps/contrib/113517120220199290272/reviews?hl=zh-TW,4,True,516,"這次點了炸雞腿飯，玫瑰油雞麵，燙青菜，皮蛋豆腐四樣。拿手機進入官網點餐，自行領取外帶。可以預約時間取貨。

使用手機進入官網點餐的體驗還不錯，簡潔，容易上手，不容易點選錯誤，付款方式可以有不同選擇，這點加分，但是沒有發票載具的設計，有些缺憾。

店家包裝的不錯，所點的湯麵，有專用的盒子將湯與麵條隔開，避免麵條因為泡湯太久致口感軟爛。

主菜相當好，炸雞腿多汁，調味也不會太重。油雞的味道也相當好。附菜也不錯，份量跟其他便當店差不多。飯、麵的口感也好，麵條有嚼勁，但份量就悲劇了，少到讓人搖頭。

加點皮蛋豆腐有點過鹹，份量也偏少。燙青菜的份量就令人憤怒了，少到讓人覺得是不是給錯成便當附菜，是這次點餐覺得最不划算的一道。

整體來說，以這個價位來說品質不錯，但份量上太少。"
 eric chu ,https://www.google.com/maps/contrib/104800637781593957588/reviews?hl=zh-TW,5,True,73,不錯吃，環境乾淨
 Lung Lin ,https://www.google.com/maps/contrib/108578520223728237077/reviews?hl=zh-TW,1,False,21,叫外送愛接不接的，接了又說不送上樓，然後說自取30分鐘，結果自取了拿回家只有便當還少兩隻雞腿，服務真的超爛。
 RYaN LiU ,https://www.google.com/maps/contrib/109555120421128003879/reviews?hl=zh-TW,2,True,257,第三次造訪！1顆星是給在疫情中還能提供餐點給大家辛苦了！第2顆給門口一臉很疲累的弟弟，雖然你沒跟內場講清楚要外帶，造成他們的困擾，然後她們一臉兇惡的看著我。好像是我的問題一樣？最後我來離開時您還給我說謝謝，我也跟您點頭致意。希望你們知道，雖然你們只是打工的員工。但是你們穿著制服就代表這家店。店裡播放著創辦人的理念，然後你們完全背道而馳😢😢😢
 發財貓貓 ,https://www.google.com/maps/contrib/115365372085241730933/reviews?hl=zh-TW,4,True,"1,694","第一次點椒鹽雞塊，
要先在外用點餐機，
先結帳後再進裡面，
會叫號取餐，出餐速度快，
五分左右好，有附味增湯，
味增湯好喝，主菜有六塊，
皮脆肉嫩的，還算不錯吃，
副菜有三樣，高麗菜好吃，
豆子就普通，甜不辣不錯，
蘿蔔乾下飯，整體還不錯，
餐盤自己拿，吃完自己收，
地板有點滑，走路要小心，
一星給兩分，我會給八分，
評分:8/10分。"
 蘭嬋錦 ,https://www.google.com/maps/contrib/100496462428620314570/reviews?hl=zh-TW,5,False,1,排骨外酥內軟肉嫩又入味，雞腿肉嫩Q彈有嚼勁，副菜份量夠味道好食材新鮮，白飯也非常香Q。
 卓長慶 ,https://www.google.com/maps/contrib/112981407676935149961/reviews?hl=zh-TW,5,False,3,排骨飯超級好吃又酥必點美食
 Shu Cc ,https://www.google.com/maps/contrib/113344279456401639444/reviews?hl=zh-TW,1,False,7,"外帶做好了就放在旁邊也不喊單，
我就坐在出餐口正前方等餐，
聽著我的號碼直接被跳過，
走去問看著餐點已經在餐口上，
問店員剛剛沒有喊單吧？負責喊單的女店員直接往後走裝沒聽到，另個男店員搞不清楚狀況走去問女店員有沒有喊，女店員居然回答有喊！！！！睜眼說瞎話，我就坐在出餐口前面聽號碼，沒有喊就沒喊還說謊？
看其他評論也有人遇到同樣問題，外帶等半天等不到，看樣子並沒有主管在教育這些員工，也不會改善，勸大家別來買飯浪費時間還受氣！"
 oojiaxgl ,https://www.google.com/maps/contrib/114106558620520418991/reviews?hl=zh-TW,1,False,3,點餐後等有夠久，明明也沒其他客人了，餐點早就做好了也沒人出餐或告知哪裡可以領取，外場顧著做自己收銀的工作，內場也沒人送餐直接開始關店打掃，讓客人白白站在外面一乾等快20分鐘。還是自己覺得也等太久感覺奇怪一直往店裡看，外場才慢吞吞進去拿。不會再次光臨了，有夠誇張
 武興綸 ,https://www.google.com/maps/contrib/104687000941087699713/reviews?hl=zh-TW,5,False,1,很好吃的便當，配菜也都相當美味而且不會重油重鹹，最愛吃他們的炸雞腿飯，酥酥脆脆的配飯也很好吃。
 Jason Chen ,https://www.google.com/maps/contrib/114936355333365972915/reviews?hl=zh-TW,1,True,53,"櫃檯態度很差，雞塊沒有椒鹽，餐點份量是以前的6成，味道也變難吃許多

如果想要吃難吃餐點推薦來這家"
 Enzio Ren ,https://www.google.com/maps/contrib/100439241792967209934/reviews?hl=zh-TW,2,True,35,有蟲在飛地板是黏的衛生堪憂
 邱翔 ,https://www.google.com/maps/contrib/109698487327679535917/reviews?hl=zh-TW,2,False,7,官網訂餐後照官網時間去拿，還是要等10分鐘（不只一次），不知道為何要用網路訂餐
 蕭新翰 ,https://www.google.com/maps/contrib/115922422547904425549/reviews?hl=zh-TW,1,True,198,"叫外送，東西不錯吃！
但外送的餐點定價是不是跟現場差太多了？外送就算有抽成也不應該把定價灌給效費者吧？外送平台畢竟也是有跟消費者抽運費。我不認為直接把抽成費用加到消費者身上是合理的理由。"
 吳竹琛 ,https://www.google.com/maps/contrib/100947151524608404080/reviews?hl=zh-TW,5,False,1,每天到了用餐時間總是令人煩惱，到底要吃什麼呢？便當店的選擇也是不少，之前朋友帶我去吃一次就一直念念不忘
 Yeh Miyu ,https://www.google.com/maps/contrib/102739770871320690956/reviews?hl=zh-TW,3,True,66,椒麻雞的味道不是很地道，醋味太重，不麻也不辣。
 Wen Deng ,https://www.google.com/maps/contrib/108283834551600975385/reviews?hl=zh-TW,3,True,36,店面乾淨整潔，惟料理裝盤看起來很大，不過淺淺的，或許不同菜色情況不一！！大約六七分飽，以35歲左右男性而言！！
 Michael Pei ,https://www.google.com/maps/contrib/103593152218589833940/reviews?hl=zh-TW,1,False,4,透過熊貓平臺點餐，明明是套餐，但是該附飲料及滷鴨蛋都沒有，跟店家反映，還理直氣狀的說，有跟外送員確認過餐點內容，要我們跟熊貓反映，他們不負責，爛透了，不會再點他們家的餐點了！
 顏仕豪 ,https://www.google.com/maps/contrib/102244331469029801500/reviews?hl=zh-TW,4,False,18,"用餐環境不錯。是可以安心帶小孩來的地方
主菜排骨我給100分但但便當內的其他配菜我給20分希望能改良"
 蔣佳昌 ,https://www.google.com/maps/contrib/113149756633545785388/reviews?hl=zh-TW,1,False,6,網路訂餐，二個炸雞腿飯，一個魯排骨飯，自己去拿，回家發現，給我放一個雞腿，一個炸排骨，一個魯排骨，電話反應還一直打不進去
 蔡阿布 ,https://www.google.com/maps/contrib/118412307812781907604/reviews?hl=zh-TW,5,True,39,"1.店內環境乾淨明亮
2.點餐平台系統操作簡單、多元化支付
3.自個兒點餐、取餐、回收,之後應該變無人化店舖了
4.炸排骨肉質軟嫩適中
5.不知其它連鎖店是否也是如此"
 Angela Cho ,https://www.google.com/maps/contrib/106949433395142026503/reviews?hl=zh-TW,2,False,2,"飯菜不錯
環境看起來感覺乾淨
但不確定是不是剛開店營業有清潔過的味道
味道個人真的無法接受內用餐"
 吳小如 ,https://www.google.com/maps/contrib/102046002693526872274/reviews?hl=zh-TW,5,False,4,東西好吃，服務態度很好
 潘涵冬 ,https://www.google.com/maps/contrib/103170626178334241512/reviews?hl=zh-TW,5,False,1,超好吃的便當店，每當用餐時間就有大批人潮排隊購買，出餐速度很快，食材新鮮。
 mehuw hum ,https://www.google.com/maps/contrib/113702899221273321801/reviews?hl=zh-TW,1,True,34,明亮，地點不在鬧區，位馬路邊，如果想清靜吃餐或幾人小聚是不錯選擇店
 葉書豪 ,https://www.google.com/maps/contrib/101350415368665294756/reviews?hl=zh-TW,1,False,21,5/30晚上六點多到店外帶，回到家約5分鐘。飯菜全部都是冰冷的，超級不推。
 柯柏臣 ,https://www.google.com/maps/contrib/102009174095493436607/reviews?hl=zh-TW,1,False,7,真的太扯網路訂餐時間11:30結果12:50才到打給客服也沒用處理速度非常慢建議各位不要訂全部門的人都在等便當事後處理也不周全非常不優
 赫 ,https://www.google.com/maps/contrib/103952640190833334395/reviews?hl=zh-TW,5,False,11,"服務人員超親切的！
大推！
環境乾淨品質超好！
店長的口號超洗腦
排骨鮮嫩多汁，雞腿卡汁卡汁
頭髮整個很繽紛"
 XiuPing Lin ,https://www.google.com/maps/contrib/107297262039687837164/reviews?hl=zh-TW,3,True,161,口味ok但配菜不夠用心便當份量較少一般男生可能無法吃飽且價格偏貴優點是環境明亮乾淨
 FANLY CHOU ,https://www.google.com/maps/contrib/102501504529004551043/reviews?hl=zh-TW,3,True,131,這店餐點普通
 鄒愛雪 ,https://www.google.com/maps/contrib/108963820787383759062/reviews?hl=zh-TW,5,False,3,點了炸雞腿飯，雞腿很大一隻，可以見到外皮炸的酥脆~好吃
