user_name,user_profile_url,rating,local_guide,comment_num,comment_text
 黃怡婷Yi-ting ,https://www.google.com/maps/contrib/103038136368139233571/reviews?hl=zh-TW,5,True,294,"因紀念日特別訂位，來到大名鼎鼎的教父牛排創始店，時尚又正統的空間，卻搭配從頭到尾都讓人備感舒適自在的服務-真的要對照顧我們這一桌的那位小姐比個大大的讚，孩子因為太愛佐餐的麵包一連多要了兩次，最後上甜點前，小姐主動問孩子說是否要再來一個，沒想到回應是再度點點頭XD..於是兩份套餐(老饕牛排和紐約客)又加點一份特製培根炒飯/蒜片分開-因顧慮到小子不吃蒜但爸爸卻超愛大蒜而為我們特別做的安排，一頓飯下來，服務比起侯布雄更到位又人性化值得5+1星，也破了本人今年度吃最撐的一餐。

在平日週間晚上除了包廂客人，只有連我們3桌，是很可以放鬆且好好聊天的用餐氛圍!一份套餐均價在$2750~$3500之間（外加10%服務費），包含開胃菜、湯品、冷/熱三道前菜、主餐和甜點(都有佐冰淇淋類，另有招待一小碟糕點)、飲料，大啖美食和愉悅的用餐經驗，很值。酒喝多了不擔心，店家有代客叫計程車的服務。"
 劉于芯 ,https://www.google.com/maps/contrib/112489605235976746714/reviews?hl=zh-TW,5,False,24,"2020年/三訪/晚餐/鐵板區/生日慶祝
1.服務非常周到細心，還沒開口就已經注意到客人的需求。裝潢、洗手間有點老舊了，但用餐氣氛還是不錯，衛生也很好。
2.餐點從前菜鮑魚龍蝦湯品到主餐都非常好吃，美國老饕3分熟無血水外酥內軟。日本和牛完全是入口即化，師父會觀察顧客對餐點的喜好，做適當的調整。👍

我不是專業的blog，牛排都被我拍醜了~
雖然餐點幾年來一直沒什麼太大變化~
可是非常經典好吃，師父功力一流~
一陣子就會想回來的好店。
值得推薦~"
 許吉米 ,https://www.google.com/maps/contrib/102032915662949696915/reviews?hl=zh-TW,4,True,61,"1.服務人員：有一位服務小姐，真的是這家店的靈魂，服務和態度一流。其它人可能生澀一點。但服務業很難留住好的員工，好像很正常。

2.餐點：精緻亦不失水準。

3.環境：當天只有一個包廂有人。場外有兩桌。環境算好。我想來客數不多的原因，大概，價錢和分量可能有一點點差異。

4.內容：麵包可能是典型的硬麵包，算好吃。主餐：外酥內軟，蠻好吃的。甜點：精緻。餐後飲料：茶是泡好送上，蠻建議可以改用壼沖，客人多喝點茶，自然就是開心。

結論如果你喜歡在東區混，屬於小巧精緻的牛排店。價錢一等一。但物有所值。"
 Andy So ,https://www.google.com/maps/contrib/118136264091449109173/reviews?hl=zh-TW,3,True,15,"餐點基本ok,entree的魚有點柴，不知道是不是煮過頭了。但是服務的部份本身感覺沒到價錢該有的水準。
用餐過程被一位服務生撞了一下，對方竟然沒有發現。在吃主菜的時候一口肉剛入口服務生跑來請我們點甜點和飲料。另外很感謝週年紀念送我們的蛋糕，不過上桌後我都還沒開始吃就直接上了有帶冰淇淋的甜點，這是要逼死誰Orz
總結是同價位還有更好的選擇，同樣是教父也可以不選這間店。"
 GwenGwen ,https://www.google.com/maps/contrib/111316294306232480668/reviews?hl=zh-TW,2,True,91,"吃過幾間差不多價位的牛排館，即使是套餐裡面的配菜，只有海鮮選項時，針對不能吃海鮮的客人如果提出也能有所變通，第一次遇到說沒辦法的。濃湯小杯到有點不知道說什麼⋯⋯牛排老饕還可以，菲力難吃。整體來說這種價位還有更多更好的選擇。

*歡迎按讚美食紀錄粉絲團搜尋🔍都生無可戀了，還不好好吃？"
 Sharia Su ,https://www.google.com/maps/contrib/109209949646506424184/reviews?hl=zh-TW,4,True,705,"老饕牛排還是一樣很嫩好吃
一客中午套餐也是要3000含稅，大約6盎司
前菜好吃湯也是，雖然裝潢老舊不過我還是覺得台北市它最好吃！"
 Joris Tseng ,https://www.google.com/maps/contrib/112307878240538533336/reviews?hl=zh-TW,4,True,608,"前菜：香煎干貝表皮酥脆，搭上濃郁奶醬和新鮮玉米粒，口感和味道都很不錯；伊比利豬火腿鹹度適中，草莓丁和巴薩米克醋有效均衡了火腿的味道，不會過於膩口。

湯品：卡布奇諾蘑菇湯，奶泡灑上菇粉，將香氣提升到另一個層次，熱度也相當夠，暖胃好喝。

主餐：肋眼菲力牛排點的是三分熟，但口感仍稍有嚼勁，但以午間套餐950元的價錢來說，已算十分平實。

甜點：巧克力舒芙蕾上層酥脆，內裏濕潤柔軟，搭上焦糖培根冰淇淋一同入口是一大享受；焦糖蘋果包入濃郁乳酪，單吃或配上香草冰淇淋吃有著不同口感，兩種甜點都很值得嘗試。"
 PY Wu ,https://www.google.com/maps/contrib/106583851337522638893/reviews?hl=zh-TW,5,True,33,"照片中的是美國肋眼菲力(照片2中形狀較不規則、有整塊的油質的)以及澳洲和牛紐約客。Danny&Company的牛排最讓人驚艷的是，牛排的表皮都烤得很酥脆，帶有一點焦香味，裡面的肉質卻還是相當鮮嫩，不會過熟。肋眼菲力三分熟帶有一點嚼勁，但不會太老～和牛則較為軟嫩～
午餐時段只能選擇一道前菜(或湯)，但搭配餐包、主餐還有甜點、飲料吃下來還是相當有飽足感。平均一人1500左右的價格，能享用到超過此價位水準的餐點，CP值蠻高的！"
 林秀雲 ,https://www.google.com/maps/contrib/101743677897915196204/reviews?hl=zh-TW,4,True,129,頂級肋眼牛排三分熟沒血水很嫩很好吃！第一次吃米其林，甜點四種都吃了，好撐XD唯一缺點提早到餐廳沒有提供候位的椅子
 Angel Angel ,https://www.google.com/maps/contrib/102051907370842410864/reviews?hl=zh-TW,4,True,273,6盎司的菲力非常有飽足感，前菜跟甜點也都很有水準。烤熱小圓法國麵包搭配松露奶油，真的很難抗拒啊！離大安捷運站不遠交通方便，商業午餐CP值算很高的。環境氣氛高雅，服務人員專業親切。
