user_name,user_profile_url,rating,local_guide,comment_num,comment_text
 林茶米 ,https://www.google.com/maps/contrib/104177962841355745165/reviews?hl=zh-TW,3,True,50,"探店：#仨星馬餐室

一間在大安路上的新店，晚上有點餓卻想不到吃什麼，乾脆來探店好了！

先來說說他的海南雞飯，做的算是很道地，飯煮得很不錯，米粒口感很好，有雞油跟淡雅的薑香.雞肉很軟嫩煮的恰到好處，但因為是肉雞，肉質難免鬆散沒，如果可以加40換更好的雞肉我願意...不然做得真不錯.

高麗菜爽口，但顏色呈現上不太行，
不過至少不是軟爛.排盤上的顏色也許需要做點加強，隨便把一片香菜或是幾粒蔥蓋在飯上都會好看少許，簡單來說橘綠黃都不夠，很蒼白，看起來就比較不可口.

另外還點了肉骨茶，裡面的肉跟料很足，藥膳味有一點，蒜頭味不夠濃，喝起來既不像海南派也不像福建派，有點像是小火鍋.裡面的肉偏彈牙鮮甜，口感都還不錯，部分比較瘦的稍柴.

這兩道菜吃起來印象點不多，畢竟我是人家快關店才去的，可能會比較失常，感覺有機會要再去試試別的菜色.

#茶米探店
IG:DVDLIN
YouTube:茶米蛋

#茶米在台北2022
#茶米回台2022
#茶米肥台2022
@仨星馬餐室"
 伍玖玖 ,https://www.google.com/maps/contrib/104628999236830952049/reviews?hl=zh-TW,3,True,465,"內用座位數不多，店內空間較小，多以外帶為主。加100元可以有4塊炸雞跟30元飲料，飲料都放在飲料櫃裡自取，超過價錢要補差額。口味中規中矩較沒記憶點。

辣死辣媽飯160元，一隻大的炸雞腿配配菜份量很少，但白飯很厲害，有一點鹹鹹的，醬料味道微辣，與品名不符。

海陸咖哩叻沙210元，裡面有油麵跟米粉，很奇怪的組合，而且麵很快就會滿湯汁爛掉了，湯裡有二隻蝦子跟一些雞肉，配上一堆火鍋料，湯頭還可以。"
 熊熊肥跳跳 ,https://www.google.com/maps/contrib/110306458604309832470/reviews?hl=zh-TW,5,True,144,"令人驚艷的美味
海南雞肉軟嫩
配菜也很好吃
雞油飯很香

沙爹雞肉串$120
有4串份量滿可以的
沙爹醬很好吃大獲好評
就是雞肉比較柴

🦐星馬正宗蝦麵$220（不確定價格）
第一次吃這個，湯頭非常鮮美
蝦味濃郁就是滿滿的蝦熬煮的感覺😍
謝謝蝦味的人應該會很愛
微辣又鮮甜還有雞肉份量我覺得很夠～
麵竟然是兩種米粉跟拉麵雙重享受😎
小建議是蝦子可以先剪掉鬚跟尖刺
吃的時候比較方便👍"
 Jarod Chen ,https://www.google.com/maps/contrib/105470044866760544533/reviews?hl=zh-TW,5,True,203,"馬來炒粿條160元（加2隻蝦+50）=210元

炒粿條好像也有翻譯成炒叼貴的樣子
與中式乾炒河粉泰式炒河粉padthai不同但有點相似上網查了下似乎是因傳到不同地方有了變化
三種好像都有豆芽菜？
（padthai偏甜因為有羅望子醬）

馬來炒粿條
因為很想吃蝦問店員可不可以客製化加蝦店員爽快答應蝦還算大隻不過50偏貴
配置有魚丸甜不辣（魚板？）韭菜豆芽菜正常是2隻蝦
有加辣比較好吃
有入味炒粿條還算不錯但吃到後來底部小油

原價160價格算實惠
會想再訪
店內明亮清乾淨"
 Kenneth Wang ,https://www.google.com/maps/contrib/114559812717907633742/reviews?hl=zh-TW,4,True,428,"相當純正的馬來小館,可以吃的到海陸咖哩Laksa,海南雞,更有驚喜的檸檬魚,口味超乎水準的好,新鮮份量又足,另有多種小菜可選,值的再光顧."
 Rachel Wang ,https://www.google.com/maps/contrib/105389243764001395623/reviews?hl=zh-TW,4,True,833,"｜服務｜免服務費。

｜餐點｜
馬來炒粿條（160元）味道微甜微鹹，不會太油，只是有些微焦味。

綠咖喱雞飯（150元）中辣，很像是薑的辣味，雞肉蠻多的。

《不推》馬來奶油雞飯（160元）雞肉是炸的，肉質有點乾硬。"
 Finn芬恩 ,https://www.google.com/maps/contrib/112084926632101722318/reviews?hl=zh-TW,5,True,89,"🔸海南雞飯（招牌）$130元
油亮亮又軟嫩的雞肉~單吃鹹香味足且剛好
尤其常常令人避之唯恐不及的雞皮
吃來咕溜沒有油膩感，與嫩口的雞腿肉一起下肚
可以滿足無肉不歡的肉食人、同時也是清新爽口的好好味

米飯part，
飯裡頭有加入薑末，因為我本身是不討厭薑味之人
所以這飯我吃得很開心

整體份量有足吃的飽，雞肉嫩口調味好
是我會再回訪購買的選擇❤️
下次也可以來吃吃看其他口味囉"
 ayo xu ,https://www.google.com/maps/contrib/102561355236595262453/reviews?hl=zh-TW,5,False,5,今天點了肉骨茶和炒粿條，肉骨茶屬清爽的口感，即使在目前炎熱的夏日中午也不覺得負擔，炒粿條加上店裡特製的辣椒也很香，有獨特的風味，重點不加辣的炒粿條小朋友也可以接受，而且很愛吃！
 Sylvia Su ,https://www.google.com/maps/contrib/117597040707417681852/reviews?hl=zh-TW,4,True,644,"點了綠咖喱雞飯（NT.150元）、瑪莎曼咖喱雞飯（NT.150元），兩個味道差異不大，雞肉的份量蠻多的！

整體不驚豔，表現中規中矩。店內不大，位置稍小，但整體蠻整潔的！"
 Brook Li ,https://www.google.com/maps/contrib/102858033790446409074/reviews?hl=zh-TW,5,True,"1,994","外帶辣死辣媽飯，相當滿意。因為自己在新加坡、馬來西亞都吃過當地的NasiLemak且念念不忘，在這裡獲得了滿足。
這裡的辣死辣媽飯會搭配酥炸大雞腿，雞腿炸得外酥內多汁，而且真的大隻。NasiLemak本體的椰漿飯、及不可以少的小魚乾花生也都非常可口；當然還有風味來源的參巴醬，開胃又下飯。
店家態度親切，店內環境雖不寬敞，但舒適溫馨。"
