user_name,user_profile_url,rating,local_guide,comment_num,comment_text
 彥伶陳 ,https://www.google.com/maps/contrib/103256461748448425740/reviews?hl=zh-TW,4,True,235,滿不錯的用餐空間，每一區都有區隔聊天也不太會吵到隔壁桌，也有小小的10位左右的獨立包廂，重點是［沒有限時用餐］這在大台北地區真的是非常難得～可以慢慢用完膳再繼續泡茶聊一個下午，餐點有蔬食也有葷食，飯類，麵條，茶點，甜品皆有多款選擇，十多年曾到此集團用餐過，到現在主要的餐點都還有(芋香珍奶是必喝的)，實在是太強大了也一直創新推出許多不油不膩的餐點～主要餐點都不會雷，也滿養生的不會太油膩還真的滿推薦的，唯一美中不足的是，服務生太多嗎？一直來收餐盤還有一直來加茶水，一直打斷客戶的聊天~想要好好聊天感覺說話會比較累一點一直被打斷～建議餐點用完再一起收回，另外建議可以放一壺小茶水也省去服務人員要一直走動影響用餐的氛圍~~
 柔柔咖 ,https://www.google.com/maps/contrib/106229985852761577463/reviews?hl=zh-TW,4,True,918,"買過幾種飲料都還蠻好喝的，疫情期間有開始販賣外帶便當。

外帶便當份量適中，以便當來說價格略高，有附一杯飲料但只有兩種可以選，現在都已經不是先做好到外面擺攤販賣了，希望飲料能多幾種選擇或是補差價換別的。

點餐人員和結帳人員告知的等待時間不一樣，實際拿到便當的時間又不一樣，還好實際上是比較快不是等更久，不然最長的說到要等40分鐘真的有點誇張了。

餐點內容不錯，擺放的很整齊乾淨，味道上偏淡也還不錯，茶葉蛋上有些蛋殼沒撥乾淨。"
 汪紫薇 ,https://www.google.com/maps/contrib/100734850814457060850/reviews?hl=zh-TW,5,True,156,店內環境很舒適，只是跟隔壁桌距離比較近一些，用餐時間人一多難免會聽到別人聊天內容，但不影響我對這間店的喜歡，除了這是吃的鮮魚餃很多汁美味外，我非常喜歡這間店的甜點，茶乳酪蛋糕及913茶王布丁！這兩款甜點價格都在百元內，吃起來的質感和口味確是遠遠超過百元🤩💖推薦給喜歡茶甜點的人！！
 胡碧儀Francese ,https://www.google.com/maps/contrib/101726991243051838042/reviews?hl=zh-TW,4,True,101,"好長一段時間沒吃到喫茶趣了，因為收到了新的DM發現上面有新的菜色就特意安排來嚐嚐。
韓式嫩雞，汁沒有收，所以肉和汁是分離的，失望捏，倒是珍珠布丁很是好吃！
下回還要點自己愛吃的餐點才對胃，也別忘了好吃的鬆餅"
 林奕廷 ,https://www.google.com/maps/contrib/116386197012589690588/reviews?hl=zh-TW,5,True,577,"富有新意的茶餐廳
相較於春水堂、翰林茶館
餐飲也非常有「茶」的主題性
這次吃到桂香蒸魚真是大為驚艷
可持續提供的熱茶也相當令人滿意"
 傅筠庭 ,https://www.google.com/maps/contrib/101572401667282093207/reviews?hl=zh-TW,5,True,41,"☆｡･:*:天仁喫茶趣･:*:･｡☆

☆.。.：*・゜☆ﾞ.。.：*・゜☆.。.：*・゜☆

★喫·下午茶組$238

☆宇治金時香芋鬆餅

☆冰美人銀耳露

★茶·下午茶組$198

☆天廬捲牛肉

☆碧螺春綠茶

☆桂花鮮魚餃$170

鬆餅配上紅豆超美味
一定要配著吃
單吃紅豆會太甜
天廬捲牛肉超級多汁
而且皮吃起來很特別
一定要點來吃ヽ(•̀ω•́)ゝ✧

☆.。.：*・゜☆ﾞ.。.：*・゜☆.。.：*・゜☆"
 Caesar ,https://www.google.com/maps/contrib/118133784785498344832/reviews?hl=zh-TW,3,True,202,首吃！吃了這麼多⋯覺得最推薦的就是～珍珠香芋奶綠😂食物部分，感覺得出用心，但調味就⋯普普，以後還是點飲料就好！
 Rick Tseng (Rick T.) ,https://www.google.com/maps/contrib/115877196579395572842/reviews?hl=zh-TW,4,True,644,"當天假日，座無虛席
但等餐的時間還是有點可怕的久

食材都很新鮮，做工也很優秀"
 Eve Chen ,https://www.google.com/maps/contrib/113888132769007820603/reviews?hl=zh-TW,5,True,103,服務親切，每樣食物都好吃，適合清淡口味的中老年人，但希望銀耳露可以有不含茶的可供選擇，敏感老人無法使用。
 Chou咪咪 ,https://www.google.com/maps/contrib/102180566621980074699/reviews?hl=zh-TW,5,True,45,上個禮拜才來，今天帶長輩來發現菜單已換新價錢也有調漲！！！
 karin yang ,https://www.google.com/maps/contrib/103419353655889372690/reviews?hl=zh-TW,2,False,2,出菜、打包、結帳速度都慢，適合不趕時間時來用，沙拉未上，也沒打包，點大杯QQ鮮奶茶，給的是一般窄吸管，完全沒法喝珍珠⋯⋯對於應變能力建議可在提升
 雙口呂小姐 ,https://www.google.com/maps/contrib/110310210678283317359/reviews?hl=zh-TW,5,True,70,桂香蒸魚鮮甜好吃，小菜和加點的鹹酥雞都有淡淡的茶香，桂花金萱茶桂花味偏淡，但是很解油膩，餐點豐富，很棒的用餐體驗
 黃坤豐 ,https://www.google.com/maps/contrib/114825803483735909072/reviews?hl=zh-TW,4,True,159,小籠包，鱸魚，豆干，高麗菜，銀酥卷，鹽酥雞（偏鹹）
