user_name,user_profile_url,rating,local_guide,comment_num,comment_text
 李小波 ,https://www.google.com/maps/contrib/110920994704119651474/reviews?hl=zh-TW,5,True,178,"因為住的地方及交通工具較遠的關係
應該有五年沒來了，前二天與朋友聊到好吃的鳳爪，中午立馬前來用餐
味道始終如一，入口即化這次點的是韓國泡麵稍嫌不夠入味可能要再煮久一點吧!
豆皮也很好吃!久沒吃真的是大大的滿足呀!"
 ku ku ,https://www.google.com/maps/contrib/114724566456675956486/reviews?hl=zh-TW,5,False,83,"個人最喜歡的台北麻辣鍋店！
鳳爪燉得很爛，醬汁鹹鹹甜甜十分剛好
花枝鮮蝦漿是最喜歡的花枝鮮蝦漿，吃得到大塊的花枝和蝦仁口感十分Q彈
原湯碟大概是香油：醋=3:1
加上滿滿的蔥花在搖辣湯上的紅油
配上涮好的毛肚一口吃下><
牛背肩雖然是菜單上最便宜的牛但品質仍很不錯
將肉盡量攤平至滾水中，涮個幾秒即可（仍帶點粉紅的程度），口感軟嫩
除此之外也很喜歡藕片
豆腐屬於軟嫩的類型，鴨血是大塊的"
 Kingbaby Chou ,https://www.google.com/maps/contrib/100602741421065492727/reviews?hl=zh-TW,5,True,286,"如果你是老饕，全台灣滷雞腳最厲害、好吃到有人只是去吃雞腳、價格最高的麻辣鍋名店，保證值得一來再來，光來吃雞腳就讓人回味無窮！

肉品、海鮮、配料都算新鮮到位；湯頭不會過多中藥調味，香辣順口，豆腐、鴨血夠水準，這裡沒有佐料，只有簡單的蔥、香菜、香油白醋提味，喜歡重口味佐料的老饕可以來這試試，應該不會讓您失望！平日中午有賣麻辣牛肉麵，很多上班族都會一個人來解饞，有時間記得來上一晚麻辣牛肉麵，犒賞想吃鍋的味蕾；

雞腳太熱門，現在無法單買外帶，因為老闆說處理費時費工，一支賺不了多少，搞得真的想吃的客人吃不到也不行，記得，想吃雞腳別太晚訂位，有很多老饕會因為當天吃不到雞腳就改天再來吃的喔；"
 YPJ ,https://www.google.com/maps/contrib/103661481451694439588/reviews?hl=zh-TW,5,True,252,"內用的話，鳳爪一隻40元真的要點來吃吃看，因為無法外帶，滷的超級入味又嫩，會越吃越涮嘴
本次肉品點了梅花豬與牛小排，肉質都很好
推薦可點手工花枝蝦丸、大腸頭跟牛筋都不錯
其實沒有什麼雷的品項，都很好吃
服務人員加湯跟鍋底也很勤，鍋底一人150元可無限續加
豆腐跟鴨血都非常入味且不老，小辣湯頭麻而微微辣，平常不敢吃辣的人鼎旺這樣的湯頭應該都可以承受，愛吃辣的人可能就要中辣或大辣才比較過癮
五個人用餐平均700元/人，可刷卡
附近走路5分鐘內都有停車場及路邊停車格"
 Wentyng ,https://www.google.com/maps/contrib/115834549296484170149/reviews?hl=zh-TW,5,True,"1,094",疫情期間還客滿，就知道味道不錯，服務上面就只是上菜收空盤，跟其他單點麻辣鍋的親切及空間寬敞有落差。用餐環境比較狹窄，平均人單價800（沒點海鮮）。
 Kevin Tseng (永慶 博士) ,https://www.google.com/maps/contrib/101920787083241167486/reviews?hl=zh-TW,3,True,87,"雞爪、泡菜不錯，但麻辣牛肉麵不是很合我的胃口，牛肉是用腱子肉，份量不多，湯頭沒什麼特別吃不到麻、更吃不到辣。
但是他們的生意真的非常好。"
 lien Nancy ,https://www.google.com/maps/contrib/112305134248488690430/reviews?hl=zh-TW,3,True,231,"雞爪味道好，入口即化像鳳爪口感，
牛背肩好吃，魚餃很普通，
沾醬只有用桌上蒜苗+醋+香油+辣湯，
但不管是鍋底的豆腐或鴨血都很鹹，
麻辣湯更是越煮越鹹，反應後加高湯調鹹度後辣度就低了。辣味就只有辣+鹹，不是麻的那種辣，鍋底一人$150，四人一共吃4千2"
 Evelyn L ,https://www.google.com/maps/contrib/113170991717352412818/reviews?hl=zh-TW,4,True,75,單以肉質跟火鍋料而言，這家只能說是及格水準，但白湯及紅湯滋味豐富且可直接食用，彌補了食材的缺陷，雞腳就是神作一般的存在，整體服務態度良好，算是中上的麻辣鍋。
 Daniel Chen ,https://www.google.com/maps/contrib/102235615260401932647/reviews?hl=zh-TW,4,True,145,"-雞爪：滷得很入味，入口即化，而且雞皮的部分很多，不會太乾癟，推！
-鮮蝦花枝漿：蝦仁、花枝味道新鮮美味，一口咬下去，海洋之味就撲鼻而來，推！
-豬肉軟嫩好吃
-湯頭普普，但麻辣鍋鍋底豆腐像蒸蛋一樣吹彈可破"
 Lulu Kuo ,https://www.google.com/maps/contrib/112466869910806515392/reviews?hl=zh-TW,3,True,20,"鳳爪非常好吃，入口即化膠質多，吃完嘴唇會黏黏的。選鴛鴦鍋無需另外加價，不過清湯沒有料，清湯鮮甜好喝，店家說是自己熬煮的。

黃牛肉好吃，切得滿薄，肉質脂肪少。大腸頭口感Q彈飽滿。

麻辣鍋選擇小辣，辣度溫和，不太麻，香氣不足，鴨血普通，覺得不夠滑嫩入味，豆腐吃起來像滷嫩豆腐，一樣不夠入味。

服務態度親切積極，但感覺沒有溫度，鍋底一開始會主動加，兩三次之後就不會主動詢問了。

價格高，白飯20元一碗，消費一人800以上。"
