user_name,user_profile_url,rating,local_guide,comment_num,comment_text
 yijiun ,https://www.google.com/maps/contrib/109293260128056617383/reviews?hl=zh-TW,4,True,302,"安和站附近

下午時程
竟然只有一個店員
很smart快速
沒有自助點餐機
店這麼大
店員也太辛苦

秋葵牛丼迷你碗感覺好大碗
好好吃
+溫泉蛋味增湯+20元

朝食沒有納豆很可惜"
 Olivia Yang ,https://www.google.com/maps/contrib/114100026242124785674/reviews?hl=zh-TW,1,False,14,"用ubereat點晚餐外送。吃到一半，居然在單點的青菜裡面,看到一隻蜘蛛!!!這樣的衛生環境是否太誇張！？麻煩好好改進檢討。衛生安全是餐飲業最基本要做到的事吧！"
 Mumu (mumu) ,https://www.google.com/maps/contrib/102377594279345816161/reviews?hl=zh-TW,2,True,56,別的客人坐下來就有一杯茶，我已坐3～5分且點好餐，卻還不送茶來！送上餐點還沒給茶，還得再按鈴提醒！（唐揚雞有夠乾，不好吃！）
 Willie Lorenzo ,https://www.google.com/maps/contrib/118218199199153958897/reviews?hl=zh-TW,4,True,61,"咖喱好吃但希望肉可以多一點服務超好出餐很快午餐套餐蠻划算的

GreatplaceforaquickandTastymeal.TheCurrywasgoodbuyprefermoreMeatinit.Lunchofferwasworthy."
 원디Wendy Chen ,https://www.google.com/maps/contrib/100214238011065888284/reviews?hl=zh-TW,4,True,375,"中碗的咖哩牛丼青菜味增湯
咖哩口味偏甜份量足夠！"
 YC Chen ,https://www.google.com/maps/contrib/110085025590077583058/reviews?hl=zh-TW,1,True,15,"一頓飯吃完一肚子氣
衛生條件差，員工素質也差

2022/4/6中午吃到湯裡有一隻蚊子
請服務生過來看以後，服務生完全沒有任何表示
連一句不好意思都沒有說就走掉了

後來結帳的時候，服務生自己又看錯
我們有四個人，結帳分開付
我點的是牛丼+溫泉蛋套餐109元
他一直說這張單只有燒肉丼，沒有牛丼，要我付169元
後來搞半天才發現是他們自己沒看到
整個結帳花了將近15分鐘才結束"
 Evon Hung ,https://www.google.com/maps/contrib/108270562576481765392/reviews?hl=zh-TW,4,True,271,以這價位，環境、地段，算是很不錯的選擇，美中不足應該是那盤冷菜，吃起來完全沒滋味，很不好吃，鰻魚飯很可以，份量也吃的飽！加分
 潘彥華 ,https://www.google.com/maps/contrib/106857847537815473461/reviews?hl=zh-TW,5,True,126,"內用了大碗咖哩牛丼+可樂餅套餐
總共是159+50=209元
味道非常的好，份量很多，讓人有大大滿足感！"
 Jia Li ,https://www.google.com/maps/contrib/101411945886855813213/reviews?hl=zh-TW,4,True,224,"最愛的秋葵牛丼！
會讓下午也充滿活力和愉悅心情的朝氣午餐，有迷你版能選擇超級貼心"
 美麗少婦 ,https://www.google.com/maps/contrib/107277535587186918550/reviews?hl=zh-TW,3,True,277,"餐食品項蠻多，最貼心的是有飯少選項，但肉還是蠻多的。

店內人的多，不方便拍照😟"
 Tina Chen ,https://www.google.com/maps/contrib/101806226726946325244/reviews?hl=zh-TW,1,False,8,"今天去用餐，剛開始進店依照店員指示坐到四人桌

點完餐後，過沒多久店員詢問：因為有其他一組共三位客人在門外等候，是否可以換到吧檯單人桌（因為我只有一個人）
我爽快答應：沒問題，配合店員指示

此時，我有另外詢問：那這樣我的餐會幫我送到新的位置嗎？
店員回應：會的，我會跟他們說

到新的位置後，過了許久餐點都還沒上來！連兩組晚我10幾分鐘到的客人餐點都到了，唯獨我的餐還沒上！

後來發現是把餐點送錯到我原本的位置！店員發現，趕緊把我的餐點送上（拿新的一份），但餐點卻是錯的！根本不是我的點餐，按了好兩次服務鈴才有店員走過來，我反應後，把第一次送上的餐點拿走，之後又送上另一份根本不是我點的餐過來，而且那份餐也是送錯給別桌，收回等著要銷毀的餐點！看到這我一度想直接走人，兩次都送錯餐，而且等很久，比我晚到的客人都拿到餐點吃一半了，我的卻遲遲未到！

後來抱持著點了餐不浪費食物的心情還是繼續等待，超級浪費我的時間，我的行程完全大延遲！
好心想讓位給其他組客人，沒想到卻讓我自己造成困擾，實在是心情很差！

本來SUKIYAK是我很喜愛的店之一，但因為在這家分店遇到這件事，使我對於這家店的員工訓練有所擔憂，之後恐怕也不會想再來這家店用餐了！（餐點等很久、店員很忙，我可以理解，但上錯餐兩次蠻誇張的，且沒有任何的道歉⋯⋯）"
 Laurence Chiang ,https://www.google.com/maps/contrib/113557326943311295594/reviews?hl=zh-TW,5,True,188,反正就Sukiya，挑哪家評論都一樣，還不錯
 莊渭明 ,https://www.google.com/maps/contrib/114422006009846845666/reviews?hl=zh-TW,4,True,267,位於信義安和站5號出口右手邊，地點絕佳，內用點餐只要按下桌上服務鈴，就會過來幫你點餐，價格公道，營養100分。
 謝秉辰 ,https://www.google.com/maps/contrib/108248972305132620657/reviews?hl=zh-TW,3,True,120,"這家是我吃過Sukiya最鹹的一家，一般來說sukiya品牌的調味應該是會帶甜尾韻，但是這家的就是死鹹，有點慘⋯
已經跟吉野家一樣鹹了~希望之後能夠調整一下⋯不然真的很可惜！"
 Zoe Chiang ,https://www.google.com/maps/contrib/109087735394613491997/reviews?hl=zh-TW,5,True,68,好吃！咖哩比想像好吃，青菜勝過熱炒店現炒青菜
 JAMES LIU ,https://www.google.com/maps/contrib/118253310508295762101/reviews?hl=zh-TW,4,True,"1,165","晚餐時段超忙的
可能會需要等一下
雖然吃起來都一樣
但是建議人手不足，就不要開外送啦"
 Triton O ,https://www.google.com/maps/contrib/105508638873705083943/reviews?hl=zh-TW,3,True,345,快速、平價的日式蓋飯，多樣選擇在趕時間的時刻可以很快的享受到
 Royle Hsieh ,https://www.google.com/maps/contrib/118005527845431571792/reviews?hl=zh-TW,3,True,227,特製咖哩的牛肉吃起來很像調理包，還是在日本食用時比較美味。
 李甜 ,https://www.google.com/maps/contrib/117093310057360232441/reviews?hl=zh-TW,2,True,15,"久沒來覺得退步了
店員好厭世完全冷漠
餐點是我去過的すき家裡面算鹹的
清潔也沒做好
外頭下大雨也不見傘架
可以去別家💁🏻‍♀️"
 天選歐皇幸運之子謝謝 ,https://www.google.com/maps/contrib/101791559191403591070/reviews?hl=zh-TW,1,True,28,外送千萬不要叫這家請他汁多菜鹹一點都不會幫忙其他店都會只有這家不會有問題大家可以打電話到公司客訴在這裡評論沒用
 milly lin ,https://www.google.com/maps/contrib/109041806284604546634/reviews?hl=zh-TW,5,True,70,是晚下班者餓肚子的救星，主食加一盤炒青菜，剛剛好
 Liu Jok ,https://www.google.com/maps/contrib/115666327300067884226/reviews?hl=zh-TW,4,True,231,"店員看到有什麼需要馬上會問
上餐速度很快
味道維持就是牛丼
常常來吃"
 Su Paula ,https://www.google.com/maps/contrib/112488367563128912536/reviews?hl=zh-TW,4,True,379,"常吃蔥溫玉牛丼。
期間限定的大阪燒牛丼、鰻牛丼，都好吃。
鹽蔥炙燒豬丼，鹽蔥略鹹、炙燒不夠。"
