user_name,user_profile_url,rating,local_guide,comment_num,comment_text
 Yun Ding ,https://www.google.com/maps/contrib/106909419181302741029/reviews?hl=zh-TW,5,True,513,"2022年10月13日。星期四
Ubereat第一次訂購
【豬血湯】
超好喝！嫩！

【豬腳輪飯】
那個酸菜真的一絕，
搭配豬腳剛好解膩，
不管是酸度甜度口感都好喜歡，
有單賣嗎？哈哈哈哈

【魷魚】
有點兒腥味XD
因為我沒沾醬，
醬油膏太鹹惹～
可能要醬油就好。

【魯肉飯】
還可以"
 潘大仁 ,https://www.google.com/maps/contrib/116406648723563538117/reviews?hl=zh-TW,5,True,125,除了大腸有些乾之外都很好吃！座位多、價格也不貴，很適合日常晚餐或宵夜外食的選擇，有自助醬料區，調味不合可以自己調配，整體來說很不錯～
 Aya Huang ,https://www.google.com/maps/contrib/108876796161854171457/reviews?hl=zh-TW,4,True,144,除了腿庫飯肉很乾之外都很好吃！座位多、有飯有麵、價格也不貴，很適合當路過日常晚餐選擇，有自助醬料區，除了一般辣椒醬油胡椒粉還有芥末跟蒜泥，調味不合可以自己調配，整體來說很不錯～
 Armsakimbo22 Will ,https://www.google.com/maps/contrib/101967050542106687216/reviews?hl=zh-TW,1,True,27,不及格的滷肉飯，雖然飯煮的不錯，但整碗飯泡在滷肉湯汁裏，湯汁太多比較像醬油泡飯，有點可惜。麻油豬肝湯很重口味，豬肝不腥，給蠻多🤨酸菜還可以。
 209dailymood ,https://www.google.com/maps/contrib/104325701806712891218/reviews?hl=zh-TW,4,True,162,好吃，豬血大腸很乾淨，沒有腥味，配上特調醬料加花生粉真的很搭，滷汁鹹甜適中很剛好！
 Vanessa Liu ,https://www.google.com/maps/contrib/116190669971884029518/reviews?hl=zh-TW,5,True,364,"控腳輪飯，蹄筋軟Q、搭配超級酸的酸菜，就是冬日好味，膠原蛋白養顏美容呀！
豬血沾裹韭菜，清爽。"
 李士元 ,https://www.google.com/maps/contrib/103598685829310697365/reviews?hl=zh-TW,4,True,453,"1101226滷蛋10油豆腐15滷肉飯大45
1229肉鬆筍絲滷肉飯55豬血湯45
1110105前兩天看牙醫，只叫滷肉飯大45
0119滷蛋10油豆腐15滷肉飯大45"
 セイ ,https://www.google.com/maps/contrib/100453479790147798881/reviews?hl=zh-TW,4,True,45,"不錯吃
豬血湯45
小碗魯肉飯35
魯筍絲40

豬血湯的豬血給很多很大塊👍湯頭喝起來也不錯感覺好像有加沙茶

滷肉飯小碗算滿大，食量一般的人可點小碗就好，但魯汁可以多一點，吃到一半下半部分都是白飯

筍絲很香，煮的很軟爛"
 Yiwen Lu (盧怡文) ,https://www.google.com/maps/contrib/110087477995280644266/reviews?hl=zh-TW,5,True,48,"豬血真的非常嫩！
滷肉飯大碗份量超大...飯很多會顯得配料不足...一直在吃飯的感覺"
 212 ,https://www.google.com/maps/contrib/113322318143076367636/reviews?hl=zh-TW,5,True,767,豬血超嫩，豬腸雖然肥美但是吃起來不會膩！
 七七 ,https://www.google.com/maps/contrib/103682689417760850402/reviews?hl=zh-TW,4,True,33,"大腸豬血湯90$⭐️⭐️⭐️⭐️
大腸處理的很乾淨，有先滷過
豬血真的很嫩，但湯味道覺得稍嫌不夠味
滷肉飯35$⭐️⭐️⭐️⭐️
味道算不錯不會太油膩太鹹
配料區🈶️酸菜辣椒等等可自取
店家只收現金💰沒有其他支付方式"
 羅旭峰 ,https://www.google.com/maps/contrib/107752319397747344500/reviews?hl=zh-TW,5,True,119,"從以前就一直很愛的口味
滷肉飯、豬血湯都很好吃

最近還迷上他們的粉肝
每次來都必點

湯不夠可以加
醬料區很有誠意

整體想給4.8顆星
所以4、5之間還是給了5⭐️"
 Bryan Lin ,https://www.google.com/maps/contrib/118143395548664205817/reviews?hl=zh-TW,5,True,"2,454",豬血湯50，加大腸90，豬血非常軟嫩，口感似鴨血，令人驚艷
 Peter Lo ,https://www.google.com/maps/contrib/115307920560836959235/reviews?hl=zh-TW,5,True,415,豬血超嫩，滷肉飯超香且不油膩，油豆腐相當入味好吃。推薦！
 KWEN KWEN ,https://www.google.com/maps/contrib/112848879157238222888/reviews?hl=zh-TW,4,True,"1,025",麻辣豬血彈牙軟嫩酸菜鮮美好吃😋，搭配一盤炒米粉是午餐好選擇。去骨的豬腳加上生辣椒也是一口接一口。
 張廷陽 ,https://www.google.com/maps/contrib/111692555640264172587/reviews?hl=zh-TW,4,True,137,"滷肉飯搭配甜甜的島ㄍㄧ配的很好
吃起來也稍微解膩
大腸豬血湯我個人比較喜歡清湯（不加沙茶
但豬血是好吃的，不會軟到散掉帶有一點口感
米粉的醬汁也配的很好不會整個米粉味
整體而言是可以在回訪的店家"
 高鈺萍 ,https://www.google.com/maps/contrib/115444536009792553692/reviews?hl=zh-TW,5,True,158,豬血滑嫩順口!用餐環境寬敞舒適!
 Claire Chien ,https://www.google.com/maps/contrib/110740633494355317529/reviews?hl=zh-TW,4,True,162,豬血湯的味道很到位，店家也很貼心有分不油跟少油，炒米粉、炒麵有古早味，好吃，滷雞腿也有入味，小魚花生偏甜、豆芽菜上面鋪少許柴魚，不太搭，個人覺得不好吃，整體而言，上菜速度快，桌面乾淨。
 cindys89194 ,https://www.google.com/maps/contrib/102706821267617322955/reviews?hl=zh-TW,3,True,63,"豬血很嫩！肉類普通，沒什麼香氣
花生小魚乾很好吃
高麗菜不知道為什麼消毒水味道超重⋯⋯"
 C-I H ,https://www.google.com/maps/contrib/112948665634711737289/reviews?hl=zh-TW,4,True,124,"滑溜順口的豬血，改變了一直以來只吃鴨血的我的刻板印象
很開心自己嘗試了
會再回訪的美食"
 Lindsey Wang ,https://www.google.com/maps/contrib/118028649097341070255/reviews?hl=zh-TW,4,False,36,"初次來訪，點了(不油)豬血湯、小滷肉飯和燙高麗菜。滷肉飯滷汁和豬血湯湯頭都有一股微妙的藥膳味，偏甜但又不會太甜。每道菜都蠻到位的(?)豬血真的嫩如豆腐😁

店裡店員們之間只動手不動口的準備著餐點的氛圍頗微妙的，讓用餐環境顯得非常安靜。唯一美中不足的就是桌面沒有很整潔，有前客人掉在桌上的飯粒😅"
 Lorenz Lu (盧森堡) ,https://www.google.com/maps/contrib/102201837686324117919/reviews?hl=zh-TW,3,True,315,35元大滷肉飯很便宜，但是味道很普通！
 艾福 ,https://www.google.com/maps/contrib/113406711325182908534/reviews?hl=zh-TW,3,True,122,"養生豬血湯還行但口味偏淡介意別點少油可點

滷肉飯普通的滷肉飯可點

魯豆皮還不錯腐皮淋上滷汁意外合必點

腿庫肉飯肉很柴肥肉不夠爛別點

軟骨肉飯肉很柴別點

麻油粉肝還行肉質算嫩調味剛好可點可不點

豬血湯種類蠻多的真的想喝豬血湯再來這家就好不然別來拜託"
 HSINYANG LIN ,https://www.google.com/maps/contrib/102180174490331905083/reviews?hl=zh-TW,5,True,777,豬血湯不錯喝，可以選少油，喝起來更棒，不會太油膩，枸杞豬血湯很有特色，有枸杞味帶點酒味，也很有特色。滷肉飯都很好吃，上菜速度很快，不錯的晚餐
 喬俊杰 ,https://www.google.com/maps/contrib/111449617962546723384/reviews?hl=zh-TW,5,True,104,豬血湯正常偏油，建議點選少油。餐點口味都還算ok，沒有特別突出。午餐想不到吃啥的時候經過會買。
 Haeun ,https://www.google.com/maps/contrib/111838513269177534305/reviews?hl=zh-TW,4,True,76,"豬血很嫩湯也好喝👍🏻
粉肝超推超好吃！
但份量有點太少了啦
滷肉飯則一般般"
 cyan wu ,https://www.google.com/maps/contrib/101469606114865693206/reviews?hl=zh-TW,5,False,30,上次去點豬血湯無油，豬血吃起來超嫩，湯很清澈喝起來不會嘴乾。這次點了大腸豬血無油，湯裡的豬血就煮得老很多了，但是大腸很好吃
 ZeNion ,https://www.google.com/maps/contrib/110279227416947306096/reviews?hl=zh-TW,5,True,115,好吃，豬血湯名符其實，確實做到豆腐般絲滑，湯頭有特別的淡淡藥燉味，豬腳也好吃！
 Pin Chen ,https://www.google.com/maps/contrib/113106808052871241099/reviews?hl=zh-TW,3,False,53,"豬血湯（養生不油）的湯很清
喝起來蠻順口的
豬血也很嫩

花椰菜不會去掉纖維較粗的那層外皮
吃起來有一點菜味
腿庫肉飯肥瘦各半口味普通

價格尚可"
 Alisa Ho ,https://www.google.com/maps/contrib/105060818406917533313/reviews?hl=zh-TW,4,True,122,"個人台北最愛的豬血湯💕💕

用餐環境乾淨明亮整潔
餐點種類很多可以選擇
價格普通某些東西稍貴
但是如果點一個飯加豬血湯再配個青菜cp值是有的！！！

豬血湯很貼心的有少油，不油，麻辣等多種選項，讓口味不同的客人挑選👍👍👍

豬血滑滑嫩嫩的口感更是大推👍
腿庫什麼的滷的也都很入味👏👏
送餐速度快速，有很多醬料可以自取

絕對是會時不時回訪的店家😍

唯一挑剔的是，皮蛋豆腐一份只有半顆皮蛋😱😱😱"
 boom jeff ,https://www.google.com/maps/contrib/101463154250453115406/reviews?hl=zh-TW,4,False,398,"大腸豬血湯不錯喝
便當類不推
配菜很差
單點飯類就好
腿庫飯普普沒有很好吃的感覺
但不差"
 Linda Lee ,https://www.google.com/maps/contrib/108701545140553647435/reviews?hl=zh-TW,3,True,205,牆上掛了很多名人照的一間店，點了大腸豬血湯，軟骨飯，炒米粉，高麗菜，大腸猪血軟嫩好吃湯頭口味偏重，軟骨飯的飯和軟骨都偏硬，其它普通
 ashley chang ,https://www.google.com/maps/contrib/101476078144770218849/reviews?hl=zh-TW,3,True,584,使用外送，還不錯吃，大腸豬血湯湯頭鮮美，豬血吃起來不會有腥味，大腸也處理的乾淨，麻辣拌麵是炒麵的那種麵條，排骨就比較普通，整體上餐點品質算穩定
