user_name,user_profile_url,rating,local_guide,comment_num,comment_text
 Ryan Mo ,https://www.google.com/maps/contrib/111709431453778983547/reviews?hl=zh-TW,4,True,524,"第二次造訪點了完全不一樣的菜色，踩到好幾個雷，超級麻婆豆腐少了花椒的香味而且死鹹很難想像這是餐廳推薦的拿手菜，香干牛肉絲的豆干很硬、牛肉很老，味道也是超級死鹹非常難以下嚥，噴香口水雞的雞肉還算嫩但調味一般，只有碧眼蒼蠅頭好吃，韭菜顏色漂亮而且口感爽脆、鹹度也剛好；我覺得食物過鹹是吃完覺得踩雷的主要原因，有些食物根本不需要那麼重鹹，我平常也喜歡重口味的食物，但是連我也覺得味道太重了。

首次造訪的食物很合我的口味，味道比較重口、微辣。干鍋臭豆腐肥腸的大腸和豆腐很入味好吃，大腸很容易入口不需要嚼很久，湘西高麗菜鹹香好吃，阿婆紅燒肉口味雖然比較偏甜但是也很美味、肥肉燉煮的很剛好，不會吃起來很油膩，米飯是以人數來計費、無限量供應，而且有三種特色米飯可以選擇。

這家餐廳在高樓層，窗外的景色很不錯，訂位可以選擇窗邊的位置。"
 Lin Emma ,https://www.google.com/maps/contrib/108892289162431087658/reviews?hl=zh-TW,4,True,179,"第二次吃時時香
這次點了蠻多道菜
東方乳酪空心菜大家讚不絕口，青菜要難吃也是難啦😂，但脆度是不簡單；鳳梨蝦球🍍個人覺得比較沒有記憶點，普通；乾扁四季豆蠻特別有加上木耳拌炒；豆酥鱈魚🐟，好吃😋豆酥有點偏多，但很下飯！招牌胡椒蝦這道也是朋友大推，蝦殼連著一起吃也好吃，配料特別有洋蔥🧅和馬鈴薯🥔；阿婆紅燒肉，這道不推，因為自己滷的更好吃，不出色；甘蔗蝦～我個人也覺得還好，就是蝦漿裹在甘蔗上；剝皮辣椒雞湯，很入味，小小一盅不會太多～
上菜速度蠻快的，但桌邊服務不太好，空盤收的不積極，畢竟桌面不大，其他都好，可再回訪"
 gigi Chen ,https://www.google.com/maps/contrib/100002072134560467416/reviews?hl=zh-TW,4,True,245,"景超好，整個大加分
1.剝皮辣椒燉雞湯跟厚煎菜脯蛋很推
2.阿婆紅燒肉也很推(豆干跟花生都很棒）
3.無敵豆酥嫩魚雖然豆酥很多，但就是太多了，有點不知道在吃什麼
4.3.5杯雞應該是貴在創意？是蠻好吃的，但是份量不多
5.黃金上湯獅子頭跟鳳梨鮮蝦球很普通，可以不用點"
 寶兒 ,https://www.google.com/maps/contrib/116739275384287824613/reviews?hl=zh-TW,4,True,242,"3人用餐飽到天靈蓋（因為都是飯）3000左右
選了套餐組合跟一個滷肉～
飯無限量（有3種米可以選）
飲料3杯～
甘蔗蝦～有點像泰式蝦餅包覆在很粗的甘蔗上！我是只能分開吃啦～味道是中等那種～甘蔗被我啃光光！
蒼蠅頭～下飯的好菜！一口蒼蠅一口飯！不是啦～豆鼓好香好好味～
五杯雞～上桌後酒最後淋上！酒、醬、薑（刨薄片炸過）一整個香！又是下飯！
麻婆豆腐，跟一般麻婆豆腐不太一樣，真的有點麻麻的，不是只有辣豆瓣去拌炒而已！下飯！
媽寶溜個蛋，就是6顆半生不熟蛋加上醬跟蔥！可以蛋黃拌飯吃！下飯！
阿婆紅燒肉，呃🤔這道不對我的味！胡椒香跟甜滷的肉蛋豆乾花生…也很下飯（這道是飯包著肉吃～不對味沖淡一切）
扁椒炒牛肉，肉末包生菜～鹹香調味適中～下飯！
好了來了這間超超超超下飯的餐廳！
真的都需要配飯屬重口！我是可以接受啦！
順帶一提他是瓦城集團的一間餐廳^_^"
 Chun-Ming Chang ,https://www.google.com/maps/contrib/103728390737120615711/reviews?hl=zh-TW,3,True,"2,729","2022.01.13=★★★☆☆
◉推薦：厚煎菜脯蛋、阿婆紅燒肉、老皮嫩肉。
◉簡評：瓦城集團都有一定品質，朋友信義區聚餐的一個好選擇
＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝
朋友硬要吃【時時香RICEBAR】，之前吃，過中和環球店，覺得不優，今日只能硬着頭皮試試。

☑厚煎菜脯蛋💰270=煎蛋很多，煎的那麼厚倒是沒印象有吃過；蛋，入口，有鍋氣，香氣很好；菜脯口感清脆，香氣鮮明，5分。

☑嫩蔥爆鮮牛💰365=上桌，賣相不錯；肉非薄片，是粗肉條；入口，牛肉多汁，口感充滿彈性，還行，5分。

☑老皮嫩肉💰230=口感是對的，外皮有點韌度，裡面是嫩豆腐，豆皮內外口感差距明顯，上頭蔥蒜口味明顯，5分。

☑阿婆紅燒肉💰365=上桌，紅燒肉以黑胡椒甜醬油為底醬做調味，口味上討喜。裡面土豆仁不錯，豬肉不乾，豬皮有彈性，但是油脂的黏性就稍微低一點，5分。"
 君君 ,https://www.google.com/maps/contrib/107921140562640631958/reviews?hl=zh-TW,2,True,217,"不推，2顆星星是給風景好和服務不錯的。餐點被畫蛇添足地加了不合適的材料，反而破壞了原本應有的香氣！菜䀯蛋上硬加甜醬，根本吃不出蛋香，只有甜膩的感覺！😞
三杯雞的味道也怪怪的，現場的音樂很吵雜，價格很高，每人均消超過800元，非常不值得！不會再去了！！😠"
 Yi Jou Lai ,https://www.google.com/maps/contrib/116601164709092165737/reviews?hl=zh-TW,5,True,35,"第二次來訪時時香，繼第一次吃之後一直念念不忘，雖然價格稍貴但是聚餐時還是會想要再來回味一下～
這次點的機乎都是十大人氣天菜裡推薦的：
無敵豆酥嫩魚、阿婆紅燒肉、厚煎菜圃蛋、東方乳酪空心菜、剝皮辣椒雞湯、霸王甘蔗蝦
另外還有點：干鍋五更腸旺

》總結：
根據我和朋友投票結果，最喜歡的是‘’阿婆紅燒肉‘’，入味軟嫩有膠質，甜鹹加上黑糊椒的調味真的讓人驚豔，值得一試！
另外，剝皮辣椒雞湯、無敵豆酥嫩魚都是我的最愛，一定要點來吃～
但是干鍋五更腸旺就一般般，味道就是外面都吃的到的五更腸旺，以他的價格來說確實有待加強！
總結十大人氣推薦裡的每一樣菜都沒有雷，都很值得點喔！"
 shih-mei chang ,https://www.google.com/maps/contrib/103679598575583568151/reviews?hl=zh-TW,4,True,120,家庭出遊用餐，坐窗邊景色很好，小孩邊吃飯邊看外頭，都不會吵鬧，大加分！點了雙人套餐甘蔗蝦、菜脯蛋、腊肉炒高麗菜、3.5杯雞，味道都不錯，吃到三種飯，挑嘴小孩也說好吃。甘蔗蝦有點像月亮蝦餅的兄弟菜，醬汁也和瓦城一樣，味道不錯；3.5杯雞上頭灑滿薑酥酥脆帶有淡淡薑味很特別，原本還以為是蛋酥；菜餔蛋厚又不老，味道很樸實，上頭還塗上台式甜甜醬油，小孩都可以接受；臘肉高麗菜香氣也有出來，但感覺會比較油、炒得也有點焦；飲品味道和份量都不錯，雖然不是太特殊驚艷，但都算好喝，很適合家庭聚餐，有機會可以再帶家人來。只是碗盤清潔要多留意。
 Stumm Kuo ,https://www.google.com/maps/contrib/100314725228645227245/reviews?hl=zh-TW,5,True,39,"帶家人長輩一起來用餐，是全家閣樂大家都喜歡的菜色，都在原有熟悉的菜型上多了些創新和風味做出區隔，每道菜都超級下飯。
也因為重口味，建議飲料可以提供無糖冷熱飲品選項，讓老人家也更能接受。"
 賴威宇 ,https://www.google.com/maps/contrib/106918763840304859824/reviews?hl=zh-TW,5,False,26,飯很多種，紅燒肉跟甘蔗蝦跟蛋都不錯，以口味來說我覺得算好吃味道剛剛好，但是以同桌友人表示算重口味稍微鹹。
