user_name,user_profile_url,rating,local_guide,comment_num,comment_text
 黃醫生 ,https://www.google.com/maps/contrib/116409150228734810698/reviews?hl=zh-TW,2,True,155,前台跟後廚交接的不好，漢堡要加蛋加起司，結果起司沒有加上去一樣加收錢，感覺不好
 Arwen CH ,https://www.google.com/maps/contrib/103161790702785538260/reviews?hl=zh-TW,4,True,83,"吃過很多家西門的早餐店
這是最好吃的一家了"
 hu fat ,https://www.google.com/maps/contrib/118336863078666125773/reviews?hl=zh-TW,5,True,105,好吃，但動作很慢⋯
 潘先生（帥潘） ,https://www.google.com/maps/contrib/103083539179452402309/reviews?hl=zh-TW,4,True,453,店內空間算舒適，吃了豬排堡套餐100元(副餐薯條)跟豬排蛋餅套餐80元(副餐薯餅)，口味還行，比單點便宜一些，早餐裡面算是平價選擇，悠閒度過早上
 Lee David ,https://www.google.com/maps/contrib/109083689979845826150/reviews?hl=zh-TW,1,False,5,點餐出餐順序紊亂，就算你外帶的單很多，最基本的也要按照單子的順序來做餐點，重點是餐點又不是特別好吃，服務還那麼不到位，這家早餐店以後直接pass。
 Sunny Chen ,https://www.google.com/maps/contrib/111979940060754989269/reviews?hl=zh-TW,1,False,3,櫃檯阿姨態度超差，只想單點一杯飲料跟我說不接單了，明明就是我先排隊還等了10幾分鐘要點餐，讓別人先點，這種店服務不好，工作交接也有問題，再也不會去了！
 曾德德 ,https://www.google.com/maps/contrib/109473499757809954087/reviews?hl=zh-TW,1,True,59,"出餐速度跟順序有待加強，手忙腳亂
等一個餐都要超久...
內用開放冷氣卻捨不得開...吃到全身汗熱爆
還說什麼防疫不開冷氣這種瞎話=="
 Chung Chuhan ,https://www.google.com/maps/contrib/115342926818281417331/reviews?hl=zh-TW,2,False,22,"櫃檯戴眼鏡的阿姨態度真的蠻差的
打電話打好幾通其他員工接起來
還在那邊大喊就叫你不要接了
客人都聽得到欸？？
請這麼多員工一通電話都接不了也是蠻傻眼"
 Henry Chen ,https://www.google.com/maps/contrib/103675150014789098555/reviews?hl=zh-TW,1,True,37,住附近所以常吃，東西不錯吃但店員真的很不靈光。趕時間的話不要外帶了會等到爆炸🫠
 郁玲蕭 ,https://www.google.com/maps/contrib/117759351385370925951/reviews?hl=zh-TW,1,False,2,"早餐的鮪魚蛋餅吃起來味道超怪
有種苦味+腥味
吃完之後肚子不舒服整天真的扯爆"
 Chen Lb ,https://www.google.com/maps/contrib/100931868624947362452/reviews?hl=zh-TW,1,False,7,女眼鏡結帳員，點個餐是多不耐煩，結帳錢還用丟的，是哪裡惹到你，每次來吃都這態度，請好好改善服務品質謝謝。
