user_name,user_profile_url,rating,local_guide,comment_num,comment_text
 陳宣靜 ,https://www.google.com/maps/contrib/103971515943609029947/reviews?hl=zh-TW,3,True,64,"拿坡里牛肉通心麵，以為是義式或西式，結果是像台式牛肉燴飯的料，大塊的肉和菜還行啦，但很失望就是，吃到很想配白飯。
焗烤牛肉千層麵還可以，薯條有點油，底下放張吸油紙會比較好。
可能地理位置的關係吧，整體價格偏高一些。"
 陳信宏 ,https://www.google.com/maps/contrib/111972757548917769745/reviews?hl=zh-TW,1,False,3,有夠難吃，飯還是硬的，等了一個小時才送來，菜生的像還種在土裡，喝飲料還喝到一根毛，衛生有夠差，要不是一分才能評論，真想給他倒扣星星，建議真的不要來吃，吃了只會整個火還有浪費錢🙂
 Yi chun ,https://www.google.com/maps/contrib/110225255059627865856/reviews?hl=zh-TW,2,True,107,"是那種吃粗飽的店
店內環境覺得老舊、不是很乾淨的感覺
食物味道很普通，覺得在別的地方吃會更美味，或便宜10-15元
點餐可以免費喝湯，和飲料bar，但..餐點整體來說都不是很精緻，不會再回購"
 羊 ,https://www.google.com/maps/contrib/114393255193028357065/reviews?hl=zh-TW,1,True,109,"我這輩子吃過最難吃的義式料理，想知道老闆自己有沒有吃過？我吃了兩口直接掰～

❌這道餐點給我賣129元，說真的路邊的義式都比這好吃幾百倍！回到家還拉肚子🥲

要不是一定要給1星真不想給"
 洪瑋辰 ,https://www.google.com/maps/contrib/113852200157643336929/reviews?hl=zh-TW,1,False,15,"昨天3/2在打烊前趕上吃晚餐順便叫了一份外帶豚骨拉麵回家給小孩明天中午當中餐老闆娘說麵不幫我煮以免麵太爛
好的⋯今天3/3中午了要拿出來出來煮時麵的包裝上有限期限為20220228！整個過期兩天的麵給我外帶！
然後打了電話要反應結果都不接！

整家店的衛生真的很不好耶！"
 林位青 ,https://www.google.com/maps/contrib/114214154276591729105/reviews?hl=zh-TW,2,True,31,"蔥燒豬肉嗶嗶飯。口味很台式，沒有任何蔥，豬肉片沒有入味，硬了些，蛋是全熟的有蛋殼，泡菜兩片，高麗菜有菜梗，整體有點油膩感。飲料暢飲喝起來就像加色素的氣泡水，沒有什麼甜味。店內有fly。

2022/10/11"
 Vina Wu ,https://www.google.com/maps/contrib/106315448039807631580/reviews?hl=zh-TW,1,False,3,"一上桌的觀感不佳，原因是餐盤沒有仔細洗刷清潔
（有附照片為證）
這點我抱持著想說如果餐點好吃，我就算了
結果吃進口，真的傻爆眼……
到底有沒有先試吃呀……鹹到感覺要洗腎欸……
我想說應該只是我這盤“出了意外”
結果也吃了男友的餐點一口（他點的是石鍋）
也爆幹鹹呀…
這家直接列入黑名單"
 wayne chen ,https://www.google.com/maps/contrib/107774113769703320673/reviews?hl=zh-TW,2,True,13,"韓式就很普通尚可
但焗烤真的有點鳥跟大家說的一樣"
 Yun ,https://www.google.com/maps/contrib/111711913132388113565/reviews?hl=zh-TW,1,False,2,"剛進來感覺還好應該是味道比較濃烈
後面看到一堆蒼蠅和我共食
吃的湯裡面還有小蟑螂
衛生習慣真的超級差
東西也很難吃…
唯一正常的就是那桶蛋花湯
我真的很懷疑我吃了什麼"
 fired0715 ,https://www.google.com/maps/contrib/114184872044431518856/reviews?hl=zh-TW,1,False,9,對不起我浪費了食物，但是這雞腿真的鍛鍊得很紮實
 Tin ,https://www.google.com/maps/contrib/107226922387029903446/reviews?hl=zh-TW,1,False,1,"碗可以洗乾淨其實…
一進去蟑螂味很重…
餐點不好吃也罷但餐具真的要認真洗內
懶的洗就改免洗的其實
希望我今天別拉肚子
阿彌陀佛"
 李丞凱 ,https://www.google.com/maps/contrib/115687810678934392945/reviews?hl=zh-TW,5,False,1,身為一個吃30年的批薩達人，這裡的pizza是真的讚
 阿明 ,https://www.google.com/maps/contrib/117014105526133245103/reviews?hl=zh-TW,2,False,19,總共點三份餐點，第一份10分鐘就送上了，剩下的兩份過20分鐘都還沒上桌，詢問店家得到的回應是忘記做
 陳穎奕 ,https://www.google.com/maps/contrib/108723548160551996875/reviews?hl=zh-TW,1,False,2,"炸雞排沒有熟，麵吃起來像是過期的飯超硬
豬排超薄又難吃
給一星感覺都多了"
 25蔡依臻 ,https://www.google.com/maps/contrib/113630210721261445721/reviews?hl=zh-TW,1,False,3,要不是不能給0分我一定給要不是隔壁滷肉飯沒開我才不會來這間吃蒼蠅一堆拉麵有蟑螂焗烤飯都超難吃還忘記做餐點一進來就有怪味道好不容易來了拉麵結果有蟑螂唉
 KK K ,https://www.google.com/maps/contrib/103664840675397825689/reviews?hl=zh-TW,1,False,2,真的是吃過最難吃的店⋯⋯，雞排沒熟，豬肉比紙還薄（也不好吃），不喜歡浪費食物，但真的是難吃到吃不下，超雷
 Nini ,https://www.google.com/maps/contrib/118274821124576687923/reviews?hl=zh-TW,1,False,42,一個蝦卷定食的蝦卷做的像蝦羹口感好像口香糖小菜不及格飯也硬硬的一百多塊吃的很生氣整個火啊
 Wang Cloud ,https://www.google.com/maps/contrib/112660554894054602538/reviews?hl=zh-TW,1,True,121,"從麵裡面撈出調味包真的滿厲害的
一星是給餐點卻是價位低廉"
 森島音樹 ,https://www.google.com/maps/contrib/107084506988609034475/reviews?hl=zh-TW,3,True,380,我個人只吃了蔥燒梅花豬肉嗶嗶飯，然後現在回想蔥好像不見了，根本上錯餐點了!?但其實味道還算可以，吧。另一盤義大利麵賣像也是頗悲劇..
 潘百香 ,https://www.google.com/maps/contrib/106541262184036475995/reviews?hl=zh-TW,1,False,4,"店家白飯沒煮，跟別家拿白飯，
豬排咖哩蛋包飯，豬排死鹹的令人不解，蛋包飯蛋白還有生的....
關東親子丼，送上來變成泡菜壽喜燒，做錯了不承認，問他這是雞肉嗎？
他說：是，最後卻又說：不知道。
奶油培根義大利麵，沒味道，比全家便利商店還差....
客人在吃東西的時候，店員在旁邊掃地....
整體花了六百多，不會想再吃。"
 熊美芳 ,https://www.google.com/maps/contrib/116762979537539000490/reviews?hl=zh-TW,4,True,61,非常好吃👍！店內有提供多樣的素食餐點，讓吃素食的顧客也能有多種不同口味的選擇，老闆佛心來著，想吃辣還有素的韓式辣醬提供，但不加辣醬只吃原味的餐點也很好吃喔。
 黑暗高高 ,https://www.google.com/maps/contrib/100739086319692496401/reviews?hl=zh-TW,4,True,82,食物好吃不隨便料多實在很可以😌
 Mila ,https://www.google.com/maps/contrib/102753590475668969265/reviews?hl=zh-TW,1,True,535,"1.逼波石鍋拌飯還可以。
2.素湯麵”完完全全”沒有味道，就是熱水+麵+菜。沒有任何調味。
3.價格偏貴。
有點慘，供參考⋯⋯"
 Herme's Aaron ,https://www.google.com/maps/contrib/111941583896583576993/reviews?hl=zh-TW,1,False,26,一顆星給炸的酥脆的薯條，評論區已經把我想說的說完了。
 Jay Huang ,https://www.google.com/maps/contrib/106841327020721358216/reviews?hl=zh-TW,1,True,485,"第一份雞排飯上菜的時候整個雞排是酸的，告訴店家後換一份新的，結果第二份雞排飯沒炸熟，根本不敢吃，這已經超過難吃的境界了
連最基本的衛生都沒辦法，應該要檢舉才是。"
 コーラル ,https://www.google.com/maps/contrib/109556850285941091026/reviews?hl=zh-TW,5,False,1,"這家店我吃好幾年了，但只吃過牛肉千層麵，可能因為是起司控所以覺得超喜歡吧，還會特地去吃他的千層麵

大多數評論都差成這樣，我也不知道為什麼

除了牛肉千層麵以外我都沒吃過，如果想吃牛肉千層麵又超喜歡多起司的話這間可以，也不貴"
 橙 ,https://www.google.com/maps/contrib/100977533667504798709/reviews?hl=zh-TW,1,False,10,"能有一顆星是多虧了那桶湯是唯一正常的餐點
點了一個石鍋一個斜管麵
口味重鹹得要命
除了鹹沒有第二味
這是要吃到洗腎？"
 葉葉 ,https://www.google.com/maps/contrib/104480197452360002162/reviews?hl=zh-TW,1,False,5,不知道是太久沒吃還是怎樣一上桌以為這是別人吃過的一樣😅來用餐飲料還要付錢🤣味道是好的啦只是這賣相讓人不想再來用餐～
 Joanna Chou ,https://www.google.com/maps/contrib/111708542661623062841/reviews?hl=zh-TW,1,False,19,媽啊！這叫食物嗎？肚子超餓也吃不下囗，餐盤超髒地板超油，千萬別進來🤮🤮🤮
 小萱吳 ,https://www.google.com/maps/contrib/103332931224089959537/reviews?hl=zh-TW,3,True,58,素食的普通口感就是鹹了點所以才要飲料/走進去地板是黏的/石鍋拌飯會怕辣的別吃/焗烤義大利麵普通（香菇非常多不建議，寧願吃拌飯也不吃麵了，總之吃一次吃吃看就好
 mom穎 ,https://www.google.com/maps/contrib/109651328176269498600/reviews?hl=zh-TW,1,False,4,照騙，蝦子給你蝦仁，完全沒什麼料，跟一般店家比起來同樣價格，這種份量跟用料真的很不值得花錢來這邊吃
 YARUO LIANG ,https://www.google.com/maps/contrib/113256758668217815896/reviews?hl=zh-TW,2,True,893,"素食大不推，真的要吃的話，建議不要焗烤，素食焗烤吃起來就是素食香菇罐頭+菇+飯去煮一下，再加上焗烤，真的No~~~~~~~~~~~~~~
有免費的蛋花紫菜湯，跟紅茶，湯有加柴魚粉，非素食，紅茶不錯👌
逼逼鍋就是石鍋拌飯，青菜很多。
咖哩的飯太硬。
牛肉湯麵🍜像泡麵，滿漢大餐比較好吃⋯⋯
但份量都是夠的，也都蠻咸的⋯⋯
進去有股昆蟲味道，但桌上滿乾淨的，店家人也好"
 зда зве ,https://www.google.com/maps/contrib/100952356987898421531/reviews?hl=zh-TW,1,False,2,點兩碗焗烤一碗拉麵要等2小時？？中間還說我們沒點拉麵最後端來了還有蛋殼真的傻眼
 粥潤發 ,https://www.google.com/maps/contrib/100049262366685573121/reviews?hl=zh-TW,1,True,44,可惜沒有零顆星，不然我一定給零顆星，真的是太差勁了，食材不新鮮還有過期的麵
 Ruth Chang ,https://www.google.com/maps/contrib/111516731796290671393/reviews?hl=zh-TW,2,True,33,"點的是焗烤咖哩雞通心麵
必須説食材就是普通
雞肉只有三塊，咖哩粉也是那種難吃粉粉的，不過焗烤給很多鋪很滿，但是吃的出來不是好吃的焗烤，不推。"
