user_name,user_profile_url,rating,local_guide,comment_num,comment_text
 秉諾 ,https://www.google.com/maps/contrib/110038979261008699247/reviews?hl=zh-TW,4,True,20,"今天來西門住住背包旅社微旅行，又是適合踩點的時候😁選上這間～點了鮭魚親子丼、炸雞軟骨、綜合生魚片、生花枝山葵、18天、溫清酒
1.鮭魚親子丼：生魚片還不錯，鮭魚卵有點2.少（卵控），以這個價格還算可以～
3.炸雞軟骨：真心覺得份量可以多一點，雞軟骨不知道為什麼都比別間大塊！
4.綜合生魚片：一份$220而已，不能要求人家給太多片，但食材是新鮮的🙂
5.生花枝山葵：這個我也覺得有點小份嗚嗚⋯山葵能用多一點增加口中的嗆辣
6.18天:想喝而已哈哈哈～不解釋
7.溫清酒：睽違2年再來試試溫清酒，忽然覺得好好喝喔❤️"
 Aaron Lin ,https://www.google.com/maps/contrib/117815095988699582200/reviews?hl=zh-TW,2,True,184,"住西門這麼久第一次去吃，原本看評論想說應該是一間認真的在地小店，但吃起來除了滿臉問號之外，我真的是也不知道哪裡好吃。
食材新鮮度跟價格本身就有反應在這上面，也沒有覺得這個價錢有什麼好不該新鮮的，也吃不出生魚片部位哪裡選得好，料理的手藝也是一般水平，整個晚餐吃完只有吃飽的感覺卻沒有印象店內哪一道料理可以推薦給大家。
還是是我點錯餐點呢？"
 Vivi Lee ,https://www.google.com/maps/contrib/117067678096721564630/reviews?hl=zh-TW,4,True,195,"▫️軟絲醋₁₀₀
裡面有軟絲、海帶、薑片和小黃瓜
雖然軟絲泡在醋裡面但是沒有甚麼味道
所以我後面把醋舀起來和軟絲一起吃
酸酸的很開胃

▪️炸雞軟骨₁₄₀
跟一般的雞軟骨比較不一樣
軟骨外面還有一些肉
吃起來不會覺得很單薄
我蠻喜歡這種口感的
可以擠上檸檬或沾七味粉吃

▫️蘆筍蟹肉手卷₆₀

▪️納豆手卷₆₀

▫️花壽司一份₁₅₀
一顆份量蠻大的總共有5塊
花壽司外圍有飛魚卵和黑白芝麻
裡面的料就比較普通一些
我把軟絲醋的薑片加在一起吃還不錯

▪️泡菜烏龍炒麵₁₈₀(附味噌湯一碗)
裡面的配料有泡菜、香菇、洋蔥、豬肉還有一小搓蔥
麵條很Q調味也很不錯會有一點辣

這次是第三次來用餐了
當天去用餐時間是17:30左右
店裡只有我們一組客人
有看到有一桌是訂位的
前兩次的用餐感受也都不錯
這次用餐發生蠻有趣的事
用餐到一半時店員拿了兩個已經拆開的濕紙巾說等下吃花壽司可以擦手有點受寵若驚🤣想說直接給我們就可以了還幫我們拆開
總之這家是如果有來西門町會想來吃的日料"
 ching ching Fang ,https://www.google.com/maps/contrib/114796991612479801441/reviews?hl=zh-TW,5,True,20,"東西還不錯吃，除了味增湯超淡
炒青菜是高麗菜，炒的較為軟爛
炒烏龍也很淡
以居酒屋來說算平價
這樣花了2500左右"
 精靈到此一遊 ,https://www.google.com/maps/contrib/103044238868026244666/reviews?hl=zh-TW,5,True,246,"入口不太顯眼～
生魚片類品質超優！！！
很有在日本沖繩的店感覺！
感受的到很多老顧客之類

這次選擇
特選生魚片
內含鮭魚肚鮪魚干貝（旗魚青甘海鱺，這怕有誤所以括號但都超好吃！！.因為很晚到差不多晚上8.30想說也許會遇到不新鮮的生魚片）
沒想到超級好吃！店內的芥末也是欣而不辣！CP這超高級無敵高！
所幸這次有趕上營業時間～
店內座位較少不知能不能訂位～
也許能電話先詢問！
大推喔！"
 wai cheung Yeung ,https://www.google.com/maps/contrib/113594229741755409851/reviews?hl=zh-TW,5,True,217,鮭魚鮮，涼拌過貓脆，露筍蝦手卷及握壽司亦有水準，炸雞皮脆肉嫩，但味淡了點！
 曾檍瑄 ,https://www.google.com/maps/contrib/107457661738658924096/reviews?hl=zh-TW,5,True,32,"韓式辣蘿蔔在夏天吃清爽配酒開胃
炸雞跟手捲也是表現良好
尤其炸雞超好吃！！整份吃完也不會膩
另外18天則是正常發揮💗
屬於下次來西門還會來的店"
 台北A025余佩倫 ,https://www.google.com/maps/contrib/106927359431499829911/reviews?hl=zh-TW,5,True,47,"炸雞丼$180
很讓人驚艷，麵衣很酥脆，很好的包裹住雞肉的湯汁，有附醬瓜解膩，醬瓜不是死鹹，處理的很好，附味增湯，調味適中，富含魚的鮮味

綜合握壽司$240
三種魚，鮭魚，紅魽，吾仔魚，都很新鮮，芥末也讚的"
 MM333 ,https://www.google.com/maps/contrib/104604719653600452064/reviews?hl=zh-TW,5,False,18,第一次來訪泡菜烏龍炒麵生魚片酒蒸蛤蜊明太子蛋捲都很好吃CP高還會再來吃的
 Nicole Lai ,https://www.google.com/maps/contrib/102384322192336547584/reviews?hl=zh-TW,4,True,977,"日式平價真實的好鄰居
店內位置不多
如果住附近我一定兩三天報到一次
老闆備有嬰兒椅
且特別幫煮嬰兒鮮魚湯（無酒無鹽還另外附上鹽怕媽媽需要）
連炒青菜都特別注重營養加了海帶芽
白飯煮得粒粒分明香氣夠
真的很感謝在西門町有這樣的地方
（照片不多嫩嬰難喬請見諒）"
