user_name,user_profile_url,rating,local_guide,comment_num,comment_text
 Julie Yu ,https://www.google.com/maps/contrib/112970835245726916599/reviews?hl=zh-TW,5,True,225,"這次到北車裡面的店用餐，剛好很巧被安排在時鐘下的小火車下方的座位區，只要整點都會看到小火車開出，超級可愛，不過，這座位區偏熱，怕熱的要注意。

餐點方面，好吃，但是，個人感覺吃完有點膩，不知道為何，可能是油炸肉排的關係。

服務超級客氣貼心，沒有挑剔。但是桌面上的醬料瓶油膩的很難開，無法使力，後來請服務生換一瓶沾醬瓶才好使用。

不過，印象好像是要現場候位，而且要全員到齊才給入內安排座位，提醒來用餐的朋友要注意。"
 Star W ,https://www.google.com/maps/contrib/115471019325397677248/reviews?hl=zh-TW,5,True,663,"豬排外衣酥脆而不油膩，咬下去鬆軟又有嚼勁，搭配磨出香氣的芝麻混合著豬排醬，一口吃下十分滿足。
高麗菜絲倒是切的粗細不一且水分過多，但是依照個人口味加胡麻醬/柚香醬還是很過癮，服務人員也不時就巡場看是否有需要補充。
而白飯跟黑米煮的也很剛好，不會過硬、也不會軟爛，搭配豬排很過癮，而旁邊小菜也可以在偶爾膩口時解膩，整體非常舒服。
鍋膳味道不會太鹹，拌飯也很好吃，雖然少了炸豬排本身的酥脆度，但更多的是融合起來的那種口感。

壽星生日禮：銅鑼燒、千層蛋糕二擇一，畢竟應該是現成的東西，就是可以想像的味道，偏化學草莓牛奶味，但還可以。"
 王昶文 ,https://www.google.com/maps/contrib/114956151843537299860/reviews?hl=zh-TW,3,True,114,"首次拜訪是凱薩店，不過我想主食的口味應該不會差別太多，這次和友人吃飯就再點個副餐看看。

週日下午五點到，雖然幾近滿席，但仍有兩人座位可入座。坐在靠牆的位置上，一邊是沙發一邊則是木製座椅，桌子離沙發有點距離，用餐時身體會很不自然前傾，還得自己調整桌子的位置。座位間有隔板隔開，我覺得意義滿不明。因為是兩個雙人座併在一起成為四人桌，再把四人桌中間用隔板隔開。為何不直接分開座位就好了呢？

這次點的是熟成里肌豬排，上次是點腰內豬排。其實口感上沒有差別太多，並不是腰內豬排不好，而是里肌豬排做得好。口感厚但肉質又嫩。主要的差別在於肉汁，腰內豬排的肉汁較多。但沾著醬吃里肌肉也不差。皮的口感略嫌粗糙，沒有沾醬吃略刮口。醬汁有胡麻醬、和風柚子醬以及豬排醬。前兩者的味道與市面上差距不大，豬排醬番茄醬味偏重，再來則是類似伍斯特醬的沉酸味，較不鹹。搭配高麗菜絲味道太重，配豬排剛好。

副餐點了酥炸魷魚圈、野菜肉串。

肉串的部分吃起來像是里肌肉夾杏鮑菇，多汁且味道適中，不會太膩。不過沒有提醒是杏鮑菇，我的友人以為是蔬菜結果是他不喜歡的杏鮑菇，很可惜。

酥脆魷魚圈非常難吃，很嚴厲的字眼但是不得不說。既不酥又不脆，完全是油耗味、韌而且沒有調味。即使滴了檸檬還是十分難吃，而且要價120元，實在令人生氣。"
 Lee Peggy ,https://www.google.com/maps/contrib/113156859085009791620/reviews?hl=zh-TW,5,True,778,現點現做，豬排外皮酥脆，內餡豬排軟嫩，湯品、小菜、白飯、高麗菜絲無限享用，桌邊QRcode自行點餐，熱門時段（假日、晚間）門口時常大排長龍，因製作時間需要等待約15分鐘，因此趕車時不太適合選擇這間店。
 鮭魚紳士 ,https://www.google.com/maps/contrib/111869363852596804538/reviews?hl=zh-TW,3,True,92,"2022/08/16在朋友介紹下初次前往消費，以下主觀感受僅供參考。
優點：1.熱茶、味噌湯好喝，小菜很好吃，桌上的醬料在水準之上2.飯、湯、小菜皆可免費續加3.店內環境乾淨。

缺點：1.商業午餐的豬排偏硬偏老(朋友的經典豬排也是里肌豬，口感卻天差地遠)，建議如果要推商午就請用心做好，不然寧可不要推，除了讓消費者得到不好體驗，還砸了自己招牌，雙輸！2.茶碗蒸、霜淇淋、飲料CP值低(我用壽司郎來做比較)3.可以吃飽但整體來說價位偏高，CP值不高，不會刻意回訪。"
 張恩慈 ,https://www.google.com/maps/contrib/110502017845001731663/reviews?hl=zh-TW,5,True,626,好吃，有穩定的品質，補高麗菜、白飯都不囉嗦，吃得很愉快！推薦一下5/25號晚餐的服務人員，親切且很主動服務，最後雨傘忘記拿還衝出來轉交給我們，只能說服務到位讓本次用餐體驗更是愉快！
 鍾宇明 ,https://www.google.com/maps/contrib/112339612352151595974/reviews?hl=zh-TW,5,True,"1,125","與友人相約看電影，
剛好樓下就是美食街，
由於時間關係，決定選擇吃豬排。
厚切豬排非常好吃！
肉嫩酥脆，
同時飯丶湯和高麗菜絲都可以續，
奶酪好大一碗，真讓人驚喜！
一般外面的奶酪都是小小杯。"
 王大慶 ,https://www.google.com/maps/contrib/111700951833875225253/reviews?hl=zh-TW,2,True,145,"座落在台北車站大廳的時鐘下方，是一個挺厲害的位置。
但可能是我不太懂吃豬排，我覺得不算特別香、特別美味。即使是最貴的豬排品項也沒有讓我感到驚艷
咖哩不建議嘗試，味道更是讓我失望。但畢竟不是專賣咖哩，所以還能理解。
可以續飯。
個人感覺有點貴，不是我願意常來消費的程度"
 SO T ,https://www.google.com/maps/contrib/107192828679751808529/reviews?hl=zh-TW,3,True,366,豬排一如繼往的好吃，服務人員也很客氣，不過紫米沒了應該要入座時就通知，不要上菜前才說，然後這家杏子的燈竟然一半都是白光….？日式豬排餐廳用白光？😂😂
 Steven Liu ,https://www.google.com/maps/contrib/107020497685566662563/reviews?hl=zh-TW,4,True,207,里肌豬排膳鍋蛋液湯汁包裹著豬排麵衣，味道平衡協調性很好，配上白飯真的是讓人胃口大開。腰內肉跟炸蝦份量十足，炸蝦跟單點的牡蠣反而超出原本的期待，炸蝦肉質有彈性，牡蠣飽滿多汁。
 H JY ,https://www.google.com/maps/contrib/108617109033071350181/reviews?hl=zh-TW,4,False,146,"到京站看電影順便來吃，杏子豬排不用說一直是我的愛，可惜現在好像不能自己磨芝麻，然後湯裡有塑膠要再注意
👻一個餐三四百左右
😼新推出的鹽蔥口味我超愛我大愛，但我是蔥愛好者要加入這個前提哈哈
😼杏子的飯就是好吃，茶碗蒸還行，飲料普普
🤔當天的味噌湯裡面漂浮一個塑膠片，和服務人員後服務人員幫我換了一杯新的
⭐個人整體給4.5顆星因為還是很好吃

#food#taiwan#taiwantravel#taiwanfood#foodie#foodlover#foodstagram
#杏子#杏子豬排#pork#porkbelly#porkchops"
 Jeremy Huang ,https://www.google.com/maps/contrib/108468603839044466148/reviews?hl=zh-TW,4,True,113,"每次來吃都要無限續生菜，高麗菜絲很細（有些店會粗細不一）配上胡麻醬真的清爽不膩，味噌湯、小菜、飯也都可以再續。
主餐點生蒜豬排，個人不喜歡加醬，會選擇檸檬跟鹽，濃濃的蒜味配上單純的鹹與酸，口味上已經超越豬排醬一面倒的搶味(•̀ω•́)
朋友點豬排鍋膳，還是不太喜歡整個濕掉的炸豬排，但醬汁是好吃的，鹹甜適中，配上蛋與豆苗一起吃應該是某一派人的最愛。"
 Bostevenw Peng ,https://www.google.com/maps/contrib/113688460430040003946/reviews?hl=zh-TW,4,True,73,原本沒什麼期待的里肌豬排鍋膳，吃起來倒是滿不錯的，半熟蛋液搭配豬排，雖然泡著會有點軟爛的口感，但另一面的酥脆平衡了口中那軟爛的感覺。下次會再嘗試麻辣口味。
 Tracy Wang ,https://www.google.com/maps/contrib/117960837559734634967/reviews?hl=zh-TW,5,True,234,"美味好吃的腰內與里肌肉😋
味噌湯料好吃～高麗菜絲的醬料也很棒
套餐搭的野菜肉串也很美味
蕨餅大概是我吃過附餐做得最好吃的一家
服務也很優質，會詢問是否要續加餐點
唯一可惜的是可爾必思有點稀"
