user_name,user_profile_url,rating,local_guide,comment_num,comment_text
 Emma Lin ,https://www.google.com/maps/contrib/101647837769400691666/reviews?hl=zh-TW,5,True,138,"之前吃過泰和樓非常喜歡，來吃吃看姊妹店麵點獅，味道真的都差不多～
喜歡叢林雞勝過蔥油雞，叢林雞味道比較豐富層次多，蔥油雞味道就比較單一
蝦肉煎餃很驚艷，外皮很脆呢，內餡有些許韭黃
蝦肉紅油抄手也不錯，醬汁微酸開胃，內餡跟煎餃是不同的喔，帶有一點蔥
老媽拌麵微辣偏鹹，干絲調味不錯
整體很喜歡～就是價格偏貴了一點😂"
 WL Chen ,https://www.google.com/maps/contrib/101793753248461655567/reviews?hl=zh-TW,4,True,56,以在購物中心、美食街附近的餐廳評比的話，算是不錯的口味，但就也不是下次經過一定想再吃的那種，店裡很乾淨，座位寬敞，蠻舒服的，也很安靜。蔥油雞就是認真油油亮亮，還蠻香的，蔥油餅略嫌有點油，小籠包還不錯，套餐附的酸辣湯也不錯，獅子頭麵一般般，但平常很少見到所以還是點了。如果不想在美食街跟人擠等座位，這餐廳的用餐環境還不錯，食物也中等沒有太大的地雷，可以試試看。
 Sabrina ,https://www.google.com/maps/contrib/111826474887510859730/reviews?hl=zh-TW,5,True,199,鮮肉小龍包皮很薄一口咬下滿滿湯汁很好吃，獅子頭個人偏好配飯，湯麵比較不喜歡，豆沙鍋餅現點現作熱口香酥甜而不膩，餐後再上搭配冷泡茶就是完美的ending.
 Yin Chen ,https://www.google.com/maps/contrib/115768145485332273080/reviews?hl=zh-TW,4,True,"1,368","京站會員送的套餐
2022/6/8消費體驗
獅子頭麵、小籠包3顆、小菜

獅子頭麵：獅子頭好吃，湯也好喝（清爽不鹹）麵條是我愛的偏硬
小籠包：皮包湯汁多，薑絲有特別處理過，不會水水的，好吃

小菜：小黃瓜一般

套餐215不確定要不要服務費
整體很超值"
 Natanich vogue (ณัฎฐนิช) ,https://www.google.com/maps/contrib/103790592799172133585/reviews?hl=zh-TW,5,True,229,"整體很好吃！蔥油拌麵很讚豆沙酥餅也好吃
絕對會二訪
只是現場服務人員只有一位大家要耐心等候"
 高亮慈 ,https://www.google.com/maps/contrib/118158505832131260879/reviews?hl=zh-TW,5,True,54,"四季豆蒸餃超級驚艷好吃滿大一顆的
味道很特別超級喜歡～～
蝦子煎餃更是驚人，咬下去的瞬間香氣跟汁都噴了出來，每口都是享受～～
高麗菜水餃有基本水準，吃不膩
蔥油餅是內部扎實外部脆脆的口感，香氣十足～～
整體而言吃完非常幸福☺️"
 o d ,https://www.google.com/maps/contrib/117708629391430957911/reviews?hl=zh-TW,5,True,479,整體餐點都蠻有水準，不馬虎，本來沒有任何期望，卻出乎預料，煎餃紮實，餅皮Q彈，今天點的每道皆吃得出用心和美味！很棒😊
 阮振瑋 ,https://www.google.com/maps/contrib/112739784485272874871/reviews?hl=zh-TW,2,True,41,"1.酸辣湯50元跟醬料碗差不多大
2.小籠包味道非常奇怪
3.叢林雞肉很柴
不會再來吃了"
 無極 ,https://www.google.com/maps/contrib/113771532033258752068/reviews?hl=zh-TW,5,True,518,"蔥油餅太好吃了，外頭香脆，裏頭鹹香潤嫩
願意為了蔥油餅再訪！
位在京站b3的麵點獅餐廳，有獨立的用餐環境
小店整潔乾淨，
搭配小籠包的薑絲處理的非常乾淨
連桌上的醬料瓶也乾淨
蔥油餅大推～"
 邱鈴琇 ,https://www.google.com/maps/contrib/102721596426419797474/reviews?hl=zh-TW,3,False,10,"吃完覺得不如去吃鼎泰豐，
高麗菜有醬的地方太鹹，
沒醬油的地方又沒味道！
獅子頭麵條沒煮熟，還有咬到麵條沒散開！
跟留言一樣，湯頭真的像醬油
玉米濃湯就不用說，
一碗小的跟外面味增湯一樣！
卻要50元！

最失望的是連小菜小黃瓜都感覺是放好幾天，一天都不脆，吃到除了軟！
覺得真的只有很酸的味道，
少了黃瓜的香味～

服務是不錯！
小籠包覺得還可以～
多幾顆星是給服務！
但下次不會再光顧！"
