user_name,user_profile_url,rating,local_guide,comment_num,comment_text
 Jane ,https://www.google.com/maps/contrib/110538724603940570103/reviews?hl=zh-TW,4,True,17,"店內乾淨明亮環境舒適，有沙發區以及一般座位區，部分座位有插座（幸運坐到有插座的位子），看完菜單到櫃檯點餐付款，自助區自取水餐具。整體感很大不擁擠，也很適合姐妹約會拍照或是朋友聚會。
用餐時間限時一小時半，上餐速度快，飲品部分先上。免服務費。交通部分近東門捷運站3號出口。
餐點整體感好吃，而且食物基本上都是原型食物很健康，不過份量部分就不會到吃飽，適中偏少，價位一點點高。
本人這次點的是司康三丘，很少吃到有司康的早午餐，覺得蠻特別的，搭配果醬吃比較不會乾。松露炒蛋我給滿分，很香根本一口接一口。煙燻鮭魚部分很美味新鮮不過小塊了點。炒香菇跟德式香腸部分好吃，整盤的搭配很好不奇怪，美味。
以下照片分享好友點的餐點🙂"
 伍玖玖 ,https://www.google.com/maps/contrib/104628999236830952049/reviews?hl=zh-TW,4,True,465,"早午餐點口味清淡，份量少價格偏高，適合約會聊天。

入店後店員會上前接待，店內明亮，環境乾淨舒適，有沙發區很舒適，部分座位有插座，看完菜單到櫃檯點餐付款，自助區自取茶水餐具。

用餐時間限時90分鐘，上餐速度很快，所有食材都是原型食物吃起來很健康沒負擔，但是份量偏少。

煙燻鮭魚班尼迪克蛋💰320元➡️蛋上面的起司太少，味道不夠。沙拉份量偏少，沙拉醬可以續。

酪梨花的告白沙拉💰330元➡️很普通，沒記憶點，沙拉醬可續。

美式咖啡💰100元➡️味道還可以，有咖啡味。

黑糖堅果優格杯加購價40元，上面灑堅果跟黑糖，黑糖有顆粒，口感不錯，黑糖可續。"
 張之勁 ,https://www.google.com/maps/contrib/100121735192839439280/reviews?hl=zh-TW,5,True,167,"🧂蝦芭頌-$300
📍爐烤鮮蝦🦐．自製薯餅．炒蛋．酪梨🥑．風乾蕃茄．堅果．爐烤可頌
蝦子超級多隻，送上來直接是淡淡的爐烤香氣，裡面的薯餅也使非常讚，很有口感，配著炒蛋和旁邊的自製醬汁(帶點甜甜鹹鹹的味道)，也是可以自己包在可頌內一起吃。

🧂波塔特骰子牛-$310
📍自製薯絲餅．骰子牛．水波蛋．荷蘭醬
兩片薯絲餅上面擺著骰子牛以及水波蛋，輕輕劃開蛋白，裡面的蛋黃緩緩流下，牛肉配合荷蘭醬和蛋液，很好吃，這邊的牛肉口感偏軟帶點咬勁，兩塊薯絲餅很滿足，因為還沾上一點肉汁和佐料，變得更夠味。

🧂節瓜菇菇太陽蛋(法式薄餅)-$240
餅皮口感帶點Q度及咬勁，上面有著大量的蔬菜，裡面則是切片節瓜以及滿滿的起司，算是很清爽的開胃小點。

🧂黑糖堅果優格杯🍶-$40
大家來這邊幾乎都會加點，無糖優格上面撒上黑糖粉以及大量的堅果，吃起還超級健康。

這家真的是可以大堆，一大愛點之一也是因為這邊有薯絲餅，跟MONE比，這邊的更夠味一點，煎的也比較焦一點點的，大家都可以去吃吃看，每到假日人潮很多，建議都要先訂位喔。"
 Tiffany Tsai ,https://www.google.com/maps/contrib/102388291449390511218/reviews?hl=zh-TW,4,True,117,"店內十分明亮舒適，來的時候正臨耶誕節～已佈置妥善，相當有氣氛
店內餐具及飲用水自取；洗手間還有香氛，並備有擦手紙，挺細心的
奶酪過於軟爛，感覺像沒成型，吃起來口感不佳；
酪梨鮮蝦清爽可口，蝦皮已經去殼，食用挺方便的，不過因為只用酪梨提味，因此我又多要了些沙拉🥗醬
整體用餐品質尚可，但環境挺舒適的，仍值得到訪。"
 Air Lin ,https://www.google.com/maps/contrib/114991756683309977339/reviews?hl=zh-TW,2,True,28,進入店家第一眼感覺店內氛圍還不錯，帶了點網美風。不收服務費是其特點，櫃檯點餐的男店員服務不錯，但入座後因為想換位，由於第一次進去並不知情，詢問一位女店員，對方提醒的口吻不佳且帶了教訓意味，第一次消費的好心情已經大打折扣。點了煙燻鮭班尼克蛋與古早味紅茶，總共消費$400。在物價昂貴的台北市區，此消費價格位於永康金華街地段來說尚可，餐點擺盤賣相都不錯，但主餐的班尼克蛋搭配的瑪芬麵包送上桌是涼掉的，且瑪芬麵包烤得太硬，部分口感像是酸種麵包的硬度，與用餐體驗過的Sarabeth’s煙燻鮭班尼克蛋相比，是輸了一大截。整體用餐體驗不算太好。
 ball lin ,https://www.google.com/maps/contrib/101897060493570691629/reviews?hl=zh-TW,5,True,115,"餐點份量不會太大，環境也很明亮乾淨，服務人員也非常親切！所以用餐的時候都還蠻舒適的～
推薦點法式薄餅和蒜蝦品項，尤其薄餅的餅皮很香，另外如果看到菜單上👑標示，但沒有超級想吃骰子牛跟司康的話，其實可以pass選看看其他的哈哈～"
 Amy Su ,https://www.google.com/maps/contrib/117565990287367616263/reviews?hl=zh-TW,5,True,"1,003","擺盤配色極具美感的早午餐店，適合假日早晨和朋友慵懶吃個早午餐

👉這次用餐吃的餐點：
✨波塔特骰子牛早午餐（310）
擺盤超級美！美到捨不得吃耶

香料炒菇不錯，搭配煎得恰恰的金黃薯絲餅超好吃

薯絲餅外層酥脆，內部一絲絲的馬鈴薯還有些鬆軟，熱騰騰吃真的很療癒
（薯絲餅給了兩大塊，可以大口爽吃，薯餅控務必要點！

骰子牛有嚼勁，但我覺得不太好咬，更喜歡軟嫩口感的牛肉

水波蛋的蛋黃很濃郁，吃起來是厲害的雞蛋，跟一般早餐店在用的便宜雞蛋吃起來有顯著差異（欸但我沒辦法統計，好像不能講顯著差異😆

✨燻鮭魚塔（310）
有燻鮭魚花、薯絲餅、法式吐司佐蜂蜜和奶油、溏心蛋一顆

捲成花狀的燻鮭魚很美，但味道普通又偏鹹

薯絲餅正常發揮，前面講過就不贅述

法式吐司的口感很特別，有種在吃玉子燒的錯覺，可能是太濕潤又蛋味太濃，我吃不習慣，不過可以想像會有人喜歡

✨黑糖堅果優格杯（主餐加購40）
優格上有四五種堅果跟果乾，再灑上薄薄一層黑糖粉

微酸的優格和甜甜的黑糖粉達成完美平衡，黑糖的獨有香氣非常迷人

✨蜂蜜檸檬（主餐加購100）
感覺沒什麼特別，就檸檬汁加蜂蜜，但甜度很剛好，讓人想一直喝那種

想看更多美食評論，歡迎追蹤我的IG:
👉born2eat_taiwan"
 C.L. ,https://www.google.com/maps/contrib/108453019898230537576/reviews?hl=zh-TW,4,True,483,"因為酪梨🥑來的早午餐店，最推薦的是加40元加購的黑糖優格，上面鋪滿黑糖與堅果，中和酸甜的優格，好想再來一杯。
今天的餐點選擇了酪梨花沙拉🥗以及蒜蝦酪梨多士，以及搭配飲料蜂蜜檸檬。酪梨花沙拉本身有淋上像油醋的醬料，再另外附上酸酸的水果醬料，單吃食物的原味還不錯，覺得自己很像羊一早吃一堆草。
兩人消費800元，平日早上人潮不多，店內採光舒適可以好好度過一個美好早晨。"
 Tammy Chen ,https://www.google.com/maps/contrib/112896485432322672971/reviews?hl=zh-TW,2,True,14,"坦白說餐點有很多問題，擔心自己吃了肚子會不舒服。當天點煙燻鮭魚酪梨花沙拉，鮭魚總共兩大片，其中一片正常，另一片有很多筋丶用刀也切不開，而且顏色怪怪的，我擔心是已經久放的原因。旁邊配的水果包括柳橙和奇異果切片，吃起來都是已經壞掉的味道。只有沙拉葉的新鮮度還可以。
同行友人點奶油燉雞配紅藜米飯，另一個點綠咖喱雞。奶油燉雞味道還可以，綠咖喱吃的出來就是用一般現成的醬料包，兩者使用的雞肉品質都不好。
餐點的份量都很少，而且主餐並沒有附飲料，加點飲料只能折20元。而飲料的價格偏高，最普通的紅茶或黑咖啡都要110-120。拿鐵160，拉花滿可愛的。
原本看google評價4.2分來的，吃完後滿失望的，以後不會再去了，更不會推薦給朋友⋯"
 Cathy Chao ,https://www.google.com/maps/contrib/117511832198440802817/reviews?hl=zh-TW,5,True,28,"第二次回訪，店內空間很寬闊，採自助式點餐，餐點都很有特色，擺盤也很美～很想要通通吃過一輪🥹

這次點的波塔特骰子牛，由牛肉塊、水波蛋跟薯絲餅組成，非常好吃；蝦芭頌則是有滿滿的蝦子，以及炒蛋、可頌、薯餅。

相對來說，飲料CP值就沒有那麼高😣美式咖啡小小一杯要$100，不過整體還是很不錯，如果沒客滿也可以待很久，不會趕人～下次還會再想來❤️"
