user_name,user_profile_url,rating,local_guide,comment_num,comment_text
 Cindy Lin ,https://www.google.com/maps/contrib/114697152324704662450/reviews?hl=zh-TW,5,True,89,"我點了泰式酸辣雞腿飯,口味不辣不酸偏甜,肉質嫩,半生熟荷包蛋好吃,另外加點炸麻糬(裡面是一些芋泥和一點蛋黃)也不錯吃,薄荷綠茶也很好喝,吃的很飽,物有所值。"
 Pin Liu ,https://www.google.com/maps/contrib/100973151994236662294/reviews?hl=zh-TW,4,True,291,"飯類份量都很大喔！
女生可能會吃不完
甜不辣不是酥脆的類型，有點軟軟的，見仁見智囉
有附飲料可以加價換其他的品項
中午人滿多的很多附近居民來用餐"
 Yaya H ,https://www.google.com/maps/contrib/101976972190465284581/reviews?hl=zh-TW,5,True,30,"現炸排骨飯不會過於油膩排骨份量大、很下飯
珍奶珍珠給很多每口都吸得到滿滿珍珠
奶精味偏重喝起來很古早味
炸麻薯芋丸大顆外皮香酥內餡甜糯趁熱吃好吃🙌🏻"
 崔天佑 ,https://www.google.com/maps/contrib/114343714475977248914/reviews?hl=zh-TW,4,True,167,"1.可以外帶，疫情期間無優惠。
2.本次點餐為去骨炸雞腿及泰式酸辣雞腿排，皆135元；泰式忘記淋醬料，扣分。雞腿排厚實，外皮酥脆，肉質多汁，麵衣調味適中，十分好吃。
3.配菜是荷包蛋、炒高麗菜及紅燒豆腐；荷包蛋可選全熟或半熟，高麗菜蒜香爽脆，紅燒豆腐水嫩入味，配菜份量十足。如果食量小，可以告知飯盛一半就好。
4.附餐為25元飲料，可點金額超過再補差額。
5.好吃，價位中等，會再訪。"
 Phoebe Cho ,https://www.google.com/maps/contrib/118099389723688709484/reviews?hl=zh-TW,5,True,752,"我小學、國中的青春都留在這了～
久久還是會回來吃一下
店內店外、菜單、老闆闆娘都沒變！
滷雞腿飯也依舊好吃🤎
還是最喜歡這種奶精粉的珍奶🧋"
 DY ,https://www.google.com/maps/contrib/106820337341468690730/reviews?hl=zh-TW,4,True,189,環境不錯，價格比之前漲了5元，排骨跟雞腿都算好吃，但有時品質不太穩定會太油，配餐紅茶好喝，加錢換飲料也很划算，但常常要排隊且如果外帶訂單多需要等比較久。
 Rosy Cloud ,https://www.google.com/maps/contrib/108372321559688289135/reviews?hl=zh-TW,5,False,81,從小吃到大的簡餐店，每次經過幾乎都是絡繹不絕的人潮，但仍讓人想要造訪回味♥️
 Ryan Liu ,https://www.google.com/maps/contrib/113237742635854282619/reviews?hl=zh-TW,5,True,63,今天趁著尚未正式中午時間趕快去吃看看朋友大推的滷雞腿飯套餐，雞腿又油又香又嫩，紅茶熱的不甜不澀，只有白飯較不合我胃口，整體來說還滿好吃的啦，推薦給大家，讚啦！
 SKai C ,https://www.google.com/maps/contrib/101608954515861294343/reviews?hl=zh-TW,4,True,405,"自己覺得最好吃的是黑胡椒牛肉飯，生意很好。白飯每次都煮得恰到好處，煎蛋也是中規中矩很香。冰紅茶也是飯後很棒的飲品👍
老闆娘很熱情，老闆的態度則要再加油。"
 Rick Hsu (瑞克) ,https://www.google.com/maps/contrib/107636884617751473635/reviews?hl=zh-TW,5,True,50,地表最強快餐店，份量足，又有提供飲料。可以升等補差價珍珠奶茶，一定要點的，不喝會後悔！雞排肉質鮮美，炸得外酥內嫩，從小吃到大，沒有讓人失望過😂
