user_name,user_profile_url,rating,local_guide,comment_num,comment_text
 Paul Kuo ,https://www.google.com/maps/contrib/111214067373229355176/reviews?hl=zh-TW,4,True,405,“咖啡豆乳冰淇淋”好吃！微苦咖啡襯托出濃郁的豆乳香，口感滑順，也不會太甜，平衡的很好；是一道屬於大朋友的甜品。
 藍波波 ,https://www.google.com/maps/contrib/101513093308539374036/reviews?hl=zh-TW,4,True,368,"營業到九點內用到八點半店內有廁所
目前google評論或臉書按讚有十元買原味豆漿冰淇淋🍦的活動
豆漿是真的好喝👍
服務員態度普通"
 Markush H ,https://www.google.com/maps/contrib/100786026137022216195/reviews?hl=zh-TW,5,True,77,"經過好幾次但都沒有特別買過
這次吃過後才覺得太晚知道這家
冰淇淋的味道非常的特別而且非常濃郁！
濃醇香就是這味（？）
豆乳不會過甜，而是透過淡淡的甜味去帶豆乳本身的香味，豆乳本身非常濃郁！"
 Juliagirle ,https://www.google.com/maps/contrib/107280676873400974272/reviews?hl=zh-TW,5,True,86,裝潢很文青風格，吧台前特殊造型的椅子也點出主打商品為何，非假日的晚間沒有太多人潮，可以好好的在店裡小坐一會兒跟朋友聊聊天，是很舒適的空間
 Vicky Tu ,https://www.google.com/maps/contrib/102506046124065506028/reviews?hl=zh-TW,2,True,672,"吃了好多次，很喜歡二吉軒的豆花。
但是2022/8/6再訪，菜單改了、豆花也不一樣了，感覺像是硬硬的板豆腐花，超難吃！
今天帶了一大群人來吃，結果超失望！
詢問工作人員，他們說會跟製作部門反應，
難道是換人做了，配方不同了嗎？
我那思念的軟嫩滑口的豆花呢？"
 陳佳妘 ,https://www.google.com/maps/contrib/101422183941987755762/reviews?hl=zh-TW,5,True,123,"黑芝麻豆乳/烏龍茶豆乳
豆漿豆花

說到濃豆乳就是二吉軒！
豆味跟調味幾乎是1:1，兩者皆濃厚，不過可惜調味豆乳只有微糖版本，平常喝無糖所以還是覺得偏甜
價錢雖然不低，但喝得出真材實料，濃到會反乾！
質地稠卻很滑順，會直接咕嚕咕嚕滑進食道裡
每次必買芝麻跟烏龍茶，其實芝麻是可以想像的味道，但外面喝不到自己也做不出來！芝麻控必買！
烏龍茶就很特別了，茶味超濃，是我的全系列第一名，最近出了一個枸杞的新口味，有試喝過，也覺得很特別很喜歡！
其他像可可、紅豆都不錯，但就是好喝，不會到特別驚艷

豆花可以自己加料，選了芋頭跟紅豆
豆花紮實綿密豆味重，配料大概五分糖，但基底是無糖豆乳，所以覺得甜度蠻剛好，夏天來一碗消暑再適合不過
除了價錢小貴沒有什麼缺點了喜歡！"
 AMOS LEE ,https://www.google.com/maps/contrib/111436632215500646981/reviews?hl=zh-TW,4,True,663,全豆乳專賣店，遇上買一送一，草莓聖代豆乳冰淇淋，逛吃永康街後，可以來店歇歇腳~
 chia lien hung ,https://www.google.com/maps/contrib/118193377649375704417/reviews?hl=zh-TW,4,True,249,"豆花可以選傳統或日式豆花，是綿密跟滑順的口感差異，接下來選糖水及有糖無糖豆乳，最後選擇配料，很客製化的豆花。
豆乳非常濃郁，無糖也沒有豆味的刺激味，很滑潤順口，配料紅豆跟芋頭都綿密好吃，而且不甜，感覺吃了清爽無負擔。
二樓座位區很舒適，可以坐下聊天休息。店員服務態度很好，值得一再回訪！"
 wen ching Huang ,https://www.google.com/maps/contrib/113436884772125283843/reviews?hl=zh-TW,5,True,77,"#窗明几淨#環境乾淨
點了碗傳統豆花+原味豆乳+紅豆、花生

超級驚艷！豆花口感好、豆乳濃郁，配料更是樣樣綿密⋯吃過後會留下深刻印象的。超級推薦大家來試試⋯"
 Mung Bean (小綠豆) ,https://www.google.com/maps/contrib/103833051733511761730/reviews?hl=zh-TW,5,True,62,"芝麻豆乳霜淇淋$70
-
上次吃豆乳霜淇淋覺得不錯
這次又再來買一次
-
不過這次有點嚇到
拿到超小一杯
還好是好吃的(๑•̀ㅂ•́)و✧"
 譚詠淳Rika ,https://www.google.com/maps/contrib/106168889056820736886/reviews?hl=zh-TW,5,False,39,"豆乳冰淇淋+黃豆粉+咖啡￼
又香又滑又濃⋯絕配呀！￼
這小小一杯涼爽享受了冰、
豆奶的營養、
豆粉的乾甜、
咖啡的濃郁￼⋯

#忘記拍黃豆粉的～"
 勝彥（LOOK ROAD） ,https://www.google.com/maps/contrib/100087028734037061713/reviews?hl=zh-TW,5,True,234,"開在我常吃飯館旁的飲料店(應該算飲料吧><)
每次經過都好多人買
這次終於有機會也買了#芋頭豆乳

打開就是濃濃的芋頭味撲鼻而來
喝起來真的相當的濃醇順口
不會太甜喝起來很有飽足感
相當的推薦"
 Amanda Lee ,https://www.google.com/maps/contrib/111500610428971875877/reviews?hl=zh-TW,5,True,96,各式豆漿口味都很好，尤其最愛豆乳霜淇淋與芝麻霜淇淋，濃郁不膩口！今天來試試阿法奇朵豆乳霜淇淋，也很好吃😋
 YH Chen ,https://www.google.com/maps/contrib/109889925178661458889/reviews?hl=zh-TW,5,True,281,"烏龍茶豆乳最高其他芋頭紅豆芝麻也很不錯
每個禮拜固定回購平日早餐的時候可以喝
傳統花生豆花加微糖豆乳也很讚～～
現在台北很多這種類型的文青豆漿店但還是最愛二吉軒！"
 Ink ,https://www.google.com/maps/contrib/100736544647745372295/reviews?hl=zh-TW,2,True,"1,524","非常非常不甜的豆乳豆花店，螞蟻人勿進。

傳統原味豆乳豆花：菜單上只有無糖跟微糖的選擇，但個人覺得兩者在甜度上應該是沒有差別，至少我選了微糖吃起來跟無糖幾乎一樣；豆乳豆味濃郁，豆花吃起來則像是軟綿款的板豆腐，整體搭配起來口感相當濃稠，入口只有豆味沒有甜味，適合不吃糖的人。"
 Amber ,https://www.google.com/maps/contrib/113532066452061547619/reviews?hl=zh-TW,4,True,292,"這家店有種魔力，經過此店沒有點一支冰來吃有點對不起自己。
點了咖啡口味的冰，一入口微苦但越吃越好吃，攪拌以後味道更棒！
靠馬路的豆腐椅很可愛很符合二吉軒的樣子，很輕鬆的用餐經驗。"
 Tammy Hsieh ,https://www.google.com/maps/contrib/115136197472197022678/reviews?hl=zh-TW,5,True,211,"推薦原味豆乳霜淇淋跟各式豆乳、豆花！

豆乳香濃甘醇，最喜歡原味！

二吉軒是大人小孩、外國朋友都喜歡的好口味。"
