user_name,user_profile_url,rating,local_guide,comment_num,comment_text
 Kingbaby Chou ,https://www.google.com/maps/contrib/100602741421065492727/reviews?hl=zh-TW,5,True,286,"如果你是老饕，到永康街先別急著吃永康或是老張牛肉麵，可以先來這碰碰運氣，賭賭看你是否吃得到每天限量20碗的牛肉麵！

老饕目前只吃到麻辣椒香雞腿麵，雞腿老闆先炒過再氣炸，雞皮油氣消退，留下滑順口感，外加些許焦香味，搭配薑黃香料入口的異國風味感十足，一口下去，感覺有點介於泰式、印度料理的香氣撲鼻；

麵條硬度可隨客人調整，偏硬口感絕對推薦，咬勁十足，火侯控制得宜；只有10個位置，老闆只有一人料理，請體諒老闆無法加速，因為一碗一碗都是老闆精心準備，吃得到職人對食物的癡迷！

老闆以前在賣珠寶，因為疫情的關係，轉行改賣牛肉麵＋乾麵，雖然收入跟以往相比天差地遠，老闆時常大方暢聊他的人生故事，搭配他一碗一碗親手獻上精心準備的麵，你吃下去的，除了麵香，故事才香，真的！"
 Darren Chiu ,https://www.google.com/maps/contrib/107136823218848712606/reviews?hl=zh-TW,5,True,350,"老闆是個直率的人，很好聊天，對於工作有熱忱，一條龍服務模式要來前請先有心裡準備這是妳可接受的，哈要不然這樣有特色的方式可能會讓妳失去了吃麵的初衷！（可電話先訂位，記得要準時到喲！）

曾旅居夏威夷多年，老闆還有個夢，哈等實現了我到時一定親自去喝看看你的珍珠奶茶！另外，官網聽說會公佈老闆一年只做一次的清燉牛肉麵，這我也會想來嚐看看，期待！

麻辣嬌香雞腿麵：這雞腿肉我覺得應該是這隻雞有走過台北大縱走，肉質Q彈表皮帶點微脆感，用氣炸鍋逼出油後吃起來不油膩。肌肉量又大，不止六塊肌，我看都要八塊惹，份量十足！麵條是老闆試吃過許多家後精挑出的粗麵，麵Q醬汁吸附力佳，紮實的口感很不錯。

附茶：為何連隨餐出的茶也要介紹，因為這老闆私人配方花茶，喝起來像在大自然裡的清甜感，回甘度高，超好喝的，不虧是想開飲料店的人。很想跟老闆討教秘方回家自己泡來喝。"
 Charles Yang ,https://www.google.com/maps/contrib/100989695818078405604/reviews?hl=zh-TW,4,True,237,"懶人包結論：來了就吃！在附近也來吃！
外國的月亮比較圓，不只西方的月亮，日本的也圓新之助，明明拉麵隨便都200到300元，一碗牛肉麵為什麼破200就會被嫌貴？如果自己煮過湯買過肉煮過泡麵以外的麵，就知道這價錢是薄利在賣。
一人的牛肉麵店，採購料理服務行銷通通要自己來，期末報告四個組員都報告不好了，一個人的牛肉麵店能像來了就吃，要不是老闆在做夢想，就是老闆對餐飲有愛！
麻辣「嬌」香雞腿麵，滿滿的雞腿塊、特別找來搭配的香料，讓你吃麵不只是麵，吃完滿心歡喜；五色五味牛肉麵，肉給的份量扎實，湯頭口味相當有味，搭配著桂花烏龍非常清爽，最後的布丁也是毫不客氣，份量、品質可超越五成以上台北咖啡店。
價格相當公道，請饕客來了就吃！"
 J H ,https://www.google.com/maps/contrib/115829142481050996238/reviews?hl=zh-TW,5,True,180,"很幸運地遇到店家週年慶,老闆很用心地推出隱藏版料理-清燉牛肉麵,是清香的越式口味內含豆芽與九層塔,配上薑黃粉醃漬的雞腿與細嫩四季豆大大滿足餐後再加上老闆手工布丁一整個飽到天靈蓋了~期待老闆繼續研發新菜色滿足我們挑剔的味蕾"
 張米菲 ,https://www.google.com/maps/contrib/112566906845449392316/reviews?hl=zh-TW,5,True,214,"平日晚上19:30進店裡已經沒有牛肉麵了🥺我們點了麻辣椒香雞腿麵、初來乍到雞腿麵

麵有點偏油但調味很棒，可以選擇粗麵或細麵，份量很夠很好吃！重點雞腿肉又嫩又香又沒骨頭！！

麻辣椒香雞腿麵小小辣但麻的可以…不嗜辣可以考慮點初來乍到雞腿麵

看評論都說布丁必點！布丁不是軟綿綿的那款，偏Q彈的奶蛋香加上香草籽，當飯後甜點真的很幸福餒～"
 Jhenhsi Pang ,https://www.google.com/maps/contrib/109185295774376590092/reviews?hl=zh-TW,5,True,74,"麻辣椒香雞腿麵，喜歡寬麵口感，老闆一人做全部餐點，品項雖少，餐餐經典，好吃😋沒話說👍🏻

店面小小的，原本以為是日本料理，沒想到是麵店，很有人情味的老闆，晚上大約8:00就全部會賣光，座位不多，建議要先定位。"
 領隊CC這樣玩 ,https://www.google.com/maps/contrib/114636403265344092870/reviews?hl=zh-TW,5,True,473,"牛肉麵-好吃可以感受到比較高級湯頭比一般濃郁紅蘿蔔半條完整的有種很熟的味道？！說不出來牛肉軟嫩大塊酸菜真的好吃脆不會太鹹

椒麻雞腿麵-這個比較驚艷醬很像一般泡麵會有的那種味道雞肉真的好吃嫩豆子也很清爽這個反而覺得麵太少了

這次都點粗麵粗麵很有嚼勁

茶很好喝跟一般的不同可惜喝不出來什麼味道淡淡的香

老闆一個人很忙生意很好
要有耐心等候或是提早訂位預約才不會沒有
很餓的不要尖峰時段過來😂😂😂

沒廁所廁所要到加油站"
 Griffin ,https://www.google.com/maps/contrib/111705085399331922820/reviews?hl=zh-TW,5,True,171,"先說結論，日式拉麵店風格的台式麵店，溫馨又帶有質感，老闆一人一條龍服務，推薦牛肉麵與布丁。

一共十個位子三個品項的小店，店內只有老闆一人，服務親切但人多時需稍微有點耐心。粗麵Q彈有勁，湯頭有微微胡蘿蔔和番茄味，配上細緻的酸菜，酸味平衡掉原本的油膩再帶點微辣口感，牛肉比較可惜的是有些稍微偏硬。雞肉用薑黃處理過，煎的微脆口感佳，油蔥拌過的麵體配上極甜的四季豆，整體表現很不錯。店裡提供桂花味很濃的桂花茶，加點的布丁是濃郁偏硬口感，奶蛋味厚重。

CP值:★★★★
美味:★★★★
環境:★★★★☆
服務:★★★★☆
等候:★★★★"
 Chiang ,https://www.google.com/maps/contrib/106036978891946274355/reviews?hl=zh-TW,5,True,326,"2022.08.12
隱藏在東門的美食，一人服務全場的老闆，仍保持著高品質的美味及服務。

牛肉麵，湯頭濃郁，牛肉入口即化，滿滿的蔥花跟酸菜，增加整碗麵的口感，跟重複性，紅蘿蔔燉很軟爛，仍保持著形狀，非常厲害的一碗麵。

雞腿排也很好吃，非常入味，值得一點的一道。

最後的布丁也是非常美味，日式焦糖布丁，份量也很夠，為這餐畫下美好的句號。

位置不多的小店，充滿溫馨，簡單的幾道，就每道都不簡單，中午的時間，很快的就坐滿人潮，看得出來許多都老客人。"
 Zeno ,https://www.google.com/maps/contrib/105757985088613193594/reviews?hl=zh-TW,4,True,704,"無意在地圖看到的餐廳，店名有趣，沒預約剛好有位子，也真的是來了就吃。老闆店主熱情好客，會照顧客人感受。粗麵條口感嚼勁不錯，雞腿事先調味，煎的熟度剛好，不過餐點整體口感稍油。隨餐附的茶非常好喝，清香甘甜又解膩👍🏼

店內座位數不多像拉麵店吧台位。菜單簡單三個麵食品項，牛肉麵每天限量約20幾碗，有意用餐建議可先預訂。現場候位約需等待20-30分鐘。

布丁調味不錯吃，口感偏紮實。"
