user_name,user_profile_url,rating,local_guide,comment_num,comment_text
 Jeffrey-HC Chen ,https://www.google.com/maps/contrib/106094981705855682528/reviews?hl=zh-TW,4,True,35,約莫週六下午4點多來，前面燈號只有2位，初次來點藍莓鬆餅，大概要等5分鐘，因為有網路訂單，還可以接受。現作還有些熱度，鬆餅很大塊，藍莓的味道有但沒有想像中濃郁。吃完至少要5分鐘以上，在現場站著吃吃蠻有趣的。
 利歐 ,https://www.google.com/maps/contrib/101001785564538996265/reviews?hl=zh-TW,5,True,130,"這家可以用Line預定然後用Linepay付款👍٩(๑^o^๑)۶炸雞很好吃量很少，偏貴，可是炸的不油超好吃😍然後卡士達系列有機會拿到加爆💗超愛醬直接滿出來的那種(◍˃̶ᗜ˂̶◍)ﾉ""員工態度很好👍
可惜的是似乎沒有內用座位（可以拿到旁邊永康公園吃(ˊo̶̶̷ᴗo̶̶̷`)"
 歐式燉肝 ,https://www.google.com/maps/contrib/107894654281992578238/reviews?hl=zh-TW,2,False,13,"第一次吃到小木屋家的鬆餅這麼苦……
整個鬆餅都是焦味跟苦味
吃其他分店都沒有這樣，員工訓練真的要加強。"
 Yanen안은 ,https://www.google.com/maps/contrib/109657945795922532957/reviews?hl=zh-TW,5,True,148,鬆餅🧇燙口，鮮奶油緩緩溢出，口中巧克力🍫濃濃的口味，🥰幸福
 A T (겨울) ,https://www.google.com/maps/contrib/105653441098795529747/reviews?hl=zh-TW,5,True,16,"原本以為鬆餅冷冷的期待不高
結果咬下去很Q微脆
不會像烤熱了以後放著濕濕的
而且價格下午茶來說cp超高
店員說想要熱的也可以打電話提前說"
 han Su ,https://www.google.com/maps/contrib/103372989158360870127/reviews?hl=zh-TW,1,True,32,等待時間過久，等了20分鐘才拿到，拿到的其中一個還有點焦了，整個超硬還有苦味，不好吃品質需加強
 王晨心 ,https://www.google.com/maps/contrib/109691897971835682564/reviews?hl=zh-TW,5,False,12,"變成來永康街必買的甜點了～
沒有馬上吃會幫忙放涼就不會怕鮮奶油融化了～"
 chia lien hung ,https://www.google.com/maps/contrib/118193377649375704417/reviews?hl=zh-TW,3,True,249,中午點外送，鹹食口味的都很好吃，外送會把鬆餅放涼再夾餡，不會被熱氣蒸到濕軟，雖然一定是現場出爐熱呼呼最好吃，但外送只要餅皮保持脆感已經很棒。甜味部分，抹茶紅豆普通，檸檬糖霜口味太甜。
 Migo Lu ,https://www.google.com/maps/contrib/116073316227560557032/reviews?hl=zh-TW,1,True,64,"吃了這麼多家分店，這間外帶鬆餅真的不優。帶回家才5分鐘路程，整個鬆餅軟趴到不行。
其他分店外帶都會問「現吃」或「待會吃」？「待會吃」會用小風扇吹涼鬆餅定型，以免悶到變軟。
但永康店…並沒有，少了一個步驟吃起來感覺差很大，也沒有其他分店的口感，期待改進。"
 徐瑞敏 ,https://www.google.com/maps/contrib/113567955895698950755/reviews?hl=zh-TW,5,False,11,"卡士達醬加到爆漿滿出來，超開心的💯（是我吃過五間分店中量最多的）
店員美眉態度親切、笑容可掬、很可愛！😇而且動作很快！👍
貴妃荔香紅茶（微冰、三分糖）香氣十足。
莊園琥珀紅茶（去冰、無糖）不愧為店家推薦，香氣濃郁，口感香醇。
飲料CP值很高，有來消費，記得要點來喝喔！

1"
