user_name,user_profile_url,rating,local_guide,comment_num,comment_text
 Afra Lin ,https://www.google.com/maps/contrib/114625695972085786533/reviews?hl=zh-TW,5,True,409,"天時地利人和，終於吃到山嵐拉麵，而且還是在台灣本店嚐到第一碗。選擇障礙者如我，在點餐機前猶豫了很久，第一次來好像應該試試最基本的原味豚骨拉麵，但我的心強烈的被濃厚味噌拉麵吸引，幾經拉扯後，任性的我還是向自己屈服😆點了濃厚味噌拉麵（麵減量、蔬菜增量、粗麵、小辣），加點糖心蛋。

上桌時難掩失望，這碗也長得太簡樸了吧？！雖然明白自己點的是基本配置，高麗菜沒有堆高高，木耳和麵條被淹沒在湯裡，兩片厚切叉燒看起來還頗有誠意，以及加點的糖心蛋。

知道這一碗的精髓就在湯底，要價NT370也點下去，就是想試試這個札幌味增拉麵的滋味，快速的拍照後立馬喝一口湯，真不錯🤩還好點了這一碗，濃郁飽滿的豚骨湯底加上微辣的味噌，風味圓潤飽滿，鹹度很高，決定以沾麵的吃法享用。

熱愛有嚼勁麵條的我，選擇粗麵搭配濃郁的湯底，沒有特別指定麵條熟度，上桌時麵條硬度適中，是我喜歡的口感，吃到最後也沒有變得太軟或糊掉，很滿意👍有點小遺憾的是，不確定麵條的份量究竟是多少，為了補充膳食纖維所以選了麵條減量換高麗菜，這一碗實在美味，好想吃更多麵條🤣

叉燒一直都不是我的菜，看到這兩片有點厚度的叉燒，心底警鈴大作，超怕踩雷，沒想到雖然是厚切但口感依舊軟嫩，而且風味十足，沒有不愉快的雜味，一直覺得有紹興酒的風味，不知道有沒有加紹興酒🤔

加點的糖心蛋還行，有入味熟度也可以，但相較於其他部分的表現，就覺得中規中矩，我喜歡蛋黃更生一點的狀態。如果下次再來吃，肯定是要另外點蔬菜，原本配置的蔬菜真的無法補充什麼，感覺比較像是平衡風味用，大體而言是值得一試的經典札幌拉麵，下回再來試試別的湯底，謝謝招待🙇🏻‍♀️"
 ZONG ZE LYU ,https://www.google.com/maps/contrib/111479243673282360617/reviews?hl=zh-TW,5,True,57,"豚骨味增背脂不像其他品項能依照喜好進行選擇，但喝起來的感覺介於60%(台灣口味)跟100%(日本口味)之間，背脂跟豚骨的融合相當適洽，甜味過後轉為甘味，最後以辛口味噌的特殊味道結尾。

麵條咬勁充足，掛湯能力優秀，搭配豚骨味增的濃厚湯頭，相當過癮，一碗麵很快就被吸完了。

味增的甘與鹹相互權衡，是一碗具有深度的拉麵。

古亭店跟公館店的裝潢擺設不太一樣，給人一種更加明亮整潔的感覺，本身也比較喜歡在古亭店用餐，畢竟不會有機會坐到面對冷氣機的位置~

歡迎追蹤看更多與完整版
Happytoseeyourfollow
IG:tourndfoodie"
 Darren Chiu ,https://www.google.com/maps/contrib/107136823218848712606/reviews?hl=zh-TW,4,True,350,"湯頭：主要以豚骨為湯頭基底，特色是豬背脂，基本有分白湯(豚骨原味)、赤湯(辣味豚骨)、海湯(魚介豚骨)，以及該店特別的限定品項。我選擇了經典白湯，這表面漂著滿滿背脂看似會很膩，實質上是比想像中的順口，不會有什麼太鹹無法喝的狀況，清爽中又帶著油脂香很特別的味覺衝擊！

細麵：個人偏好細麵，這間細麵口感中間偏硬還帶有彈性，著實讓人喜歡！麵條攀附湯汁能力也頗佳，不會有湯麵分離感覺。這麵值得五顆星！

高麗菜：搭配的高山高麗菜吃的出其脆甜新鮮，有用心在挑選食菜就算只是個配角。

叉燒：厚切叉燒看似油脂不多，但吃起來厚實軟嫩，表現也是水準之上。"
 Aaron Kao ,https://www.google.com/maps/contrib/107586972788536781455/reviews?hl=zh-TW,4,False,622,麵條口感好，不會有糊爛感，湯頭濃郁，高麗菜偏少，叉燒對我偏肥油，雖然因此也吃來更滑順，但我吃了6片再加上#炒角叉燒真的有點太油太膩。我選30%的#豬背脂，整體剛好就在快要膩的邊緣，怕油的，選正常版就可以了。
 林冠穎 ,https://www.google.com/maps/contrib/100594410608203303272/reviews?hl=zh-TW,5,True,295,"雖然是用機器點餐，但很多客製化的選項很不錯~（麵少、肉多、海苔多、加點肉等等的）

一個不小心ㄧ碗拉麵就將近400元…

叉燒肉很好吃！湯頭對於個人來說比較清淡一點就是。"
 ming ,https://www.google.com/maps/contrib/116145933461055384545/reviews?hl=zh-TW,5,False,197,"濃厚味噌拉麵(粗麵)的湯對我來說偏鹹，想喝湯還是選清爽的比較好。如果喝湯不是你的重點的話，還是可以選濃厚。蔥爆彈的蔥量爆多，叉燒肉是塊狀，其他麵款的叉燒是片狀，吃起來口感不同都不錯。店員的服務超好，又親切，而且總店的環境乾淨，燈光也很適合拍照。(2022.6.29)
清爽味噌拉麵是細麵，湯不錯，但我選了中辣會稍微流汗。中午有限量免費的白飯，煮飯的米品質不錯，都是完整米粒。(2022.8.15)"
 Kun-Zhang Chen (茶米) ,https://www.google.com/maps/contrib/108314764585926071166/reviews?hl=zh-TW,4,True,32,"豚骨味增拉麵滿滿豬背脂讓湯頭相當濃郁可口，味增的鹹香與甘甜，使得湯汁喝起來也不覺得膩。只是鹹度偏向日式，我個人還無法適應，最後喝湯時還是向店員要了些熱開水（清湯）來對

玉子是溏心蛋，蛋黃部位沒有預期微熟微稠感，已經整個固化，相當可惜

叉燒的厚度適中，肥瘦均勻，口感軟嫩好吃

拉麵的部分，選擇粗麵，麵體吃起來Q脆彈牙，是我很喜歡的口感"
 艾瑞兒 ,https://www.google.com/maps/contrib/104231843234207904950/reviews?hl=zh-TW,5,True,101,"🍜IG➡️1siarea
天冷時一定要來上一碗的拉麵！（已3訪❗️）

進去喝個熱湯溫暖一下
幸運的點上最後一碗白飯
店員說會把所有剩下的飯給好給滿
就是小確幸啊！

⭐️⭐️⭐️⭐️白湯-經典豚骨
依然點100%油脂的豚骨細麵拉麵❗️
濃郁豚骨湯頭配上超多細碎肥油脂，不鹹很好喝！
上菜立刻大口喝湯「啊！就是這個味道啊」❤️

湯匙挖1口飯，浸湯汁立馬入口真的超級好吃‼️
滿滿的豚骨泡飯好美味！寒流來時暖心又暖胃‼️

泡飯吃真的非常好吃😋好幸福😍湯完全可以喝完～

配上細麵也好吃，麵帶上湯汁入喉好舒服❗️
-
多叉燒共有6片叉燒，推薦喜歡吃肉的，可爽爽吃～
豐盛款有3片海苔、溏心蛋1顆和3片叉燒，我更喜歡這個組合‼️

海苔泡豚骨湯吃是我很愛吃的方式～
溏心蛋不是店家自製但也頗好吃😋
叉燒肥瘦各半，完全不柴軟嫩也好吃很香啊！
高麗菜很甜無調味清爽好吃～

⭐️濃郁辣味增粗麵拉麵（多叉燒）
濃郁辣味增有點偏鹹，湯無法喝完
有點可惜～

⭐️⭐️⭐️海味豚骨
充滿柴魚和鰹魚味的湯，怕豚骨會膩的推薦這碗，
比較清爽，又帶有一點豚骨味～
適合女生！
-
🔺他的無調味清湯豬味太明顯，我比較不喜歡囉，適合調整濃淡，不適合單喝～

⭕️⭕️這家店的豚骨拉麵在我心中絕對是前五名⭕️⭕️
."
 Yu Fu ,https://www.google.com/maps/contrib/106138033414223116050/reviews?hl=zh-TW,5,True,226,同事誇到不行的豬背脂風格拉麵店，麵條夠筋勁，吃起來很開心，很久沒吃到這麼剛好韌度的麵條；我自知不能吃油，油脂點了中間的那種，又是白湯+豐盛，整體來說吃得滿過癮的，但如果能再加碗白飯肯定不錯。
 M 2 ,https://www.google.com/maps/contrib/113501071453744632420/reviews?hl=zh-TW,5,True,45,"該店使用機台點餐及付費，本次選擇油度30%（清爽）、硬麵（硬度為口頭詢問）。叉燒每片約0.3公分厚，口感柔嫩、調味佳，搭配爽脆的高麗菜跟木耳有加分，白湯跟海湯的湯底都非常濃郁，但白湯可獨自喝完，海湯有著醇厚的柴魚味，相較之下更鹹一些，食量較大者吃完拉麵可再加白飯搭配。
口味及CP值已達該價位水準，是會再回訪的店家之一！😋"
 Plutoruler ,https://www.google.com/maps/contrib/112942517801164278028/reviews?hl=zh-TW,2,True,252,"可選粗麵細麵
湯頭油度可選的選項也很多
店家默認推薦的是60%

豐盛白湯$320
有溫泉蛋
細麵
麵體也是像細烏龍麵不好吃
雖然老闆說幫我麵做微硬一點
但麵體的限制類烏龍麵的麵體就真的很難硬

加點
炒角叉燒$100
很乾柴很小份不推
沒有加美乃滋

原味豚骨白湯$240
粗麵
麵體是類似烏龍麵的麵體不好吃

加點
叉燒四片$80

結語：
很貴麵體不好吃湯頭朋友覺得還行叉燒"
 Sunny Tao ,https://www.google.com/maps/contrib/105922202217285980970/reviews?hl=zh-TW,4,True,46,"味噌豚骨清爽基本290元，味道上並沒有到驚艷，麵體也不太帶湯。裡面的叉燒是比較讓人想要再訪的動力，叉燒偏肥但不膩又很柔嫩，放進嘴裡就會自己劃開。湯頭則是有一點點的辛味，整體喝起來不會單調或容易膩口。
比較不能接受的是湯不夠熱，吃到後面整碗冷掉真的感覺有點差（我吃飯一點都不慢），除非有朋友說要吃不然一樣的價位我可能會選擇其他店家。"
 Resen Chen ,https://www.google.com/maps/contrib/101154636618691868913/reviews?hl=zh-TW,5,True,135,"海湯拉麵，又黑又油，麵又硬。
但非常好吃，湯越喝越好喝。(顧不了那麼多了XD)
叉燒的部分，超級好吃，肉質嫩又香，口感極佳。在我心中大概可以排前三好吃。
麵真得偏硬，但我喜歡吃硬麵，哈哈。他們的一般就很硬了，不喜歡太硬的朋友記得調整。"
 有點壞帶點帥 ,https://www.google.com/maps/contrib/108439895412137748481/reviews?hl=zh-TW,5,True,56,"如果說那間拉麵的叉燒最好吃
我會推薦山嵐
軟嫩多汁且品質穩定
很難吃到很柴的叉燒
來古亭店都會推薦限定味噌濃厚豚骨-豐盛
但是個人還是最愛山嵐的白湯拉麵
香濃甘甜且順口
可以一開始選擇粗麵
再加點一份細麵
嘗試最喜歡那種麵條
我是超喜歡山嵐的粗麵啦😆"
 李淇 LiChi ,https://www.google.com/maps/contrib/105288072617248966589/reviews?hl=zh-TW,5,True,35,"湯濃麵彈還不會太鹹油量還可以調整
可惜我自己選擇了日本人的油量，覺得太油
應該聽從店家建議選適合臺灣人的60%的
下次一定要再去試試看"
 邱韻庭 ,https://www.google.com/maps/contrib/115589200898047699987/reviews?hl=zh-TW,4,True,35,"假日17:30到，就已經客滿，店外也排了五個人左右，大家想來吃要有心理準備可能會排隊喔～當天滿幸運的，等不到15分鐘就輪到我們了

湯頭我選60%台灣人喜歡的濃度，滿合我的胃口！叉燒很大塊，是厚的但滿好咬的唷！覺得是中規中矩的拉麵🍜平凡又好吃😋

店員很親切，提醒我們暫放在吧台後面的外套要提醒他幫忙拿給我們👍🏻上餐和結束用餐時的服務態度100分～"
 Steven Kang ,https://www.google.com/maps/contrib/104663731763293745548/reviews?hl=zh-TW,5,True,18,"內用座位不是很多，但用餐環境舒適不擁擠。這次選的白湯粗麵，選擇油量30%，屬於清爽口感，麵條選擇偏硬恨有口感。
總結：第一次來到店內消費感覺很不錯，店員很認真貼心的服務客人外，拉麵的部分口感也是很不錯，非常推薦喜歡吃拉麵或嚐鮮的朋友一定要來試試。"
