user_name,user_profile_url,rating,local_guide,comment_num,comment_text
 YY Wu ,https://www.google.com/maps/contrib/103943319497204689920/reviews?hl=zh-TW,5,True,360,"料好實在的拉麵店😋
.
🔸點餐方式：點餐機投幣，有白湯、赤湯、海湯，還有不同配料搭配、油量、麵條粗細可以選。
.
🔸白湯：豚骨愛好者可以點這個經典款～真的是很濃郁💗
🔸海湯：因為我本身不那麼喜歡豬肉味，所以偶然再訪時點了海湯，真的驚為天人！豚骨加上柴魚，融合的恰到好處，加上蔥爆多配料，就算我是點60%油量，也可以很順的吃到最後！
.
🔸蔥爆多、角煮：真的給超～多～蔥，我很喜歡蔥，裡面的角煮肉質很好～每次都會再單點一份角煮，吃起來真的超爽！！！
.
最後真的大大感謝服務人員，近期平日雖然都只有一位服務人員，但他真的都很細心照料每一位客人，從點餐到烹煮到上菜到最後離開也很親切跟我們說再見，都很細心，也看得出他很盡心盡力盡快在做了，還有補冰冰的水，好好喝💓～很棒的拉麵店，推薦👍"
 Monique Weng ,https://www.google.com/maps/contrib/112479359889478903999/reviews?hl=zh-TW,5,True,17,"第一次來剛好是晚餐剛開始店裡還沒有其他客人，一進門店員先介紹點餐機和介紹麵類，不只是介紹口味還拿了麵條給我看粗麵和細麵的差別，讓人備感親切和體貼，點了豚骨白湯，選擇細麵/60%油脂/正常麵量/硬麵，拉麵一端上來就是我喜歡的簡簡單單樸實的樣子，第一口湯，嗯～溫度夠燙，不會太鹹，細麵條的口感也不錯，不是極細麵所以我吃到最後一口都還是Q的👍🏻

選的位子剛好在師傅做麵正前方，看到一些細節都讓我覺得真棒！首先湯是會先用小鍋煮滾，麵碗會用熱水燙過以保持溫度，叉燒一油一瘦，軟嫩但保有肉的口感，不是燉到很軟爛的那種，高麗菜也是脆口的剛好，沾著湯吃起來更吃得到甜味。

今天唯一比較不合口味的可能是60%的油度，雖然說是最合台灣口味的比例，但於我而言太多了一點，下次會選30%😉
（太鹹或太油都可以請店家提供清湯來稀釋一點）

麵快吃完時店裡已經要客滿了，生意很不錯👍🏻

有看到其他評論說服務不好，但就我這一次的經驗而言，我覺得服務非常好，是一定會再回訪，豚骨白湯和細麵非常合我的口味，（但我不喜歡海味”豚骨+魚介”）個人口味不同，喜歡濃味重口的人可以試試

💁🏻‍♀️提醒看評論的各位，不要拿我的經驗來批評店家為什麼你們去的時候沒有這麼仔細的介紹唷～我前面說了我是在很早的時候進店，又是初次來訪，一臉懵樣😆當時店裡還沒有其他客人，所以才有時間幫我介紹的✨✨"
 Rex Chou ,https://www.google.com/maps/contrib/112982355579369341919/reviews?hl=zh-TW,5,True,795,"好吃優質的拉麵店，雖然只收現金，但不用加收一成服務費，所以還可以接受。一碗拉麵的價格大約位於270～350元左右，價格還算適中，因為他們湯頭的用料算實在的。至於我這次點赤湯拉麵其實不會辣，只是外表看起來紅紅的，所以喜歡吃辣的人可能至少要點到中辣或以上會比較合適，基本上他們的拉麵湯頭濃郁，特色是湯上面覆蓋許多背脂，視覺效果不錯，吃起來也非常爽（吃了會肥），喜歡重口味的人會很愛，可惜麵只有正常和軟麵兩種可以選，而且加麵要錢，個人是比較喜歡硬麵。不過店員服務態度良好，等餐時間也大概只要十到十五分鐘，與其他拉麵店一樣有附免費冰開水，值得一來。

交通位置：位於大安高工旁邊，捷運大安站5號出口走4分鐘就可以抵達山嵐拉麵。"
 謝宛蓁 ,https://www.google.com/maps/contrib/104631011896088144078/reviews?hl=zh-TW,5,True,421,"平日晚17：40來訪，算不用排隊，只是店長一個人煮麵招呼清潔，到18點吃到麵，外面已經開始候位。（幸好後來來了一位新人帶位+收拾）位子最前排沒坐人，開了12個座位。

白湯粗麵小量高麗菜正常硬度油量30%

可以選油量很棒，30%吃起來剛剛好清爽不膩，可以喝湯。麵粗也有好好地粗沒有騙，硬度一般般。可以選不洋蔥但好像沒能不蔥（或我瞎了😥不蔥人吃得有點艱難）

麵量少還可以多一點高麗菜這點也很棒，可惜我的高麗菜還有點生嗚嗚。糖心蛋比較普，叉燒兩片肉很瘦。這間應該算清爽湯頭取勝。"
 EVELYN WU ,https://www.google.com/maps/contrib/104396752380053582910/reviews?hl=zh-TW,4,True,376,"當天沒有排隊直接入座，店內配置一個外場一個內場點了最基本的白湯+一顆味玉麵體粗麵硬度正常
對我來說鹹度稍微淡了一些湯頭很濃所以吃到最後會有點膩麵體可能還是吃習慣細麵粗麵沒那麼愛～
裡面有洋蔥高麗菜木耳青蔥，多了點清爽口感也比較豐富
叉燒看似都是瘦肉但口感不乾柴表現最優
下次回訪可以會嘗試其他口味推薦給大家～"
 Aero Lin ,https://www.google.com/maps/contrib/104197624796682498995/reviews?hl=zh-TW,4,True,195,點了白湯60％油加滿滿的蔥，剛開始不覺得，但稍後湯冷掉就感覺膩口。麵的硬度沒調整，對我來說也偏硬。雖然感覺有點抱怨，整體還是好吃的，尤其叉燒雖然很厚，但蠻嫩的。
 Jack C ,https://www.google.com/maps/contrib/108374892433582198132/reviews?hl=zh-TW,4,True,191,"好吃叉燒很嫰
但個人覺得太油了會吃到非常膩
（我是點60%油度台灣人最愛）
細麵偏硬覺得可以再軟一些"
 許肉魚（Low） ,https://www.google.com/maps/contrib/114462452575693686696/reviews?hl=zh-TW,4,True,163,源自北海道札幌的山嵐拉麵，台灣的山嵐在台北拉麵也算是赫赫有名的一家。門口有一台餐券的販賣機，入座前先點餐結帳，圖形化的介面操作上沒有難度，其中白湯、赤湯、海湯分別位於不同的分頁中，點餐時記得要換頁選擇。入座後飲水就在前方自取，水壺中放了不少的冰塊，這一點與日本的做法一樣。點了原味豚骨基本款加一顆溏心蛋（共260元），在入座工作人員就問我油脂要幾分，店內的推薦是60%，但第一次建議先30%，所以我就選擇30%。碗中有一大堆的蔥花及高麗菜，湯頭因為是豚骨湯，所以呈現的是白色的湯頭，喝起來還滿濃郁的，而且不會太鹹，這個豚骨湯頭是可以整碗喝完的，一口接一口，很涮嘴的。
 ming ,https://www.google.com/maps/contrib/116145933461055384545/reviews?hl=zh-TW,5,False,197,"最近的星期五六日，有限定香辣墨魚咖哩沾麵，味道很不錯，麵吃完還可以來一碗白飯混入剩下的醬汁，就變成墨魚咖哩飯了。
服務態度很好。"
 Jeep Loopy ,https://www.google.com/maps/contrib/100937027845293719519/reviews?hl=zh-TW,5,True,272,"已經是第二次來吃了
只有老闆自己一個人顧店
其實應該是非常辛苦
但老闆自己煮麵帶位上菜清潔
態度還是很穩很從容
實在太強了

生意很好需要稍微等候一下
但可以坐在室內算是很友善排隊的客人

拉麵本身很好吃
我很高興可以有麵少改成菜多的選項
很適合我這種小胃人
但是吃完會覺得很剛好
如果是一般食量的人
建議還是要選標準的麵量喔

今天點了白湯的蔥彈版
哇靠這個蔥實在是嚴重了
我覺得他只要加現在的50%
對我來說就很蔥彈了

之後會再來吃"
