user_name,user_profile_url,rating,local_guide,comment_num,comment_text
 Ariel ,https://www.google.com/maps/contrib/113423842172662635366/reviews?hl=zh-TW,1,False,23,"9/7號週三晚上下班後跟我媽來這附近逛逛路過剛好看到這家有位子就進去了，剛坐下看菜單沒多久一位女店員來詢問有需要點餐了嗎？我說我還沒看好，後來又再過2分鐘女店員又來詢問需要點餐嗎？我說還沒決定好需要點餐我在跟您說，我跟我媽也在討論餐點要點什麼，後來又過一分鐘又來詢問有沒有要點餐了….我不是說了有需要跟您說嗎為什麼要一直來詢問呢一直在趕人的感覺，重點是口氣都聽得不是很舒服，後來點餐時詢問有什麼特色餐點或是平常客人蠻常點的話可以推薦嗎？女店員說看你想吃什麼你想得到的都可以問，話不投機的，就是不知道才要詢問….算了後來我也不想問了，而且上餐時解說餐點話都還沒講完就離開桌旁了，完全聽不清楚🤷‍♀️，拿照片問有沒有這個餐點她說胡麻時蔬這個菜現在換了好像說一個是西蘭花，另一個是什麼我也完全聽不到清楚好吧我也不想在問了也不想點，只想趕快離開這家店。
連我媽媽個性這麼好的人，結束後我問她說是我太敏感還是這家服務態度不好呢？她說那位小姐服務過程說話方式真的有待加強…..
，餐廳的CP值很低，食材烹飪創意口感也一般般，這樣吃下來也只有一道干貝蒸蛋好吃，下次一定要做好功課選好餐廳才不會再次踩雷🤯
連這一顆星真的都給的很勉強。"
 Tiffany Lu ,https://www.google.com/maps/contrib/112487702552442154544/reviews?hl=zh-TW,5,True,59,"意外發現的日式料理店
整個店內明亮乾淨
主廚師傅非常親切也很細心
還很貼心著觀察每個客戶的需求
今天點了8貫的套餐、刺身生魚片
牡丹蝦、日本生蠔🦪🍺
完全沒一樣踩雷~每一樣都非常新鮮甜美😋
且偷偷告訴大家前菜的魚皮凍超級好吃
完全無腥味（忘了拍照😝）
日料控立馬給出⭐⭐⭐⭐⭐"
 洪信智 ,https://www.google.com/maps/contrib/110774926974068118431/reviews?hl=zh-TW,5,True,14,"師傅對於食材選用細膩用心
並且對食材的本質特性掌握得十分剛好
能夠讓食材在適當的調理手法之下
呈現食材最完美最特色的一面

真正做到日料善用食材的極致
真心推薦給想吃好日料的老饕"
 Lily Wen ,https://www.google.com/maps/contrib/113418598841964801009/reviews?hl=zh-TW,5,True,103,"環境美，氣氛佳，座位稍小
食材新鮮美味
綜合蔬菜好吃
可以請店員推薦當日菜單"
 Jack Huang ,https://www.google.com/maps/contrib/109040770111433907768/reviews?hl=zh-TW,4,True,107,為了尖梭而來，很大尾。如評論所說，老闆跟熟客聊天。有可能新客的餐會放慢，要坐吧台。
 Zoe Su ,https://www.google.com/maps/contrib/108821045023045907229/reviews?hl=zh-TW,5,False,18,牡丹蝦點了四隻真的好好吃壽司很新鮮海膽很鮮甜下次想試試看築地刺身！
 Audrey ,https://www.google.com/maps/contrib/104498769337763275105/reviews?hl=zh-TW,5,True,161,"第一次消費，不是很了解一些菜單上的文字，服務人員很忙碌，也就不便一直詢問～
老闆非常親切，而且會介紹食材特色及好吃的差異特性性，覺得獲益良多。
食材非常好吃也有特色。
謝謝！"
 Rosa Lo ,https://www.google.com/maps/contrib/108989033061224466580/reviews?hl=zh-TW,4,True,352,"築地散壽司。
新鮮好吃，會想再訪
除了附餐的味噌湯偏稀薄，個人比較不喜歡"
 Raphaie Chen ,https://www.google.com/maps/contrib/105876721229910853580/reviews?hl=zh-TW,4,False,30,"在一個秋高氣爽的天氣，預約用餐，帶著94歲老媽，首次造訪附近的“築地”（回憶中充滿海鮮美食的日本築地市場），一進屋就是熟悉的“一來*秀一*麻se""就是日文歡迎光臨啦！
師傅三位，每位都很客氣，點了一客午餐星鰻丼飯，套餐附兩樣小菜與味噌湯，另外點了鱈魚肝佐醋，六個小卷（讓老人家嚐不同口味，下次才知那種是喜歡的口味，重點是一卷50,沒寫錯是50）小卷師傅很細心捲的美味小卷！
很貼心的服務小姐提醒，份量可能過多喔，（非常好的服務態度）因為住家近，有說，不會浪費，讓阿嬤多嚐嚐，吃不完的會打包！
老媽吃星鰻飯與所有的小菜都嚐嚐，因為飯菜湯都很合口味，師傅也陪長輩話家常是一頓很愉快的用餐環境，（媽咪說：吃太飽啦！）適合喜歡享受日本飲食文化氛圍的同好造訪，
對我更是一種幸福，走走就可造訪的日本美食“廚房”！"
 senkoushojo ,https://www.google.com/maps/contrib/116925643228527941840/reviews?hl=zh-TW,3,True,85,"其實壽司不難吃、也新鮮，甚至鱈魚肝佐醋好吃！
但是如果沒有坐在板前真的會不知道自己吃什麼耶，問店員也問號，我才問號吧🤣
沒收服務費，但是說不出來是什麼食材真的扣一顆星星。"
 Liu Roger ,https://www.google.com/maps/contrib/105174006923119349026/reviews?hl=zh-TW,5,True,84,非常厲害，很精緻的日本料理店。
