user_name,user_profile_url,rating,local_guide,comment_num,comment_text
 Missy Chou ,https://www.google.com/maps/contrib/104121663948300743870/reviews?hl=zh-TW,5,True,56,"炒麵驚為天人的好吃！
真的是驚、為、天、人！
比基隆的阿華炒麵好吃不知道幾萬倍～
大份量一碗才80元～
加上辣椒根本只能用銷魂形容😍

肉排蛋餅也是好吃的不得了
但吃太快忘記拍照了"
 許慧娟 ,https://www.google.com/maps/contrib/104423346328634196310/reviews?hl=zh-TW,5,True,88,新口味-海鮮麵，蝦子很鮮美、大量蚵仔、豬肝、丸子、香菇、蘿蔔糕(很特別)……總之很豐富，一碗120元，在信義區很可以^^
 許卡拉 ,https://www.google.com/maps/contrib/110015260957988621174/reviews?hl=zh-TW,5,False,5,原味蛋餅煎到焦香味美用心的店家鮪魚蛋三文治料多豐富佛系老闆感謝🙏真的好好吃😋
 素素 ,https://www.google.com/maps/contrib/114221529706905386917/reviews?hl=zh-TW,5,False,7,好吃唷。老闆很好聊
 羊 ,https://www.google.com/maps/contrib/101502569180223322608/reviews?hl=zh-TW,1,False,13,這樣居然要30元，不會再去買了
 黃棋農 ,https://www.google.com/maps/contrib/102529898122425532131/reviews?hl=zh-TW,5,False,4,非常熱情的老闆，用料實在，用放山雞純手工製作肉排，好吃，超高CP值！
 林waitin ,https://www.google.com/maps/contrib/103511120629496526781/reviews?hl=zh-TW,5,False,4,早餐；蔬菜蛋餅、三明治、漢堡都是必點。中餐：肉絲炒麵、湯麵都好吃，料好實在的店家不多了，總之超級推推
 王孟如 ,https://www.google.com/maps/contrib/117616066570702122265/reviews?hl=zh-TW,5,False,7,聽聞很好吃一次訂購36碗，重點老闆人好又貼心讚讚
 Yummy Queen ,https://www.google.com/maps/contrib/103159996921817758457/reviews?hl=zh-TW,5,False,27,味道濃郁，料多實在的咖哩炒麵，吃一餐飽兩餐
 魏倩 ,https://www.google.com/maps/contrib/115283784976330745682/reviews?hl=zh-TW,5,True,229,"辣椒有夠辣
一級戰區這個價格很佛的了肉絲炒麵還不錯吃"
 Siangci You ,https://www.google.com/maps/contrib/108430967610292402488/reviews?hl=zh-TW,5,True,38,"乾淨丶衛生又溫暖的店，
肉排丶雞排都是自製的，
不油膩，口感獨特，
搭配的生菜份量足也新鮮，
吃飽飽才發現忘了拍照😆"
 郭俊億 ,https://www.google.com/maps/contrib/104095660918540750297/reviews?hl=zh-TW,1,False,3,"老闆沒戴口罩，然後很帥氣地徒手（沒戴手套⋯）抓小黃瓜沙拉放到吐司上面，再貼心地幫我調整好肉片的位置，最後一手拿起吐司幫我裝袋。

基本上，看完我就飽了，謝謝50元的觀賞秀～"
 黃大元 ,https://www.google.com/maps/contrib/116520853407307862753/reviews?hl=zh-TW,5,True,6,"櫃台大姊很親切~
老闆炒的很認真~炒飯炒麵味道滿分!
今天還驚見有禮勤快的小小帥哥店內幫忙~"
 Wu Here ,https://www.google.com/maps/contrib/116285359916232139590/reviews?hl=zh-TW,5,False,4,用料新鮮好吃，台南人來吃認證
