user_name,user_profile_url,rating,local_guide,comment_num,comment_text
 伍玖玖 ,https://www.google.com/maps/contrib/104628999236830952049/reviews?hl=zh-TW,5,True,465,"店裡非常多的復古擺設，牆上還貼了很多以前的海報，甚至連桌椅都非常有台灣味。店內免收服務費，無免費茶水禁帶外食，有礦泉水跟飲料啤酒可購買。餐點都不雷，而且都很用心製作，適合親友聚餐。

必點👍金沙排骨💰350元➡️這道菜看非常多工序，會等待較久，排骨肉不會過老過硬，外層的金沙鹹鹹甜甜超級無敵美味，一定要吃吃看。

必點👍豬油拌飯💰30元➡️超香超好吃，1人份，份量偏小。

嫩煎豬肝💰220元➡️豬肝入口的感覺是脆脆的，但有點太脆了我不喜歡。

巷子口黑嘿嘿(皮蛋+黑豬絞肉)💰200元➡️炸蝦餅+花生皮蛋的感覺，很妙的搭配，皮蛋味偏重。

紹興酒香空心菜💰200元➡️菜量非常多，這應該是3-4人份量，吃得到紹興酒的味道，青菜也很新鮮。"
 林怡如 ,https://www.google.com/maps/contrib/104250624068884586981/reviews?hl=zh-TW,3,True,62,"外帶蔥油放山（仿土）雞（半隻）$680

菜單上寫的「放山雞」，與業主確認後是「放山仿土雞」，非「放山正土雞」。雞肉之雞胸部位肉質遠超籠飼仿土雞，其餘如雞皮抑或調味皆乏善可陳。服務態度優良，餐廳每位同仁皆具同理心❤️

蔥油雞外表貌似鹹水雞，但從氣味上明顯可辨別二者。詢問老闆，雞肉係由紅蔥頭煉製之雞油烹煮。雞肉體型以仿土雞來說算是非常小隻，大概是放養的緣故？雞胸肉沒有籠飼仿土雞的無力，但又未達土雞肉的結實，有嚼勁略帶油脂，表現頗為出色；雞腿與雞皮間有雞凍；論雞皮就沒有雞胸肉那般驚艷，一慣仿土雞的軟爛口感，沉重累贅。上文雖言雞肉聞得出蔥油味，但僅限於嗅覺，味覺層面就真的只是普通菜市場鹹水雞調味

附贈的辣椒醬油氣味十足，鹹味重，淺淺蘸一下即可

比取餐時間提早半個小時抵達，萬分感謝店員們願意讓我在店內等候，使我免於在外頭吹風♡(ӦｖӦ｡)。在此也要謝謝老闆十分耐心解答我餐點上的疑問。整體而言，巷子口食堂的服務品質超群，更勝諸多高級飯店🔝

店內擺設了許多古董玩物，深知老闆營造古早氛圍之用心，但個人覺得顯些雜亂"
 邵慧娟 ,https://www.google.com/maps/contrib/101922472816942869367/reviews?hl=zh-TW,4,True,226,"充滿台灣味的創意台菜餐廳
過來用餐之前已經上網做好功課
知道有好幾道菜是推薦必點
不過看到滿滿菜單內容還是猶豫好一陣子
後來有一位帶有港音的漂亮女生
(不確定是不是老闆娘)
非常親切而且仔細地幫我們介紹菜單
也按照人數提供建議怎麼點菜
5個人6菜1湯還有2碗豬油拌飯

煙燻富貴雞肉質Q彈淡鹹沾辣椒醬油很開胃

巷子口黑嘿嘿由皮蛋、黑豬絞肉攪拌而成
喜歡皮蛋的人單吃就很美味也可以拌飯
裡面還有加入花生碎增添口感
搭配蝦餅一起吃立馬變成一道下酒菜

鐵板牛柳黑胡椒醬香氣四溢
上面打了一顆雞蛋
很有夜市牛排的感覺也十分下飯

三杯嚇老外(皮蛋、臭豆腐、豬血糕)
味道不錯但是個人覺得偏乾
臭豆腐口感有些硬可點可不點

煎豬肝厚度夠口感嫩調味偏甜
覺得可以再焦香一點

金沙排骨一致認同的美味
乾爽的口感不同於港台較濕潤的金沙料理方式
吃起來很像新加坡金沙魚皮爽口不膩

紹興酒香空心菜香味獨特
很多評論推薦必點實至名歸

老菜脯蛤蜊雞肉湯清甜營養可以免費續湯
雞肉幾乎都是雞腿嫩肉很大方
不過因為菜脯的關係還是會越煮越鹹
整體來說好喝是完美用餐ending

餐廳生意極好人潮絡繹不絕
餐點品質佳服務也好價格合理很推薦"
 Jolin Tsai ,https://www.google.com/maps/contrib/106438623951223441980/reviews?hl=zh-TW,4,True,436,"Thedecorationareoldstyle,andtherearemanyoldstylebutcreativeTaiwanesedishes🇹🇼🍽
Stinkytofu,duckeggspareribsandspicycrispychickenarereallydelicious👍
.
裝潢和物品很古早味，也有很多古早味但創意臺菜🇹🇼🍽
臭豆腐、金沙排骨、酥麻雞真的很好吃👍"
 Judy Chen ,https://www.google.com/maps/contrib/114799613680586618319/reviews?hl=zh-TW,5,True,95,"原本看網路食記想說這些菜色可以好吃到哪裡……？

結果一吃差點跪下來，對於自己先前的懷疑感到抱歉，從來沒有吃過這麼好吃的炒水蓮和豬肝，每道菜都可圈可點，難以選出心中的第一名。"
 Jd Cheng ,https://www.google.com/maps/contrib/111988503088888782756/reviews?hl=zh-TW,5,True,214,"這家的廚師廚藝以熱炒小吃來說應該算是相當厲害的了，有差異，有特色口味也很棒。
大推嘿嘿嘿，紹興酒空心菜。"
 Calvin Gung ,https://www.google.com/maps/contrib/103198237633962480237/reviews?hl=zh-TW,4,True,375,菜色還不錯吃，只是這種復古風的餐廳外面還蠻多的，比較沒太大的差異性，還是要找到自己的特色，跟別人不同點，否則只剩菜色上競爭了
 鄧皓謙 ,https://www.google.com/maps/contrib/112425442350448571322/reviews?hl=zh-TW,5,True,64,"感覺很多名人來過的一家店，
菜都好吃耶！會想再來品嚐其它菜色！
金莎蝦球，巷子口臭豆腐，香煎豬肝，
麻婆豆腐，山城黃金煙雞，蒜頭蛤蜊湯等....
蜂蜜蘆薈汁這長這麼大第一次喝到，
還有果粒，太酷的飲料了啦！
會再想來二訪的一家店^_^"
 Henry Mao ,https://www.google.com/maps/contrib/112983085990064459773/reviews?hl=zh-TW,5,True,957,推推！幾乎無雷，喜歡什麼菜色點就對了！但該推的還是要推一下，白斬雞，豬肝？粉肝？金沙排骨，剝皮辣椒雞👌棒棒
 dennis Lin ,https://www.google.com/maps/contrib/100500651840096800768/reviews?hl=zh-TW,4,True,328,古味濃厚的餐廳，當天晚上點的幾道菜也都好吃，會想再回訪的店家。
