user_name,user_profile_url,rating,local_guide,comment_num,comment_text
 c-h hung ,https://www.google.com/maps/contrib/103036532141735904783/reviews?hl=zh-TW,5,True,18,"2022/3/18中午用餐
位於通化夜市的鰻魚飯專賣店，黃老闆逆勢於2020年11月新冠肺炎疫情期間開店。店內基本上乾淨明亮，以吧台型式座位面對廚房，可以看到廚師料理的過程。老闆服務親切，沒有外埸服務人員，中午用餐時刻，一會兒就高朋滿座。若要特別過來品嚐，建議還是先訂位較佳。
店內招牌鹽烤脆皮鰻魚頗具特色，一般外面鰻魚店並不多見。鰻魚新鮮，魚皮酥脆沒有土味，值得一嚐。山藥細麵品質好，價格適中，燉鰻腸及炙燒午魚也都各美味，可以嚐嚐。"
 Andy Wang ,https://www.google.com/maps/contrib/107271425935902065658/reviews?hl=zh-TW,5,True,482,"‘220318

初訪，知道這家店有一年多了但一直沒機會來試試。今天剛好人在附近就打電話問了一下，說要等一小時左右，就訂下來了。入座已經是最後一批客人，點了脆皮鹽燒口味的鰻魚三吃與鹽烤鮮魚定食，另外加點了一份綜合生魚片與冷豆腐。

首先上桌的是生魚片，原本有三種，因為午魚沒了只有旗魚與煙仔虎，不過兩者都相當新鮮美味。接著上桌的鹽燒鰻魚表現很不錯，烤得酥脆的鰻魚皮與水嫩的魚肉，口感上相當豐富，炊飯加入溫泉蛋的吃飯與加入柴魚高湯做成茶泡飯，兩種吃法也都各具特色，搭配隨附的蛋皮、新香漬物、海苔絲，很滿足。另外炊飯與味增湯也都可以再續。烤午魚個頭不小火候也恰到好處，380的定價算得上是有誠意，加點的50元冷豆腐也是物超所值的好選擇。

一家三口都吃得很滿意，會再找機會回訪。"
 Ink ,https://www.google.com/maps/contrib/100736544647745372295/reviews?hl=zh-TW,3,True,"1,524","🔸鰻魚三吃/蒲燒
薄薄甘甜味的醬汁，加上滑嫩香濃的溫泉蛋，相當不錯；另外敢吃辣的話，建議一定要加上芥末，辛香風味可以讓味道有更多的變化。
不建議做成湯泡飯，因為隨附的柴魚高湯很鹹，混在一起會只剩下鹹味而已。

🔸鰻魚三吃/白燒
個人覺得有點烤過頭了，而且調味太鹹，只吃得到鹹味跟焦香，幾乎吃不出鰻魚肉味。

鰻汁炊飯味道非常淡，感覺只是吃個氣味而已；酒漬蘿蔔帶點微微的酒味，酸甜帶酒香，好吃；蛋絲沒什麼好說的，就是蛋絲；味噌湯味淡；漬蘿蔔有紫蘇葉味，不喜歡。

餐後甜點是薑汁味沾醬的芭樂，味道個人無法接受。"
 doniow ,https://www.google.com/maps/contrib/103685393109229458988/reviews?hl=zh-TW,5,True,109,"難🉐️經過信義安和發現的隱藏美食，有別於一般浦燒鰻魚的作法，老闆特製的鹽烤口味清爽又美味，我們吃的鰻魚三吃從乾到黏再到茶泡飯的濕，吃起來很舒適又美味，小菜中的鰻肝蒸蛋味道濃郁且不油膩非常推薦，海膽醬日本生蠔也很特別

其中要特別注意⚠️的是每日限定料理，滿滿的驚奇與鮮味，感覺的到滿滿的用心"
 林于晴 ,https://www.google.com/maps/contrib/112910173629344834161/reviews?hl=zh-TW,5,True,18,"通化街的寶藏！！！
鹽烤的鰻魚可以吃到鰻魚本人的味道，非常難得，比起常見的醬烤，更加耐吃，少點醬也感覺更light更健康。

超推三吃套餐，可以吃原味、溫泉蛋、海苔、芥末茶泡飯，大大滿足，雖然疫情暫時去不了名古屋，但三吃特餐還是滿滿的回憶😍"
 Shirley Hu ,https://www.google.com/maps/contrib/108632132661273497182/reviews?hl=zh-TW,5,True,68,"補班日就是要吃好的，日式感的店面乾淨清爽，坐在櫃檯可以看到師傅做料理。雖有菜單，但建議要看每日黑板菜單喔!
點鰻魚丼可選重口味或鹽燒口味，味濃沒魚刺，還有綜合生魚片，鰻肝蒸蛋有濃濃的鰻味。現在還有打卡送小菜(是燒烤生蠔喔!)很讚!還有味增醬番茄，都好好吃!我光吃這些料理菜就飽囉!"
 蕭嘉麟 ,https://www.google.com/maps/contrib/113497403507409942239/reviews?hl=zh-TW,5,True,142,"說是脆，倒不如說是Q的迷人，厚實又軟嫩，浦燒也不致於吃掉鰻魚本身的甜，硬要挑剔的說就是少了鰻魚碳烤的焦酥香，但無損它的美味，飯不知道是不是醬汁太多有點偏軟。

塩烤中腹、灸燒午魚都有水準，烤磨菇超喜歡，最後老闆招待的梅酒好好喝！"
 Edward Lin ,https://www.google.com/maps/contrib/106472603413189373391/reviews?hl=zh-TW,5,True,221,鰻魚炙燒脆皮非常優秀，雖然不是炭燒少了點香氣，但仍然值得一試。豐富且特別的小菜令人驚艷，尤其是燉煮鰻魚腸跟炙燒午魚生魚片，是絕對不能錯過的
 Allen Lin ,https://www.google.com/maps/contrib/117260962356315188351/reviews?hl=zh-TW,5,True,196,跨年夜來吃，鰻魚三吃建議可以兩三好友一起來吃，一個點椒鹽脆皮一個點醬燒鰻，口感更豐富也比較不會膩。打卡送的小吃生魚片也很有水準，老闆說是五仔魚，吃起來很甜沒有任何腥味。另外鮭魚飯糰有炙燒過，內部的鮭魚餡料也是滿滿。
 Swank Chen ,https://www.google.com/maps/contrib/104011929148889449401/reviews?hl=zh-TW,5,True,42,兩種口味的鰻魚都很好吃，脆皮的非常驚艷，不過感覺皮可以再鹹一點點點！海膽醬生蠔及燉鰻腸也很好吃，下次再試試別的～
 侯冠瑜 ,https://www.google.com/maps/contrib/104134132689998699473/reviews?hl=zh-TW,5,False,6,"跟先生二訪，非常喜歡鹽燒鰻魚的滋味
老闆非常和善，手作甜點每次來不一樣（上次是梅漬蕃茄），都很好吃
因為假日多點了一瓶赤人氣，搭配生魚片或蒲燒更對味"
 陳意綾 ,https://www.google.com/maps/contrib/112297881052348777979/reviews?hl=zh-TW,5,True,45,"《鹽燒鰻魚井》5星，鹽燒鰻魚鮮嫩大推！！原味鰻魚表皮烤過用鹽調味皮脆肉嫩，綿密的肉質當中夾雜著脂肪的香氣和滑嫩的口感，可說是目前吃過最好吃的熟魚肉，讓我大為驚豔。底下的炊飯就蠻一般的有點乾，配菜也還好，就普通的醃蘿蔔和蛋絲，但還是無法拉低我對鹽燒鰻魚的愛~
《鰻肝蒸蛋》4星，看比較多人點跟著嚐鮮的，鰻肝完全和蒸蛋混合沒有切塊，相較一般蒸蛋口感比較粉一點，但味道更濃郁，不錯但份量少了點。
《海膽醬日本生蠔》4星，雖然有一點腥味，但新鮮度還算可以湯汁好喝，建議吸完湯汁後再一口吞。
《明太子山藥》4星"
 Andrea Liu ,https://www.google.com/maps/contrib/103910326881447167807/reviews?hl=zh-TW,5,True,24,"雖然這週價格調整，將近五十%😨😰🥶
不過不掩鹽燒鰻魚皮酥肉嫩
蒲燒鰻魚油脂豐潤

海膽醬生蠔🦪濃厚
打卡贈送的炙燒午魚刺身誠意滿滿

採用低溫熟成後炙燒灑上鹽粒的魚生
口感風味不斷轉換，很值得一嚐！

飯後甜點
檸檬冰沙？清除口中雜味
附茶麥茶會回甘！"
 Crypto Group Chat ,https://www.google.com/maps/contrib/111625150468885816736/reviews?hl=zh-TW,5,True,9,"老闆於2020年疫情下開店，能夠支撐到現在著實不容易。在德榮軒，我覺得很像真的日式居酒屋，但是比較明亮寬敞。在這裡除了要點必點的鰻魚，我還會推薦鰻肝蒸蛋、午魚刺身。還有白玉蘋果！

在通化街來說價位相對高，但是用安和路的角度去看的話卻非常便宜。我覺得德榮軒用一個合理的價格來介紹鹽燒鰻魚，是一間我會一來再來的店。"
 林大有 ,https://www.google.com/maps/contrib/102610490685601697824/reviews?hl=zh-TW,3,True,142,"口味算不錯，但一些細節可以再細膩一些。

這次的用餐點了脆皮鹽燒與蒲燒。整體來說脆皮的口感與調味還算不錯，切下去那爽脆的聲音代表著一定程度的功力。

至於蒲燒鰻，個人覺得在不用日式傳統口味的前提下去吃，也還算處理不錯。

但在前有通化夜市平民美食，後有安和路眾家高檔料理的夾擊下，還是希望店家能夠強化自身的強項並且改善一些細節，找到適合自己的定位與方向。造訪的感覺會給人傳統日式的期待但呈現上卻比較是混合創意風格。

使用冰啤酒杯值得讚許，但端上的啤酒是溫的這件事，在當下確實有點傻眼，或許應該第一時間確認是否有什麼點餐的誤會才對。

再來米飯中加入藜麥可能出自於經營者對於顧客的關心，不過這件事情或許也該提供給客人選擇的空間，畢竟品名寫著丼飯。

最後是店裡使用藍芽喇叭放在吧台上播放音樂。在一個人均消費$500以上的地方，店家應該是可以思考一下播放音樂的目的，以及應該用什麼方式達到最好的結果。

2022評分標準
五星：非常好吃，服務與環境皆優良，有時間預算會盡可能回訪與推薦。

四星：好吃，服務與環境在標準之上。會推薦並視情況回訪。

三星：普通，沒有重大缺失但就是中規中矩。不會主動推薦，但若是充飢還是可以列入選項。

二星：不怎麼樣，服務或環境可能有問題，會避免再來。

一星：很可怕別再來"
