user_name,user_profile_url,rating,local_guide,comment_num,comment_text
 C D ,https://www.google.com/maps/contrib/106516963986719987735/reviews?hl=zh-TW,2,True,705,價格不貴，麵條還行，牛肉肉質有的軟嫩有的老，品質不一，湯頭雜質有點多，個人不喜，內用區狹長，先結帳，支援行動支付
 Omos Dongi ,https://www.google.com/maps/contrib/112609524367603907113/reviews?hl=zh-TW,5,False,18,"老闆很用心，麻醬麵最後會淋上牛肉湯頭讓麵不乾不糊。味道非常有層次在信義激戰區來說，老宋相對便宜口味又有層次。
非常讚"
 T Maki ,https://www.google.com/maps/contrib/105024054216175475409/reviews?hl=zh-TW,5,True,551,好吃內用格局有點擠
 劉彥麟 ,https://www.google.com/maps/contrib/102059230458757780859/reviews?hl=zh-TW,5,True,94,今天晚上吃的時候已經快要吃完了，有一飛蛾掉進湯裡面，跟老板反映後老板很好心又多煮一碗麵給我
 祚 ,https://www.google.com/maps/contrib/104611547348536575330/reviews?hl=zh-TW,4,True,594,昨天點了一碗乾拌牛肉麵，老實說真的滿好吃的，但是160確實是ㄇㄢ貴的啊！！！沒有到這麼驚艷的程度
 Hsun Jao ,https://www.google.com/maps/contrib/109947408132662181393/reviews?hl=zh-TW,4,True,319,麵有分寛細，可以滿足不同人的需求，牛肉五塊，大小適中，口感軟嫩且入味，湯頭偏清淡，並沒有用太多中藥去提味，適合不愛重口味牛肉麵的人，不過店內也有辣油可自行添加，冰箱則有一些基本的小菜。整體而言口味還不錯，價格則是臺北價，無法去抱怨什麼…店內座位很多，算是想吃好一點的午餐的好去處。
 蔡思毅 ,https://www.google.com/maps/contrib/109958418775574792973/reviews?hl=zh-TW,4,True,96,乾拌半筋半肉麵（$160）=少一點湯的牛肉麵？價格在台北市算地道的，肉大塊，紅燒湯頭不錯，麵也很Q，酸菜偏甜而且好像不能續，下次再來試試藥膳口味der！
 Hui Ni Lu ,https://www.google.com/maps/contrib/102709901744642970788/reviews?hl=zh-TW,2,True,707,麵條上面看到藍點，長得有點像原子筆畫到的感覺，不知道是怎麼弄的，但我把那段截掉還是吃完了。湯普通（口味淡、可以加湯）、寬麵Q，附上少量青菜，環境尚可，價格合理。
 Arthur Chang ,https://www.google.com/maps/contrib/115886072122154910397/reviews?hl=zh-TW,4,True,27,半筋半肉牛肉麵湯頭好麵Q彈筋軟嫩就可惜肉微柴
 Lily Chu ,https://www.google.com/maps/contrib/117467441979093993454/reviews?hl=zh-TW,4,True,269,酸辣麵好吃～中午生意很好～
 Dexter Kao ,https://www.google.com/maps/contrib/109348982175673218310/reviews?hl=zh-TW,3,True,278,"麵Q彈，中藥湯頭清淡，牛肉四塊，
肉若嫩入味，但，很小碗啊！
麵條好像只有半球⋯
吃完略空虛、覺得冷～"
 陳歐郎 ,https://www.google.com/maps/contrib/112553448882162634252/reviews?hl=zh-TW,4,True,144,"我就點$120牛肉麵
覺得很棒，吃起來不油膩，順口，肉軟好咬好吃，湯頭清爽非常特別，有讓我驚豔到，是以後想吃牛肉麵會考慮的其中一家店"
 吳健毅（TauYenGuei） ,https://www.google.com/maps/contrib/111249709094504675845/reviews?hl=zh-TW,3,True,247,"2018/03/21
價位：偏高，牛肚麵180元（牛肉麵120元）
份量：中等，可續湯
餐具：瓷碗、湯匙👍，但是用免洗筷⋯
口味：湯頭夠味，牛肚偏軟爛，麵ok"
 陳健民 ,https://www.google.com/maps/contrib/103421478912658409873/reviews?hl=zh-TW,3,True,560,老闆客氣，環境還行，麵條不錯，湯頭夠味，牛肉尚可，但牛肚太軟.牛筋太爛。
 Nick Hung ,https://www.google.com/maps/contrib/118300281847344790490/reviews?hl=zh-TW,3,True,195,"味道還行，老闆態度非常好！
小菜可加熱，讚！"
 陳皓雲Edward ,https://www.google.com/maps/contrib/114432832350545335988/reviews?hl=zh-TW,4,True,240,牛肉湯的味道很夠，牛肉的咬緊比較軟，水餃雖然大，可惜內餡少了點
 黃大支 ,https://www.google.com/maps/contrib/113208945198727616842/reviews?hl=zh-TW,3,True,666,服務態度和氣，環境乾淨整齊，口味可以接受。
 Louis H ,https://www.google.com/maps/contrib/114923026081851606988/reviews?hl=zh-TW,5,True,50,今天吃了一碗牛肉麵，湯頭好喝不死鹹，牛肉入味，細麵條軟Q不爛，湯喝不夠還可以加湯，130一碗真的很滿足
 翁翊翔 ,https://www.google.com/maps/contrib/113986664705587527020/reviews?hl=zh-TW,1,True,61,份量超少，口味一般，價格昂貴，走道擁擠，廁所又髒，附近商辦居多，可能慣性被當盤子敲，不會再光顧。
 Midori ,https://www.google.com/maps/contrib/104858900178243752664/reviews?hl=zh-TW,5,False,17,"喜歡吃這家的麻醬麵跟炸醬麵。粗麵細麵都好吃。
店員態度很好。"
 梁維恂 ,https://www.google.com/maps/contrib/113093840441116396063/reviews?hl=zh-TW,5,False,34,實在好味道吃了快10年因該有了重小朋友時候吃到現在老闆都沒變都記得我湯頭也永遠不變真的值得推薦
 Nicky Wang ,https://www.google.com/maps/contrib/103223437481514067736/reviews?hl=zh-TW,5,True,660,好吃但品質希望能維持一制性有時味道不到位👍
 張力 ,https://www.google.com/maps/contrib/107886789016367015843/reviews?hl=zh-TW,5,True,308,若沒吃過老宋的牛肉麵，絕對是你牛肉麵美食地圖的缺憾~牛嫩噴香，麵Q彈牙~
 溫鵑羽 ,https://www.google.com/maps/contrib/117874067901619100014/reviews?hl=zh-TW,5,True,206,湯頭香濃鹹，麵彈吸湯汁，肉嫩，整體非常美味!
 Howard Chan ,https://www.google.com/maps/contrib/113963957528532746958/reviews?hl=zh-TW,3,True,64,"一直都是吃牛肉麵
偏好牛肉和湯，麵只有（超）粗細兩種，有點可惜，現在價位偏中上"
 stay_hungry_taipei ,https://www.google.com/maps/contrib/100267830743813289047/reviews?hl=zh-TW,4,True,556,牛肉麵蠻好吃的可是花乾不好吃
 曾文鴻 ,https://www.google.com/maps/contrib/117887889443483920645/reviews?hl=zh-TW,3,True,895,牛肉麵湯頭屬於清淡。
 王明喆 ,https://www.google.com/maps/contrib/110107787604917081177/reviews?hl=zh-TW,3,False,37,"用餐環境擁擠狹小，湯頭普通，牛肉是便宜的澳洲牛腱，牛肚切很大塊但是口感軟爛，牛筋表現ok
小菜選擇不多，賣相也不是很好
價位中間偏貴"
 sifone lin ,https://www.google.com/maps/contrib/117679401604409521197/reviews?hl=zh-TW,2,True,126,"牛肉麵的湯頭還不錯，比附近的牛肉麵店都好吃，但也較貴
桌子沒擦乾淨還不允許客人自己擦，所以從四星降到二星"
 BLINK218 ,https://www.google.com/maps/contrib/112176778311963558919/reviews?hl=zh-TW,5,True,165,比我想像中好吃很多，牛肉還行，湯好喝，麵還不錯。打發一餐還不錯，份量要大碗才夠。
 Dazza Chang ,https://www.google.com/maps/contrib/105465329424108688413/reviews?hl=zh-TW,4,True,51,牛肉與麵條（寬）口感都不錯，且湯是難得不會太鹹的那種，但份量偏小，可以加麵20圓
 YH 梁 (Riley) ,https://www.google.com/maps/contrib/116683392302400764832/reviews?hl=zh-TW,4,True,44,"午餐吃了榨菜肉絲麵
70元味道還不錯
應該是周邊上班族快速兼顧美味的選擇"
 KH SC ,https://www.google.com/maps/contrib/108722285949515059141/reviews?hl=zh-TW,3,True,608,湯頭牛肉與麵條都不錯，但是分量與價格相對偏少顯得貴了些。吃了幾次便不吃了。
 Michael Fang ,https://www.google.com/maps/contrib/108454525262576851784/reviews?hl=zh-TW,3,True,221,在這邊吃這麼久的餐，看著它價格一直漲，麵、湯一直減，雖是中藥熬的湯頭，但可惜了東西與金額逐漸背離！沒吃過的可以試試。
 Koupen Chan ,https://www.google.com/maps/contrib/107150646145437698730/reviews?hl=zh-TW,3,False,"1,136","湯頭很不錯，牛肚好吃，但牛肉及牛筋表現普通。
辣椒不會辣，冷氣不夠強。
店內超級老舊，門還堪用但非常老舊，不太敢碰門把因為很髒⋯⋯希望店家提供好吃餐點外也能夠維持門面。"
 Fisher Hsu ,https://www.google.com/maps/contrib/110451767689678927395/reviews?hl=zh-TW,4,True,90,"湯頭味道不錯，
配上一點自製辣油香氣十足，
每次經過都會忍不住吃一下。"
 S W ,https://www.google.com/maps/contrib/118227792995713464639/reviews?hl=zh-TW,5,True,85,很愛他們的炸醬麵
 Henry Chou ,https://www.google.com/maps/contrib/111574613438451788116/reviews?hl=zh-TW,4,True,121,"湯頭偏淡
家常麵條尚可
牛肉入口即化
以一碗120的牛肉麵來說很難去要求太多"
 KEVIN KUO ,https://www.google.com/maps/contrib/104597089490049297491/reviews?hl=zh-TW,3,True,"2,606",店面不大，用餐環境還OK，店員客氣，牛肉麵普普，小菜豬頭皮不錯吃，小碗的分量男生不太夠吃。
 Wu Yawen ,https://www.google.com/maps/contrib/103903943524372865718/reviews?hl=zh-TW,3,True,510,牛肉麵不貴不過份量不大（食量大的人可能會不夠放），酸菜偏甜。
 Cool Guzzi ,https://www.google.com/maps/contrib/109185039570698248409/reviews?hl=zh-TW,5,True,338,是我喜歡的味道
 曹貫中 ,https://www.google.com/maps/contrib/111948283657076540903/reviews?hl=zh-TW,4,True,110,麵有嚼勁且入味，湯頭也挺好的，唯獨牛肉稍嫌硬了些。
