user_name,user_profile_url,rating,local_guide,comment_num,comment_text
 Mint Lee ,https://www.google.com/maps/contrib/108180401481514380519/reviews?hl=zh-TW,5,True,33,麻辣臭豆腐70元，菜量算蠻多的，也很多品項（有木耳豆芽菜大陸妹蘿蔔筍絲等等！）不像有些店家臭豆腐湯是只有豆腐，本來以為只有豆腐還要去買菜飯便當也不用了🤣
 呂心怡 ,https://www.google.com/maps/contrib/103601451040619036534/reviews?hl=zh-TW,5,True,200,"臭豆腐麵很好吃耶
除了有不少蔬菜
豆腐本身很入味
連麵條的香辣與口感都很有層次感
比想像中滿足的一餐
會再回訪嘗試其他餐點！"
 Janet Yang ,https://www.google.com/maps/contrib/113165299863032007753/reviews?hl=zh-TW,5,True,181,"2022/3/10再訪（最後一張照片）
配菜豐盛
最近物價漲得很有感
面對這樣一碗食材滿滿的麵
覺得感恩。

茄汁紅燒麵
冷冷的天來碗熱呼呼的麵，幸福
料很多，白蘿蔔黑木耳好入味，好吃
豆腐味道純淨，嫩
筍絲爽脆微酸提味，驚喜
好滿足"
 林亭伊 ,https://www.google.com/maps/contrib/107571233802755260011/reviews?hl=zh-TW,5,False,11,蔬菜什錦麵好吃，料好多，佛心的價格❤️
 Hung-Yi L. ,https://www.google.com/maps/contrib/115915007172496840203/reviews?hl=zh-TW,2,False,13,"帶4歲孩子一起用餐，因孩子想吃咖啡飯，點餐前有特別問咖哩是否會辣，也說明是要給孩子吃的，年輕老闆說不會，絕對不會，
但是很辣啊⋯⋯裡面還看到辣椒絲，為什麼要說不會辣，孩子能吃呢？"
 盧榆安 ,https://www.google.com/maps/contrib/112132508115552625689/reviews?hl=zh-TW,1,True,403,"不是ㄧ間很友善的餐廳
所以也不會前往用餐了！

事情是這樣，電話詢問外送事宜
女生店員（不確定是老闆娘還是….）
除了沒聽清楚我這邊詢問的問題
回覆的方式也很急促著要掛電話
整個感覺不是很舒服

首先我問滿多少外送
回覆：$600
然後我想確認菜單上的價格是否有調漲
（因為google菜單是2年前的）
回覆：你先點以後我這邊會跟你說價錢
我解釋了因為我們是公司要叫外送
所以我提出2-3品項確認調漲幅度多少
讓其他同事可以考慮
接著詢問當天早上9：30點餐是否可以中午前送到
ㄧ直跟我鬼打牆說如果是100多人要吃他們需要前一天叫，我也回覆說：我們大概就是10位，點餐總額落在$600左右剛好有滿外送金額
店員就直接謝謝掛我電話了……

我整個無言…."
 Susan Kuo ,https://www.google.com/maps/contrib/111968564902193408924/reviews?hl=zh-TW,5,True,102,"210227
太好吃了！一吃成主顧呀～～～
今天點了：蔬菜什錦麵、麻油猴頭菇麵、麻婆豆腐飯(椒麻香味)，太特別的口味了～～下次還要再來！！"
 SIH SYUAN LI ,https://www.google.com/maps/contrib/102202978791105671079/reviews?hl=zh-TW,4,False,44,"當初看評價點麻婆豆腐蓋飯，結果這道超級鹹😥其他飯類也都偏重口味，大部分素料都含奶，希望全素的選擇可以多一點
店員的感情好像不太好，常會聽到店員互相用指責或不耐煩的口氣說話，店裡的氣氛很尷尬"
 Jay Liao ,https://www.google.com/maps/contrib/101099284042237589090/reviews?hl=zh-TW,3,True,64,"用料實在
食物也不錯好吃。
缺點就是要點外帶的時候
老闆娘口氣態度蠻差的。
踏進那家店之後
老闆娘就感覺很怕有人把病毒帶進內用區，請我趕快出去外面等，就連結帳的時候
也很隔很遠，手往前比別動的手勢（說真的感受超級差
好像每個個人都帶病毒
如果這麼怕的話
那更應該做應對措施
而不是給客人那種很像確診者的這種態度

除了態度之外，食物是不錯吃的"
 lyeer kao ,https://www.google.com/maps/contrib/100193831663805081006/reviews?hl=zh-TW,1,False,11,經濟盖飯配菜有一片豆皮..巳經酸臭掉了..豆豉苦瓜超鹹..花椰菜也是鹹.其它菜色也不怎樣..是吃過的素食中最不好的經驗
 Sharon Li ,https://www.google.com/maps/contrib/107522747596972597054/reviews?hl=zh-TW,4,True,166,菜色種類很豐富，而且是用紫米飯，口味還不錯
 Tank Liao ,https://www.google.com/maps/contrib/112216835258287693328/reviews?hl=zh-TW,5,False,1,好吃美味👍，老闆小姐服務禮貌，只是有外帶的客人硬要擠在內用區排隊等餐，讓內用的空間變得更擁擠，疫情期間，應保持「社交距離」，請外帶的直接在外面等待才好。
 Katrina Cheng ,https://www.google.com/maps/contrib/108784193743057985431/reviews?hl=zh-TW,1,False,8,"年輕老闆娘的行為會讓我覺得有潔癖，
但事實上是她自己誤會惹，
我還怕她弄髒我雨傘手把😘"
 Jessica Yang ,https://www.google.com/maps/contrib/113054343642349885150/reviews?hl=zh-TW,5,True,83,"原本，以為就是一般的麵店
但是，意外的好吃

麻辣拌麵料意外的多
麻辣臭豆腐麵的臭豆腐意外入味，很驚艷
推！"
 Carol Wang ,https://www.google.com/maps/contrib/100622210685608535488/reviews?hl=zh-TW,5,True,53,"經濟蓋飯$80
各種顏色的蔬菜都有
蔬菜量很夠也都是原型食物
很喜歡😊😊"
 廖麗雪 ,https://www.google.com/maps/contrib/100303753989690694605/reviews?hl=zh-TW,5,False,11,"料實在,湯實在,辣椒是自製的油潑辣子,獨家好吃"
 Joy Wong ,https://www.google.com/maps/contrib/108099189030789778628/reviews?hl=zh-TW,3,True,21,"1.麻婆豆腐燴飯有點偏油偏鹹，已經很油了，還放了核桃，而且是整塊核桃，不是碎粒，更增添油感，核桃放的還不少，嚼到後來覺得滿累的...且不知道是太過油鹹還怎樣，已飽肚後，份量竟還有一半，只好硬著頭皮吃完。

2.店員的情緒有點憤怒，體質敏感的、容易吸收他人情緒的人進來前先觀想防護罩，保護自身，不然會突然覺得莫名憤怒、且胸悶。後來發現店員之間的溝通充滿情緒，貴店有供佛，這是很殊勝的功德，「一怒火燒功德林」，有點可惜。南無阿彌陀佛"
 CCY ,https://www.google.com/maps/contrib/112342316262985342476/reviews?hl=zh-TW,3,False,53,"漲價沒關係可是便當配菜卻退步了有點失望
哦對忘了說可以請老闆口罩戴好嗎完全拉到下巴下口鼻整個外露欸…"
 Kuangfang Lai ,https://www.google.com/maps/contrib/111298338551142558332/reviews?hl=zh-TW,5,True,25,苦瓜皮絲?這個聽起來有點怪的湯和麵，真正吃到的時候是非常意外的好吃喔，我是購買gomaji的優惠餐券，但是即使是要付原價，菩提樹素食的CP值仍是很高。
 Kerry Su ,https://www.google.com/maps/contrib/101190080130417722227/reviews?hl=zh-TW,1,False,20,"經濟盖飯,像個大雜燴,涼拌木耳及金針菇味道不對好像壞了,所有菜都冷冰冰,
非常難吃,全是蔬菜,只有一塊小到不行的豆皮,這樣要80元,不會再買了"
 JW C ,https://www.google.com/maps/contrib/105821177377445919629/reviews?hl=zh-TW,4,True,634,以素食來講，價錢感覺略高一些，不過份量真的不少，口味不差，可以嘗試看看。
 Cherry Chen ,https://www.google.com/maps/contrib/117762739789378958456/reviews?hl=zh-TW,5,True,597,"麻婆豆腐飯很好吃，份量足且辣度、鹹度都恰到好處，配菜也豐富美味，又要灑了核桃等些許堅果來增添風味，美味又營養；女生吃的話，建議跟老闆交代飯少，不然整份餐份量太大了（男生吃則剛剛好）。
椒麻香椿乾麵配菜豐富又美味，也是道營養滿點的麵食，黑胡椒粒和香椿味意外地合拍，且麵條又Q有又有嚼勁，不會有放就了太軟爛的問題，適合喜歡吃辣的朋友（因為非常辣）。
麻油猴菇麵的猴菇用料十足有好吃，湯頭除了市面上的麻香味外，有股中藥燉湯頭的清甜味，跟其他店家用現成湯包煮的不一樣，是到誠意十足的餐點。
時蔬湯麵（也可做乾的），配菜多到可以把它當成獨立的一道營養燉時蔬湯喝，麵條有嚼勁，份量多（我通常都分兩餐才吃完）。
這家店唯一的缺點是偶爾會臨時不沒開..."
 Hsu-Cheng Huang ,https://www.google.com/maps/contrib/112107328358965181633/reviews?hl=zh-TW,5,True,221,"並沒有如評論說的，有吵架戲碼，有點失望；東西還沒上，等等看好不好吃。
更新：
後來看到小吵戲碼，但吵沒兩句，年輕店員就笑了，看起來兩個人感情深厚。
另外食物味道很不錯，適合常來吃，以後有機會會再來光顧，謝謝店家的美味！"
 。 Tsai ,https://www.google.com/maps/contrib/104726789787273378479/reviews?hl=zh-TW,5,False,19,"好吃！我是長期吃葷時者的人，口味上我覺得在素食屆裡面算滿好的了～
希望店裡員工相處能放下一切不愉快，能在一起就是緣分！
老闆們雖然偶爾會吵架但完全不會影響顧客用餐品質！
好吃！"
 Chia yu Kuo ,https://www.google.com/maps/contrib/118416799345195973495/reviews?hl=zh-TW,4,True,130,麵裡頭很多蔬菜，外加超好吃的豆腐～可惜的是稍油！
 Yiru Lee ,https://www.google.com/maps/contrib/111021517703855129167/reviews?hl=zh-TW,5,False,4,餐點豐富，很推薦來吃！
 辛西亞 ,https://www.google.com/maps/contrib/110121247957927511355/reviews?hl=zh-TW,5,True,40,"好吃的素食店，
料給的多又大方，
調味好吃，
老闆人親切，
臭豆腐和紅燒麵，
就算不吃素，有經過都會去吃一下。"
 Yu yu ,https://www.google.com/maps/contrib/108144609787827202884/reviews?hl=zh-TW,1,True,56,"東西不錯吃，但口味偏重偏油，老闆娘跟另一位較年輕的女性常常在店內講話很激動，坐在那吃飯不是來聽妳們大小聲的，
好幾次去點餐年輕女態度不是很好，有一次營業中去吃，回答我要出去，不賣了！我也是算了，騎了15分鐘想去吃
又一次，營業中去買猴頭菇湯，
因為不太能吃麻油，
先說現在只有麻油猴頭菇湯
我想說好吧！很餓也是專程來吃，
結果回覆又說現在沒空，晚一點再來⋯
真的很傻眼！
吃東西是種享受，不是受氣！"
 q chiu ,https://www.google.com/maps/contrib/112382972749608824759/reviews?hl=zh-TW,5,True,244,醬爆三杯菇蓋飯超好吃！
 Evelyn ,https://www.google.com/maps/contrib/115074234937108225642/reviews?hl=zh-TW,1,True,17,老闆娘應答很糟，買個麵沒看菜單看到外面牌子就點，結帳時就說漲價了，重點是我說你牌子是這樣寫（以前價格），你就回我「漲價了，牌子模糊」，我認為當下你說牌子沒更換就好，還硬給如此荒唐塘塞的理由，口氣到很理直氣壯！回去吃麵時，麵還爛爛的，一碗要價80元，簡直不值！不要說今天一碗麵一百，好吃我也會掏錢買，要是用這種食物這種態度，真是敢賣我以後也不敢買，呵呵！
 Lily Hu ,https://www.google.com/maps/contrib/105991151067270104093/reviews?hl=zh-TW,1,False,9,口味不錯，但年輕小姐的態度不好，講話口氣極差，我多次用餐，仔細觀察小姐與他人的應對進退，實在很不禮貌，讓人感覺吃飯受氣。建議外帶，不建議內用。
 永敢 ,https://www.google.com/maps/contrib/109228127843757856023/reviews?hl=zh-TW,4,True,87,"點了麻油猴頭菇湯@＄100份量超大
麻辣臭豆腐真的非常辣，吃了舌頭都是麻的。
很入味適合愛吃辣的人。
吃不完外帶時老闆還很用心的包裝妥當。
是一個小攤子概念店、位子很少，
若光看外觀跟座位可能會不想進來吃...
但靠近世貿信義區，份量及口味cp值都算值得，
建議上班族可以外帶使用喔～"
 江江江江 ,https://www.google.com/maps/contrib/112659014765153628081/reviews?hl=zh-TW,4,False,183,天香麻辣乾麵，超香辣味十足料多超好吃
 Jack Lu ,https://www.google.com/maps/contrib/102321870867101786099/reviews?hl=zh-TW,4,True,84,出餐速度快，麻辣臭豆腐麵，咖哩蓋飯都很美味
 婷婷 ,https://www.google.com/maps/contrib/110731350295024565590/reviews?hl=zh-TW,5,False,4,晚上加班時會來這裡吃，好吃
 S IU ,https://www.google.com/maps/contrib/109370882236932660410/reviews?hl=zh-TW,4,True,"1,675","評價：四顆半星
麻婆豆腐蓋飯：配料有高麗菜、金針菇、大陸妹、木耳、豆干、番茄。主菜麻婆豆腐，嫩豆腐淋上以香椿、芝麻、辣椒炒過的醬汁，最後再放上碎核桃，香而微辣，味道很好，很有特色。份量夠，吃得飽。"
 Chang Rung Shiu ,https://www.google.com/maps/contrib/113218026428471353356/reviews?hl=zh-TW,5,True,513,短短不碰肉的一個禮拜結束了。位在公司附近的菩提樹素食館是我經常回訪的小店。臭豆腐蓋飯一端上來滿滿的素菜，讓人食指大動，招牌強項臭豆腐滷的非常入味（但是一點都不臭XD)，食物料理味道也非常好不會過鹹。麻醬麵很香，搞到辦公室裡的同事都在問這是哪裡買的，一個禮拜大概有四天都有吃到菩提樹，是一家平時也可造訪的素菜好餐廳XD
 Wanda Li ,https://www.google.com/maps/contrib/107016974119352077747/reviews?hl=zh-TW,5,False,1,"好吃料多又實在，小姐服務親切得宜，不過現在
”消費便是娘”心態的人很多，自己要小心喔～
（~支持您的老客戶~😄)"
