user_name,user_profile_url,rating,local_guide,comment_num,comment_text
 Wunsin Chou ,https://www.google.com/maps/contrib/118320139278901838999/reviews?hl=zh-TW,4,True,94,"🍲沙茶鍋燒意麵（$110）：
沙茶味的湯頭不會過鹹也不會太油，味道剛剛好～肉片中規中矩，高麗菜的量蠻多的，而且吃起來是新鮮、鮮甜的高麗菜，意麵的麵體吃起來像是沒有什麼煮過，比較像是剛放下去沒多久就起鍋的口感，蠻有嚼勁的，火鍋料、魚漿類的丸子要是可以再多一點點就更好了✨

用餐日期：2022.8.22"
 Peggy Wu ,https://www.google.com/maps/contrib/116234001273625332956/reviews?hl=zh-TW,3,True,135,"料多豐富，不過海鮮跟肉味都滿重的
高麗菜清甜，意麵似乎沒有煮太久（還是用泡的）沒有很軟
店家特製辣醬推推"
 L H ,https://www.google.com/maps/contrib/111116897416910188603/reviews?hl=zh-TW,4,True,61,"以上班族中午覓食的選擇有限來說
水果妹有飯有麵挺不錯
份量也很夠
推推"
 吳建德 ,https://www.google.com/maps/contrib/100139798892695388654/reviews?hl=zh-TW,5,True,174,"炒飯非常好吃😋
都非常棒👍
青椒肉絲蛋炒飯
青菜豆腐湯
鍋燒意麵"
 YJ Z ,https://www.google.com/maps/contrib/104969925105277652745/reviews?hl=zh-TW,1,False,1,"10/17外帶一份肉絲炒飯並先結帳後在旁邊等，我的那份剛好和一單裝有兩份便當盒和一個湯碗的餐點先後打包完成，打包那位阿姨沒有把那份放好整個傾倒，我好心幫她扶好還被她瞪超大眼睛說：肉絲炒飯結帳的。
讓人觀感超不好，感覺好像被當成小偷或是搞不清楚狀況的那種人，到底誰會分不清自己買一份還是買三份啊！
回那位阿姨我只是幫忙扶好還只得到超級沒誠意的抱歉，雖然你們很忙，但也沒必要態度那麼差吧⋯⋯"
 chris tsai ,https://www.google.com/maps/contrib/113142594114174085847/reviews?hl=zh-TW,1,False,6,晚餐時間點了一份炒飯..點完餐後再去隔壁點鍋貼..隔壁的鍋貼都已經取餐完畢..這邊確遲遲沒動靜..遠遠聽到有人打電話來訂餐..老闆說十五分鐘後可以來取餐.於是我詢問老闆我的炒飯是否已經完成..老闆回覆大概還要十五分鐘..我站在門口已經等了二十幾分鐘.還要再等15分鐘以上...看到老闆不斷把比我晚到的人的菜單一直往我的菜單前面放..跟老闆反應後連一句抱歉都沒有..也沒有馬上要處理我的訂單意思..掰了水果妹..以後不要再浪費彼此的時間了...
 莊惠宇 ,https://www.google.com/maps/contrib/105101950190368575717/reviews?hl=zh-TW,5,False,5,世界最喜歡火鍋的我，今天點沙茶鍋燒...餐點來的時候，根本傻眼！這也太豐盛了吧！我拍得不好，但碗比我的頭還大，回頭看了菜單，110！以一般鍋燒價錢算偏高，但是滿足卻是好幾倍，味道很好、蛤蠣是我看過最大的，就是很好吃啊！老闆們忙碌但很親切！
 Cairns Wei ,https://www.google.com/maps/contrib/104541288176834103283/reviews?hl=zh-TW,1,True,17,欺騙踩到我的底線，原本一週會吃一次的，今天用餐體驗不爽到直接拉黑！我可以忍受店家忙出餐慢、併桌多賺點偶爾搞混帳單也還可體諒。但今天當入座30分鐘，點了簡單的蓋飯（以往都5分鐘都上菜，老闆娘說這很快）跟青菜湯都還沒上桌，看著隔壁桌比我慢來的四碗鍋燒麵都開吃了。詢問內場只說在做了，等到40分問到底還要多久時，才開始在問廚房有沒有收到單？？？那剛跟我說在做了是做什麼鬼東西？？可以這樣騙客人的嗎？
 Chris Chou ,https://www.google.com/maps/contrib/100959061618229655634/reviews?hl=zh-TW,4,True,953,小菜不錯吃，炒飯很香份量也夠，用餐時間一座難求。
 King Chen ,https://www.google.com/maps/contrib/100465416573386790920/reviews?hl=zh-TW,5,True,15,我點的是泡菜牛肉炒飯，飯炒的有功夫，裡面有泡菜，紅辣椒，蔥跟蛋當然還有牛肉，肉質滑嫩順口，整體來說並不會很辣，算是小辣，是一盤好吃成功的牛肉炒飯
