user_name,user_profile_url,rating,local_guide,comment_num,comment_text
 林意雯 ,https://www.google.com/maps/contrib/111099636194499335031/reviews?hl=zh-TW,5,True,74,"第三訪🥰還是一樣好吃
都是包廂，隱密性很好，對於疫情也較安全
海鮮新鮮、肉質也很好，服務員會幫忙煮
最後還會煮粥👍👍非常飽
甜點品項也會有變化，這次綠豆芋圓冰夏天來一碗超好吃😋"
 Mi Miyake ,https://www.google.com/maps/contrib/110998775352989542338/reviews?hl=zh-TW,5,True,484,"吃了幾次都覺得品質很穩定
▪️伊比利豬
▪️黑毛和牛9+牛小排
每日限量供應各式海鮮，預約時可以提早詢問
總是期待用紅蟳熬出來的湯頭煮雜炊
全程提供桌邊服務"
 G Z ,https://www.google.com/maps/contrib/109837401116994843754/reviews?hl=zh-TW,5,True,821,"隱密性很好，店內都是包廂，雖然是屬於沒有隔音的包廂，但還是比多數火鍋店要來的好。
服務一流，會幫忙下鍋煮菜盤、海鮮、粥類，很不錯。
火鍋料很好吃，感覺是純手工的，肉類符合價位。
甜點紫米粥好吃。
價位大概一個人1500上下，沒點海鮮的話1200有找吧，再搭配美國運通卡有打85折優惠。
附近可以停醫院停車場或後巷的地下停車場。
值得再來的火鍋店。"
 Michael HSU ,https://www.google.com/maps/contrib/113208907952748044835/reviews?hl=zh-TW,5,True,41,"食材不錯，有桌邊服務，很貼心，雜炊也很好吃。
這次點了和牛紐約客跟和牛肋眼，肉質真的不錯喔❤❤
不管幾個人去吃，都是採包廂式，所以非常有個人隱私，但是只是包廂沒有隔音而已🤫🤫"
 Boris Lai ,https://www.google.com/maps/contrib/115542008710472391848/reviews?hl=zh-TW,5,True,138,全店包廂式座位，食材新鮮，服務人員熱情、細心，不愧大家給予小橘色的評價👏
 Simon Kuo ,https://www.google.com/maps/contrib/116217638790677045625/reviews?hl=zh-TW,5,True,249,"很棒的火鍋店雖然點的都是店裡算平價的套餐但服務一樣非常優質貼心從幫忙下鍋到煮粥都是愉快的體驗
當然東西也是美味好吃點的螃蟹跟巧克力和牛套餐都覺得非常值得最後煮的粥也非常濃郁鮮甜好吃
裡面的帥哥還有招待炸魚塊也超好吃的絕對會再來！"
 Howard Cheng ,https://www.google.com/maps/contrib/111921459692954670648/reviews?hl=zh-TW,5,True,414,用餐環境舒適，半開放式小包廂，人員親切，食材新鮮，價格不算便宜，但是值得！
 馬哥 ,https://www.google.com/maps/contrib/117642079445008296564/reviews?hl=zh-TW,5,True,22,遲來的五星評論，首先感謝婉婷小姐給了我一次美好的體驗，第一次吃火鍋遇到這麼細心的服務，一進門婉婷就詢問我外套是否要掛起來，後續的開瓶跟服務真的讓我很驚艷，很多細節都處理的很好，顧著聊天的我完全沒發現喝完的茶又補滿了，喝完的酒又持續補上，懇請貴公司在提拔幹部的時候務必重點考量婉婷🥳，婉婷真的是一個很優秀能力出眾的員工。
 Hsiang ,https://www.google.com/maps/contrib/112077914591519928528/reviews?hl=zh-TW,5,False,6,"用餐氛圍隱密舒適；食材新鮮味美；服務人員專業親切倍感賓至如歸，已數不清造訪多少回了⋯
聚餐首選的好餐廳！大推👍🏻"
 Stella Hua ,https://www.google.com/maps/contrib/100085402976324724432/reviews?hl=zh-TW,5,False,13,餐廳環境舒適，每桌都有屏風隔間，服務生人很好，用餐愉快
