user_name,user_profile_url,rating,local_guide,comment_num,comment_text
 劉釋允 ,https://www.google.com/maps/contrib/104989173392450699128/reviews?hl=zh-TW,4,True,454,"以麵包、生菜、優格、及麵包搭配的蛋白質組成的各種早午餐。生菜新鮮多樣而且份量夠，很適合假裝健康。麵包是偏精緻澱粉類型不是歐式麵包，烤得香香軟軟。最驚豔的是優格非常非常好吃，酸度甜度跟濃稠度都恰到好處，難怪有人直接單點一大盆優格。
地下室的空間氣氛不錯，椅子比很多早午餐店好坐很多，坐著會有休息到的感覺而不是在一個侷促的環境下吃飯。

5🌟值得特地且一再拜訪
4🌟值得一再拜訪
3🌟不會主動拜訪
2🌟非不得已不會想吃
1🌟除非生命被威脅不然不會吃"
 EVELYN WU ,https://www.google.com/maps/contrib/104396752380053582910/reviews?hl=zh-TW,5,True,376,"昨日約11點到訪，平日店內沒有很多人相對的環境也很舒服，店內空間很大座位很多還有戶外跟地下室的座位可選擇
昨日點一份燻鮭魚+套餐&蒜炒奶油蕈菇義大利麵～
下次回訪還是會點brunch,義大利麵口味雖然不錯但相較brunch的豐富性就單調許多。
燻鮭魚除了有吐司生菜之外，還有水果、優格一起搭配，吃完一份真的超級飽也很健康！
下次會再回訪推薦給大家～"
 Jolin Tsai ,https://www.google.com/maps/contrib/106438623951223441980/reviews?hl=zh-TW,4,True,436,"Therestaurantspaceisspaciousandcomfortable
Mainlybrunchseries,experienceisdelicious👍
Butwedon'teatstarchesthistime,soweprefersaladsandprotein,andtheselectionisrelativelylight,butit'sstilldelicious🥗🍖
.
東門站空間很足夠很舒適
主要是早午餐系列，以往經驗是很好吃的👍
但我們這次不吃澱粉食物，所以傾向沙拉和蛋白質，單點選擇性相對比較少，不過還是好吃的🥗🍖"
 New Chen ,https://www.google.com/maps/contrib/114258198259892572351/reviews?hl=zh-TW,4,True,440,"#可刷卡
潮洲街上很明顯的大間早午餐店
路上的機車路過有點吵雜
原以為是可以一個人享受寧靜午後時光的好地方
實際進來後發現這裡比較適合高談闊論講八卦xD

有低消120元，主餐+80飲料可任選超優質！
空間很寬敞似乎不大需要事先訂位
點餐要揮手示意服務小姐

口味偏淡清爽不愛吃蔬菜水果類的人可能會不習慣😅"
 星 ,https://www.google.com/maps/contrib/116758283119142621252/reviews?hl=zh-TW,5,True,72,"美味健康早午餐
招牌黑糖堅果優格必吃
自家吐司🍞超優質
法式吐司完全入味
且不隨意不會太濕太油
甜度和口感皆很剛好
生菜沙拉種類繁多且新鮮
是真材實料未調味
適合健康之人
餐點均需加一成服務費
服務滿分💯環境寬敞舒適也💯
店員會隨時補水
服務費值得！
下次想試看看義大利麵🍝"
 William Chiu ,https://www.google.com/maps/contrib/106115089595557191357/reviews?hl=zh-TW,4,True,"1,415","2022/07/17星期日早上，難得沒有預約還可以選位，餐點內容依舊以蔬食為主調，但份量似乎較為減少，飲料需要加$90元另外點，整體消費需要加一成服務費，因此兩人大約需要$1,000元左右的花費享用一頓早午餐，以該店的環境氣氛、服務態度、餐點美味是值得這個價位。"
 RACHEL HSU ,https://www.google.com/maps/contrib/111657991080846470182/reviews?hl=zh-TW,5,False,19,"點了奶油蛋煙燻鮭魚跟清炒白酒蛤蠣義大利麵
原本有點怕奶油蛋跟鮭魚的奶油味會太重，
結果味道很剛好，不會很膩，麵包口感也很讚
優格很不錯很開胃，搭配堅果很加分。
沙拉感覺也很清爽搭配芥末醬也很讚👍🏻蔬菜水果很多樣擺很滿，這個價格覺得很超值。
唯一覺得沙拉裡蔬菜有幾個葉菜處理的時候沒有分開不方便用叉子去叉，但不影響。
義大利麵覺得還可以，可能如果有喜歡的軟硬口感建議可以點餐時告知。"
 張家齊 ,https://www.google.com/maps/contrib/106602594484694402225/reviews?hl=zh-TW,5,True,25,"蔬菜量超夠且均衡ㄉ一餐o(*////▽////*)q
蛋、鮭魚、吐司都非常好吃，菜很新鮮且多樣，優格微酸搭上黑糖和堅果很對味！是仙女餐啊！"
 Amber Kuo ,https://www.google.com/maps/contrib/111566303392572107436/reviews?hl=zh-TW,4,True,16,"兼具健康與美味的早午餐
他們吐司是手作的真的很香又Q
生菜沙拉的部分很特別有各種蔬菜（茄子、洋蔥、韭菜花、玉米等）
沙拉醬我選擇油醋醬但是我不太喜歡有一個很重的草味，下次應該會選擇蜂蜜芥末醬。"
 mira chen ,https://www.google.com/maps/contrib/113858514274619554315/reviews?hl=zh-TW,5,True,56,"跟同質性餐廳做比較，是生菜水果量偏多的擺盤，沒有油炸物當配料，非常健康。
另外，店內的瑪芬是包漢堡的麵包，千萬不要誤會了"
