user_name,user_profile_url,rating,local_guide,comment_num,comment_text
 劉平 ,https://www.google.com/maps/contrib/107496467120226036726/reviews?hl=zh-TW,5,True,59,S餐廳就是一個用餐環境讓人舒服的地方，服務人員親切沒話說，這次來品嚐的是9/15更換後的新菜單，麵包一如既往的外皮酥脆，抹上風味奶油後，一次可以吃兩個，帕瑪火腿讓我驚艷，不同於過去吃到的偏鹹，反而香氣、油脂、鹹味來到一個平衡的境界，湯品及義大利麵的表現均無失常，反倒是雞腿排配蕎麥搶走了肋眼牛排的風采，蕎麥的滋味讓人一口接一口，乍看之下以為雞腿排上的是油蔥，沒想到混合了柳丁果肉，酸酸甜甜的好搭，最後，甜點超好吃的！巧克力跟抹茶這兩個的層次都很豐富，很值得細細品嚐，不輸給高級甜點店的蛋糕喔！這段時間還有啤酒無限暢飲，完全不帶苦澀，是我喜歡的風味！
 Peggie Wang佩吉王 ,https://www.google.com/maps/contrib/101174232473539918435/reviews?hl=zh-TW,4,True,54,"📿這次是因為過年期間的住房專案含雙人午餐，專案價$2888＋10%，所以才有機會入住。
📿正常菜單價位：義大利麵$380起，咖啡茶等飲品$180起，6道菜午餐+季節酒品無限暢飲$1280+10%，氣泡水/礦泉水$80起。
📿雙人套餐內容包含手工麵包佐風味奶油、海鮮沙拉、野菜溫泉蛋、南瓜湯、軟殼蟹燉飯，主菜為炭烤美國肋眼牛排(另有松阪豬選項)，另有中式甜品(桂圓湯與三拼-黑糖糕、糖葫蘆、酥餅)及餐後綠茶、紅茶。
.
食記心得分享>>
FB搜尋：#佩吉王生活記事/IG：@peggiewangtw"
 Yi ,https://www.google.com/maps/contrib/116136332277076590561/reviews?hl=zh-TW,5,True,164,"交通方便，音樂好聽，裝潢、裝飾有設計感的飯店
餐廳Bar音樂好聽，座位很寬敞舒適，
桌椅裝飾都別具巧思、很有特色，
大膽的玩弄繽紛色彩，彷彿來到藝廊用餐
麵包可無限續，主餐份量有點少，
走精緻路線，但口感創新，
每一口都感到新奇
用餐之餘還能玩一下撞球。
來過兩次了，菜色會更換，
兩次都給人很不同的驚喜
5-7點有HappyHour，
紅、白酒與Top10調酒都可買一送一
可以在時段內點起來慢慢喝，很貼心。
人多時訂位要先預付訂金，可以理解
這次坐了十人的位子，貼心了安排包廂座位給我們，
拉簾可以拉起來變成包廂。放心歡聚
侍酒師Webb親切風趣，是這次大加分原因之一！！
像朋友般可以依需求介紹好喝的酒又不失專業，
朋友慶生、聚會需要要好氣氛的好選擇！"
 李育瑋 ,https://www.google.com/maps/contrib/116633650408728826947/reviews?hl=zh-TW,4,True,102,"SRestaurant&Bar這間飯店的裝潢蠻氣派的，反觀用餐區就沒有特別值得嘉許的地方。

用餐體驗如下：
我個人認為若要來用餐必須先體認一件事情就是這是間法式料理餐廳，不要期待會吃到跟一般外面相近或是熟悉的味道。
以這個價位來說個人覺得確實偏高，普遍來說本次的服務人員可圈可點，每道餐點都有介紹來龍去脈及建議吃法，並沒有其他評論的有負評的感受。
餐點的部分…真的是走的非常前面的一間餐廳。很多出其不意的組合及難以形容的味道，不難吃…但就是跟我們熟悉的有一段距離。

結論：這次用餐價位是$1580，我自己覺得除非真的很愛法式料理或是想支持S…不然我自己是吃不習慣。
給四星原因則是佩服廚師的創意且每道料理真的都很精緻！不囉嗦，就看圖吧！"
 Alice Yeh ,https://www.google.com/maps/contrib/107173036938191473546/reviews?hl=zh-TW,3,True,60,"在中午時用餐，服務人員態度很好。
可惜的是餐點味道真的普通。
跟朋友選了兩套午間套餐，一個1+1一個1+2。

首先上來的麵包還不錯，有烤到酥脆且醬料很香。

再來3道前菜部分，選了照片中的生牛肉、沙拉、以及今日濃湯，生牛肉的部分還可以，但沙拉的擺盤真的不行，感覺泡在水中？且很像已被食用過，濃湯喝了一口就喝不下去，（可能是個人喜好問題）雖是濃湯卻味道苦澀。

主餐的部分豬肋排還不錯，奶油雞肉飯味道偏淡，但皮有酥且肉質蠻嫩的。

最後甜點的部分，套餐的甜點是照片中的一小個那種，兩個蛋糕是住宿換的，套餐的甜點像布朗尼、起司蛋糕表現的還不錯，但裡面有一個餅乾感覺很像放到太軟，另外兩個大的蛋糕都蠻好吃。

整體而言，覺得用餐主要是吃氣氛，餐廳佈置的很美很溫馨，食物的口味真的普普。"
 Vivian Chiu ,https://www.google.com/maps/contrib/114826495408675776063/reviews?hl=zh-TW,3,True,193,3.5顆星是給擺盤跟裝潢的今天來用晚餐1580加一成服務費，服務人員訓練有待加強（餐點介紹不夠熟悉），食物的部分只有擺盤精緻，味道中下，他們引以為傲的「石頭」裡面包生干貝但一咬下去卻有股腥味，不知是否當日食材不新鮮？其他料理沒有記憶點，太多醃漬類的作法，主餐的部分鴨肉，肉質有點韌，我朋友吃的主餐是魚，魚偏鹹，只有最後的薑糖冰有扳回一城，其他料理真的吃一次嘗試就夠了。
 kiplin K ,https://www.google.com/maps/contrib/107852137723654503258/reviews?hl=zh-TW,5,True,534,"常經過敦化北路，原本想飯店建築外觀低調不太起眼，由於同事邀約才到此用餐，
沒想到一進入大廳，充滿驚奇的設計空間，處處是細節，餐廳用餐環境優雅，
果然是享譽世界設計大師PhilippeStarck的作品，
很適合與客戶洽談業務，或跟朋友家人共度舒適時光的用餐環境，
餐廳雖是外籍主廚，但價格十分親民，唯獨一些小缺點：桌子對坐距離設計太近，服務生不夠主動貼心；停車場受限於舊大樓格局，入口動線標示不夠清楚；
以此精品旅館，服務細節如果更加熟練，就一百分了"
 K'eong Ng ,https://www.google.com/maps/contrib/102641593599664079869/reviews?hl=zh-TW,4,True,72,Shotel地庫的量子餐廳，氣氛優雅粉色鏡鋼做主題，女生來之前可以做好配搭拍照更完美。食物方面是還可以的！量子美食，把食物原態轉變另一個口味！只可惜口味每個人也不一樣！創意一定有！服務態度不錯的！
 Paoyu Tsui ,https://www.google.com/maps/contrib/104717731853435040682/reviews?hl=zh-TW,3,True,419,場地環境乾淨舒服，椅子好坐，服務人員餐點解釋詳細清楚，但餐點沒有特別令人驚艷。但餐廳經理公關能力很棒，對食物跟酒品都能詳細介紹。
 Tzu-cheng.W ,https://www.google.com/maps/contrib/104687896405727779362/reviews?hl=zh-TW,5,True,49,"服務親切友善
尤其對小小孩會主動互動，感覺很棒
套餐料理精緻好吃，但份量對我來說稍微少了點
單點的義大利麵很棒
附餐麵包小孩很喜歡

如果你喜歡琴酒，店家特製調酒很不錯
推薦茶香琴酒，這讓我回家也想做看看

環境部分很舒適乾淨，也有撞球桌可以玩"
