user_name,user_profile_url,rating,local_guide,comment_num,comment_text
 KunTa Tsai ,https://www.google.com/maps/contrib/114875921730523192845/reviews?hl=zh-TW,5,True,68,"綜合評分
原味粉漿蛋餅＊＊＊＊＊五分
煎豬排蛋全麥吐司＊＊＊＊＊五分
蘿蔔糕起士蛋餅＊＊＊＊＊五分

這家早餐店在Louisa旁小巷子，走進巷子才看的到，應該住附近才知道這家早餐店。
禮拜日清晨七點多，有很多空位，適合內用。

太太特別喜歡吃這間的原味粉漿蛋餅，我則是點嫩煎豬排蛋全麥吐司。
另外幫女兒點了蘿蔔糕起士蘿蔔糕蛋餅。

原味粉漿蛋餅(35)
蛋餅Q彈，跟傳統蛋餅不太相同，喜歡的人會一口接著一口，我則是比較喜歡傳統蛋餅厚實咬勁。

煎豬排蛋全麥吐司(55)
吐司是全麥的，走健康風，豬排相當軟嫩，醃過入味，搭配生菜番茄煎蛋，料好實在。
不像一般早餐店會加很多黑胡椒提味，這家食材蠻健康的，添加醬料不會很多很雜，都是現點現做，衛生美味。

蘿蔔糕起士蘿蔔糕蛋餅(55)
原本只是要點單純的蘿蔔糕，可能沒看清楚，服務人員先乾煎了蘿蔔糕，以及蛋餅。
蘿蔔糕切塊後，再放入蛋餅內，再加上起士，多重滋味感覺很棒。

基本上這家是會讓人再次回訪的店家。"
 Slash Huang ,https://www.google.com/maps/contrib/106428751786491543661/reviews?hl=zh-TW,4,True,137,"應該是原本開在羅斯福路上搬過來的
以早餐店來說內部環境非常乾淨舒適
座位應該有20個以上
座位跟廚房算是完全隔開
平日早上7點來只有我一個客人
可能是剛開沒多久的關係....

*古早味蛋餅-玉米高麗菜
因為打了星號應該是店家推薦
份量看起來不小
餅皮有厚度有點Q的口感
內部的料算多
個人覺得味道非常的淡
一定要加醬料
店家有提供蒜蓉醬油膏、甜辣醬2種醬料
甜辣醬是偏小辣的
沒有提供一般的辣椒醬

*傳統豆漿
因為喝習慣無糖
所以覺得偏甜
吃完要走時
問了店員才知道原來有無糖的豆漿跟紅茶
真是我的失誤
但如果店員在點餐時可以提醒飲料有無糖的選項會更好"
 鉦天子-Zen's lifehouse ,https://www.google.com/maps/contrib/113872573795293941899/reviews?hl=zh-TW,4,True,224,這家店是我過年期間拜訪朋友時發現的，介於台電大樓捷運站和古亭捷運站之間，因為肚子餓了，想在當地找一個地方坐下來好好享受早午餐，由於其他的店家都休過年假，只有兩家開著沒休息，因為這家價格較平價，所以先選這家，沒想到生意好到只剩三明治和傳統粉漿蛋餅可選擇~只好點一個鮪魚蛋吐司和原味傳統粉漿蛋餅，簡單的餐點最能吃出食材本身的新鮮和美味，飲料的部分也只剩下冰奶茶~鮪魚蛋配全麥土司，好吃耶！食材果真新鮮，生菜清脆爽口搭配鮪魚沙拉醬，吃得到鮪魚香氣，蛋香和全麥土司麵包香和微微甜味，哇！讓我覺得有被驚艷到，坦白說我沒抱著有這麼好吃的心態，招牌原味傳統粉漿蛋餅，也很好吃，整個是有厚度但煎熟後居然還保有其嫩滑度，太不可思議了，總之是一個看似平凡卻有用心做早餐的好店家，若非飲料再好喝一點就給他滿分，我心中想喝熱的豆漿紅茶，應該比冰奶茶厲害，暫時給4.5顆星，推薦鮪魚蛋三明治和原味傳統粉漿糊蛋餅
 Sherry Huang ,https://www.google.com/maps/contrib/109705661742753852911/reviews?hl=zh-TW,5,True,152,"巷弄的早餐店，重點是一定要願意等再來吃，外帶單蠻多的，只有兩三個人，煎蛋餅的爐子有限
假日早上等了30分鐘
粉漿蛋餅好吃，外帶的也看起來很不錯，豆漿20是台北市基本大小，味道正常不水
起司豬肉粉漿蛋餅很厚，很好吃，外面有煎到有口感，價格在台北還是稍高
醬料和餐具都是自取，店內乾乾淨淨，氣氛很好，老闆是周杰倫的粉，音樂都是周杰倫的，適合悠閒吃個早餐"
 TY Lin ,https://www.google.com/maps/contrib/114130772790526001914/reviews?hl=zh-TW,4,True,154,假日中午店內沒什麼人，座位不算多，空間算寬敞，招呼的店員只有一人，似乎不是台灣人但點菜溝通還算流暢，菜單上面品項不多，主打復古粉漿蛋餅，立刻點了火腿蛋餅搭配套餐來吃吃看，主角蛋餅餅皮厚實口感不錯，內餡包含火腿及燻雞肉算是給的很足夠，吃下去餡料常常會多到掉出來，套餐的熱狗跟蘿蔔糕表現就普通，蘿蔔糕偏粉，飲料選了豆漿紅茶，但是不夠冰然後豆漿味道不太夠紅茶的味道也沒有什麼特色，飲料方面表現中下，搭配套餐價格剛好100，有點偏貴，下次想嘗試看看鐵板麵。
 透透 ,https://www.google.com/maps/contrib/114377823311567950468/reviews?hl=zh-TW,5,True,291,我心中的粉漿蛋餅是「虎尾立仁國小側門後路口」，他當時叫「金口餅」，我可以分辨的出來⋯本店的餅皮偏Q⋯走向河粉蛋餅路線⋯⋯不過還是給滿星唷！公館排隊的蛋餅是北部比較像粉漿！粉漿要有蔥味或鹹味！
 Kun-Ting Chao ,https://www.google.com/maps/contrib/111120807358507747843/reviews?hl=zh-TW,4,True,261,"店內乾淨整潔，蛋餅粉漿餅皮比一般早餐店來的有特色，料下的很實在，附的醬油帶有淡淡的蒜蓉味道，重點是價位親民超值，套餐量可以當中餐來吃。

20220901更新5顆星》4顆星
營業時間混亂，除了固定禮拜二好像會公休外，時不時也會突然沒開，也有看過禮拜二突然開門的"
 mi mi ,https://www.google.com/maps/contrib/104303837335116582247/reviews?hl=zh-TW,3,True,837,"花生地瓜💰45❤️❤️❤️❤️🤍
內餡挺特別的，地瓜泥帶有花生醬的味道

芋頭肉鬆💰55❤️❤️❤️.5🤍
芋泥滿甜，從頭到尾只有吃到一小塊顆粒，還行~

沙茶燒肉💰55❤️❤️❤️.5🤍
燒肉香香的，味道足

嫩煎豬排蛋💰55❤️❤️❤️❤️🤍
三明治表現正常，生菜給的不少不錯，但吐司烤的不夠酥小可惜

B套餐💰+65❤️❤️❤️❤️🤍
薯餅好油🥲
地瓜薯條正常可吃

麥香奶茶💰25❤️❤️❤️🤍🤍
很甜
豆漿💰20❤️❤️❤️🤍🤍
就一般般

✍️內餡個人較喜歡花生地瓜，而蛋餅皮是很軟的口感，喜歡的人會喜歡吧~
女店員態度普"
 陳Space ,https://www.google.com/maps/contrib/112566922210973841578/reviews?hl=zh-TW,5,True,253,在古亭捷運站旁的小巷子裡，若不是Google帶我來，我還不知道這裡有早餐店，光是看門面會覺得只是普通傳統早餐店，進來之後別有洞天，店內還是有一些裝潢講究，特別的燈，特別的擺設，還有不錯的點餐體驗，而餐點外帶也讓人驚艷，用紙盒包裝，覺得很用心，飲料都是自己煮的也很棒，推薦大家來
 劉珮芯 ,https://www.google.com/maps/contrib/117487185539127995838/reviews?hl=zh-TW,3,True,152,"燻雞火腿蛋餅$55
豆漿$20
蛋餅料多，餅皮味道和口感皆普通，建議加醬油膏一併食用

位置十分少，部分位於行人道，內用顯得有些彆扭"
 阿一 ,https://www.google.com/maps/contrib/116067739603993045006/reviews?hl=zh-TW,5,True,99,"推薦豬排蛋吐司，吐司是全麥的，肉排醃剛好清爽，覺得是看過煎的最好豬排，生菜蕃茄給很多。👍👍👍
紅茶有無糖的，但還沒喝到，因為剩冰的，有剛煮好的，但怕太燙，下次要喝喝看😎
可以用linepay!🙂"
 許芸嘉 ,https://www.google.com/maps/contrib/114992239254353982305/reviews?hl=zh-TW,5,True,156,"蛋餅很大一盒兩排滿滿的
皮軟Q菜很多cp值好高
平常不喜歡蒜味的我也覺得它的醬油膏很讚
真的要多沾一點醬好好吃呀！！
會想念的味道～

唯一缺點是紅茶豆漿有個味道不太喜歡"
 YuHuei Huang (Pinao Cat) ,https://www.google.com/maps/contrib/107309913742531377310/reviews?hl=zh-TW,5,True,568,"付款方式：Linepay/現金
沙茶燒肉蛋餅
沙茶味道不明顯是用沙茶醃肉的感覺有吃到沙茶香
起司豬排蛋餅
豬排很嫩大塊
鐵板麵中規中矩
鮪魚土司是用全麥鮪魚也沒有跟玉米混一起
整體很不錯"
 Lin Ting ,https://www.google.com/maps/contrib/118392530205051674818/reviews?hl=zh-TW,4,True,259,芋泥肉鬆蛋餅是不錯…但很甜芋頭跟肉鬆的味道有點各走各的路，吃到後面會膩，搭配豆漿紅茶大概只有低糖，算好喝
 林瀅瀅 ,https://www.google.com/maps/contrib/101401607155269256992/reviews?hl=zh-TW,5,False,15,蛋餅非常滑嫩可口，蘿蔔糕煎的非常恰，非常好吃；可惜座位數量偏少，人多的時候只能外帶。
 雷萌 ,https://www.google.com/maps/contrib/100484122078458642579/reviews?hl=zh-TW,4,True,170,還不錯。有甜辣醬可以加，很像甜麵醬。有無糖紅茶也不錯。不過蛋餅比較偏向河粉蛋餅。如果在家隔壁說不定不知道吃什麼就會過來吃
 Dennis Cheng ,https://www.google.com/maps/contrib/106222268611447802224/reviews?hl=zh-TW,5,True,60,"很喜歡粉漿蛋餅厚厚的很有飽足感
起司跟豬排很很搭好吃😽"
 sinwen zhang ,https://www.google.com/maps/contrib/101099008835406659419/reviews?hl=zh-TW,5,False,14,"當天點招牌蛋餅
裡面有起司培根里肌肉高麗菜
料很多蠻豐富的整體味道偏淡
味道吃起來很家常個人蠻喜歡"
 ya tang ,https://www.google.com/maps/contrib/104262369725955134663/reviews?hl=zh-TW,5,True,20,"店員態度很親切～身為脆皮蛋餅派的我也成功被這家的粉漿蛋餅圈粉～
花生地瓜的組合不會過甜而且搭在一起超加分！
芋泥肉鬆的芋泥對芋泥控來說略少但也不錯～
是會再回購的粉漿蛋餅店！"
 YI Fang Li ,https://www.google.com/maps/contrib/114628064039560803193/reviews?hl=zh-TW,5,True,70,超好吃的粉漿蛋餅，用料大方。Q軟的口感，滿滿的配料。三明治也是用料豐富，豬排蛋吐司大推。
 吃爆大薯 ,https://www.google.com/maps/contrib/113760703364765497916/reviews?hl=zh-TW,5,True,127,"最後到訪日：221014外帶
外帶自備容器：可
位於巷內的早餐店，粉漿蛋餅不沾醬就很好吃，製作時間稍久需耐心等待"
