user_name,user_profile_url,rating,local_guide,comment_num,comment_text
 Anneliese Rose ,https://www.google.com/maps/contrib/114627037842259826834/reviews?hl=zh-TW,5,True,116,"傳統日本的木製建築🪵很清新淡雅的風格
我們坐在靠窗的四人座位桌，比起榻榻米，更好伸展腿部，而且跟別桌間隔很開，不擁擠、很舒適
唯一可惜的是蠻多蚊子，朋友被叮了一大包

🤵🏻🤵🏻‍♀️服務生的服務做得非常之好，會默默地來幫忙倒茶水、收空盤，杯子從來沒有空過。筷子不小心掉了，他也很迅速地主動來替換，非常優質！

今天點了青宴$1080
前菜🌟🌟🌟🌟🌟
精緻的擺盤每一口都有很細緻的風味，項次醃蘿蔔有梅子的甜味、玉子燒有很香的醬汁，整個很滿足

生魚片🌟🌟🌟🌟
因為不敢吃生魚片，主廚也都很貼心地換成了蒸白魚片，原以為會是薄薄一片魚，結果來的時候竟然有三大片，應該有半條魚了！很厲害👍

南瓜松露茶碗蒸🌟🌟🌟🌟
松露味超級香，每一口都很滿足

豬腱子肉🌟🌟🌟🌟🌟
豬肉燉地很軟嫩，骨肉很容易就可以分離，有牛肉的既視感，佐料也很驚豔

抹茶蛋糕🍵當月壽星有免費招待！
真的超級用心喔❤️🥺"
 Vanessa Kao ,https://www.google.com/maps/contrib/105292088337858195977/reviews?hl=zh-TW,5,True,262,"#同畫世界客製出生體重熊#新親恩禮物#新生兒紀念禮物🎁台北市大安區-青田七六

文化古蹟保存區，這附近在日據時代時期，非常多這種日式建築，可能是官員、學者或者商人等等，但隨之時代的變遷，已經很多都改建成大樓，青田七六算是比較早恢復而成，並開放給民眾消費使用，附近不管是靠近南門市場、師大路等地，也有一些類似的建築正在修復中，以後一定更加熱鬧。

進到建築內，明顯感受到日式生活及建築的特色，以往不管在發育上或人種，都比較偏矮，所以一般人都非常容易撞到頭，需要注意！

餐點上有分午餐、晚餐、下午茶，這次是享用下午茶的部分，套餐大約落在390左右的價格，也可以單點，甜點都非常精緻，有做一些苦味或鹹味的搭配，讓甜點不會太甜，非常不錯，飲料部分可以做更換，玄米茶茶香非常濃郁，可以解一些甜膩感～

青田七六也有開放很多種不同的課程，可以上官網餐會，有和菓子、和服體驗、茶道體驗、布敷巾、精油等等相關課程，都非常有趣～

#台北市#永康街#老屋#老屋新生#古蹟導覽#日式建築#青田街#青田七六#下午茶#萌萌園長#萌萌園長同遊趣#台北下午茶"
 Jason Wu ,https://www.google.com/maps/contrib/105475846313273990112/reviews?hl=zh-TW,5,True,275,"台北市大安區-青田七六

文化古蹟保存區，這附近在日據時代時期，非常多這種日式建築，可能是官員、學者或者商人等等，但隨之時代的變遷，已經很多都改建成大樓，青田七六算是比較早恢復而成，並開放給民眾消費使用，附近不管是靠近南門市場、師大路等地，也有一些類似的建築正在修復中，以後一定更加熱鬧。

進到建築內，明顯感受到日式生活及建築的特色，以往不管在發育上或人種，都比較偏矮，所以一般人都非常容易撞到頭，需要注意！

餐點上有分午餐、晚餐、下午茶，這次是享用下午茶的部分，套餐大約落在390左右的價格，也可以單點，甜點都非常精緻，有做一些苦味或鹹味的搭配，讓甜點不會太甜，非常不錯，飲料部分可以做更換，玄米茶茶香非常濃郁，可以解一些甜膩感～

青田七六也有開放很多種不同的課程，可以上官網餐會，有和菓子、和服體驗、茶道體驗、布敷巾、精油等等相關課程，都非常有趣～

#台北市#永康街#老屋#老屋新生#古蹟導覽#日式建築#青田街#青田七六#下午茶"
 無段道楓 ,https://www.google.com/maps/contrib/108089191503389213461/reviews?hl=zh-TW,4,True,715,"日式建築風格的日式簡餐店
非常適合拍照
似乎還有導覽及定期活動
強烈建議訂位
因為有分小包廂、脱鞋的榻榻米位、一般位、(可帶寵物)戶外座位
部分位置需注意蚊蟲問題

菜單照片上的價位已經無法參考
午茶大約100-300
正餐大約1000-1500

各餐點口味都不錯、我最在意的米飯也很不錯
生魚片可換成熟魚，而且口味一樣棒
但份量偏少、尤其主餐真的不多
湯也比較弱一點
整體來說算是很不錯的店家"
 林以璿 ,https://www.google.com/maps/contrib/107239339540483384749/reviews?hl=zh-TW,5,True,148,"蠻喜歡的店，環境以古蹟改造，精緻舒服，還有一家不賣書的小書店，也是十分可愛。
正餐部分，午餐的簡餐都很不錯，會先附上三道小菜，都相當清爽。主餐部分其實蠻大的，湯跟飯都可以續，還有一碗時蔬。主餐我覺得燉牛肉非常好吃。
我們本來還擔心會不夠吃，多點了一份水餃，還有一個小菜。不過後來幾乎都要吃不完。水餃是多種口味的，品項也很漂亮。
如果午餐吃完坐到兩點以後，還需要繼續再點一份下午茶，下午茶可以用單點方式，菜單中也有三個組合，會搭配一個飲料，一個蛋糕，跟兩個小點。
下午茶的糕點，我覺得沒有正餐那麼優秀，如果你不是個甜螞蟻，大可以點個飲料即可，下午茶的低消只有150元，蠻好達到的。"
 Lee Wei Chih ,https://www.google.com/maps/contrib/101618206892720967566/reviews?hl=zh-TW,5,True,90,"台北市的市定古蹟
古蹟充滿著歷史故事
原本以為這種歷史場所的餐飲會很大眾一般

但真實體驗後,卻發現這裡的餐食意外的精緻
晚上與家人在這裡享用和宴套餐慶祝母親節
每道料理都相當的精細

冷香八品前菜就相當吸睛,口感多元提味
今日的主菜龍蝦,沒有過多的調味
肉感扎實,相當鮮甜"
 cathy ,https://www.google.com/maps/contrib/111691034703116586321/reviews?hl=zh-TW,5,True,265,"在臺北市裡的日式古蹟建築
在市區裡頭增添一抹色彩
房子保存地蠻完善
走在木造房子裡還會有木頭聲
而且進去會大概介紹一下以前的使用空間
餐飲方面是走簡餐+單點
另外有提供無菜單料理只是要前三天預約
因為是臨時訂的所以只能選擇套餐
餐點部分中規中距
不會踩雷但也不驚艷
是一間適合帶長輩來的餐廳"
 ᴊɪᴀ ,https://www.google.com/maps/contrib/102386978629151190793/reviews?hl=zh-TW,5,True,141,"◾️古蹟活化案例中，覺得比較有意義的地點📍，入口右側牆面有「台灣各地的岩石標本牆｣，致敬馬廷英教授在地質學上的奉獻，每塊岩石的顏色、紋路及種類都不一樣，掛著獨一無二的牌子，說明自身來歷與故事
◾️和洋折衷建築，受明治維新思想影響，建築設計上融入西洋式元素
◾️例如：應接室(客廳)、食堂(餐廳)、書齋(書房)、凸窗...等等
◾️空間以公與私來分隔，公共區集中在入口處附近，主要的生活私區位於走道最深處
古人智慧不得不服，西側配置便所、台所(廚房)、風呂場(浴室)，皆是水區集中的場所，利用空間特性並阻隔西曬問題，南向大面玻璃採光，陽光照亮廣緣，讓建築物更加有朝氣
◾️下午茶品項精緻好拍，強烈建議點無糖飲料"
 yuling meng ,https://www.google.com/maps/contrib/117029696904733031976/reviews?hl=zh-TW,5,True,39,"公司在商務包廂舉辦尾牙，空間獨立寬敞，在傳統道地的榻榻米坐席上用餐，老屋環境通風良好、非常優靜舒適！
我們選用龍蝦套餐另加點牛小排，整套上菜服務很到位，屬於中式料理但以日式懷石風格的節奏出菜，感受得到下過功夫的烹調與食材，全場同事都給讚！"
 Mnbinini Chiang ,https://www.google.com/maps/contrib/108851317620664115344/reviews?hl=zh-TW,5,False,14,"和先生第一次見面的回憶之地
陸續還有再回訪
這次6大2小來為母親慶生
餐點都有一定水準且固定更新、創新
（非常喜歡今天點的松阪豬&生魚片&柿子甜品，壽星對焦糖乳酪蛋糕更是讚不絕口👍）
更重要的是貼心親切的服務♥

#非常感謝今天貼心為我準備衛生棉的小姐，還細心得2度為在院子等候時被蚊子叮的嫩嬰感到不好意思呢🥰"
