user_name,user_profile_url,rating,local_guide,comment_num,comment_text
 馮庭祥 ,https://www.google.com/maps/contrib/113155555359962015139/reviews?hl=zh-TW,4,True,418,"＜招牌老虎麻辣燙$220＞(拉麵/牛肉/小辣)4.2★
金華街上的韓記是曾經在和平東路上班時常常光顧的店，中午常常座無虛席，慢一點到就要等很久了。以前的價位應該便宜一點，現在稍微漲價，不過跟附近的知名牛肉麵相比，這個價錢覺得也還OK。麻辣燙可以選擇肉類跟主食，今天吃最經典的拉麵加牛肉，這裡的肉是五花肉片，肉片涮過之後保持軟嫩，舖滿整個湯碗份量頗多，裡面的配料還有鴨血三塊、好幾塊切成段的豆皮跟一些黃豆芽，再灑滿蒜苗，如果有不想吃的可以跟店家溝通。鴨血入味，豆皮也不錯，其實不太喜歡黃豆芽的黃豆味，不過每次還是默默吃完XD湯頭的香料香氣明顯，小辣只帶點花椒的微麻感，辣度也是微微的，如果點微辣大概就是不吃辣的人想嘗試一下的辣度。拉麵的咬勁很好有點彈牙。還可以點一份老油條配著湯吃，油條吸滿湯汁再送入口中，沒有麻辣鍋的負擔，但是有同樣的爽快。
時間：2021/12"
 Jocelyn Hung ,https://www.google.com/maps/contrib/115113426782114226190/reviews?hl=zh-TW,4,True,88,"招牌老虎麻辣燙拉麵小辣牛肉加蒜苗
肉片四五片豆皮三四塊兩三塊鴨血蒜苗加很多，算給的料不少，拉麵條口感比一般偏硬
一碗蠻大的，食量小可點一碗分食

紅油豬肉韭黃抄水餃
吃起來跟一般冷凍水餃差不多
沒什麼特色，有點貴，但韭黃味道有到位

蔥油餅，咬下去是屬於麵團比較紮實的口感
皮微脆細細品嚐吃得出麵皮和蔥花的鹹香
如果不喜歡吃太多麵團口感的人就不建議點

小菜牛腱，這是涼菜，算還行
吃不習慣就把它加進麻辣湯裡面😂

小菜豆皮，好吃有軟入味，推

綠豆湯微甜可以無限喝👍"
 Chihying Huang ,https://www.google.com/maps/contrib/108844452958567402409/reviews?hl=zh-TW,4,True,67,"入秋早晚溫差大麻辣燙是個不錯的晚餐選擇ㄎ(￣∇￣
-
🍜招牌老虎麵麻辣燙(牛肉拉麵)230$
主打可以喝的麻辣湯，加入五花肉片、鴨血、豆皮

鴨血至少有3塊，用料算實在。鴨血軟嫩入味，豆皮吸飽了湯汁然後蔥真的超多蔥怪可來

🥟紅油豬肉青江菜抄水餃115$
不是抄手是抄水餃
有被驚艷到的一道醬汁非常的獨特花生味很香同行友人對醬汁愛不釋手到直接拿起來喝

🍢杏鮑菇55$
就杏鮑菇
-
好吃程度🌕🌕🌕🌘🌑
氣氛環境🌕🌕🌕🌗🌑
再訪程度🌕🌕🌕🌗🌑
會為了抄水餃再訪但反而麵就還好"
 我是玉米妞iamcornyyy ,https://www.google.com/maps/contrib/107151857652633999451/reviews?hl=zh-TW,4,True,15,"2022/01到訪
🔺招牌老虎麻辣燙(牛/拉麵)＄220
有多層次中藥香氣！再配著蒜苗的辛香後就算麻但是喉嚨不會被辣到
牛肉片大概是五片左右
🔺豬肉韭黃水餃＄80
一顆8元水餃的皮是很Ｑ的但餡料普通吃得出來韭黃的顆粒感
🔺川式炸醬麵＄85
本身麵體是很Q的*醬汁也容易吸附在上面
炸醬是豆乾切一條一條的～絞肉比較少
🔺整體評價
環境：4顆🌟
美味評分：4顆🌟
再訪程度：4顆🌟
C/P值：🔥🔥🔥
麵類的餐點很好吃！"
 LYNN YU ,https://www.google.com/maps/contrib/106874027267005151269/reviews?hl=zh-TW,1,True,386,"缺點：
1.座位少
2.服務人員堅持先帶後面來的兩組2位的客人入座（其實只要請一位剛坐下的客人往左邊移一個位置，屁股都還沒坐熱的客人喔，不是無理的要求，就能讓我們三人坐四人坐）
搞得先到的人，都無法入坐，一直看後面來的人走進去，這感覺挺不好的！建議更改一下帶位原則
3.餐點CP值非常低（65元一張蔥油餅切四等份，吃不飽外，沒有什麼味道，且蔥也不多）
4.上餐速度慢（等了15-20才出餐）
優點：
1.店員服務親切給予肯定"
 大毛 ,https://www.google.com/maps/contrib/112950655411303098426/reviews?hl=zh-TW,4,True,268,"招牌好像是麻辣燙？但是夏天真的太熱點不下去😂

#川紹燃麵
麵量超級大份！不過兩個人分著吃差不多剛剛好，菜單上雖然有畫辣椒但是只吃小辣的我覺得根本不會辣，有需要的人可以另外搭配小菜區旁的辣椒醬來加

#蔥油餅
看了評論發現大家都有點蔥油餅，真的是好吃，配上小菜區旁的蘿蔔辣椒夾著吃，別有一番風味

整體來說是個不錯吃的小餐館，小菜點下來也都沒有雷，十分好吃，上菜也蠻快速的，就只是後來看評論才發現有綠豆湯喝到飽沒體驗到覺得可惜🥺"
 uglyway chen ,https://www.google.com/maps/contrib/113544497189795698061/reviews?hl=zh-TW,2,True,844,"主要是賣麻辣燙，鴨血挺多，口感普通，價格230，還是去吃牛肉麵比較划算
麻辣肥腸140,份量跟美味度完全不值得
蔥油餅65,桿麵的方式比較奇怪，餅皮沒有層次感。
用餐環境乾淨，間隔夠。但
整體偏貴，CP值低。"
 DANIEL Y. Lin ,https://www.google.com/maps/contrib/107920689776702789856/reviews?hl=zh-TW,5,True,467,蔥油餅必推，厚度香氣四溢。小菜滿不錯吃可以多試試看！招牌老虎麵很香，麻辣湯底可以不辣，可選搭配牛肉、豬肉或羊肉，裡面有滑嫩鴨血、豆皮、豆芽菜，拉麵粗麵條口味好吃。
 Ruby Chen ,https://www.google.com/maps/contrib/111299735760035142103/reviews?hl=zh-TW,4,True,284,"環境清潔尚可，用餐座位擁擠，服務尚可。
假日晚上用餐沒有等很久，但上菜速度慢，還出錯餐。
來過相當多次，每道小菜都有水準，麻辣燙類是招牌，cp值普通，蔥油餅也推薦，有免費溫熱綠豆湯可以用餐。"
 David Tsai ,https://www.google.com/maps/contrib/102623130376709334880/reviews?hl=zh-TW,4,True,189,"雖然是下雨天。人還是多。要等一下才有位。
招牌麻辣燙，料多，夠辣；可惜對我來說太鹹了.
還好有免費的綠豆湯可以緩和一些。
瑤柱雪菜麵的湯頭就比較甘甜。
蔥油餅的內是偏軟的麵團。也不是我喜歡的多層的。"
