user_name,user_profile_url,rating,local_guide,comment_num,comment_text
 Phoebe Cho ,https://www.google.com/maps/contrib/118099389723688709484/reviews?hl=zh-TW,3,True,752,"學生時期超常吃的早餐店（好像換老闆娘了
這次外帶厚切牛肉全麥堡，是用透明塑膠盒裝著
漢堡有加洋蔥喔QQ不敢吃的記得先備註一下
牛肉蠻厚實的，口感比較紮實，培根好吃不會太鹹，整體普通不會想再點來吃"
 JIEXIAN CHEN ,https://www.google.com/maps/contrib/104458061409445287333/reviews?hl=zh-TW,5,False,11,"吃了一半才拍太香了偷吃一半了🥹大推小熱狗煎的酥酥脆脆的超好吃又便宜才20元每次來都點小熱狗、雞塊、德腸、兩份荷包蛋共大約40克蛋白質早餐可以熱量多一點再來一杯無糖大冰紅👍老闆娘人也超好超熱情的
小撇步：德腸付的芥末醬多要一點加番茄醬一起吃超讚喔💪🏻💪🏻"
 annie tseng ,https://www.google.com/maps/contrib/101761425780060499060/reviews?hl=zh-TW,5,True,80,很乾淨、坐位很少但很舒適，主要是突然想品嚐法式吐司，在google地圖發現這家店！
 陳Chen shu yi ,https://www.google.com/maps/contrib/115491242227191935011/reviews?hl=zh-TW,5,False,12,經典不敗的雞塊，酥脆的玉米蛋餅是放假日用餐的小確幸
 侯明德 ,https://www.google.com/maps/contrib/102549061314391546190/reviews?hl=zh-TW,4,True,"1,084",莊敬路上的在地傳統早午餐，餐點相當好吃，又簡單便宜，老闆待人親切，餐點也很用心製作。是當地人的首先要選擇的店家。
 林家伃 ,https://www.google.com/maps/contrib/115347456933398703253/reviews?hl=zh-TW,5,False,4,"餐點有很多都是健康取向，而且老闆娘人超親切，去過一次之後我就幾乎每天來了😍

這邊推幾個我常點的：
💛蛋餅一生推！厚酥的餅皮超讚，重點一點都不油！
💛菲力嫩雞蛋吐司：55塊就可以吃到一整塊原塊雞肉，裡面還有包生菜，在信義區真的是cp值超高的早餐店
💛果醬乳酪餅：應該是用磚壓的方式處理，個人偏好奶酥，要另外手寫跟老闆娘點"
 chang liu ,https://www.google.com/maps/contrib/108743397576315909167/reviews?hl=zh-TW,5,False,5,超級好吃的早午餐店，厚切牛肉堡不輸漢堡店，因為有段距離，所以每次都用熊貓叫餐。但但但，最近點不到了，還以為沒有了，用GoogleMaps找到了，還在營業，還好還好，祝老闆生意興隆，一直營業，雖然點不到，偶爾能去吃一餐也好😋
 Often ,https://www.google.com/maps/contrib/114925020971860659272/reviews?hl=zh-TW,4,True,698,"蔬菜起司蛋餅還不錯吃，酥但不到脆，比較令我驚艷的是店家還有加小黃瓜在裡面，算是小小驚喜😏
內用空間還蠻大的，菜單套餐選擇多"
 Nami Lin ,https://www.google.com/maps/contrib/102769192268220302338/reviews?hl=zh-TW,2,True,868,"肉醬義大利麵和玉米濃湯很好吃！
其他吃完一陣空虛⋯漢堡排真的普通又貴！
這些東西$310!!!(Foodpanda$25)"
 Kiwi ,https://www.google.com/maps/contrib/109092527872297573491/reviews?hl=zh-TW,4,True,98,餐點選擇多樣，無論是單點的漢堡🍔、酥脆蛋餅、吐司厚片，還有兒童套餐、早午餐的選項，飲料我們點焦糖咖啡、薏仁漿跟豆漿，咖啡搭配焦糖風味不錯、薏仁漿喝起來不會太甜（店內還有紅豆薏仁漿），豆漿倒是覺得可以再減糖一些。
