user_name,user_profile_url,rating,local_guide,comment_num,comment_text
 張瀞今Heather Chang ,https://www.google.com/maps/contrib/104235070953954075661/reviews?hl=zh-TW,4,True,202,"第一次訂購是透過Foodpanda，以外送來說收到的時候蠻驚喜，因為份量很多包裝也很精美，重點是送到家的時候還是非常的酥脆！

第二次是直接到店裡面外帶，發現他們店內價比較便宜，整體風格完全不像是鹹酥雞店，非常喜歡這樣迷幻叢林感的裝潢，應該是網美惠喜歡的拍照景點。

個人覺得每一個餐點的份量都不算是太多，如果想要吃俗又大碗的鹹酥雞，這裡可能會失望。我個人是非常喜歡他的特殊配料，有檸檬大蒜酸菜跟洋蔥，而且炸物清爽不油膩，吃的出來不是用過夜油炸的，乾淨舒適👍🏻"
 Lee Julia ,https://www.google.com/maps/contrib/103054459328497988700/reviews?hl=zh-TW,5,False,23,鹽酥雞店也可以讓你內用，享受像居酒屋般的感覺！內用可以吃出酥炸的口感，又可以三五好友聊天慢慢品嚐，價位不會太高，餐盤也有講究，不喝酒又想假裝一下的可以點他們的氣泡茶，很特別，配上杯子超像偽啤酒😆😆
 tinya _ ,https://www.google.com/maps/contrib/112101854327141770339/reviews?hl=zh-TW,4,True,76,環境很讚叉子盤子杯子等等都看了很舒服很好看扣一分就是鹹酥雞份量有點太少70$但是全部攪在一起裡面只有幾個🥲感覺很不划算但其他都還不錯口感都超級脆不過個人是覺得有點過脆哈哈哈吃太慢會有一點點難咬所以可能要吃快一點😮‍💨不過是會回訪的🫶🏻
 Chelsea Chiu ,https://www.google.com/maps/contrib/109756965738253516733/reviews?hl=zh-TW,5,True,26,"短時間已經三訪了！
原火乍初的特點就是油很乾淨、不會很鹹、火候時間掌握很好，還有免費的解膩配菜
檸檬、洋蔥、蒜片、酸菜，醃蘿蔔+$10
配著炸物一起吃，很清爽！
炸日本生食級干貝、酥炸軟殼蟹、蟹味棒還有炸全雞都超推薦！好吃！
p.s炸全雞需提前一天預訂喔"
 彤彤 ,https://www.google.com/maps/contrib/103215781923748296359/reviews?hl=zh-TW,3,True,378,等餐的時間有點久，雞蛋豆腐好吃，台南大扁也滿特別的香香酥酥的，皮蛋有點乾，胡椒粉滿香的，價格都滿合理，店內氣氛很好不過內用需要點到300元，可能要餓到時候來吃比較可以內用，外帶的叉子滿可愛的盒子也都有創新的。
 蘇信忠 ,https://www.google.com/maps/contrib/115674444830522123301/reviews?hl=zh-TW,5,True,322,"看了超高的評論來的，果然是不一樣，隱身在林森北路巷弄中，裝潢非常用心的一家炸物店，食材選擇相當多，還可以選配料口味，有蒜頭、洋蔥、檸檬...等等，感覺都很搭，今天只選了保守的蒜頭口味，下次應該是會選擇不同配料來試試。
生意相當的好，在等待的同時就好幾組客人呢！還沒有吃到，但先直接的給五顆星。"
 life enjoin ,https://www.google.com/maps/contrib/111700985953565745729/reviews?hl=zh-TW,5,False,16,"是在fooodpanda上訂購，實在相見恨晚，好好吃
不油、不扎口，保有酥脆外皮，口感紮實，用料實在👍
除了單點的魷魚圈、甜不辣、鹽酥雞外，還附贈了解膩的鮮甜小菜（滑溜的口感）、生洋蔥（吃兩口配一個，一次吃兩個以上會有點嗆鼻）
不要蔥蒜辣椒也可以備註☺️"
 王莉筑 ,https://www.google.com/maps/contrib/101626667675642196946/reviews?hl=zh-TW,4,True,45,"是用ubereats點的，一共400元
價格偏貴的所以扣一星
但是超好吃！
因為喜歡大扁所以點了兩份，有別於其他店都是切塊，這家是切細條狀，比較細的超酥脆像餅乾，很喜歡
其他的也好吃

口味是梅粉，一單只能選一個口味有點可惜，因為菜覺得胡椒比較適合，但梅粉也是好吃啦

盒子包裝很讚，叉子不是一般的竹籤而且有獨立包裝也很讚"
 Ida Su ,https://www.google.com/maps/contrib/112655142789666427556/reviews?hl=zh-TW,5,False,5,"沒想到有一天會用清爽兩個字來形容一貫給人油膩感的鹹酥雞。到了一定年紀吃太油膩的食物，總會有些許反胃感，但難免嘴饞，這家卻出乎意料的不會～

魷魚軟Q不硬，甜不辣就有點小硬了，台式酸蘿蔔必點！會附贈酸菜、洋蔥及蒜頭很加分！

整體不錯，願意回購！"
 Jamie Lee ,https://www.google.com/maps/contrib/103555031933527970310/reviews?hl=zh-TW,2,False,54,"一個月前吃過外送，當時感受很好，雖然等了快要一小時，但收到餐點時還是微溫酥脆，留下了很好的印象。
一個月後，直接到店內光顧，想要一邊享用餐點一邊好好的跟朋友聊天，先不說最裡面有一群客人聲音吵到我跟朋友無法對談，然後我覺得價位偏高而且還要加收服務費10%，整個吃下來花費了快400元，梅粉跟胡椒鹽也過多導致食物本身變得死鹹死甜，再來份量偏少，秀珍菇是很容易碎的食物我了解，但那些也一起裹了粉放進餐盤的話，客人應該也不會吃吧，畢竟店內提供的餐具也很難插取食物，點了六樣，總共花費$378
，這樣的價格在一般鹽酥雞店都可以吃兩次了吧。"
