user_name,user_profile_url,rating,local_guide,comment_num,comment_text
 Pitt Huang ,https://www.google.com/maps/contrib/117793029749026110130/reviews?hl=zh-TW,4,True,57,"店內有低消680，同連鎖麻辣鍋店一樣有固定的湯底費用，4人或6人來吃比較划算。麻辣鍋是偏辣，比起四川當地串串店少了麻味。整體口味很重了，不一定要加購干碟。油碟區少了麻油有點可惜。
串串一串10元，推薦肥腸/蓮藕片/麻辣魚。老闆娘跟部分店員是中國人，態度非常親切，店內有點擁擠，冷氣強度夠。不錯的用餐體驗。"
 Tiffany Chang ,https://www.google.com/maps/contrib/117669139131154345435/reviews?hl=zh-TW,5,False,25,之前就吃過靠近京站那間店～這次偶然路過發現這裡也有開！評論串串只要9塊～還有加賴送花枝漿～推推！！兩間店的味道一樣～都很好吃！
 彤彤 ,https://www.google.com/maps/contrib/103215781923748296359/reviews?hl=zh-TW,4,True,378,"湯頭可選擇不加牛油的麻辣鍋跟豚骨湯底的鴛鴦鍋，湯的口味夠麻夠香偏鹹但是很開胃，裡面的鴨血像果凍一樣，口感讓人驚艷，串串的種類沒有到很多，一串也都精緻秀氣的、竹籤有點細拿的時候要小心,但是辣詐排骨跟魚肉的醃料也都滿入味，很開胃的一餐，醬料和加湯採半自助式的，戶外座位比較通風舒適，室內偏悶，服務人員都滿有禮貌的。"
 林佳燕 ,https://www.google.com/maps/contrib/102386942294574559642/reviews?hl=zh-TW,5,False,12,"這次點重油鴛鴦鍋味道香又好吃
串串麻辣魚必拿
整體來講是好吃的"
 陳霖成 ,https://www.google.com/maps/contrib/106327309089470312101/reviews?hl=zh-TW,4,True,597,麻辣湯頭很棒，白湯還好！串串ok，店內冷氣不冷也不涼，要改進不然太熱了！熱到吃不下去！肉片品質不錯，量有點少！自己來體驗，整體不錯
 Wendy W (Wooglelocalguide) ,https://www.google.com/maps/contrib/101817097303403201691/reviews?hl=zh-TW,5,True,221,"超好吃一定要訂位，這次只點了重油麻辣鍋大辣，搭配串串吃非常爽
建議一定要點油條，搭配起來真的無敵"
 Ryan Ho ,https://www.google.com/maps/contrib/113691737216617906403/reviews?hl=zh-TW,5,False,6,這味道真不錯。如果有吃辣的朋友除了本店外。這裡也是不錯的選擇。味道正宗外。滿滿的成都串串味。喜愛吃火鍋的朋友應該要來嚐一下。人均500-800
 Alex Alekas Tsai ,https://www.google.com/maps/contrib/107643408376233541232/reviews?hl=zh-TW,5,True,30,"生平第一次：四川成都串串🍢，竟是在台北日式居酒屋條通一條街裡😋😋
@呈哥の深夜食堂
#美味四川味#台北條通#不期而遇の美味"
 Q Q ,https://www.google.com/maps/contrib/106484711426573147587/reviews?hl=zh-TW,5,False,7,第一次造訪，安排在門口，享受自然風，吃起來很舒服，串串選擇約50種，但不知不覺2個人就拿了58支，下次聚餐要約朋友一起來
 翁偉軒 ,https://www.google.com/maps/contrib/118394040918002750826/reviews?hl=zh-TW,5,False,1,真的很好吃，麻辣很好吃。喜歡吃辣的可以嘗試～推推
 黃威順 ,https://www.google.com/maps/contrib/110672728548265282567/reviews?hl=zh-TW,5,False,3,"超好吃！
食材新鮮
很值得再來"
 Riceball Cheng ,https://www.google.com/maps/contrib/115977966662917337758/reviews?hl=zh-TW,5,False,9,又麻又辣的串串～湯底也好喝，做完汗蒸幕來宵夜好適合😋
 Irene Chen ,https://www.google.com/maps/contrib/103201691557893674661/reviews?hl=zh-TW,5,True,48,微辣就很夠味的鴛鴦鍋，適合下班三五好友慢慢吃慢慢喝酒的地方，服務態度不錯，吃下來價位跟一般麻辣鍋差不多
 Jessica Liu ,https://www.google.com/maps/contrib/112720489168123930379/reviews?hl=zh-TW,5,False,8,"辣味正點….有吃辣可以點中辣或大辣
串串10元…..便宜好吃
默默的吃了不少🤭🤭🤭"
 Chen Leo ,https://www.google.com/maps/contrib/107840905681678551918/reviews?hl=zh-TW,3,True,28,"鍋底兩人280-380元
其他每串10元肉類不多
單點的牛肉片刀工精湛
店裡的冷氣宛如裝飾
邊吃邊流汗"
 Kian Lin ,https://www.google.com/maps/contrib/104611641584327627634/reviews?hl=zh-TW,5,False,13,口味跟總店一樣，吃起來真的很過癮，小弟我撸了168串，舒服😌
 阿青 ,https://www.google.com/maps/contrib/117808886936116131637/reviews?hl=zh-TW,5,True,26,麻辣湯底真的很夠味很好吃，大推湯底的鴨血真的很棒，所有的串串都好吃，如果辣度不夠都可以再加辣，建議是從小辣再開始往上加，因為會越煮越辣😛😛
 a cowyau ,https://www.google.com/maps/contrib/111013434179023653934/reviews?hl=zh-TW,3,False,247,"先說結論：CP值中等偏低
服務：很熱情，送餐也滿快。
美味度：麻辣湯底還不錯，肉片品質ok，單點價位中高。
串煮：每串都是10元，但是每串的份量太少
舒適度：一般
其他：沒開發票
活動：給五星評價每串可以減一元"
 jimeimei ,https://www.google.com/maps/contrib/103106234512205423185/reviews?hl=zh-TW,5,False,11,"很好吃～～
會再次來訪😂😂"
 Sunny Lee ,https://www.google.com/maps/contrib/116874530040055851828/reviews?hl=zh-TW,5,False,9,"第一次吃串串，好好吃喔！
原本我先去了承德路的本店，因為沒有位置，所以打電話到林森北路的條通店問一下，一開始老闆也說沒有，正當放棄要去騎車吃別的東西時，條通店的打來說有人要結帳了，問要不要幫我們保留位置，真的是太貼心了！"
 Chang Mila ,https://www.google.com/maps/contrib/109379486482135201302/reviews?hl=zh-TW,5,False,5,之前吃過承德路的，今天嘗試條通店一樣美味！不夠辣都可以再調整～
 sheng ,https://www.google.com/maps/contrib/116278600969580218337/reviews?hl=zh-TW,5,True,74,"威武不能屈、富貴不能淫！
絕對不是因為五星折價才給五星，是以這屆串串選手來說，他們真的是CP值很高，湯頭有分成都重油跟台式麻辣，讓小夥伴都有不錯的選擇。
ps重口味白湯好喝。"
 Alina Chu ,https://www.google.com/maps/contrib/115924632424545083772/reviews?hl=zh-TW,5,False,30,"寵物友善，交通方便，南京東路上有停車場，串串很好玩，不知不覺會越拿越多😅
紅白雙湯都很香！沙朗牛肉很軟嫩！
加line送花枝漿，評論每支為$9🤫"
 陳慶達 ,https://www.google.com/maps/contrib/105849585477732486448/reviews?hl=zh-TW,5,False,15,出差時一直很想嚕串，沒想到是回台後圓夢😂
 routing ,https://www.google.com/maps/contrib/106196692541443711157/reviews?hl=zh-TW,5,False,9,"第一次吃串串香，
之前承德店因為客滿所以沒有吃到，
這次點了重油豚骨鴛鴦鍋，
而且一串一串很好玩，真的很好吃喔😋😋"
 張麗麗 ,https://www.google.com/maps/contrib/102700273060537645149/reviews?hl=zh-TW,5,False,2,新鮮好吃，道地的家鄉味，櫃檯服務好，
 Yu Jia Wei ,https://www.google.com/maps/contrib/103313598490061646410/reviews?hl=zh-TW,5,True,76,"本身是辣吉點承德的愛好者
看到林森北開店就來吃看看

٩(ˊᗜˋ)و覺得林森北店現在口味比較好吃欸"
 蔡秉憲 ,https://www.google.com/maps/contrib/101472275900708321116/reviews?hl=zh-TW,5,False,10,"第一次來二店很好吃唷
跟一店一樣口味好吃"
 hung cool ,https://www.google.com/maps/contrib/108004180918768894101/reviews?hl=zh-TW,5,False,2,東西好吃便宜可是遇到熱太熱了不知道是否可以冷氣在加強點
 Angel ,https://www.google.com/maps/contrib/103076415655792308869/reviews?hl=zh-TW,5,True,15,環境舒適串串好吃鴨血必點入味滑嫩重油豚骨湯底很推薦
 向青 ,https://www.google.com/maps/contrib/116117554024153721398/reviews?hl=zh-TW,5,False,3,很正宗的串串多種辣度選擇兩個字超讚👍
 歐霈霈 ,https://www.google.com/maps/contrib/101451498585836992572/reviews?hl=zh-TW,5,False,11,"道地成都麻辣味😋很香很好吃👍🏻
毛肚、鴨血豆腐、寬粉、馬鈴薯必點😍"
 Eva Lin ,https://www.google.com/maps/contrib/114886476239003004046/reviews?hl=zh-TW,5,True,20,愛吃辣的很推～辣的很爽～他的地瓜粉條超好吃😋干碟很特別也好吃～
 野良猫君 ,https://www.google.com/maps/contrib/101608681425989313877/reviews?hl=zh-TW,5,False,6,"⚠️注意
條通店冷氣已修好直接換新的
很涼很爽

鍋底很正宗很香
有想起在大陸吃的味道
不過希望重油豚骨能有純一整鍋的選項
不清楚是不是只能做鴛鴦鍋
大部分還是刷麻辣那邊的
不辣的那邊都沒什麼動。

加湯記得要跟店員說要加麻加辣
湯底才不會稀釋掉且不需要加錢
這點非常棒

推薦的部分

1、干碟
食材刷完沾著吃，非常好吃，大推

2、腦花
這是豬腦，但只建議在麻辣鍋煮熟食用，不然腥味會很重

3、白蝦
一盤約11-13隻，非常新鮮不黏殼，蝦肉不鬆散很有彈性

4、毛肚
口感很不錯，吸著湯汁入口非常舒服

5、鴨血
蠻入味的，點完會直接幫你加在鍋底裡面，口感Q彈紮實，不會一咬就散掉或是過熟

6、地瓜粉條
煮熟後像寬粉條，吸滿麻辣湯汁非常爽

7、油條
一定要點一定要點一定要點

不推薦的部分
1、無骨牛小排
一份300只有五六片，CP質不高，味道略為普通
這價格拿去點兩份160的肉品可能會比較好
2、金針菇
價格問題，一份約3-4小把，個人覺得小貴
3、王老吉
王老吉非常好喝，味道像蜂蜜洋甘菊茶，不推薦的原因是價格，一罐60真的很貴，我們這次喝上頭沒注意價格喝掉660$，嚐鮮ok但不建議多喝，可爾必思一罐30還比較便宜，但冰箱可爾必思數量沒有放很多，拿完補貨也不快

整體來說用餐體驗非常棒
店員都很親切也很關心用餐的狀況
晚上訂位只能訂1700、1900、2050這三個時段要稍微注意
位置沒有到非常多，建議提前至少一週打去訂位

條通店是分店
但口味跟本店沒什麼差別
菜品選項多了炸物
但這次去沒有開放點選有點可惜
希望下次去能吃到"
 Mark Chen ,https://www.google.com/maps/contrib/109443472225137386478/reviews?hl=zh-TW,5,True,83,有做活動Google評論5顆星每串9元！加Line送手工花枝漿！蠻有趣的用餐方式！實際食材一般，需要注意煮的時間，一不注意會縮的很小很小。比較偏於用餐經驗的體驗。食材的部分待加強。
 Eason Yu ,https://www.google.com/maps/contrib/117004822896433229090/reviews?hl=zh-TW,5,False,7,好吃～湯底好喝～價錢實在👍
 yen rou ,https://www.google.com/maps/contrib/103696695490229522993/reviews?hl=zh-TW,5,False,7,好吃好吃！一串9塊cp值超高！
 Mayu Wang ,https://www.google.com/maps/contrib/111815550577305494683/reviews?hl=zh-TW,4,False,46,"辣鍋口味很不錯，但是覺得食材偏少選擇不多
鴨血非常普通不好吃"
 Devox Arts & Image ,https://www.google.com/maps/contrib/101647072663522092186/reviews?hl=zh-TW,5,True,39,"湯底好吃，有在大陸吃串串時的感覺
滿推麻辣魚跟天梯的👍"
 林憲宏 ,https://www.google.com/maps/contrib/111105781635369133196/reviews?hl=zh-TW,5,False,8,牛肉丸好吃，辣度很足🤪下次會在回訪，謝謝闆娘細心介紹
 王黃 ,https://www.google.com/maps/contrib/115045495472802703505/reviews?hl=zh-TW,3,True,63,"麻辣湯底不錯吃，點了微辣覺得辣度剛好，不夠辣可再加辣，如果冬天來吃應該不錯。
一串10元，單看價格不高，但份量很迷你，排骨酥幾乎都骨頭，所以整體上CP值偏低。
吃下來一個人約五百多元，不一定會再訪。
有給五星評論享一串9元的活動。"
 HSIAO NI CHANG ,https://www.google.com/maps/contrib/110838751615835480643/reviews?hl=zh-TW,5,False,26,湯頭好，一串一串很方便，食材新鮮，喜歡四川辣的人可以來試試
 李拍拍 ,https://www.google.com/maps/contrib/107244996313669407841/reviews?hl=zh-TW,5,False,9,"天冷來吃真的舒服
辣辣的麻辣串串配上暖身的白湯
絕配耶
加Line還送花枝漿有夠划算"
 104023004 104a- ,https://www.google.com/maps/contrib/108912619603423040301/reviews?hl=zh-TW,5,False,10,麻辣鍋含牛油非常香，串串一串10元，目前有做活動，十分推薦
 林玉珊 ,https://www.google.com/maps/contrib/113186336282062508655/reviews?hl=zh-TW,5,False,2,慶祝好姐妹生日，超好吃的串串串香，大推
 Weining Kao ,https://www.google.com/maps/contrib/117505019784900351598/reviews?hl=zh-TW,5,False,3,正宗好吃的辣吉點串串終於開分店了，超好吃～
 Wilson Wang ,https://www.google.com/maps/contrib/101906491281285765863/reviews?hl=zh-TW,5,True,34,白湯好喝、麻辣湯夠麻辣，難得在台灣吃到道地的串串兒
 Evan Huang ,https://www.google.com/maps/contrib/104950896204011411915/reviews?hl=zh-TW,5,False,12,好吃，麻辣鍋底味道很道地，人員服務誠摯，會再來
 Matt Liu ,https://www.google.com/maps/contrib/108912490223036274172/reviews?hl=zh-TW,5,False,11,第一次吃串串香也太美味了，一定會再回來、還有地瓜粉條必點、熱愛肉圓皮的人一定要試試看。
 巫暮里（Lucy Wu） ,https://www.google.com/maps/contrib/110778409784478433498/reviews?hl=zh-TW,5,False,5,超級好吃😋再次回訪～宵夜好去處👍🏻
