user_name,user_profile_url,rating,local_guide,comment_num,comment_text
 Richeal R ,https://www.google.com/maps/contrib/116968550357123755345/reviews?hl=zh-TW,3,True,767,"gomaji銅盤烤肉雙人套餐，
可使用店內自助小菜，整套份量兩個人吃剛剛好。
需要提前訂位告知使用gomaji券，且限時一小時(gomaji無註明限時)。
烤肉調味不錯。
人參雞湯好喝，雞肉很嫩。
海鮮煎餅.....可以再酥脆一些，料覺得有點少吃起來都是麵粉。"
 王怡蒨 ,https://www.google.com/maps/contrib/116802887401460334316/reviews?hl=zh-TW,5,True,56,"外送日期：2022.7.30
透過Uber使用買一送一，訂購豬肉拌飯跟豬肉經典便當，除了免運還有50元的優惠券可使用，攤下來一個便當只要75元，還有一碗蘿蔔湯，CP值很高！
而且店家即便是買一送一，也有按照訂單備註，一個幫我做辣，一個做不辣，拌飯辣醬另外包，小孩也能一同共享餐點，真的很貼心！"
 譚宇舒 ,https://www.google.com/maps/contrib/103111221904235265011/reviews?hl=zh-TW,5,False,12,"在gomaji特價時購買餐劵，雙人套餐399元而已，超級便宜~！！

套餐選了人蔘雞湯、牛肉銅盤烤肉與辣炒年糕，三道料理味道都很棒，尤其是人蔘雞湯，雞腿軟嫩，湯也很合胃口，平常不太喜歡喝湯，很難得的喝了好幾碗~🥰

內用還有6種小菜（豆芽、豆干、泡菜、冬粉、涼拌蔬菜）和5種冰淇淋可以自由拿取，也都非常好吃，十分推薦~~"
 Alana Chen ,https://www.google.com/maps/contrib/106371906740885972515/reviews?hl=zh-TW,4,True,115,"餐點不錯，但是沒有先訂位會被碎念一下。

感覺是以外送平台為主軸的一間店，不過平台生意很好。外場的大姐人很親切可是被電的很慘有點心疼她，人參雞湯沒有人蔘覺得有點失望，但湯頭不錯啦！

有小菜白飯無限，不過會再三強調有剩食會罰款$100，料很足但是韓國筷子我真的用不習慣😂😂"
 Meilan Chen ,https://www.google.com/maps/contrib/106853602047377124536/reviews?hl=zh-TW,5,False,2,"昨晚原本想請一位朋友吃烤肉，結果被爽約了！
我一個小女子真的吃不完，最後只好幾乎打包了，感謝老闆娘的體諒和用心分類打包！
今天小微波加熱，烤肉加泡菜我終於完食了，但還有一個辣炒年糕，明天再加熱吃⋯"
 阿杰 ,https://www.google.com/maps/contrib/115176265868214720651/reviews?hl=zh-TW,4,False,56,老闆很熱情。店內裝潢很有80年代風格。烤肉就是一般台灣的韓式銅板烤肉。說不上好吃不好吃。海鮮煎餅也普通但是泡菜鍋很有水準。有韓國南部豆腐鍋的味道。小菜只有4.5種看起來很台式。但也好吃。而且可以續。建議一定要點泡菜鍋!!疫情期間店家生意不好。路過支持一下吧
 Bryant Juan ,https://www.google.com/maps/contrib/117614100844282197361/reviews?hl=zh-TW,5,False,10,"兩個人吃那麼多，真開心！壽星快樂唷
必點烤肉、cp值好高喔。一定要再來吃"
 劉冠廷 ,https://www.google.com/maps/contrib/103044762283604332174/reviews?hl=zh-TW,1,True,14,"1.餐廳環境
有點差，現場一進去感覺像走入倉庫，以為還沒營業開尋問了一下，現場也無做完善抽油煙機（排風不良，油煙瀰漫整間餐廳），吃到一半覺得眼睛非常不舒服。

2.食物品質
個人覺得海鮮煎餅還不錯，但只能堅持30分鐘，過了黃金時間就無法食用，其他食物都是普普。

3.服務品質
老闆娘口氣很差，臉很臭（不適任服務員，建議待在後勤）

結論：這是間不會再去第二次的店"
 Amber ,https://www.google.com/maps/contrib/110438844195446691332/reviews?hl=zh-TW,5,True,131,"Gomaji邀請碼:3TKQS輸入邀請碼賺120點喔！！

覺得CP值很高也可以吃很飽欸
以這樣的價格真的很豐富了

兩個人吃雙人套餐gomaji才499！！"
 Cody Liu ,https://www.google.com/maps/contrib/107182020686443538634/reviews?hl=zh-TW,4,True,195,東西還蠻好吃的，白飯小菜跟冰淇淋吃到飽，整體來說不差
 Beth ,https://www.google.com/maps/contrib/108554966876612686031/reviews?hl=zh-TW,5,True,112,"兩人599套餐但份量很大
店家很親切讓我們打包海鮮煎餅
小菜無限吃到飽但不到浪費唷，"
 Nathan ,https://www.google.com/maps/contrib/102271430954289594098/reviews?hl=zh-TW,4,True,113,"整體味道跟以前有差異，
不知是否有換老闆

海鮮煎餅上桌已是照片這個形狀

以前雞腿鍋會附的鹽碟也沒有了

整體很微妙。。"
 林心心 ,https://www.google.com/maps/contrib/100464465965894163079/reviews?hl=zh-TW,5,False,14,中山區巷弄美食，在這裡不出國也能用平價吃到超道地的韓國美食，非常適合三五好友一起聚餐，老闆娘很親切、服務很用心，推推👍🏻
 啟華陳 ,https://www.google.com/maps/contrib/108142020868583136153/reviews?hl=zh-TW,2,True,214,.....不是很好吃，有的小菜醋加太多，酸的不得了，海鮮煎餅很難吃，辣炒年糕普普，人篸雞肉柴湯很很很一般，第一次來用餐，應該也是最後一次來用餐
 Wentyng ,https://www.google.com/maps/contrib/115834549296484170149/reviews?hl=zh-TW,5,True,"1,077","套餐的CP值滿高，
人蔘雞湯和烤肉味道不錯，
海鮮煎餅好像沒熟吃起來黏黏的"
 李鍾成 ,https://www.google.com/maps/contrib/104606417709682090176/reviews?hl=zh-TW,4,True,108,中午的商業午餐價格約150至170元，可點主餐加免費小菜隨你吃，真的很超值！
 李恒源 ,https://www.google.com/maps/contrib/113926871429417519769/reviews?hl=zh-TW,3,True,226,"餐點很好吃
服務人員也很熱心
推薦石鍋拌飯"
 NV Licker ,https://www.google.com/maps/contrib/108243803362250377268/reviews?hl=zh-TW,5,True,39,來幫店家平反一下。第一次吃，在熊貓叫的，本來有看到評論說肉很少、根本肉片，但因為想喝湯而且沒有特別愛吃肉所以還是點了，結果送來肉根本不少超大塊呀，真的是有厚度的豬小排！這樣都能被說成是肉片，只能說做生意真的不容易，給予五星鼓勵，幫老闆娘加油。湯也很好喝，配餐的小菜如果可以自選就更好了～
 Pin. ,https://www.google.com/maps/contrib/112609993177068629852/reviews?hl=zh-TW,5,True,859,"光臨幾次的好吃口袋名單😄
海鮮煎餅、烤肉、人蔘雞湯好吃。
還有很多好吃小菜耶🤤
最愛芋仔跟紅豆冰淇淋"
 威瑪 ,https://www.google.com/maps/contrib/100177601345654987541/reviews?hl=zh-TW,3,True,88,"網上買了雙人套餐餐卷，點了烤牛肉鍋、一碗雞湯和海鮮煎餅。

如果食量大不太在意口味，那無限小菜和厚厚的煎餅可以滿足你。可一頓吃下來除了雞湯不錯外就沒有其他亮點，煎餅第一次來中心部分沒熟還是粉漿，粉多到我寧願煎餅只有一半大小就好。

一人200元的價位其實超便宜也不用苛求味道多好，但用餐過程中一直有外送員在等待，餐廳人手明顯不足，甚至有外送員勸店家先不要接單。

覺得韓之棧可能要想想經營的重心該放在內用還是外送，不過話說回來能在這開這麼久一定有其經營之道吧？

總之如果你路過林森北想吃韓式料理，口袋超過300元的話，就不必進來了。"
 WILLIAM HSIEH ,https://www.google.com/maps/contrib/116579777423942129631/reviews?hl=zh-TW,5,True,82,"料理實在美味的一家韓式料理餐廳
大推海鮮煎餅，再別間吃一直以為海鮮煎餅只是有海鮮味，這間裡面有蝦仁魷魚，搭配獨門醬汁超級美味"
 一匙 ,https://www.google.com/maps/contrib/111292732873463868373/reviews?hl=zh-TW,5,True,15,"小菜有8樣都是自助吃到飽，而且都好好吃；我們兩個女生點兩人套餐，選了銅盤烤肉、人參雞湯、海鮮煎餅只要$599加一成服務費，後來吃不完還打包。

老闆娘服務態度很好，推薦的也很真心；因為鍋物部分無法決定要選泡菜鍋還是人參雞所以請老闆娘推薦，老闆娘馬上說選人參雞，因為泡菜小菜就有，非常貼切符合消費者的心態！"
 vivian Lin ,https://www.google.com/maps/contrib/107185993997608466362/reviews?hl=zh-TW,1,False,11,"不知道是踩雷還怎樣
外送海陸便當鯖魚很腥⋯（外送時間沒有很久大概10分鐘左右而已供大家參考～）完全不能吃整塊丟掉
雪濃湯調味很淡（已經把胡椒鹽都加下去了）250塊只有幾塊牛肉小菜也都不太好吃
第一次就踩雷不會再嘗試"
 HouseB Tseng ,https://www.google.com/maps/contrib/104595264408730996793/reviews?hl=zh-TW,1,False,3,"非常糟糕的用餐體驗，週五晚餐時段五點半左右，被餐廳女員工
騙說:
用餐時間限一小時。

我們傻傻信了！
只能快快草草，吃得不知滋味!

當時，滿餐廳都是空位喔！

***完全失去饗食樂趣！***

結果發現，他們餐廳告示明白寫著:
假日時段，用餐時間限一個半小時。

那位頭髮焦黃的歐豬罵，您是生怕餐廳生意不夠好，陷害老闆早早關門，是嗎？!!!"
 出雲上國 ,https://www.google.com/maps/contrib/101280485266785743414/reviews?hl=zh-TW,1,False,6,東西好吃，唯獨讓我不爽的是結帳居然多收一成清潔費？晚上用餐的規定在點餐時和菜單上都沒講，整個心情變很差
