user_name,user_profile_url,rating,local_guide,comment_num,comment_text
 蛋姐EGG ,https://www.google.com/maps/contrib/117626244043104168851/reviews?hl=zh-TW,5,True,351,"起司蛋餅超好吃😋很經典！
蔥油餅是假日限定
外面吃不到的口味
吃的出是手工自製
有素飯糰可以選擇
還可以選爆漿起司蛋飯糰喔！
整體店內用餐環境乾淨舒服
很有朝氣熱鬧的氛圍❤️"
 dar mini ,https://www.google.com/maps/contrib/111615357631865362723/reviews?hl=zh-TW,3,False,2,小時候就吃過的老店，但是沒有十幾年前的好吃了。蛋餅皮差太多，以前真的是很多層、酥脆的口感，是有層次的厚，就算外帶回家也維持的很好。不過現在的餅皮快跟其他一般蛋餅差不多了，越來越薄，外帶回家才15分鐘的時間，完全吃不到酥脆多層次，變得跟一般蛋餅快沒兩樣。
 Theresa Lee ,https://www.google.com/maps/contrib/117158548668385334781/reviews?hl=zh-TW,4,True,208,"111/3月中
菜單跟臉書上頭的不一樣，不確定內湖店和其他店的差別～～
主打蛋餅和飯糰，可以加辣椒🌶️，很香
✅起司蛋餅～～很好吃是起司絲的那種，蛋餅皮也是偏酥脆的，吃起來微微粉感，不是軟的
✅漿爆飯糰🍙有肉鬆有油條起司半熟蛋菜捕整體吃起來很不錯👍有口感也很香～米飯的部分也不會太硬，吃完一顆超級飽
✅鹹豆漿拿來跟阜杭豆漿比的話是輸的，這裏的偏水也偏酸有加菜餔和小蝦米整體吃起來就是酸酸的豆漿…..個人沒有很愛太稀了"
 其實關你屁事 ,https://www.google.com/maps/contrib/115978084548715758827/reviews?hl=zh-TW,5,True,60,"北上旅遊住內湖，先生幫我查內湖厲害早餐
果然好吃耶～電話預訂現場取餐態度都很好👌
蛋餅皮本身就蠻好吃，搭配起司不是薄薄一層，是蠻厚一層起司喔～可惜沒有胡椒粉選擇～
紅茶豆漿，店家詢問要半糖還全糖
心想～應該沒有無糖選擇？半糖該不會很甜吧（平常都喝無糖），結果半糖個人覺得在微糖邊緣啦！

看大家都推爆漿飯糰，在中部就是吃傳統飯糰（肉鬆油條滷蛋）
吃了還滿驚豔的，起司蛋無違和感呢！值得一試👍"
 黑麻糬 ,https://www.google.com/maps/contrib/111243561262487599992/reviews?hl=zh-TW,5,True,150,"來打卡收藏好久的爆漿飯糰，沒想到起司跟糯米可以這麼搭；油條不會過老，肉鬆跟蛋皮的鹹味恰到好處；忘記跟老闆說不要加菜脯吃到嘴裡才發現，但是菜脯味不重，鹹味較淡，也不會脆的誇張，跟飯糰很搭；整個飯糰料超多，最厲害是從第一口到最後一口都還是有料，簡直是用做壽司的方法在做飯糰
老闆沒有將飯糰壓得很紮實，所以送上來時飯糰比一般早餐店大好幾圈，第一次吃會傻眼"
 Tracy Chen ,https://www.google.com/maps/contrib/118388496535198619608/reviews?hl=zh-TW,5,True,37,"每週至少光顧2-3次的美味料理，小孩最愛他的肉鬆蛋餅，我則覺得原味蛋餅就很好吃了😋
雖然價格在蛋餅界應該已是精品等級，但吃過之後就會覺得這價格很實在。"
 Mindy Pai ,https://www.google.com/maps/contrib/101731419477528411176/reviews?hl=zh-TW,5,True,45,7/5購買玉米蛋餅，它的餅皮吃起來很特別，裡頭還有點淡淡的甜麵醬，老闆很客氣，大推~明天試試別種口味
 Selina Hsieh ,https://www.google.com/maps/contrib/114144279714328084882/reviews?hl=zh-TW,4,True,75,"幾個月沒來吃，又漲價了。
雖然萬物齊漲，但一份蛋餅40+豆漿30真是嚇到我了。這樣的組合足足比別人貴10-15元。不會再是早餐的選項之一了。"
 Kaichen Hu ,https://www.google.com/maps/contrib/101849943744092617483/reviews?hl=zh-TW,4,True,241,"爆漿飯糰，起司真的多又大顆，可能起司味容易膩，感覺口味偏單調，嚐鮮不錯，但還是喜歡傳統一般飯糰
想試試蛋餅，聽說很脆很好吃"
 Johnny Liu ,https://www.google.com/maps/contrib/105722740445917421374/reviews?hl=zh-TW,3,True,966,"蛋餅的確好吃
餅皮煎到酥脆，相當特別
飯糰十分巨大
非常有飽足感
蘿蔔糕則是普通

店家態度也非常親切
我覺得唯一的問題是
好像只要有豬排的產品價格都非常昂貴
但豬排也沒有過人之處

不過整體評價還是不錯👍"
