user_name,user_profile_url,rating,local_guide,comment_num,comment_text
 陳以庭 ,https://www.google.com/maps/contrib/105162717033428614417/reviews?hl=zh-TW,1,True,40,"覺得好扯...在訂單系統上選全素，然後筍絲竟然裡面有肉...看同事的葷食餐盒裡這個筍絲就有很多肉絲，感覺店家是跟肉絲一起炒然後把肉挑出來就放進全素的餐盒裡欸🤔（會不會太不用心啊啊不知道素食的定義就不要亂在訂餐系統上給素食選項啊啊啊）真的感受很差🙃🙃🙃
然後地瓜還老到纖維粗成那樣...

事後補充：店家有很快回應我這件事，第一時間負責人也打到內科店，詢問情況並表示今後會做好教育訓練，並表示會退錢給我並不斷道歉。在此還是很感謝給力盒子對蔬素食族群的重視與處理態度🙏🙏🙏"
 Kudea ,https://www.google.com/maps/contrib/104740205120186865582/reviews?hl=zh-TW,5,True,121,我喜歡沒有油光的青菜，雞胸肉還算可以入口，希望可以改變全台便當店青菜加超級多油的劣習
 Yumin VLOG ,https://www.google.com/maps/contrib/116036225413980440424/reviews?hl=zh-TW,5,True,33,吃過許多家的健康餐盒，唯獨這家最符合我胃口，尤其蒜泥白肉是我的最愛，菜類豐富非常新鮮，不會有令人不舒服的菜味，值得推薦真的給力！
 林先生 ,https://www.google.com/maps/contrib/105380266990018607650/reviews?hl=zh-TW,5,True,"1,160",菜肉飯比例很棒，調味恰當不會油膩，價格合理、出餐快速、服務親切、店面整潔，是減脂餐、健康餐的好選擇！
 YC Yu ,https://www.google.com/maps/contrib/103050745509840669573/reviews?hl=zh-TW,5,True,85,"內科吃過三家給力，這家最好吃！
其他家不是紫米飯太濕太爛，就是配菜不好吃～這家兩樣都好吃
給力王是你？！"
 Helen Chang ,https://www.google.com/maps/contrib/116513039338182139797/reviews?hl=zh-TW,5,True,719,"菜很豐盛
吃超飽的👍
調味不錯
可以飯換地瓜
地瓜也給很多"
 Larry Chen ,https://www.google.com/maps/contrib/117061527517266669257/reviews?hl=zh-TW,4,True,417,肉的份量蠻多的，調味也都不錯，但蔬菜不多，紫米飯量很多(點正常量)
 CHUNYING ,https://www.google.com/maps/contrib/107126606607174149157/reviews?hl=zh-TW,5,True,31,"這家的肉量真的很誇張多
飯也不少
整個便當吃完會很飽!
跟內湖地區附近的健康餐便當比起來
還算CP值高的~~"
 Tony Laio ,https://www.google.com/maps/contrib/104011629288515736273/reviews?hl=zh-TW,1,True,19,"不要飯無法補蔬菜了

大家注意

點餐時也不告知

拿到後才說"
 陳小白 ,https://www.google.com/maps/contrib/106009845145218269548/reviews?hl=zh-TW,4,False,5,點餐系統很方便，可以在出門前點好想要餐點在過去拿，節省很多時間，價格上也不算昂貴，餐點算是好吃的健康餐盒，不會淡而無味，份量也很有飽足感，很均衡，點餐可以累積點數換取優惠券，算是小確幸，每週三會有優惠活動，每個月也都會有限定餐點可以變化口味。唯一美中不足的是固定的主菜品項稍嫌少。
