user_name,user_profile_url,rating,local_guide,comment_num,comment_text
 美夕 ,https://www.google.com/maps/contrib/113398972899587612134/reviews?hl=zh-TW,5,True,67,"在台北受訓，附近餐廳都吃過一輪～

HaloAPoke夏威夷拌飯
整體的風格是米白色系讓來客感覺輕鬆舒適

防疫期間有做好隔板與消毒工作，乾淨整潔

餐點都是原型食物，雞胸、鮪魚、蝦仁🍤、豆腐組合，可以選擇基底是否要糙米

份量來說，女生一餐剛剛好，男生可能有些不夠😅

調味上，我點的是泰式POKE，口味清爽無負擔，吃完後不會太撐也沒有油膩感

餐點用完後需自行收到回收台

在餐廳的最後方有提供檸檬水

👱🏻‍♀️服務人員親切

❌餐廳本身是沒有提供化妝室的唷

價位中等，可以接受範圍👍🏻"
 Ka Ka ,https://www.google.com/maps/contrib/105735296340310745877/reviews?hl=zh-TW,5,True,79,"可以除了已經配好的套餐，也可以自選生菜和沙拉口味，對於不喜歡吃澱粉的人來說真的很棒，尤其是青菜都切小小的可以一口吃非常方便！
店裡很乾淨服務態度也很好，一開始吃覺得胡麻醬太少詢問店員可否幫我加多一點，店員很大方的幫我加了醬好吃許多～
感覺以後午餐會常常來吃！健康又美味！"
 Summer Hsu ,https://www.google.com/maps/contrib/106809167800290229245/reviews?hl=zh-TW,4,True,98,餐點新鮮～口味清爽，喜歡吃生菜+生魚拌飯的人會愛，環境也非常乾淨舒適
 EJ Chiu ,https://www.google.com/maps/contrib/104627472575677521228/reviews?hl=zh-TW,5,True,20,"肖想這東西很久了
雖然一直不知道他到底怎麼唸
是唸剖可
還是剖ㄎㄟˇ
還是寶可夢
搞不清楚
因為懶得一個一個配菜挑所以我點招牌
裡面還有酪梨我愛死(剛好還穿酪梨色外套活像個酪梨人)
辣美乃滋也很不錯很搭
木頭碗怎麼拍都還不錯看高級
覺得比賽百味還划
五星好評"
 Chun-chiang Lin ,https://www.google.com/maps/contrib/107874382639199513326/reviews?hl=zh-TW,4,True,78,第一次嘗試poke，買了一個是B好身材，一個是基本自選，我個人覺得自選不錯，可以選喜歡的且配菜份量足，水煮蛋是一整顆，但醬料好像可以多加一點，不然略清淡。
 蔡獻中 ,https://www.google.com/maps/contrib/108000048793506830587/reviews?hl=zh-TW,4,False,7,"超級推薦這間店很好吃！
外觀很美，食品也很乾淨衛生
但是我已經第二次看到小蟲蟲了，我整路都用紙袋包著所以應該是貴店的問題，我還是會每天吃，因為真的很好吃，所以拜託幫我改進一下
另外我有兩個建議，有一個之前也有key在app訂單的備註中了
1.App的配料需有複選，有時候想吃三顆蛋只能備註
2.App可以輸入發票載具，我對環保沒想法，我不想拿紙本而已🤣
感謝，好吃真的值得推薦"
 yu Su ,https://www.google.com/maps/contrib/105514633193738828726/reviews?hl=zh-TW,4,True,220,"2022.9第二次享用，到店用餐
這次點了韓式口味，主菜為雞胸肉加鮪魚
蔬菜一樣新鮮可口，只是這次雞胸肉就略柴一些，生鮪魚第一次吃，筋性較高
韓式泡菜口感極佳，醬料搭配不錯，醬料是會稱克數的不用擔心過多醬料，真的不喜歡，也可以請店家醬料分開
店內一系列的白，明亮簡潔，牆上短短的話語讓人欣欣然
支付方式可以linepay或現金，無信用卡
屬於自助式店家，自己收拾也不會被打擾
整體空間非常舒適
下次會再來試試自己配😁
謝謝店家辛苦了🙏❤️💕

2022.7第一次點了泰式醬料雞肉鮮蝦$180
食材新鮮，雞肉不柴Q嫩
糙米飯+生菜很不錯
整體是要慢慢吃的原型態食物+地中海料理
醬料也很OK，雖說是美乃滋
酪梨醬倒是沒讓我很驚訝
搭配自己的菜與湯很飽足😋😋😋
因為沒有要下載APP只能現場點餐了
如果可以調整這個策略就太好了
（有點感覺困擾）
謝謝店家辛苦了"
 阮阮 ,https://www.google.com/maps/contrib/102190848121400489834/reviews?hl=zh-TW,1,True,236,"用外送平台點餐
從沒吃過份量這麼少的poke
蝦卵那個量是什麼意思？要不要這麼可憐？
除此之外
糙米飯還有一大塊結塊感覺就像放很久的隔夜飯超不新鮮🤢"
 Wan-Ling Tseng (ioloi) ,https://www.google.com/maps/contrib/114491679987681255882/reviews?hl=zh-TW,4,True,157,在ubereat上看到好奇點來吃吃看！覺得很不錯，優點：超適合外送，沒有湯湯水水也不怕冷掉。準備動作超快，下單沒多久就準備完成！最喜歡很完整的客製化選項，我自己是個挑食人，喜歡這類的料理但常常會遇到一兩項沒這麼愛的配菜，友善的客製化選項令人大心！！食材配菜滿新鮮的，輕爽無負擔的蔬食，很適合平日午餐。我沒吃生魚但朋友似乎評價也不錯。我點了蝦仁及雞胸肉，蝦仁約有五隻，雞胸肉略顯幹柴了點，但份量蠻有誠意的。美中不足的是我與朋友皆認為醬料淋的太少。也許下次再點我會填附註醬多試試。以後有機會可以去本店朝聖試試。
 謝佳霖（丹丹） ,https://www.google.com/maps/contrib/101971656811090966185/reviews?hl=zh-TW,5,False,13,"健康。好吃。好地方。
食材新鮮沒話說👍
可以自己搭配推推"
 吳漢堡 ,https://www.google.com/maps/contrib/102236918838478582471/reviews?hl=zh-TW,4,True,"1,261",非常精緻好吃的夏威夷生魚飯，裝潢輕巧宜人，配料應有盡有，價位跟一般poke差不多（就是有點貴的意思），份量稍嫌不足，如果能按人調整澱粉的量會更棒~
 Yu evening ,https://www.google.com/maps/contrib/104476390440340779951/reviews?hl=zh-TW,5,True,89,"Uber點泰式POKE,是泰式微辣的口味，主菜雞肉和蝦仁，雞肉很大塊不柴，清爽新鮮，酪梨醬味道也很清爽特別。"
 renee liu ,https://www.google.com/maps/contrib/111394079125720339419/reviews?hl=zh-TW,5,False,9,非常愛原型食物，無過度烹煮可保留食物最多營養，調味讓食物不至於單調，夏天吃超適合，非常開胃，美味與營養兼具！可惜分店太少了！
 YuFen Hu ,https://www.google.com/maps/contrib/111747040644742174671/reviews?hl=zh-TW,5,False,5,終於在內科設點東西好吃健康清爽無負擔店內裝潢讚氣氛好店員也很親切大推👍👍👍最好吃的一家
