user_name,user_profile_url,rating,local_guide,comment_num,comment_text
 跟著Allen吃喝玩樂 ,https://www.google.com/maps/contrib/115181220773490968797/reviews?hl=zh-TW,5,True,120,"和牛燒肉吃到飽又可以唱歌🎤的Shock燒肉，
繼桃園、土城之後，也來大直開分店囉，
就在大直ATT樓上！
不僅可以邊唱歌邊烤肉，
還可以看到美美的台北夜景！
對我這個不會烤肉只會唱歌和吃的人
是一大福音啊🤣，
而且歌單也很新，都是我平常愛唱的歌😍！

每間包廂都是獨立式包廂，
對於注重隱私的客人絕對是最好的選擇，
非常適合舉辦各種聚餐、聚會、慶祝、
尾牙、同學會、公司活動！

➖

澳洲和牛🥩大理石般的油花分布，
只要稍稍烤幾秒逼出肉汁，
吃起來肉質細嫩，
烤太久就可惜了！

海鮮拼盤超澎湃的一盤，
加勒比海白蝦🦐、扇貝、柳葉魚、
軟絲、鮭魚、貽貝，
而且海鮮都很新鮮！
裡面我最愛的是扇貝和軟絲🦑，
扇貝肉質飽滿鮮甜，
軟絲鮮脆、吃得到天然的鮮鹹。

石鍋拌飯超香的，
滿滿的肉末、豆芽菜、龍鬚菜，
再淋上韓式辣醬和海苔絲，
燒燙的石鍋炙燒出一層鍋巴，
所有食材拌在一起後帶有淡淡焦香，
最適合配著燒肉一起吃。

冰棒🍧是泰國MINGO品牌，一共有五種口味。
好久沒有吃到榴槤，
看到榴槤冰棒一定要點一下啊！
口感綿密，冰凍後的榴槤氣味溫順，好吃耶！

➖

♦️海陸燒烤隨意吃，平日午餐$728元/人，晚餐及例假日$768元/人
♦️澳洲和牛吃到飽，平日午餐$839元/人，晚餐及例假日$889元/人"
 曾宇婕 ,https://www.google.com/maps/contrib/104485386956797436347/reviews?hl=zh-TW,2,True,58,"先說整體感受～第一次邊烤肉邊唱歌滿新鮮有趣的，不過其實不少雷點，可以讓大家參考。
點餐方式真心建議趕快引進平板，大包廂每次加點還要請服務員用來再口頭說真的蠻沒效率，加上服務員臉都偏臭（好幾個都是，不是個案🤣）
食物真的不怎麼樣，肉都有先醃漬過，幾乎每樣都又老又死鹹，稍微比較嫩的牛小排又非常膩口，飲料都是10塊麥香紅麥香綠柳橙C那種便宜飲料，火鍋感覺是拿清水在煮，湯底沒什麼味道，所幸青菜還算新鮮。
海鮮類完全沒記憶點，整體食物選擇並不豐富。
唱歌部分，12人包廂2支麥克風，感覺可以再給一支，點歌的系統那台螢幕非常難用…後來都是用本子加遙控器在點歌，歌單其實很新，所以如果你對食物沒有太多要求又喜歡唱歌或許會玩得蠻開心的！
用餐時間限制兩小時，不過當天禮拜天下午其他間包廂都沒什麼人，生意好像不太好。
整體感覺是間不上不下的店，食物不ok，限制時間導致真的喜歡唱歌的人會不過癮（再加上唱歌系統實在偏難用），價位又不是特別友善不適合學生，感覺定位偏怪。"
 Vivian Chen ,https://www.google.com/maps/contrib/103939282523613415359/reviews?hl=zh-TW,2,True,245,"在包廂內烤肉，可以同時唱歌，私密性很夠，大聲聊天歡笑也比較不怕吵到別人，是很特別的體驗。

今天點每人889元吃到飽，肉品海鮮都OK，甜點冰心地瓜好吃，熱無糖綠茶很雷不好喝。點餐送餐的服務生很有耐心，只是加點的菜盤，一直到最後加點那一次才來，可能忙中忽略了吧！

扣星是因為最後進門的服務生，很不客氣的開門直接說：“時間到了請你們馬上離開！”可是，明明離談定說好的時間還有14分鐘！而且，不是應該第一次先提醒顧客時間快到了，第二次再趕人嗎？這種命令的態度讓人感覺不舒服，非常可惜。"
 吳俊傑 ,https://www.google.com/maps/contrib/115315965838007572633/reviews?hl=zh-TW,5,True,165,"公司福委舉辦烤肉歡唱趴,下班後搭捷運或開車,就可輕鬆再都會區享受,這樣的場地和地點真的很不錯,上菜速度很快,烤爐多,沒有人多要等與餓著或吃不到問題,用餐效率很高,這點很加分!
服務人員也很多,不定時會進來換網或通知點菜等細節,點菜後也很快就來送到了,加上沒有漏掉又在加分!
然後公司包了一個大眾區,和三個包廂區,不會唱歌的可以吃得很爽,食材很多樣,愛喝酒的可以混搭各種口味(汽水/燒酒/啤酒等)和去各包廂串門子,然後愛唱歌的在包廂內可以很hi不怕打擾到別人,還可以跨包廂唱來唱去,真是蠻特別的體驗^^整體來說很推薦!"
 Kate Tu ,https://www.google.com/maps/contrib/114414030441484774585/reviews?hl=zh-TW,3,True,163,"220306一訪
因為不用排隊就選了這家吃，可以在包廂邊唱歌邊吃，是還蠻有噱頭的。
餐點部份普通、肉質普通，不太餓的時候可以吃，邊吃還可以邊聽歌。那天剛好放的都是我那個年代的歌曲，挺懷念的。"
 張凱程 ,https://www.google.com/maps/contrib/113957987785275169852/reviews?hl=zh-TW,5,True,61,"3／22晚上7:30消費心得：
1.超推韓式牛小排、海鮮類、無骨雞腿、香菇、大腸。
2.爐火很強，有效率的縮短烤肉所需要的時間。
3.服務人員互動親切態度良好。
4.整體烤肉的肉質感覺，就好像是中秋節在路邊烤肉一樣，那種道地味道，配合精心研製的醬，完美！
5.燈光美氣氛佳顛覆對於烤肉餐廳的看法，擁有夢幻視覺般的享受。
小建議：平均每2～4人的座位下方或隨手可碰觸到的區域，增加迷你滅火器，可以再為消防安全多一層保障。"
 sandy “憶珊” Liu ,https://www.google.com/maps/contrib/106544307844048036392/reviews?hl=zh-TW,5,True,22,"整體覺得燒肉吃到飽、包廂可歡唱是個非常適合聚會的好地點👍

初訪適逢假日，感覺服務人員忙不太過來，
不知道是不是我們太餓太會吃，送餐的速度都來不及我們吃完加點的速度🤣

但這麼忙說實話，服務人員態度都很好、很有心想快一點幫我們處理及送餐，值得讚許👍。
送餐速度影響用餐時間，最後也沒有因用餐時間到達而趕客人，這點覺得有公平👍。

餐點以個人觀點普遍覺得不錯吃，尤其是石鍋拌飯，不吃辣的孩子們都多吃了好幾碗，非常捧場🤣👍
4號包廂景觀不錯👍"
 issac Chien ,https://www.google.com/maps/contrib/115705404127187225866/reviews?hl=zh-TW,4,True,897,來這可一邊烤肉一邊唱歌真的不錯，食材部分是不錯但種類可再增加多一點會更好，附食部分也是一樣，建議可點餐時間兩小時內但歡唱部分可在增加一個小時。停車部分可直接停到6樓進去直接到門口相當方便。
 Sabrina W ,https://www.google.com/maps/contrib/107555546125618078863/reviews?hl=zh-TW,3,True,85,"店內太空設計不是很精緻，但好拍濾鏡處後就有效果
字型料理火烤兩吃，食材只有澳洲和牛不錯
其他就是一般般的食材
干貝是合成樣子嗎，吃起來像火鍋料花枝丸

用餐可以KTV點歌，愛唱歌的會開心"
 fish Yellow ,https://www.google.com/maps/contrib/105627403960380556804/reviews?hl=zh-TW,4,True,306,"一個很酷很讚適合聚會的地方
可以邊烤肉邊唱歌
雖然價格偏高限時有點短
不過整體氣氛不錯烤肉也很好吃火鍋倒是很普通
韓式也有一些選擇不過煎餅跟炒飯偏普通
歌倒是很新有包廂很讚"
