user_name,user_profile_url,rating,local_guide,comment_num,comment_text
 7柒 ,https://www.google.com/maps/contrib/101009214612857841248/reviews?hl=zh-TW,1,True,79,"加班到9點半，附近已經沒東西吃了！看到「三媽」開著，點了「海鮮豆腐鍋」，吃到最後，打了蛋正想完食，襯著蛋白的湯頭面浮上兩隻‘’腿‘’@@⋯
天啊！糟透的飲食經驗，之後就算餓瘋，也不會再給這品牌任何機會🤮"
 楊淑 ,https://www.google.com/maps/contrib/103095630382032424590/reviews?hl=zh-TW,4,False,98,"好吃，湯頭讚，海鮮豆腐鍋還附蛋140,茼蒿菜45.紅茶，冬瓜茶，含糖飲料，白飯隨便喝到飽，還附冰棒，比老×覺划算也好吃又便宜"
 金Golden ,https://www.google.com/maps/contrib/111552041977758749484/reviews?hl=zh-TW,1,False,6,"外送送來全部鍋的湯都流光了….
打去詢問只被回一句：
去客服退錢…還態度這麼差
這個樣子根本不會想吃了！
還要再重訂別的午餐也來不及吃了。"
 楊淑卿 ,https://www.google.com/maps/contrib/109786766686136637869/reviews?hl=zh-TW,3,False,215,湯頭好喝，飲料喝到飽，價錢漲價，沙茶魚頭鍋普通，海鮮豆腐鍋比較優，豬肉片不優
 饒菊玲 ,https://www.google.com/maps/contrib/114966569347362111072/reviews?hl=zh-TW,5,True,507,還是老品牌的火鍋好，以平價火鍋來說同樣的價格料實在，光員工就8個人表示生意很好，內用外送都客滿，雖然已經漲到一鍋140元但是值得
 viva zhan ,https://www.google.com/maps/contrib/101883134759399859430/reviews?hl=zh-TW,1,False,4,"Ubeaeat訂這家店餐點
1.兩份餐一份用袋子裝一份用紙碗
餐送到了半碗湯沒了
整份袋子裡全是灑出來的湯
紙碗全泡在湯裡
2.餐點味道：臭豆腐略有酸味
湯頭沒味道滷鴨血很鹹"
 貴婦小乖媽 ,https://www.google.com/maps/contrib/116574967680611898370/reviews?hl=zh-TW,5,True,488,"已經超過20年的知名連鎖店家
坐落在內湖的分店我居然從來沒來到訪過！

本來要去吃知名的水餃沒開那就轉到這個從來不知道的三媽臭臭鍋。

今天點的是大腸臭臭鍋＄130
不過10月1號要漲價10塊錢了！
一整個令人喜出望外，大腸丶臭豆腐丶湯頭香菇貢丸，每一個料都非常好吃，10分有水準。

老公點的是海鮮豆腐鍋
其實只有一片蝦子丶二片魷魚跟兩片還蠻有味道的魚板，老公很工運的說真的比大x過癮還要好吃！

可惜因為減肥中不能吃他的白飯跟免費的飲料還有冰棒，一整個很超值喔！

老公說什麼東西都好吃唯一的敗筆在他的冰棒，感覺輕輕如水，應該是加了不少水的清涼冰棒吧哈哈！

現場有很多人外帶喔，外送的訂單也不少，個人覺得嘻皮值很高，他的配料跟湯頭也10分有水準，想吃簡單又便宜的台式正宗刷刷鍋，那選這家三媽臭臭鍋絕對沒錯啦⋯⋯"
 cai-siou yao ,https://www.google.com/maps/contrib/109087922369441372155/reviews?hl=zh-TW,1,True,40,"爛死了，給一顆星都嫌多⋯

平日中午來用餐，店裡沒什麼人，加上送來的火鍋就是生的，結果讓我等了20分鐘以上？

然後催了好幾次，還問我要不要直接退掉？
這是什麼待客之道？太誇張了吧～

建議要用餐的人，要有來受氣的心理準備⋯"
 Xin Jing Lin ,https://www.google.com/maps/contrib/106061150187484778295/reviews?hl=zh-TW,4,True,228,"外送常吃到這家三媽，便宜好吃料又多，簡直無可挑剔，今天剛好路過立刻進來嘗試內用😋一進來，也是很令人驚豔，店面明亮、乾淨，空間也很大，剛進去時店員剛拖完地，也很貼心的提醒地板會滑，走路要小心☺️廁所也是維持的很乾淨，整潔方面很認真維持
料很多，味道也很不錯，點麻辣鴨血鍋裡面還附烏龍麵，烏龍麵吃起來Q～Q～的很好吃喔🤤點了小辣蠻沒味道的，淺嚐氣味的人適合點小辣，能吃辣的人建議中辣比較有味道，泡菜鍋會附一顆蛋，內用白飯自取，可以無限裝，很適合飢腸轆轆的人來飽餐一頓👍
冰淇淋是以冰棒的方式提供，一鍋附一隻冰棒，想要多吃就要付錢，冰淇淋的種類還蠻少的，選了巧克力牛奶⋯巧克力味道不太喜歡，很不好吃的巧克力，搭配完全沒有牛奶味道的牛奶冰，兩種口味搭配在一起⋯⋯我是寧願走去店面萊爾富買一隻真正的巧克力雪糕，整隻吃起來就很化學味，化學到一點像樣的味道都沒有出來，新的一打開有些地方就已經只剩白色的牛奶，說好的巧克力都不知道哪去了，很不推巧克力雪糕😖"
 fong ,https://www.google.com/maps/contrib/104344781697119166344/reviews?hl=zh-TW,3,True,"1,760","海鮮豆腐鍋，140，食材有，白蝦1隻，豬肉片5片，豆腐3塊，貢丸2顆，甜不辣3塊，豬血糕1塊，金針菇，青菜，豆皮等。

白飯自由吃，碳酸飲料與紅茶隨你喝，醬料自己配，還有餐後冰棒1支，口味自己挑。

整體還可以，午餐是附近上班族的聚餐聖地。"
