user_name,user_profile_url,rating,local_guide,comment_num,comment_text
 吃吃飯-食べるwoweat ,https://www.google.com/maps/contrib/100082716521781277513/reviews?hl=zh-TW,4,True,560,喜歡這家明亮乾淨、寬敞，加上服務非常好的一家店，商品乾淨算新鮮，消費滿200還可以送一盤肉哦！還有小美冰淇淋，現在打卡好評還有額外送泰國冰棒哦🥰😍，今天選擇榴槤口味，老闆娘非常推薦😂😂，味道非常好，冰棒軟Q，真的蠻好吃的，榴槤味到不嗆鼻香氣很ok。個人點了經濟鍋180超級划算，簡單清爽沒啥負擔，整體CP值非常家庭式的一家店，推～
 Gary Huang ,https://www.google.com/maps/contrib/110916681455047976167/reviews?hl=zh-TW,4,True,491,"2022/09，平日，因為較晚用餐，故先去電詢問最晚用完時間，老闆有給我們較寬裕時間用餐，棒棒
唯一可惜，佐料的湯匙太小，對於要吃很多蔥的我來說，必須花比較多的時間去填滿！
推推

👍🏼👍🏼👍🏼👍🏼👍🏼"
 L YN ,https://www.google.com/maps/contrib/109334820140340786276/reviews?hl=zh-TW,4,True,142,"美味程度：🌕🌕🌕🌕🌑

服務態度：🌕🌕🌕🌗🌑

環境方面：🌕🌕🌕🌕🌑

CP值：🌕🌕🌕🌕🌗

店內有挑高

簡單的裝潢設計也還不錯

點了軟絲&蚵仔鍋

有送豬肉或雞肉

都是組合肉

海鮮這個價位給得份量算蠻多的

還有副餐可選擇

菜盤的份量不多

也有醬料、飲料、冰淇淋可自助取用

比較可惜的一點是

當時友人因為有事所以先走

剩我一個人在吃

有察覺到後面有顧客在等

不過看起來店內沒有空位了

那時快吃完了所以店家也先把我跟友人的空盤收走

原本想吃個冰淇淋再走

但覺得吃得有點壓力就沒去吃了

雖然知道是人之常情

但還是覺得壓力有點大

僅供參考"
 Ginna Lin ,https://www.google.com/maps/contrib/103762398878043786623/reviews?hl=zh-TW,4,True,788,"小小溫馨的平價火鍋店，位置不多卻乾淨舒適，點主餐會多送肉品，但是肉片皆偏薄，份量也少。
湯頭清爽自然，吃完火鍋不會覺得口乾舌燥。😊"
 Ching Chou ,https://www.google.com/maps/contrib/116078056512147100572/reviews?hl=zh-TW,5,False,3,空間雖不大，但整體環境很乾淨清幽，2/13用餐時還看到老板娘連門口的流水小造景都定期清理，個人很喜歡這樣乾乾淨淨的用餐環境，食材也都很新鮮美味，消費滿200元還送梅花肉或雞肉(任選)，還有小美冰淇淋吃到爽喔！是小火鍋的不二選擇，以後還會再來消費。
 繡玲許 ,https://www.google.com/maps/contrib/116477358966688307489/reviews?hl=zh-TW,5,True,18,"明亮,乾淨的用餐環境！
很養生的食材,價格又親民！😘大推👍"
 Tina Liu ,https://www.google.com/maps/contrib/114565953496369261896/reviews?hl=zh-TW,5,True,137,推薦雙拼！180就能吃到兩種主菜，而且滿200就送100元的肉盤，可以在合宜的價格吃到很豐富多樣的菜色。店裡環境很乾淨，醬料都有蓋子，服務也很親切，推薦！
 Vivian Yeh ,https://www.google.com/maps/contrib/105552732841010120068/reviews?hl=zh-TW,5,True,323,"環境明亮很舒服！
滿兩百塊送一大堆肉(;´༎ຶД༎ຶ`)
很棒的社區型小火鍋店～
CP值很高，一個人吃或家庭一起來都適合"
 陳慧潔 ,https://www.google.com/maps/contrib/101924053811542616406/reviews?hl=zh-TW,5,False,4,環境明亮乾淨舒適、有乾淨的洗手間、餐點新鮮美味、服務人員親切、價格划算，除了套餐滿200有額外送肉外，還有免費的冰淇淋，CP値超高！！！調味料區可以說是附近火鍋店最乾淨的大推👍👍👍👍
 KK Li ,https://www.google.com/maps/contrib/101812994765014682554/reviews?hl=zh-TW,5,False,5,"價格實惠,環境乾淨整潔,套餐還有送肉！平價也能吃飽的火鍋～"
 宋紹瑜 ,https://www.google.com/maps/contrib/103244380047220867136/reviews?hl=zh-TW,2,True,24,"燈光明亮，但餐點實在有點不划算。
我發誓我一口未吃，就這樣的肉量…
霜降牛肉鍋$198"
 邱振盛 ,https://www.google.com/maps/contrib/101769891058168705265/reviews?hl=zh-TW,3,True,108,有點吃不飽，評論是用送雪糕刷出來的。哭啊。
 Lily Chu ,https://www.google.com/maps/contrib/105515415070080959050/reviews?hl=zh-TW,5,True,63,環境漂亮舒適、有乾淨的洗手間、餐點新鮮美味、服務人員親切、價格划算，除了套餐滿200有額外送肉外，還有免費的冰淇淋，CP値超高！！！
 顏郁方 ,https://www.google.com/maps/contrib/115135117558712984962/reviews?hl=zh-TW,5,False,3,雖然小小家店，但用心服務，食材也新鮮，但蛤蜊的部分還是有待加強，麻煩要清洗乾淨及吐沙完全，才可供客人有更好的食物品質；另外活動滿兩百送肉、打卡送冰😉
 蔡復丞 ,https://www.google.com/maps/contrib/105783796821937505830/reviews?hl=zh-TW,5,True,17,進門感受溫馨感，整體環境乾淨整潔，青菜洗的很乾淨，份量剛好吃飽的黃金比例！湯頭清清淡淡的相當溫和，第一次來品嚐相當好的回憶，很適合帶小朋友一起來。
 廖維倫 ,https://www.google.com/maps/contrib/111934980101963351579/reviews?hl=zh-TW,5,True,5,軟絲有點薄，但整體還不錯，重點是還蠻便宜的
 JaiXiang Yang ,https://www.google.com/maps/contrib/103089588989722893185/reviews?hl=zh-TW,5,True,39,"喜歡店內乾淨、食材新鮮以及豐富的醬料和好吃的冰淇淋🤩🤩
服務品質也很優
性價比非常高～超推👍🏼"
 YU-SHAN DING ,https://www.google.com/maps/contrib/103867809374570127125/reviews?hl=zh-TW,5,False,7,今天出遊來到內湖，來到「江南春傳奇鍋」，真材實料，湯頭好，重點老闆服務很親切唷！吃到只剩冰淇淋🍦
 葉子 ,https://www.google.com/maps/contrib/110276871629449094653/reviews?hl=zh-TW,5,False,4,店長很親切，滿200元還會送肉盤，超好吃！粉專打卡還送好吃冰棒喔！😊😊😊😊😊😊
 Kevin Chang ,https://www.google.com/maps/contrib/118402027986050384894/reviews?hl=zh-TW,5,True,63,品項多樣、食材新鮮、用餐環境舒適，真的是愛鍋族不錯的選擇！
 Heather ,https://www.google.com/maps/contrib/117306278315224722758/reviews?hl=zh-TW,5,True,144,"平價鍋物🍲
只要點200以上的火鍋還會再多送肉盤🥩
本身就有冰淇淋🍦
評論還可以送泰國明果雪糕♡
很值得再訪😋"
 林有利 ,https://www.google.com/maps/contrib/100133485115301052041/reviews?hl=zh-TW,4,True,27,#湯頭清甜#菜盤營養#環境整潔#湯滾得很快，不像石x鍋要滾很久
 ㄆㄆ ,https://www.google.com/maps/contrib/101892859712949837086/reviews?hl=zh-TW,5,False,8,"火鍋不貴剛剛好不會太飽！
cp值很高，很適合平常吃！"
 Gary Golden ,https://www.google.com/maps/contrib/110748082788830716836/reviews?hl=zh-TW,5,True,192,必須說那個鮮蚵的大小、鮮度和份量真的是太令人驚艷了！菜盤蔬菜新鮮沒有什麼火鍋料，肉片也表現得非常稱職。吃完非常飽足舒服價格又很合理，推薦！
 品 ,https://www.google.com/maps/contrib/102350431603810605141/reviews?hl=zh-TW,5,True,29,偶然經過的一間火鍋店，原本以為跟一般小火鍋店一樣肉只有三片。但這次來真的讓我驚艷，雖然菜盤份量算少，但肉品只要有超過200元都會再送一盤肉，覺得CP值很高。店內環境也非常乾淨舒服，這間店會成為我再訪的店家。
 Pon Peng ,https://www.google.com/maps/contrib/115488917392515560138/reviews?hl=zh-TW,5,True,135,"菜盤的份量沒有很多，不是會吃很飽那種
食材看起來很乾淨
麻辣鍋不辣但會麻
當歸鍋味道偏清淡，都是食材天然的味道
但是不喝火鍋湯的我最後把湯喝了不少
主食的鱸魚很新鮮，肉質鮮嫩
豬肉表現也不錯
硬要說缺點就是對於食量大的人可能會吃不飽"
 胡智登 ,https://www.google.com/maps/contrib/114450311015899573322/reviews?hl=zh-TW,1,False,10,"量很少～送的東西只是噱頭、一點點而已
吃起來普通～
有飲料冰淇淋！覺得口味不ok

環境乾淨
但不會再來了"
 瑪莉 ,https://www.google.com/maps/contrib/112857754512659658243/reviews?hl=zh-TW,5,True,1,"食材新鮮湯頭清淡，而且都沒有火鍋料！很棒！用餐環境也很舒服，整體來說CP值很高，會想再訪的店～
PS.目前僅提供現金支付"
 MissLi ,https://www.google.com/maps/contrib/104814778473888310695/reviews?hl=zh-TW,5,True,91,平價涮涮鍋，一鍋150起跳，店內乾淨明亮，有冬瓜茶麥茶和冰淇淋無限暢飲，醬料區也乾乾淨淨，超過90公分小孩有100元低消，當天2大2小只花550～份量不算多但cp值夠，老闆娘親切客氣，會再回訪
 黃于珊 ,https://www.google.com/maps/contrib/103098615361518809274/reviews?hl=zh-TW,5,True,21,簡單經濟實惠，湯頭清爽好吃😋
 ann wu ,https://www.google.com/maps/contrib/116144165435692960702/reviews?hl=zh-TW,5,True,46,第一次去吃花雕雞鍋大約是2年前，鍋物依舊美味如往常，隨餐附上的花雕酒也沒少，將這一小杯的花雕酒倒入鍋中增添美味，是值得前往的餐廳。
 Jay Lin ,https://www.google.com/maps/contrib/102090296439549810770/reviews?hl=zh-TW,1,True,128,超雷的火鍋，抱著期待進來，不知道究竟吃了什麼鍋的傻眼離開，料少的可憐就算了，重點是沙茶鍋這種味道濃郁的鍋居然可以搞成像無味的蔬菜鍋一樣，我真心以為是吃到煮沸的白開水鍋，絕對不吃第二次了
 謝芳宜 ,https://www.google.com/maps/contrib/110798666805606137873/reviews?hl=zh-TW,5,True,112,"原本要去隔壁吃我愛的湯膳房，結果被溫馨的火鍋店吸引
裡面裝潢乾淨簡單，店員也是讓人親切自在的問候服務
我點180元的超值海陸～四片鯛魚+雪花牛肉
還遇到點200送雞肉的活動～太划算啦
尤其我吃火鍋喜歡丟蒜頭進去變蒜頭湯底的，這變也提供新鮮豐富的蒜泥跟蔥花
豆皮30元三大片非常划算啊～
吃的剛好又不會太撐～不吃澱粉的人生就是該跟火鍋為伍
推推"
 Change ,https://www.google.com/maps/contrib/111809764280685230541/reviews?hl=zh-TW,5,True,203,從googlemap隨意挑中的一間店，但店內的服務餐點卻不隨便，滿200送的肉跟單點的肉一樣，很值得，對肉食主義者很友善。
 Ho Howard ,https://www.google.com/maps/contrib/108974117647749111651/reviews?hl=zh-TW,1,False,25,菜盤份量超級少，到底為什麼評價可以那麼高？大家都是為了減肥來吃的嗎？
 Wan-Ting Shih ,https://www.google.com/maps/contrib/111836026227000201968/reviews?hl=zh-TW,5,True,9,食材新鮮、服務態度優、用餐環境乾淨舒適！看得出經營相當用心，值得來吃吃看！
 莊雅馨 ,https://www.google.com/maps/contrib/105758587745649041167/reviews?hl=zh-TW,5,False,3,經濟雙拼鍋再點一樣單點，滿200再送一盤肉，很划算😃
 班萊恩 ,https://www.google.com/maps/contrib/109918327401875018475/reviews?hl=zh-TW,5,False,1,"環境清潔舒適
鍋物好吃"
 Clara Hou ,https://www.google.com/maps/contrib/111012989581772030455/reviews?hl=zh-TW,5,False,8,平價好吃的火鍋，還有小美冰淇淋和打卡送的冰棒，吃完很滿足。
 T L ,https://www.google.com/maps/contrib/104937960943293322422/reviews?hl=zh-TW,3,True,739,"老實說，不貴，
老闆也是客氣，
有優惠也有告知，，，

只是第一次吃，外帶，
回到家，發現，湯底，聞起來怪怪的，
因此沒有用了。

至於，肉品，菜盤，
由於沒有很貴，
食材品質就差不多這樣，，，

也許內用應該會比較好吧，，"
